"vp","string","lex","group","font","block","session","freq","err","rt"
"AA2805","Wcllz",0,"cs","Colonna MT",1,1,0,0,2036.22
"AA2805","Blete",0,"pw","Colonna MT",1,1,0,0,1165.57
"AA2805","Svßhn",0,"cs","Colonna MT",1,1,0,0,1052.13
"AA2805","Melti",0,"pw","Colonna MT",1,1,0,0,1252.63
"AA2805","Zauga",0,"pw","Colonna MT",1,1,0,1,862.86
"AA2805","Braut",1,"w","Colonna MT",1,1,2.935003151,0,1321.1
"AA2805","Fazit",1,"w","Colonna MT",1,1,1.113943352,0,1447.74
"AA2805","Chqrb",0,"cs","Colonna MT",1,1,0,0,2538.52
"AA2805","Codex",1,"w","Colonna MT",1,1,0.84509804,1,1248.9
"AA2805","Witwe",1,"w","Colonna MT",1,1,2.387389826,0,763.56
"AA2805","Lesst",0,"pw","Colonna MT",1,1,0,1,1576.15
"AA2805","Knmst",0,"cs","Colonna MT",1,1,0,0,1325.21
"AA2805","Stufe",1,"w","Colonna MT",1,1,2.565847819,0,915.24
"AA2805","Kobro",0,"pw","Colonna MT",1,1,0,0,1011.55
"AA2805","Stömm",0,"cs","Colonna MT",1,1,0,1,1439.69
"AA2805","Gjtnn",0,"cs","Colonna MT",1,1,0,0,777.75
"AA2805","Spnkz",0,"cs","Colonna MT",1,1,0,0,2388.97
"AA2805","Sinai",1,"w","Colonna MT",1,1,1,1,1713.3
"AA2805","Cahpa",0,"pw","Colonna MT",1,1,0,1,849.82
"AA2805","Dänen",1,"w","Colonna MT",1,1,1.230448921,0,1060.05
"AA2805","Glott",0,"pw","Colonna MT",1,1,0,1,1573.85
"AA2805","Mvzdv",0,"cs","Colonna MT",1,1,0,0,1499.11
"AA2805","Zatat",0,"pw","Colonna MT",1,1,0,1,913.58
"AA2805","Kstzt",0,"cs","Colonna MT",1,1,0,0,1650.04
"AA2805","Qskrr",0,"cs","Colonna MT",1,1,0,0,2131.74
"AA2805","Tifil",0,"pw","Colonna MT",1,1,0,1,986.06
"AA2805","Sudan",1,"w","Colonna MT",1,1,1.397940009,0,1191.12
"AA2805","Backe",1,"w","Colonna MT",1,1,1.72427587,0,1235.55
"AA2805","Organ",1,"w","Colonna MT",1,1,1.707570176,0,2190.37
"AA2805","Kakao",1,"w","Colonna MT",1,1,2.041392685,0,1762.95
"AA2805","Kästä",0,"cs","Colonna MT",1,1,0,0,1384.59
"AA2805","Vater",1,"w","Colonna MT",1,1,4.21861427,0,796.29
"AA2805","Nasen",1,"w","French Script MT",2,1,1.62324929,1,2272.02
"AA2805","Regel",1,"w","French Script MT",2,1,2.777426822,0,1033.32
"AA2805","Ödlor",0,"pw","French Script MT",2,1,0,1,1132.56
"AA2805","Grfmm",0,"cs","French Script MT",2,1,0,0,690.62
"AA2805","Pfgdm",0,"cs","French Script MT",2,1,0,1,1138.87
"AA2805","Laube",1,"w","French Script MT",2,1,1,1,552.99
"AA2805","Pltmn",0,"cs","French Script MT",2,1,0,1,943.19
"AA2805","Qvjlt",0,"cs","French Script MT",2,1,0,0,837.15
"AA2805","Ämter",1,"w","French Script MT",2,1,1.113943352,1,855.26
"AA2805","Menen",0,"pw","French Script MT",2,1,0,0,2304.76
"AA2805","Klage",1,"w","French Script MT",2,1,2.212187604,0,1656.99
"AA2805","Tdtds",0,"cs","French Script MT",2,1,0,0,1426.46
"AA2805","Getto",1,"w","French Script MT",2,1,1.079181246,1,2060.71
"AA2805","Spjtz",0,"cs","French Script MT",2,1,0,0,1519.13
"AA2805","Gonon",0,"pw","French Script MT",2,1,0,0,2381.86
"AA2805","Flegs",0,"pw","French Script MT",2,1,0,1,1866.62
"AA2805","Porno",1,"w","French Script MT",2,1,2,0,2125.3
"AA2805","Juden",1,"w","French Script MT",2,1,2.539076099,0,1379.7
"AA2805","Worte",1,"w","French Script MT",2,1,3.335658452,1,1608.84
"AA2805","Tücke",1,"w","French Script MT",2,1,0.903089987,0,1564.26
"AA2805","Pläne",1,"w","French Script MT",2,1,2.987666265,1,1737.35
"AA2805","Sofos",0,"pw","French Script MT",2,1,0,0,1879.08
"AA2805","Stött",0,"cs","French Script MT",2,1,0,0,2144.91
"AA2805","Essen",1,"w","French Script MT",2,1,3.736874362,1,1743.61
"AA2805","Blogs",1,"w","French Script MT",2,1,1.278753601,0,1286.05
"AA2805","Pause",1,"w","French Script MT",2,1,3.075546961,1,NA
"AA2805","Abtäs",0,"pw","French Script MT",2,1,0,0,1394.28
"AA2805","Löwen",1,"w","French Script MT",2,1,2.311753861,0,1837.3
"AA2805","Bluff",1,"w","French Script MT",2,1,1.86923172,0,2425
"AA2805","Staat",1,"w","French Script MT",2,1,2.780317312,1,2163.11
"AA2805","Frinz",0,"pw","French Script MT",2,1,0,1,1511.89
"AA2805","Heime",1,"w","French Script MT",2,1,1.041392685,0,1775.54
"AA2805","Kreuz",1,"w","Copperplate33bc",3,1,2.688419822,0,2013.99
"AA2805","Spott",1,"w","Copperplate33bc",3,1,1.633468456,1,1432.28
"AA2805","Hpckt",0,"cs","Copperplate33bc",3,1,0,0,1019.17
"AA2805","Wucht",1,"w","Copperplate33bc",3,1,1.716003344,0,973.42
"AA2805","Vokal",1,"w","Copperplate33bc",3,1,1,0,1116.04
"AA2805","Mvvsd",0,"cs","Copperplate33bc",3,1,0,0,763.07
"AA2805","Toton",0,"pw","Copperplate33bc",3,1,0,0,1079.53
"AA2805","Jemen",1,"w","Copperplate33bc",3,1,1.230448921,0,2841.54
"AA2805","Finte",1,"w","Copperplate33bc",3,1,1.230448921,0,1434.87
"AA2805","Nabal",0,"pw","Copperplate33bc",3,1,0,1,1190.64
"AA2805","Blama",0,"pw","Copperplate33bc",3,1,0,1,929.58
