,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,357.3176470588235,0.0,17.417987759148723,0.0,361.0,0.0,335.0,0.0,288.0,0.0,229.0,0.0,179.0,0.0,112.0,0.0,65.0,0.0,22.0,0.0,5.0,0.0,19.0,0.0,18.303005217723125,0.0,16.97056274847714,0.0,15.132745950421556,0.0,13.379088160259652,0.0,10.583005244258363,0.0,8.06225774829855,0.0,4.69041575982343,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,7.995488161698159,0.0,,,,,,,,,,,,,,,,,,,17.181833396639977,0.0,16.559106565306102,0.0,15.076350647244643,0.0,13.10958458905229,0.0,11.41383241211541,0.0,8.64534457510768,0.0,6.019969495898032,0.0,3.246533389582517,0.0,1.0561462101181271,0.0
Abend,424.53333333333336,0.0,19.08894980384228,0.0,438.0,0.0,410.0,0.0,354.0,0.0,288.0,0.0,200.0,0.0,117.0,0.0,63.0,0.0,36.0,0.0,14.0,0.0,20.92844953645635,0.0,20.248456731316587,0.0,18.81488772222678,0.0,16.97056274847714,0.0,14.142135623730951,0.0,10.816653826391969,0.0,7.937253933193772,0.0,6.0,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,3.8417621509793465,0.0,,,,,,,,,,,,,,,,,,,19.244998963454748,0.0,18.658230255571286,0.0,17.110906991199432,0.0,15.093781551228451,0.0,12.13735890378365,0.0,8.99897368821507,0.0,6.221166019901183,0.0,4.765264353052426,0.0,2.7099578847274852,0.0
Aboln,385.80784313725496,0.0,18.20417627450199,0.0,398.0,0.0,369.0,0.0,322.0,0.0,259.0,0.0,202.0,0.0,120.0,0.0,72.0,0.0,35.0,0.0,10.0,0.0,19.949937343260004,0.0,19.209372712298546,0.0,17.944358444926362,0.0,16.09347693943108,0.0,14.212670403551895,0.0,10.954451150103322,0.0,8.48528137423857,0.0,5.916079783099616,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,4.336582969896496,0.0,,,,,,,,,,,,,,,,,,,18.300477863096354,0.0,17.61372160956953,0.0,16.22818963754247,0.0,14.25510038668265,0.0,12.217158804697135,0.0,9.142167409396377,0.0,6.577179367695729,0.0,4.903132366791673,0.0,2.0178244437062,0.0
Abtäs,374.89019607843136,0.0,17.747932608618,0.0,388.0,0.0,351.0,0.0,293.0,0.0,235.0,0.0,172.0,0.0,113.0,0.0,61.0,0.0,28.0,0.0,11.0,0.0,19.697715603592208,0.0,18.734993995195193,0.0,17.11724276862369,0.0,15.329709716755891,0.0,13.114877048604,0.0,10.63014581273465,0.0,7.810249675906654,0.0,5.291502622129181,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,4.700552072910144,0.0,,,,,,,,,,,,,,,,,,,17.81444673114926,0.0,17.00335439234477,0.0,15.344980484741942,0.0,13.369824224128537,0.0,11.196957061355237,0.0,8.844471693149638,0.0,5.884022542724622,0.0,3.9380977993340847,0.0,2.4564654192910207,0.0
Acker,352.2705882352941,0.0,17.436157176560904,0.0,355.0,0.0,324.0,0.0,290.0,0.0,247.0,0.0,174.0,0.0,110.0,0.0,62.0,0.0,32.0,0.0,6.0,0.0,18.841443681416774,0.0,18.0,0.0,17.029386365926403,0.0,15.716233645501712,0.0,13.19090595827292,0.0,10.488088481701515,0.0,7.874007874011811,0.0,5.656854249492381,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,4.997674050259312,0.0,,,,,,,,,,,,,,,,,,,17.005854822754465,0.0,16.30181090691166,0.0,15.234234452435347,0.0,13.623779080046798,0.0,11.15407836621409,0.0,8.452451819277206,0.0,5.984025437355512,0.0,4.449080324887019,0.0,1.3014649623286498,0.0
Adern,379.69803921568626,0.0,18.124467352207354,0.0,377.0,0.0,353.0,0.0,312.0,0.0,251.0,0.0,182.0,0.0,104.0,0.0,56.0,0.0,27.0,0.0,13.0,0.0,19.4164878389476,0.0,18.788294228055936,0.0,17.663521732655695,0.0,15.84297951775486,0.0,13.490737563232042,0.0,10.198039027185569,0.0,7.483314773547883,0.0,5.196152422706632,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,4.598173415084885,0.0,,,,,,,,,,,,,,,,,,,17.736947751303525,0.0,17.18875057328689,0.0,15.95990517430798,0.0,13.988336665271527,0.0,11.41030948543179,0.0,8.30207431774967,0.0,5.7516655673346095,0.0,4.154311428668675,0.0,2.7548996378399946,0.0
Adler,355.85490196078433,0.0,17.58814173582129,0.0,359.0,0.0,331.0,0.0,290.0,0.0,240.0,0.0,170.0,0.0,121.0,0.0,74.0,0.0,41.0,0.0,16.0,0.0,18.947295321496416,0.0,18.193405398660254,0.0,17.029386365926403,0.0,15.491933384829668,0.0,13.038404810405298,0.0,11.0,0.0,8.602325267042627,0.0,6.4031242374328485,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,7.369332714216951,0.0,,,,,,,,,,,,,,,,,,,17.225051038020283,0.0,16.52357041612997,0.0,15.331060205890369,0.0,13.625100135893492,0.0,11.24973710146292,0.0,9.240829324666876,0.0,6.998405409261306,0.0,5.49086915788765,0.0,3.113069932140711,0.0
Adria,350.5450980392157,0.0,17.353909799043585,0.0,348.0,0.0,319.0,0.0,281.0,0.0,232.0,0.0,172.0,0.0,122.0,0.0,69.0,0.0,31.0,0.0,13.0,0.0,18.65475810617763,0.0,17.86057109949175,0.0,16.76305461424021,0.0,15.231546211727817,0.0,13.114877048604,0.0,11.045361017187261,0.0,8.306623862918075,0.0,5.5677643628300215,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,6.529231669158908,0.0,,,,,,,,,,,,,,,,,,,16.95773341025191,0.0,16.238201347813554,0.0,15.061300661190106,0.0,13.439119685316228,0.0,11.208975335620893,0.0,9.057300252162301,0.0,6.380443676049465,0.0,4.531877730959349,0.0,2.7548996378399946,0.0
Affen,359.964705882353,0.0,17.607111649070593,0.0,358.0,0.0,327.0,0.0,293.0,0.0,244.0,0.0,186.0,0.0,128.0,0.0,82.0,0.0,39.0,0.0,19.0,0.0,18.920887928424502,0.0,18.083141320025124,0.0,17.11724276862369,0.0,15.620499351813308,0.0,13.638181696985855,0.0,11.313708498984761,0.0,9.055385138137417,0.0,6.244997998398398,0.0,4.358898943540674,0.0,,,,,,,,,,,,,,,,,,,3.4530581709083537,0.0,,,,,,,,,,,,,,,,,,,17.183754021061553,0.0,16.521634996575067,0.0,15.541326405375953,0.0,13.756505971677148,0.0,11.670079307501238,0.0,9.417399600463158,0.0,7.3039279599018885,0.0,5.0618520396611855,0.0,3.327478344745513,0.0
Agenk,433.4980392156863,0.0,19.37423903083259,0.0,459.0,0.0,418.0,0.0,365.0,0.0,299.0,0.0,218.0,0.0,138.0,0.0,81.0,0.0,51.0,0.0,24.0,0.0,21.42428528562855,0.0,20.445048300260872,0.0,19.1049731745428,0.0,17.291616465790582,0.0,14.7648230602334,0.0,11.74734012447073,0.0,9.0,0.0,7.14142842854285,0.0,4.898979485566356,0.0,,,,,,,,,,,,,,,,,,,3.851386337444665,0.0,,,,,,,,,,,,,,,,,,,19.632559610316303,0.0,18.901761964054685,0.0,17.313787850186475,0.0,15.374838577182672,0.0,12.69381840407489,0.0,9.823357102205582,0.0,7.169985890946317,0.0,5.563953053657016,0.0,3.1963901911587955,0.0
