,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,357.3176470588235,0.0,17.417987759148723,0.0,364.82320303606105,0.0,358.0,0.0,331.0,0.0,298.0,0.0,238.0,0.0,179.0,0.0,125.0,0.0,78.0,0.0,39.0,0.0,13.0,0.0,13.068570931041698,0.0,18.920887928424502,0.0,18.193405398660254,0.0,17.26267650163207,0.0,15.427248620541512,0.0,13.379088160259652,0.0,11.180339887498949,0.0,8.831760866327848,0.0,6.244997998398398,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,8.978336142168823,0.0,,,,,,,,,,,,,,,,,,,,,13.068570931902311,0.0,17.074180701921474,0.0,16.329395071232145,0.0,15.423948534359889,0.0,13.386029586759939,0.0,11.205845716386596,0.0,9.195076690177139,0.0,6.96915955798563,0.0,4.249647910548024,0.0,2.5131220404370724,0.0
Abend,424.53333333333336,0.0,19.08894980384228,0.0,362.51707171429746,0.0,440.0,0.0,404.0,0.0,353.0,0.0,265.0,0.0,186.0,0.0,130.0,0.0,83.0,0.0,48.0,0.0,26.0,0.0,12.892583090953714,0.0,20.97617696340303,0.0,20.09975124224178,0.0,18.788294228055936,0.0,16.278820596099706,0.0,13.638181696985855,0.0,11.40175425099138,0.0,9.1104335791443,0.0,6.928203230275509,0.0,5.0990195135927845,0.0,,,,,,,,,,,,,,,,,,,,,3.6669838904586998,0.0,,,,,,,,,,,,,,,,,,,,,12.892583089982795,0.0,19.202016789641885,0.0,18.314629993695487,0.0,16.911731101856713,0.0,14.208813460942764,0.0,11.506947571945208,0.0,9.510140092432195,0.0,7.466025741804837,0.0,5.339198916346703,0.0,3.824677141917122,0.0
Aboln,385.80784313725496,0.0,18.20417627450199,0.0,389.68885051471614,0.0,406.0,0.0,374.0,0.0,335.0,0.0,267.0,0.0,191.0,0.0,142.0,0.0,98.0,0.0,61.0,0.0,27.0,0.0,13.852669570877868,0.0,20.149441679609886,0.0,19.339079605813716,0.0,18.303005217723125,0.0,16.34013463836819,0.0,13.820274961085254,0.0,11.916375287812984,0.0,9.899494936611665,0.0,7.810249675906654,0.0,5.196152422706632,0.0,,,,,,,,,,,,,,,,,,,,,5.104832311315125,0.0,,,,,,,,,,,,,,,,,,,,,13.852669591698529,0.0,18.254548441466227,0.0,17.54583846586552,0.0,16.535080657502764,0.0,14.347313351515648,0.0,11.756104483598143,0.0,9.966315723719811,0.0,8.021608867148197,0.0,6.077707050109864,0.0,4.234395071396904,0.0
Abtäs,374.89019607843136,0.0,17.747932608618,0.0,354.49773738383016,0.0,379.0,0.0,341.0,0.0,295.0,0.0,224.0,0.0,171.0,0.0,119.0,0.0,79.0,0.0,41.0,0.0,21.0,0.0,12.699106953207185,0.0,19.467922333931785,0.0,18.466185312619388,0.0,17.175564037317667,0.0,14.966629547095765,0.0,13.076696830622021,0.0,10.908712114635714,0.0,8.888194417315589,0.0,6.4031242374328485,0.0,4.58257569495584,0.0,,,,,,,,,,,,,,,,,,,,,5.618437742459879,0.0,,,,,,,,,,,,,,,,,,,,,12.699106960155724,0.0,17.468624396127108,0.0,16.666472717974045,0.0,15.289031485077007,0.0,12.988090312689192,0.0,11.047094954386347,0.0,8.94290418999536,0.0,7.040722339792561,0.0,4.5814423992881705,0.0,3.4292178771206325,0.0
Acker,352.2705882352941,0.0,17.436157176560904,0.0,346.8081292596769,0.0,351.0,0.0,318.0,0.0,279.0,0.0,216.0,0.0,160.0,0.0,112.0,0.0,68.0,0.0,38.0,0.0,6.0,0.0,12.407935431563311,0.0,18.734993995195193,0.0,17.832554500127006,0.0,16.703293088490067,0.0,14.696938456699069,0.0,12.649110640673518,0.0,10.583005244258363,0.0,8.246211251235321,0.0,6.164414002968976,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,,,5.342547779773224,0.0,,,,,,,,,,,,,,,,,,,,,12.407935432495721,0.0,16.814491482407647,0.0,15.969511634927382,0.0,14.776681544135997,0.0,12.758587432577066,0.0,10.52836391202741,0.0,8.673315055017508,0.0,6.499259114230272,0.0,4.624507353102235,0.0,1.2514173881761472,0.0
Adern,379.69803921568626,0.0,18.124467352207354,0.0,359.00259569014014,0.0,382.0,0.0,338.0,0.0,312.0,0.0,254.0,0.0,168.0,0.0,121.0,0.0,80.0,0.0,42.0,0.0,21.0,0.0,12.895366530943273,0.0,19.544820285692065,0.0,18.384776310850235,0.0,17.663521732655695,0.0,15.937377450509228,0.0,12.96148139681572,0.0,11.0,0.0,8.94427190999916,0.0,6.48074069840786,0.0,4.58257569495584,0.0,,,,,,,,,,,,,,,,,,,,,5.358196402145552,0.0,,,,,,,,,,,,,,,,,,,,,12.895366528796353,0.0,17.645399905614795,0.0,16.602610445845336,0.0,15.88853244762065,0.0,13.927799632399468,0.0,10.807388195345432,0.0,9.039766970166601,0.0,7.0947899157523695,0.0,4.953268812579282,0.0,3.781421671730789,0.0
Adler,355.85490196078433,0.0,17.58814173582129,0.0,359.2304031343398,0.0,352.0,0.0,315.0,0.0,280.0,0.0,217.0,0.0,163.0,0.0,128.0,0.0,88.0,0.0,48.0,0.0,27.0,0.0,12.908857275746042,0.0,18.76166303929372,0.0,17.74823934929885,0.0,16.73320053068151,0.0,14.730919862656235,0.0,12.767145334803704,0.0,11.313708498984761,0.0,9.38083151964686,0.0,6.928203230275509,0.0,5.196152422706632,0.0,,,,,,,,,,,,,,,,,,,,,8.34121285089058,0.0,,,,,,,,,,,,,,,,,,,,,12.908857280958685,0.0,16.891686777813103,0.0,15.967795999972827,0.0,14.901654653701408,0.0,12.89658594225517,0.0,10.791667071974011,0.0,9.553810146199988,0.0,7.853589333149345,0.0,5.899081752479294,0.0,4.3914262752977695,0.0
Adria,350.5450980392157,0.0,17.353909799043585,0.0,374.8342535466776,0.0,351.0,0.0,313.0,0.0,286.0,0.0,237.0,0.0,174.0,0.0,138.0,0.0,93.0,0.0,54.0,0.0,25.0,0.0,13.48476828811477,0.0,18.734993995195193,0.0,17.69180601295413,0.0,16.911534525287763,0.0,15.394804318340652,0.0,13.19090595827292,0.0,11.74734012447073,0.0,9.643650760992955,0.0,7.3484692283495345,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,7.407999808807258,0.0,,,,,,,,,,,,,,,,,,,,,13.484768318975256,0.0,16.851647179374286,0.0,15.90679570955736,0.0,15.12689190114786,0.0,13.45173438396368,0.0,11.063508202067357,0.0,9.700090911396291,0.0,7.660080574348359,0.0,5.666475246870466,0.0,4.181584879113616,0.0
Affen,359.964705882353,0.0,17.607111649070593,0.0,349.35095821208756,0.0,356.0,0.0,307.0,0.0,275.0,0.0,209.0,0.0,155.0,0.0,130.0,0.0,85.0,0.0,40.0,0.0,20.0,0.0,12.647854969151199,0.0,18.867962264113206,0.0,17.52141546793523,0.0,16.583123951777,0.0,14.45683229480096,0.0,12.449899597988733,0.0,11.40175425099138,0.0,9.219544457292887,0.0,6.324555320336759,0.0,4.47213595499958,0.0,,,,,,,,,,,,,,,,,,,,,3.3487643372904983,0.0,,,,,,,,,,,,,,,,,,,,,12.647854965289122,0.0,16.841733181270666,0.0,15.773990556180967,0.0,14.77120185341168,0.0,12.644618179452173,0.0,10.518418707618387,0.0,9.604384892047332,0.0,7.497029861829626,0.0,4.917257159438975,0.0,3.3487746731414796,0.0
Agenk,433.4980392156863,0.0,19.37423903083259,0.0,377.8300476065805,0.0,465.0,0.0,410.0,0.0,352.0,0.0,267.0,0.0,196.0,0.0,145.0,0.0,97.0,0.0,64.0,0.0,40.0,0.0,13.440509869091203,0.0,21.563858652847824,0.0,20.248456731316587,0.0,18.76166303929372,0.0,16.34013463836819,0.0,14.0,0.0,12.041594578792296,0.0,9.848857801796104,0.0,8.0,0.0,6.324555320336759,0.0,,,,,,,,,,,,,,,,,,,,,3.569862921777689,0.0,,,,,,,,,,,,,,,,,,,,,13.440509867306163,0.0,19.62948191995462,0.0,18.411306745692883,0.0,16.873531845895464,0.0,14.326976302039087,0.0,12.055704933996632,0.0,10.21648036579678,0.0,8.033130414384733,0.0,6.222310400635934,0.0,4.775227725540596,0.0
