,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,356.96911968871154,0.0,17.31007198207275,0.0,9.600813972765508,0.0
Abend,423.50285539759113,0.0,18.97519614088333,0.0,9.421291623338533,0.0
Aboln,385.49640477086456,0.0,18.101556636182693,0.0,10.787367047926862,0.0
Abtäs,374.3385508452698,0.0,17.6386317445271,0.0,8.640965721003589,0.0
Acker,351.8669026689547,0.0,17.324752025833053,0.0,8.484548090492261,0.0
Adern,378.941746465521,0.0,18.01180312744085,0.0,8.628555276471783,0.0
Adler,355.83916083986776,0.0,17.48726743504922,0.0,10.471676896746363,0.0
Adria,350.4184595046728,0.0,17.25226176236434,0.0,9.658809269529822,0.0
Affen,359.9405448130673,0.0,17.510049884531863,0.0,12.290695061267408,0.0
Agenk,432.39345026828244,0.0,19.25853384092706,0.0,10.469025407068784,0.0
Agent,391.8978284652218,0.0,18.25131043240401,0.0,10.133828519500845,0.0
Ahnen,405.8526037919246,0.0,18.689094945423918,0.0,8.390849367508656,0.0
Aigön,398.03728537727784,0.0,18.36779180077651,0.0,11.009220213892975,0.0
Akkus,409.8498572084633,0.0,18.75118422328503,0.0,9.075168757076721,0.0
Aktie,347.83203068025966,0.0,17.233347987646685,0.0,9.35191433005387,0.0
Alahn,387.48648376020634,0.0,18.253274960957075,0.0,10.697462922401499,0.0
Alarm,383.6543937650921,0.0,18.113596845145093,0.0,12.088256799174317,0.0
Alben,382.05944849800915,0.0,18.056254779911658,0.0,10.47900313897152,0.0
Algen,393.14747586520343,0.0,18.363351683589823,0.0,11.967277748882058,0.0
Alibi,329.9512359107997,0.0,16.75920348037452,0.0,12.336518996368408,0.0
Allas,325.03273889569886,0.0,16.641592107365252,0.0,11.874928761171791,0.0
Alpen,384.12639626526686,0.0,18.18615123288824,0.0,11.172175464783605,0.0
Altar,317.9069121466247,0.0,16.437603540336287,0.0,10.644929996161736,0.0
Alten,341.72515433153256,0.0,17.102246337506728,0.0,9.982668696596031,0.0
Alter,313.28204733530515,0.0,16.363995980150627,0.0,10.315810007177156,0.0
Amche,422.52125424476606,0.0,18.99208727971889,0.0,9.930285425433503,0.0
Amtig,414.44473201505207,0.0,18.773397674318286,0.0,12.478526771194227,0.0
Andam,453.48852769006294,0.0,19.667157861741998,0.0,10.073261687642624,0.0
Anein,355.8644727942988,0.0,17.44882467120483,0.0,8.350984072672613,0.0
Angel,393.0849370093649,0.0,18.361757108751064,0.0,11.872410114598459,0.0
Angst,383.5044998451309,0.0,18.00842173104798,0.0,10.194586789188758,0.0
Angur,398.6044253066668,0.0,18.457850796974558,0.0,10.358719841448123,0.0
Anker,376.7274304730935,0.0,18.001102440143764,0.0,8.307667980263924,0.0
Anmas,412.5816849865197,0.0,18.69008963097445,0.0,9.378187541598496,0.0
Anmut,417.1190043845591,0.0,18.866501021742376,0.0,9.846629479367575,0.0
Annag,420.74505931362035,0.0,18.923858025579356,0.0,9.964921975985206,0.0
Anper,378.6610158374525,0.0,18.01497682240949,0.0,9.250918500631965,0.0
Antus,353.1252564946715,0.0,17.282345414344046,0.0,7.968638001761633,0.0
Anzug,412.3799981310474,0.0,18.790307504168084,0.0,9.811775214488623,0.0
Apfel,369.5171953608903,0.0,17.80847614026134,0.0,13.257169475462199,0.0
Arahn,382.1201848771643,0.0,18.085398423987137,0.0,8.965257000008428,0.0
Arcer,307.2647913119113,0.0,16.136005322648728,0.0,8.475722260006355,0.0
Arche,352.58277277303654,0.0,17.34144388573729,0.0,8.699281913656145,0.0
Ardal,360.61421874294155,0.0,17.559824093817085,0.0,11.073636832030513,0.0
Arena,351.14312397230304,0.0,17.269957552057704,0.0,8.291115006524931,0.0
Argon,391.3085472526492,0.0,18.243449220139762,0.0,10.571672022473178,0.0
Arier,299.0464331256195,0.0,15.972786649907087,0.0,9.12140464029146,0.0
Arman,406.7376138096164,0.0,18.61995392791509,0.0,9.972711370757528,0.0
Armee,387.99361231455475,0.0,18.19620951844385,0.0,9.534602224036007,0.0
Armen,402.11274899829687,0.0,18.55500575496517,0.0,9.643591381772946,0.0
Armöt,392.8036095868734,0.0,18.232156415852714,0.0,10.293169071869581,0.0
Aroma,396.1467584675249,0.0,18.309368535586767,0.0,10.212111557439801,0.0
Arten,336.3588554484905,0.0,16.922955390321636,0.0,8.250462774202958,0.0
Artis,294.8502434935784,0.0,15.760489443924314,0.0,9.05048985581561,0.0
Asien,333.41917483108233,0.0,16.8086087973242,0.0,8.295222443984157,0.0
Astän,358.33699701651017,0.0,17.32830227646611,0.0,7.70667676092813,0.0
Athen,381.680039485757,0.0,18.075773040637397,0.0,8.60899240313322,0.0
Atmen,406.3005354374816,0.0,18.610682552992543,0.0,9.676440958336823,0.0
Augen,412.91170231208383,0.0,18.767288450668172,0.0,9.905710887405517,0.0
Aurer,328.8690563196458,0.0,16.75444237091786,0.0,8.318078633556173,0.0
Autor,336.57364405267344,0.0,16.866830176779835,0.0,8.590843341684808,0.0
Babys,406.9782648350962,0.0,18.427284142939772,0.0,8.260066063851697,0.0
Backe,393.8970506591538,0.0,18.269381595029497,0.0,6.929241188043088,0.0
Bahre,391.0261368354145,0.0,18.26284462115209,0.0,7.1747132610575575,0.0
Banco,381.20177238280223,0.0,17.89816219544352,0.0,6.761890216876148,0.0
Banda,425.6299730119629,0.0,18.986080420683226,0.0,7.242066709731793,0.0
Bande,421.0060954893446,0.0,18.92229752907247,0.0,6.9135263625073,0.0
Bands,412.6252778985348,0.0,18.688128274383526,0.0,6.950184043424902,0.0
Banja,383.5400024086457,0.0,18.00507665599062,0.0,8.35828673756127,0.0
Banjo,382.44940233750754,0.0,17.985731099330764,0.0,8.383921391160007,0.0
Bantu,389.2686615809429,0.0,18.1557975089926,0.0,6.91107715302824,0.0
Barde,392.5676171996419,0.0,18.258281565107573,0.0,7.19453221200742,0.0
Bares,351.66280110187233,0.0,17.20160020973163,0.0,6.57439022712463,0.0
Bargs,392.9388204174582,0.0,18.198131987374612,0.0,8.826458355040856,0.0
Barke,390.37079033696585,0.0,18.248620053892683,0.0,7.100958500676374,0.0
Basam,426.2401655572571,0.0,18.928752696289653,0.0,8.357613641900183,0.0
Basar,356.3070404896149,0.0,17.27194331591273,0.0,7.009407104080337,0.0
Basen,380.12528267452285,0.0,17.90564284094789,0.0,6.347145804514632,0.0
Basis,338.6166707196107,0.0,16.811265684558734,0.0,7.147172886127282,0.0
Batik,375.56683702719374,0.0,17.86356316151771,0.0,8.202973055304952,0.0
Bauch,405.5117086247891,0.0,18.547305859891768,0.0,7.612761704058549,0.0
Bauda,422.4462926145429,0.0,18.89400263005916,0.0,7.4877330393871615,0.0
Bauts,366.7572337301819,0.0,17.539678468273934,0.0,6.849481888332827,0.0
Bcckt,368.4073861044765,0.0,17.6414748347844,0.0,7.429037084907473,0.0
Bcdfw,426.6274338603018,0.0,18.985207637012213,0.0,10.351610263636822,0.0
Bdhnf,446.95680835777796,0.0,19.599206737012924,0.0,10.067464554824971,0.0
Beben,414.07696063271294,0.0,18.73774416781391,0.0,6.8131118937838595,0.0
Beere,355.4656824393185,0.0,17.387470533798208,0.0,6.333279536388489,0.0
Beete,359.6334140932346,0.0,17.44663066928394,0.0,6.268574567101738,0.0
Beine,364.8634925660734,0.0,17.635014470685633,0.0,6.816334799635867,0.0
Bekem,455.7003411070265,0.0,19.763155188740914,0.0,8.244381547628874,0.0
Betel,350.7024010419848,0.0,17.29142070735797,0.0,8.476308091857536,0.0
Beule,371.7285106741486,0.0,17.8349700666901,0.0,8.214228617467707,0.0
Beuns,386.4295707316502,0.0,18.107172560342455,0.0,6.343687893056898,0.0
Bezug,421.41978369733806,0.0,18.964193031228934,0.0,8.400282244033725,0.0
Bgrkq,456.7263476484263,0.0,19.787599403305475,0.0,10.996503578749673,0.0
Bgtts,382.3669996154391,0.0,17.927773684059378,0.0,8.794306817591057,0.0
Bhrps,410.3040828250457,0.0,18.738726925539275,0.0,8.709774466487831,0.0
Bhthl,412.69400712835824,0.0,18.88583022415395,0.0,10.089251521477877,0.0
Bhwxz,437.46039236896326,0.0,19.33598513235147,0.0,8.022070094400531,0.0
Bibel,372.1069505019931,0.0,17.793732837421796,0.0,10.09944097745922,0.0
Biegi,373.1656896571517,0.0,17.810858041267355,0.0,10.429497237290873,0.0
Biere,336.53593773285024,0.0,16.923543449469296,0.0,7.4600779796146846,0.0
Biest,332.3624687459959,0.0,16.723917993960796,0.0,7.6756383020513885,0.0
Binde,397.4790444101486,0.0,18.432069222304584,0.0,7.774216041053453,0.0
Blama,425.7502880218932,0.0,19.020414449091287,0.0,10.604052246808314,0.0
Blete,350.76482039773896,0.0,17.293268522882254,0.0,8.590476842197038,0.0
Bljts,332.7899592944468,0.0,16.81106611065093,0.0,10.36170844194518,0.0
Bllly,353.7530685455507,0.0,17.48435506695775,0.0,13.386093190394902,0.0
Bllsd,376.12947359574173,0.0,17.971639679195835,0.0,11.17947545586957,0.0
Block,383.9749986361839,0.0,18.104728035573004,0.0,9.582776893404045,0.0
Blogs,397.32914385969036,0.0,18.348895082125473,0.0,10.863796744370369,0.0
Bloht,385.2869900328257,0.0,18.154980354879175,0.0,9.76228160845795,0.0
Bluff,370.970634154034,0.0,17.817005268696455,0.0,13.51123837678205,0.0
Blume,427.4366726489838,0.0,19.147608497860844,0.0,10.25490376375701,0.0
Bluse,363.4719138627263,0.0,17.58952325716455,0.0,8.627362458600382,0.0
Blöße,423.1999833826044,0.0,18.93530306503288,0.0,9.532994719126894,0.0
Bmlll,398.6160644244867,0.0,18.60513720182696,0.0,13.910423864533106,0.0
Boden,419.90623761549404,0.0,18.90427075993487,0.0,6.92550005655929,0.0
Bogen,428.65779524178186,0.0,19.07832359899577,0.0,8.57558568045151,0.0
Bohne,418.3590127326735,0.0,18.908111688745244,0.0,6.87841347325199,0.0
