,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,357.3176470588235,0.0,17.417987759148723,0.0,358.0,0.0,331.0,0.0,298.0,0.0,238.0,0.0,179.0,0.0,125.0,0.0,78.0,0.0,39.0,0.0,13.0,0.0,18.920887928424502,0.0,18.193405398660254,0.0,17.26267650163207,0.0,15.427248620541512,0.0,13.379088160259652,0.0,11.180339887498949,0.0,8.831760866327848,0.0,6.244997998398398,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,8.981412940229793,0.0,,,,,,,,,,,,,,,,,,,17.016583261299502,0.0,16.28512713597209,0.0,15.396928715850663,0.0,13.349528635636858,0.0,11.177568131850002,0.0,9.177782328321316,0.0,6.9327736571775676,0.0,4.201765739598388,0.0,2.485804521324934,0.0
Abend,424.53333333333336,0.0,19.08894980384228,0.0,440.0,0.0,403.0,0.0,353.0,0.0,265.0,0.0,186.0,0.0,130.0,0.0,83.0,0.0,48.0,0.0,26.0,0.0,20.97617696340303,0.0,20.074859899884732,0.0,18.788294228055936,0.0,16.278820596099706,0.0,13.638181696985855,0.0,11.40175425099138,0.0,9.1104335791443,0.0,6.928203230275509,0.0,5.0990195135927845,0.0,,,,,,,,,,,,,,,,,,,3.6665967876601977,0.0,,,,,,,,,,,,,,,,,,,19.142340657355277,0.0,18.238838329359126,0.0,16.88278290297379,0.0,14.182038907121838,0.0,11.48771776410379,0.0,9.490076952719626,0.0,7.421671276434283,0.0,5.288731429932127,0.0,3.789509155617403,0.0
Aboln,385.80784313725496,0.0,18.20417627450199,0.0,406.0,0.0,373.0,0.0,335.0,0.0,267.0,0.0,191.0,0.0,142.0,0.0,98.0,0.0,61.0,0.0,27.0,0.0,20.149441679609886,0.0,19.313207915827967,0.0,18.303005217723125,0.0,16.34013463836819,0.0,13.820274961085254,0.0,11.916375287812984,0.0,9.899494936611665,0.0,7.810249675906654,0.0,5.196152422706632,0.0,,,,,,,,,,,,,,,,,,,5.107129126616634,0.0,,,,,,,,,,,,,,,,,,,18.189449482387957,0.0,17.470282416837243,0.0,16.510233159963008,0.0,14.323114820146639,0.0,11.744203694562586,0.0,9.949965125441253,0.0,7.990061764016079,0.0,6.0442910762180295,0.0,4.216835458796802,0.0
Abtäs,374.89019607843136,0.0,17.747932608618,0.0,379.0,0.0,341.0,0.0,295.0,0.0,224.0,0.0,171.0,0.0,119.0,0.0,79.0,0.0,41.0,0.0,21.0,0.0,19.467922333931785,0.0,18.466185312619388,0.0,17.175564037317667,0.0,14.966629547095765,0.0,13.076696830622021,0.0,10.908712114635714,0.0,8.888194417315589,0.0,6.4031242374328485,0.0,4.58257569495584,0.0,,,,,,,,,,,,,,,,,,,5.621428308582225,0.0,,,,,,,,,,,,,,,,,,,17.40703085606796,0.0,16.61686892872204,0.0,15.25630874679354,0.0,12.96505884848844,0.0,11.034115126603883,0.0,8.926732629836645,0.0,7.0103376926264795,0.0,4.53594346630399,0.0,3.406877363716646,0.0
Acker,352.2705882352941,0.0,17.436157176560904,0.0,351.0,0.0,318.0,0.0,279.0,0.0,216.0,0.0,160.0,0.0,112.0,0.0,68.0,0.0,38.0,0.0,6.0,0.0,18.734993995195193,0.0,17.832554500127006,0.0,16.703293088490067,0.0,14.696938456699069,0.0,12.649110640673518,0.0,10.583005244258363,0.0,8.246211251235321,0.0,6.164414002968976,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,5.345017699655092,0.0,,,,,,,,,,,,,,,,,,,16.75051535731218,0.0,15.91953359712478,0.0,14.735654600708504,0.0,12.727537438844474,0.0,10.492384445903319,0.0,8.644913705812197,0.0,6.460754890089968,0.0,4.599602256089602,0.0,1.2511532164824384,0.0
Adern,379.69803921568626,0.0,18.124467352207354,0.0,382.0,0.0,337.0,0.0,312.0,0.0,254.0,0.0,168.0,0.0,121.0,0.0,80.0,0.0,42.0,0.0,21.0,0.0,19.544820285692065,0.0,18.35755975068582,0.0,17.663521732655695,0.0,15.937377450509228,0.0,12.96148139681572,0.0,11.0,0.0,8.94427190999916,0.0,6.48074069840786,0.0,4.58257569495584,0.0,,,,,,,,,,,,,,,,,,,5.360477371311363,0.0,,,,,,,,,,,,,,,,,,,17.57679595749024,0.0,16.528031809831308,0.0,15.85936333229927,0.0,13.910391468829003,0.0,10.791172662331219,0.0,9.030492156648739,0.0,7.071759516233275,0.0,4.927956633405174,0.0,3.7718637809188893,0.0
Adler,355.85490196078433,0.0,17.58814173582129,0.0,352.0,0.0,315.0,0.0,280.0,0.0,217.0,0.0,163.0,0.0,128.0,0.0,88.0,0.0,48.0,0.0,27.0,0.0,18.76166303929372,0.0,17.74823934929885,0.0,16.73320053068151,0.0,14.730919862656235,0.0,12.767145334803704,0.0,11.313708498984761,0.0,9.38083151964686,0.0,6.928203230275509,0.0,5.196152422706632,0.0,,,,,,,,,,,,,,,,,,,8.344213356767588,0.0,,,,,,,,,,,,,,,,,,,16.811465746304375,0.0,15.918418671352377,0.0,14.86316556035553,0.0,12.873800521983846,0.0,10.772812708647002,0.0,9.543451768351414,0.0,7.823644686617767,0.0,5.87543505412243,0.0,4.360559634473265,0.0
Adria,350.5450980392157,0.0,17.353909799043585,0.0,351.0,0.0,312.0,0.0,286.0,0.0,237.0,0.0,174.0,0.0,138.0,0.0,93.0,0.0,54.0,0.0,25.0,0.0,18.734993995195193,0.0,17.663521732655695,0.0,16.911534525287763,0.0,15.394804318340652,0.0,13.19090595827292,0.0,11.74734012447073,0.0,9.643650760992955,0.0,7.3484692283495345,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,7.410447026699689,0.0,,,,,,,,,,,,,,,,,,,16.760035593972333,0.0,15.821651219963847,0.0,15.087691926427587,0.0,13.427773236283755,0.0,11.044879857644466,0.0,9.685782384636976,0.0,7.620822605320412,0.0,5.643442256014461,0.0,4.172356503684095,0.0
Affen,359.964705882353,0.0,17.607111649070593,0.0,356.0,0.0,306.0,0.0,275.0,0.0,209.0,0.0,155.0,0.0,130.0,0.0,85.0,0.0,40.0,0.0,20.0,0.0,18.867962264113206,0.0,17.4928556845359,0.0,16.583123951777,0.0,14.45683229480096,0.0,12.449899597988733,0.0,11.40175425099138,0.0,9.219544457292887,0.0,6.324555320336759,0.0,4.47213595499958,0.0,,,,,,,,,,,,,,,,,,,3.3490725559655496,0.0,,,,,,,,,,,,,,,,,,,16.76941775329166,0.0,15.70576339785153,0.0,14.751389741084662,0.0,12.612738026891208,0.0,10.47221955084603,0.0,9.554358417728892,0.0,7.401462960383612,0.0,4.882168328620762,0.0,3.3143827631828833,0.0
Agenk,433.4980392156863,0.0,19.37423903083259,0.0,465.0,0.0,409.0,0.0,352.0,0.0,267.0,0.0,196.0,0.0,145.0,0.0,97.0,0.0,64.0,0.0,40.0,0.0,21.563858652847824,0.0,20.223748416156685,0.0,18.76166303929372,0.0,16.34013463836819,0.0,14.0,0.0,12.041594578792296,0.0,9.848857801796104,0.0,8.0,0.0,6.324555320336759,0.0,,,,,,,,,,,,,,,,,,,3.569348656212972,0.0,,,,,,,,,,,,,,,,,,,19.567436716935692,0.0,18.326394231771197,0.0,16.840169162311618,0.0,14.309042363423016,0.0,12.040762651103954,0.0,10.209891396904412,0.0,8.013770321605188,0.0,6.19771675692799,0.0,4.766405651879732,0.0
