,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,357.3176470588235,0.0,17.41798775914872,0.0,417.33767589858417,0.0,381.0,0.0,354.0,0.0,322.0,0.0,291.0,0.0,239.0,0.0,180.0,0.0,101.0,0.0,35.0,0.0,12.0,0.0,13.942305318953299,0.0,19.519221295943137,0.0,18.81488772222678,0.0,17.944358444926362,0.0,17.05872210923198,0.0,15.459624833740307,0.0,13.416407864998739,0.0,10.04987562112089,0.0,5.916079783099616,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,,,2.4812358557555556,0.0,,,,,,,,,,,,,,,,,,,,,13.941887277866908,0.0,19.488500829021678,0.0,18.78523145827566,0.0,17.91849536979081,0.0,17.024184860639892,0.0,15.41844323431723,0.0,13.368023877035345,0.0,9.979422933916213,0.0,5.831623776887408,0.0,3.412627420552238,0.0
Abend,424.53333333333336,0.0,19.08894980384228,0.0,443.56034768525706,0.0,458.0,0.0,421.0,0.0,386.0,0.0,341.0,0.0,292.0,0.0,203.0,0.0,129.0,0.0,78.0,0.0,38.0,0.0,14.809918895737079,0.0,21.400934559032695,0.0,20.518284528683193,0.0,19.6468827043885,0.0,18.466185312619388,0.0,17.08800749063506,0.0,14.247806848775006,0.0,11.357816691600547,0.0,8.831760866327848,0.0,6.164414002968976,0.0,,,,,,,,,,,,,,,,,,,,,3.3894320137324505,0.0,,,,,,,,,,,,,,,,,,,,,14.809912153356112,0.0,21.343754589183767,0.0,20.475787114347057,0.0,19.602355793772738,0.0,18.41083647157556,0.0,17.033841386473963,0.0,14.173826411949769,0.0,11.248954961663735,0.0,8.7331683875205,0.0,6.039258121792045,0.0
Aboln,385.80784313725485,0.0,18.20417627450199,0.0,436.90996676673456,0.0,407.0,0.0,375.0,0.0,347.0,0.0,308.0,0.0,274.0,0.0,216.0,0.0,140.0,0.0,48.0,0.0,26.0,0.0,14.662823671885944,0.0,20.174241001832016,0.0,19.364916731037084,0.0,18.627936010197157,0.0,17.549928774784245,0.0,16.55294535724685,0.0,14.696938456699069,0.0,11.832159566199232,0.0,6.928203230275509,0.0,5.0990195135927845,0.0,,,,,,,,,,,,,,,,,,,,,2.073865260976673,0.0,,,,,,,,,,,,,,,,,,,,,14.662517600454832,0.0,20.14832054226995,0.0,19.341965210037735,0.0,18.613438438528053,0.0,17.53300022162739,0.0,16.52764971904962,0.0,14.659954163053978,0.0,11.769178008477493,0.0,6.857256008870313,0.0,5.072321286132091,0.0
Abtäs,374.89019607843136,0.0,17.747932608618,0.0,411.98559712227313,0.0,405.0,0.0,366.0,0.0,336.0,0.0,295.0,0.0,234.0,0.0,164.0,0.0,91.0,0.0,40.0,0.0,18.0,0.0,13.746845294595479,0.0,20.12461179749811,0.0,19.131126469708992,0.0,18.33030277982336,0.0,17.175564037317667,0.0,15.297058540778355,0.0,12.806248474865697,0.0,9.539392014169456,0.0,6.324555320336759,0.0,4.242640687119285,0.0,,,,,,,,,,,,,,,,,,,,,2.258052081031816,0.0,,,,,,,,,,,,,,,,,,,,,13.745191764144984,0.0,20.088428008861598,0.0,19.092756195925055,0.0,18.293365184430026,0.0,17.119417814412003,0.0,15.235357261183363,0.0,12.74698549628337,0.0,9.420346480819996,0.0,6.22883134368173,0.0,4.205113398520448,0.0
Acker,352.2705882352941,0.0,17.4361571765609,0.0,415.8635571738426,0.0,361.0,0.0,334.0,0.0,316.0,0.0,280.0,0.0,239.0,0.0,189.0,0.0,117.0,0.0,36.0,0.0,17.0,0.0,14.060910487704055,0.0,19.0,0.0,18.275666882497067,0.0,17.776388834631177,0.0,16.73320053068151,0.0,15.459624833740307,0.0,13.74772708486752,0.0,10.816653826391969,0.0,6.0,0.0,4.123105625617661,0.0,,,,,,,,,,,,,,,,,,,,,2.326566413106774,0.0,,,,,,,,,,,,,,,,,,,,,14.060913443042596,0.0,18.97613682588604,0.0,18.258371284723413,0.0,17.760286317209392,0.0,16.70699240490262,0.0,15.428085050143626,0.0,13.709103226993914,0.0,10.765006893031451,0.0,5.946489063820639,0.0,4.1038460837342665,0.0
Adern,379.69803921568626,0.0,18.124467352207354,0.0,411.2133847633779,0.0,393.0,0.0,360.0,0.0,329.0,0.0,302.0,0.0,250.0,0.0,184.0,0.0,109.0,0.0,59.0,0.0,8.0,0.0,13.913766654115864,0.0,19.82422760159901,0.0,18.973665961010276,0.0,18.138357147217054,0.0,17.378147196982766,0.0,15.811388300841896,0.0,13.564659966250536,0.0,10.44030650891055,0.0,7.681145747868608,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,2.869209759392202,0.0,,,,,,,,,,,,,,,,,,,,,13.913727990134868,0.0,19.78960337190645,0.0,18.946162875873643,0.0,18.10578531700061,0.0,17.345431673796412,0.0,15.772256385040025,0.0,13.498399182187095,0.0,10.365170288727535,0.0,7.567338292669295,0.0,2.7872474502723175,0.0
Adler,355.8549019607843,0.0,17.58814173582129,0.0,410.29876351696237,0.0,372.0,0.0,339.0,0.0,316.0,0.0,281.0,0.0,231.0,0.0,159.0,0.0,98.0,0.0,44.0,0.0,23.0,0.0,13.747454543866102,0.0,19.28730152198591,0.0,18.411952639521967,0.0,17.776388834631177,0.0,16.76305461424021,0.0,15.198684153570664,0.0,12.609520212918492,0.0,9.899494936611665,0.0,6.6332495807108,0.0,4.795831523312719,0.0,,,,,,,,,,,,,,,,,,,,,3.15248514825154,0.0,,,,,,,,,,,,,,,,,,,,,13.74755044594186,0.0,19.267880483095645,0.0,18.39393439828827,0.0,17.75761457506922,0.0,16.742436155530513,0.0,15.168894756995044,0.0,12.561919101573281,0.0,9.867864836215173,0.0,6.6236689187474385,0.0,4.7494203762588585,0.0
Adria,350.54509803921565,0.0,17.353909799043585,0.0,417.6793091506147,0.0,368.0,0.0,334.0,0.0,307.0,0.0,274.0,0.0,231.0,0.0,187.0,0.0,123.0,0.0,44.0,0.0,12.0,0.0,14.053732842800448,0.0,19.183326093250876,0.0,18.275666882497067,0.0,17.52141546793523,0.0,16.55294535724685,0.0,15.198684153570664,0.0,13.674794331177344,0.0,11.090536506409418,0.0,6.6332495807108,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,,,2.3038815070177203,0.0,,,,,,,,,,,,,,,,,,,,,14.053777032609606,0.0,19.15402843897297,0.0,18.254387318167336,0.0,17.49839926202487,0.0,16.52645044477509,0.0,15.162648609231947,0.0,13.644433114793095,0.0,11.04069946220401,0.0,6.591195131871906,0.0,3.416075979930232,0.0
Affen,359.964705882353,0.0,17.607111649070593,0.0,415.35766174102446,0.0,366.0,0.0,338.0,0.0,315.0,0.0,288.0,0.0,245.0,0.0,185.0,0.0,110.0,0.0,49.0,0.0,23.0,0.0,14.041918230606944,0.0,19.131126469708992,0.0,18.384776310850235,0.0,17.74823934929885,0.0,16.97056274847714,0.0,15.652475842498529,0.0,13.601470508735444,0.0,10.488088481701515,0.0,7.0,0.0,4.795831523312719,0.0,,,,,,,,,,,,,,,,,,,,,3.682829905681065,0.0,,,,,,,,,,,,,,,,,,,,,14.041931035875162,0.0,19.11376445011604,0.0,18.362793671192243,0.0,17.73104028760148,0.0,16.95306474525408,0.0,15.631799498424554,0.0,13.575429735248681,0.0,10.45869346152041,0.0,6.952283301109459,0.0,4.744669318600718,0.0
Agenk,433.4980392156863,0.0,19.37423903083259,0.0,452.17528649795395,0.0,459.0,0.0,426.0,0.0,388.0,0.0,357.0,0.0,302.0,0.0,221.0,0.0,143.0,0.0,83.0,0.0,36.0,0.0,15.13727575745396,0.0,21.42428528562855,0.0,20.639767440550294,0.0,19.697715603592208,0.0,18.894443627691185,0.0,17.378147196982766,0.0,14.866068747318506,0.0,11.958260743101398,0.0,9.1104335791443,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,2.8714876987859332,0.0,,,,,,,,,,,,,,,,,,,,,15.109634988530571,0.0,21.269845419804412,0.0,20.50855259196147,0.0,19.559920427161657,0.0,18.768301951777485,0.0,17.241921609332085,0.0,14.701865980802856,0.0,11.757635175965987,0.0,8.840191295355405,0.0,5.612410295258331,0.0
