,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,356.91325561468955,0.0,17.31081451210482,0.0,9.399550117903111,0.0
Abend,423.2563909893138,0.0,18.97150552660408,0.0,8.884328346554305,0.0
Aboln,385.4231541834432,0.0,18.101505335831593,0.0,10.68113693633502,0.0
Abtäs,374.1405945351778,0.0,17.635683701736536,0.0,8.302116721832764,0.0
Acker,351.48086083789804,0.0,17.31667187178544,0.0,7.695411268713116,0.0
Adern,378.77719824573967,0.0,18.009917308787337,0.0,8.291662180453429,0.0
Adler,355.54974998734826,0.0,17.48275860426064,0.0,9.88852477899995,0.0
Adria,350.2830086347399,0.0,17.25075203393803,0.0,9.432919931985813,0.0
Affen,359.4312495679028,0.0,17.499175757371763,0.0,11.461999052095768,0.0
Agenk,432.0712557802889,0.0,19.25213146733238,0.0,9.685539451458908,0.0
Agent,391.5449137328266,0.0,18.243991301386146,0.0,9.297641722689319,0.0
Ahnen,405.6315343844591,0.0,18.68557428495409,0.0,7.876504797868055,0.0
Aigön,397.4987632322036,0.0,18.357044365497007,0.0,9.97393628346995,0.0
Akkus,409.6167801419506,0.0,18.747357657177815,0.0,8.559334538542405,0.0
Aktie,347.6223004483672,0.0,17.229429986492658,0.0,8.99733043391695,0.0
Alahn,386.9682712536845,0.0,18.24276499537489,0.0,9.804809667250092,0.0
Alarm,383.32344678773575,0.0,18.107664700502628,0.0,11.491880629772272,0.0
Alben,381.54542413725676,0.0,18.045750043330692,0.0,9.599633108433459,0.0
Algen,392.62975022077626,0.0,18.3528042774212,0.0,10.992288043523821,0.0
Alibi,329.4769212271816,0.0,16.74792798340163,0.0,11.569191180155304,0.0
Allas,324.5990959164841,0.0,16.632113083157147,0.0,11.092181993522098,0.0
Alpen,383.5884215334977,0.0,18.175382535422447,0.0,10.198230800380017,0.0
Altar,317.3746498135498,0.0,16.425925737465928,0.0,9.659593963868584,0.0
Alten,341.1631982616111,0.0,17.090100498331335,0.0,8.980137538155187,0.0
Alter,312.70546009485906,0.0,16.35141055505087,0.0,9.264401028220563,0.0
Amche,421.9330307508757,0.0,18.979848855661142,0.0,9.194946921207517,0.0
Amtig,414.112840205162,0.0,18.766783118446487,0.0,12.345949521837081,0.0
Andam,453.3307278552807,0.0,19.665562876983707,0.0,9.834653934015705,0.0
Anein,355.7368633792365,0.0,17.447399208561723,0.0,8.232145292823825,0.0
Angel,392.8898092765327,0.0,18.358749454971235,0.0,11.457395393873462,0.0
Angst,383.36606877915614,0.0,18.007243198471645,0.0,9.893047894418451,0.0
Angur,398.29622288580737,0.0,18.452988617578075,0.0,9.784910860141292,0.0
Anker,376.4855235283804,0.0,17.99770127313328,0.0,7.850869273282504,0.0
Anmas,412.3916899182276,0.0,18.687611742174177,0.0,9.060675472347123,0.0
Anmut,416.8504411781944,0.0,18.862326167948172,0.0,9.399939364478435,0.0
Annag,420.5312650428921,0.0,18.920855481819267,0.0,9.623132151701107,0.0
Anper,378.3551214478932,0.0,18.010538621288596,0.0,8.703929878772962,0.0
Antus,352.8304989030791,0.0,17.277422175813676,0.0,7.47111179592145,0.0
Anzug,412.0971068603559,0.0,18.78581511614983,0.0,9.33628125605576,0.0
Apfel,369.32283379340856,0.0,17.80536508675996,0.0,12.797060437428668,0.0
Arahn,381.65457084568664,0.0,18.075927188340323,0.0,8.184930572818596,0.0
Arcer,306.7203762530395,0.0,16.123904075568404,0.0,7.454366461395905,0.0
Arche,351.99294806911223,0.0,17.328169783354394,0.0,7.6709376881911435,0.0
Ardal,360.3063105581422,0.0,17.553275054306038,0.0,10.512737869126035,0.0
Arena,350.6600726074081,0.0,17.259563645105235,0.0,7.351245899564741,0.0
Argon,390.8188161321945,0.0,18.233254085079068,0.0,9.651185360669789,0.0
Arier,298.58914930065515,0.0,15.962415947946225,0.0,8.274752791395182,0.0
Arman,406.3104616193974,0.0,18.61134365447228,0.0,9.236745858373887,0.0
Armee,387.48755166916294,0.0,18.18562656118558,0.0,8.626229045035096,0.0
Armen,401.64127190070667,0.0,18.545611433219147,0.0,8.841552922725866,0.0
Armöt,392.3398639170461,0.0,18.222676569206953,0.0,9.55374623489201,0.0
Aroma,395.862429289375,0.0,18.30467016210157,0.0,9.459333967152016,0.0
Arten,335.84949785361323,0.0,16.911895342768958,0.0,7.360258443723691,0.0
Artis,294.55031611395265,0.0,15.753821459439244,0.0,8.630764474176239,0.0
Asien,333.03772483805733,0.0,16.80029773514021,0.0,7.542218952968421,0.0
Astän,357.9341911162959,0.0,17.319932734695616,0.0,7.0495577363111765,0.0
Athen,381.2093457715044,0.0,18.065737647888852,0.0,7.713842658147003,0.0
Atmen,405.7901407956459,0.0,18.60017107238264,0.0,8.723799553793768,0.0
Augen,412.6556158033128,0.0,18.762959226698566,0.0,9.323124111206123,0.0
Aurer,328.5390054357431,0.0,16.7485057490087,0.0,7.624088394856015,0.0
Autor,336.2340919968119,0.0,16.86052495865029,0.0,7.874013507480332,0.0
Babys,407.0177548819688,0.0,18.428673871216823,0.0,9.383951644747718,0.0
Backe,393.71437650202415,0.0,18.265477900517787,0.0,7.62462893168558,0.0
Bahre,391.03180978120565,0.0,18.262982887197367,0.0,8.247366554754427,0.0
Banco,381.1617039068967,0.0,17.898276804609065,0.0,7.725030442802879,0.0
Banda,425.55404605864965,0.0,18.98452411493145,0.0,8.212983606915337,0.0
Bande,420.86659542897075,0.0,18.919006980984225,0.0,7.751506895860135,0.0
Bands,412.56340547019926,0.0,18.68686771975018,0.0,7.949445704765074,0.0
Banja,383.62377350193367,0.0,18.00716624261573,0.0,9.54637211763458,0.0
Banjo,382.51816225763764,0.0,17.987801552372037,0.0,9.535680474994482,0.0
Bantu,389.33397855310585,0.0,18.15756747203826,0.0,8.06004972891439,0.0
Barde,392.3653674250061,0.0,18.253494277670974,0.0,7.927782851101593,0.0
Bares,351.52349092551606,0.0,17.19887750597958,0.0,7.3238626663362165,0.0
Bargs,392.8409178608191,0.0,18.196485105889792,0.0,9.681179695628735,0.0
Barke,390.19343969419316,0.0,18.244925323635396,0.0,7.843635703031891,0.0
Basam,426.1889485328237,0.0,18.927828375439915,0.0,9.230981284296348,0.0
Basar,356.2093105834696,0.0,17.27019725625805,0.0,7.79097163020905,0.0
Basen,379.9978590315309,0.0,17.903078282250302,0.0,7.111515204495653,0.0
Basis,338.69867729187024,0.0,16.81341424195278,0.0,8.382021234948201,0.0
Batik,375.6280498933074,0.0,17.864933245260225,0.0,9.418333284945843,0.0
Bauch,405.5246585878019,0.0,18.547547351863706,0.0,8.667056035977863,0.0
Bauda,422.40059721994646,0.0,18.892800409646476,0.0,8.45011684092888,0.0
Bauts,366.8428109537384,0.0,17.542111900414902,0.0,8.033869269609252,0.0
Bcckt,368.2300110225384,0.0,17.637619079489557,0.0,8.139549528303334,0.0
Bcdfw,426.71282816808605,0.0,18.98651809189775,0.0,11.572446965544385,0.0
Bdhnf,446.99673100039774,0.0,19.60022206951179,0.0,11.078242840417975,0.0
Beben,413.9519341427457,0.0,18.73522072092763,0.0,7.700361927075136,0.0
Beere,355.4093162536933,0.0,17.386240029859174,0.0,7.28717995912967,0.0
Beete,359.57902748434066,0.0,17.44554882157609,0.0,7.257372870709732,0.0
Beine,364.69872341918665,0.0,17.630604538633825,0.0,7.4979268920861415,0.0
Bekem,455.647233402076,0.0,19.76212910263644,0.0,9.170172157683908,0.0
Betel,350.605329241709,0.0,17.289051840989522,0.0,9.324538118818934,0.0
Beule,371.75280702064265,0.0,17.83511254489531,0.0,9.336239495226085,0.0
Beuns,386.35360277023,0.0,18.10536154154636,0.0,7.155343421110196,0.0
Bezug,421.2791787846973,0.0,18.961233382626904,0.0,9.215574486369865,0.0
Bgrkq,456.6209615041598,0.0,19.78602342490023,0.0,11.843990885931822,0.0
Bgtts,382.3918459685777,0.0,17.928858058035352,0.0,9.890153347572378,0.0
Bhrps,410.2866667280585,0.0,18.73874980820737,0.0,9.678288493295346,0.0
Bhthl,412.7072054340922,0.0,18.886181035518685,0.0,11.119489823143356,0.0
Bhwxz,437.6583857753615,0.0,19.341022722451672,0.0,9.232953233185299,0.0
Bibel,371.903128101132,0.0,17.789550512298902,0.0,10.67863783141803,0.0
Biegi,372.94928038472335,0.0,17.806552223847163,0.0,10.995143633767245,0.0
Biere,336.32488923747053,0.0,16.919236881779977,0.0,8.021784101450494,0.0
Biest,332.1886603139331,0.0,16.72084993384605,0.0,8.237475828787435,0.0
Binde,397.1791553223642,0.0,18.42568103090096,0.0,8.254580958808925,0.0
Blama,425.6549074765482,0.0,19.01938850440122,0.0,11.205240260270031,0.0
Blete,350.55292143532336,0.0,17.288694305728644,0.0,9.292374064481594,0.0
Bljts,332.7032257820219,0.0,16.80942020643663,0.0,11.292542514255992,0.0
Bllly,353.68664917733935,0.0,17.48278594237714,0.0,14.460777455157258,0.0
Bllsd,375.9837405842997,0.0,17.9693043428101,0.0,12.056841955279491,0.0
