,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,682.7299207059193,4.481889643480182,18.681127792029734,0.09925788558548658,680.0695368481611,4.398533706334242,265.84,8.040795980498448,177.01412015212424,4.816167669610368,15.14065792723814,0.08856342680903156,16.35099569154347,0.25483307306324854,11.055586847286525,0.15784283902729906,512.4119232718905,5.818886260618223,117.26802314949626,1.3639866256149717,87.60736048005394,1.4853408658293754,,,75.14171518051188,0.8697723087944988,80.0242580233641,2.139343693817911,48.849333020420616,1.1593405857137082,11.898513510640674,0.08812545196770122,11.397204927116906,0.21618609733228125,8.28264348649156,0.1502791070370635
Abend,744.085708973721,4.479920569346187,20.24381414045857,0.08467609108387987,725.5383178458101,4.676098918317834,325.75,7.056025793603649,226.78182944775378,4.371847489509782,16.441269245936837,0.08313407300921448,18.029293509896046,0.18594497578710473,12.788324055309566,0.1185296469931746,534.0918177080606,6.0200294703539585,198.08072922065577,1.7199776366736363,172.35281279628015,3.694174603651029,,,76.77523985462902,0.7495910348737471,83.5948560978352,2.0089737218961314,53.70782934582199,0.9588513607392035,13.155094432259665,0.09068734084108607,13.081807466433602,0.1848581036913915,9.740162632318587,0.14227575070056994
Aboln,708.4281967750171,4.522660683285444,19.427893622346385,0.0937901902932985,698.339157595586,4.780291742953366,297.7,7.8759126455287705,202.7566127990532,4.903454813361135,15.749072250953562,0.1062783976519531,17.2673409058245,0.19732724606572785,11.976309023027447,0.14011557486771045,513.3135865134583,6.1390529810800905,124.38219052031667,1.3377081810274005,95.96556325834302,1.4547964695469564,,,74.69105422978434,0.8923419841292248,78.9034403070259,2.0069243520824736,48.51205801376386,0.9356712588983835,12.787622489933021,0.09266755781769691,12.56322705740603,0.19197483914727864,9.298366761637231,0.14390256875532156
Abtäs,699.134933166483,4.010524436677889,19.00150900939906,0.11678195007243135,684.3535067378854,4.932777315495,265.96,8.236406983630665,178.50114387590259,4.822631990322214,15.236135885961149,0.09020330134259985,16.32992849005022,0.23116122046304766,11.145656992800566,0.12957025454180418,514.7715812042575,5.592424796657851,121.38198516023309,1.7108941131263244,91.96176884522474,1.6366208429485036,,,76.14319297851956,0.7476675673361026,81.54615319919952,2.4702096135945912,51.06041030699983,1.145421543339147,11.939632384952898,0.09703275811844421,11.241536316861819,0.23212629865413592,8.167308008967005,0.15831079694385122
Acker,679.5090384594874,4.575366924017672,18.720873078548017,0.09240756752180163,675.7496045834944,5.50470699894908,265.05,8.37302215451506,176.9265023916621,5.009823491218592,15.053098875579135,0.09631840641496356,16.23001216404863,0.21611375438280261,11.019843154986079,0.1435263339525577,511.2887736756519,7.002267842070364,104.57115909170737,1.2016478193262157,78.10444370351172,1.1967676011300212,,,74.356459945934,0.855877058033125,77.52716314059988,2.0671698344454126,47.18326289649775,1.0317785952821097,11.907408197344585,0.09685582693158491,11.444121402851406,0.20692442309539846,8.345352363357751,0.1526079762211227
Adern,702.5839449658824,4.7615796708078015,19.330829375802935,0.09117550386040016,694.6599068121079,5.36004797078867,287.45,7.261370394078518,196.4449390185069,4.522044719215143,15.631655873509732,0.09635552449114801,17.01963569546244,0.22803682540494488,11.803421203481875,0.14764713808620375,517.1159984049259,6.47068376732533,134.15063228431066,1.163271176830545,108.43092347484497,1.8979675843122579,,,75.4494820292801,0.8300573719996411,77.81497140618563,2.4180778079133862,48.74998916174594,1.1273605125659412,12.370986086496481,0.08934944104090266,12.332476064387215,0.1906402580160514,9.000412840645668,0.14316303361576768
Adler,683.5455140477243,4.193853849712148,18.85783158921885,0.09544255114243015,693.1128776400964,5.946400447437273,277.3,8.2915619758885,189.08872696855786,5.345520953606249,15.492493660193002,0.09523621266550358,16.59952515652715,0.21392657109928884,11.528346860258472,0.1430993310294306,515.7846791667979,6.685675108246594,130.8169471999982,1.301852011037606,106.08458252014191,1.7833637383047027,,,74.40324504079602,0.9126943627034909,77.61097913445106,2.3425726871134693,47.8784137867109,1.3489768747091555,12.515954975617017,0.09466367060903501,11.918763951574476,0.21164336085786228,8.832124569006016,0.15015006598811914
Adria,677.8630699148911,3.800376230998206,18.640778741345862,0.08460284877394361,682.2693036593987,4.313257577472927,266.35,7.299828765114974,179.45594211444183,4.562357160504204,15.195884602460794,0.08475993012196989,16.295813083156013,0.2155828352193718,11.160776643010156,0.14047622298872953,513.0815659268213,6.921288170619109,120.98522982668653,1.4443021096665214,95.19193438303151,1.7587403506641182,,,74.87031503973334,0.8788031511886158,78.03090995402312,2.4014226741125495,47.89973012482074,1.0830121588087314,12.006778292983128,0.08480407443121024,11.439657931478884,0.1871342115727455,8.400647619323333,0.1416180878333772
Affen,685.2234318972729,4.3732756733114915,18.855108593969078,0.09451640882741005,693.2087482223703,5.086787382512583,288.76,7.861450247886836,197.11204232113508,4.7942119512947565,15.612129076983843,0.09143079842132545,17.010369786242755,0.19318316510394232,11.82870994379412,0.13022633008204632,517.9335444465218,6.204695225389492,136.2636052417087,1.880887821244096,109.11440076227649,2.090346171292454,,,77.48814745049198,0.8368562992211882,81.57291281730646,1.9936872260517584,52.035436616827546,0.9797572884891744,12.279041926320028,0.08920870291316442,11.645098389555917,0.19323170686661037,8.722916066234415,0.14483511406098185
Agenk,752.0185244440388,4.384172726361748,20.53327166721413,0.10643505882625526,729.1429752058716,5.20457241034171,338.19,7.207905382286868,236.92362447543886,4.442213541426785,16.661291440739852,0.08827897181609218,18.432670288780468,0.19148374633336923,13.15168327165489,0.13642798474575213,599.6599751546414,7.223323835526201,359.9548045428339,6.575932623688104,319.3507958887145,7.327348155266877,,,81.75023574036027,0.8958760705511599,89.11886653707957,1.9022610240781819,60.274899216599806,0.8793438185142907,12.61248664569014,0.07984578030723338,12.683104336327574,0.18079119913884756,9.38194855381373,0.1268952365557982
Agent,715.00140027478,4.303156732443717,19.567699925833296,0.09175934689313164,701.3929444687597,4.1582663860405376,301.07,6.594323316307746,205.17975863322442,3.962698555900507,15.81817144096754,0.09280723144977293,17.344838897432304,0.21578605636001355,12.053055513479814,0.14366679800394844,587.2109689142458,6.607351608967036,335.4952844546463,5.30864561563799,294.98087047509796,6.068968480638638,,,78.9445713474523,0.7203692201452654,84.86713980056216,1.9967343547269125,56.23819800022294,1.0008485704138823,12.015171875124572,0.0972840098818435,11.767175917507368,0.19391960097663424,8.48683633213637,0.15015458760817263
Ahnen,728.2234570657221,4.619366134543539,19.982687595574728,0.0896360303384813,706.7274157001631,5.140676286314538,314.26,7.066286153277406,216.7191115034358,4.574931692713727,16.04730698002706,0.10727778504057012,17.710573981470016,0.1885981094214222,12.444949459694193,0.13466507489897284,514.1021438090991,6.570621975594997,125.22966642284568,1.103125470167415,97.75957979348715,1.6504304738464066,,,73.91011508116695,0.8264511785371024,77.14283294410988,2.345198536418508,48.143923485461855,1.047710401173794,13.270553183163184,0.10004741025390125,13.34032626217755,0.1905227952448611,9.93198669879256,0.14360597916068701
Aigön,718.3255449694891,4.594402683127315,19.659525451697874,0.09773389755194578,707.9344207947453,4.634616533095592,312.22,7.657127398705078,214.88201050759912,4.5400594641288174,16.03533896271081,0.09431461442954843,17.682239826177536,0.21998802135807133,12.39981837401263,0.13800248920131292,576.6960168076804,6.616238732966929,306.89514376503934,4.741426791105163,274.2443154002794,5.8581926300916125,,,78.7066632515606,0.919239205097229,85.72262075021115,1.9787331193784765,56.29399259094855,1.027779202533782,12.473867951606273,0.09734854965974686,12.200438208061563,0.19710739552433407,8.963768910444472,0.161558851715931
Akkus,733.1331653649092,4.61131795188105,20.034791369770133,0.08744665576603619,715.5157502814277,5.843048590635628,328.13,8.947239797837096,223.3590149010945,5.735970912008042,16.177079785754007,0.10641952349421135,18.139668864765582,0.2059453244290491,12.546185993076701,0.14949490087429684,515.5652896867006,7.126593984613689,129.6605531360231,1.1413123182039644,101.08615412584803,1.4553218218685182,,,77.03896315316582,0.9338242588076526,86.10765124188433,2.130430683703232,53.07986046288271,1.1151764171963212,12.713400099215143,0.09331502776957304,12.650681746477776,0.20019323407800269,9.426450524036202,0.14767572547040556
Aktie,675.8889932651883,4.746297632076736,18.589664377552218,0.09777252510767923,687.9629671123586,4.793891079581698,273.12,7.750199997419422,184.74624496977415,4.749805096924474,15.363192596380168,0.0975250811003556,16.492181973370315,0.21893779308101566,11.3674970133096,0.13617241312976122,515.2389525420582,6.734413137487127,127.26574335997466,5.04357512958196,102.34952152610596,2.4157906348285483,,,76.56365250418168,0.8054079262429131,81.71944315231482,1.8457219251680883,50.702978044492404,0.9593265213701505,12.05487040732327,0.09307170335062795,11.196206966963423,0.20000250889229934,8.34728693680701,0.15849159328478885
Alahn,712.4545847381439,4.438834016032948,19.569592321913266,0.09373701022759257,700.6623373070557,5.785006339041866,305.0,7.703246069028303,209.05479866916673,4.877820632652347,15.879683072411433,0.09579582085027627,17.486973043919377,0.21394803396388573,12.22544015068599,0.13712879341485393,515.808139395533,6.814180972564704,130.87968585897877,0.9575136979011991,105.4891750665329,1.5215724770861165,,,74.16768511682338,0.9480215826298702,79.05086260182331,2.412701766370674,48.09917617394839,1.1513980588765238,12.976950849276093,0.10268797169337127,12.83388376166765,0.16623268103741726,9.633207861964538,0.14554384990406338
Alarm,706.8938055017749,4.72982068028937,19.413397862296883,0.09873257693427699,700.3112835351212,5.401478369067719,310.2,6.912307863514182,209.19522180639137,4.218281099509198,15.765195278637,0.09024524103652722,17.579604513996983,0.23980227575410717,12.05400756857454,0.1528434946839319,513.1036779393445,6.058924438463737,117.50131132911143,0.9230680897224274,88.62008982489112,1.3858559624790645,,,75.44479614164241,0.885026679653106,81.28816723822581,2.4801873730278556,49.277081590151504,1.2913039924415213,12.63889718592702,0.10068372614723267,12.774684409726563,0.21550646316923291,9.409162765513134,0.16320300767302676
