,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,3774.495130410518,39.40616514850012,69.9486412936277,0.7887766652304089,3765.138114309893,43.06513962999378,2877.41,34.57198143005402,3345.223545650746,49.833285673537546,69.76834160605003,0.708347746446179,53.65007756227656,0.28138507726801115,68.76717422580053,0.7240448807571709,69.49595902458034,0.7859490738353057,53.65305047044178,0.3405413308288365,68.49151535029097,0.8092637952679443,,,327.64288227229883,5.130765196082181,244.9466311596378,2.3438731286270147,323.2313644424678,5.276149412272992,23.059436734013612,0.6323941312268209,17.131661095121242,0.289643773604839,22.665512950393055,0.6235526287910961
Abend,3795.4434000989086,41.881248023061495,70.21690449489246,0.7586068409503857,3782.5091093805822,44.87941589158436,2880.82,35.31299477529483,3364.4679106074013,51.6447861710464,70.08041514039674,0.809410080820946,53.69048065683317,0.28685682530260664,69.09222346413073,0.8300008828703119,69.71275143304986,0.687244524326928,53.64864705345548,0.2923486108969978,68.71593946449741,0.7060244825893927,,,327.76068210838946,4.305206169781064,244.6937372666225,2.484464104960627,323.42812921340544,4.348251993082131,23.526363381940605,0.6607560057383388,17.187025831332072,0.3025783107367467,23.123951352090767,0.6458066364977131
Aboln,3778.147929673022,39.18002226602557,70.21513465878003,0.7810510572089312,3779.701971602333,40.77925738718951,2885.53,32.3535021288268,3362.110881294303,46.52537918731306,69.8181684848751,0.7269947832984591,53.678360879235406,0.30589756221704206,68.82396848890401,0.7495701840194589,69.66691438727557,0.7849432443929646,53.67371471102972,0.3169896236923992,68.66542171824432,0.8065964423932761,,,327.85025594199914,5.788595530420382,243.84899989569323,2.571003593178768,323.3019969275327,5.780487556078513,23.49013806565229,0.6076838352805781,17.166491590216623,0.28860277441524695,23.072296400450604,0.5986719253376218
Abtäs,3773.8270496913697,45.04262242162298,69.93587648177407,0.7521664105519932,3763.637356417894,43.30686493194188,2873.7,34.560526616358146,3343.1949379650114,49.55013489060177,69.69970310518005,0.6428783203139162,53.629042698372835,0.29288095892966937,68.69955982541285,0.6634792000952051,69.48068849919667,0.669933578841812,53.60465282003457,0.3318359474362871,68.47236184466627,0.6892459554892045,,,328.45356138757177,5.6343701607575625,244.54518903826013,2.756546209384356,324.0135411985938,5.575663430234552,23.080805249555578,0.6847298256878571,17.133688812268552,0.3104352596676888,22.682461750481085,0.6501083404434538
Acker,3767.172690865498,35.73501419574976,69.87224782713719,0.8287908677576611,3764.2486285395466,41.24435271315606,2870.12,33.74085950298243,3343.05073171776,47.15727281948759,69.61907260608815,0.6925347433539343,53.615517885810824,0.27611924289737777,68.6164300928342,0.7145188635656982,69.42583916712323,0.8056304980222462,53.64199064336471,0.2981135035857458,68.41603201202295,0.8271523028350068,,,328.06578981795525,5.1001852281004805,244.02053368109878,2.4505600198674884,323.47091471648395,5.238755190913288,23.228277999250903,0.6179543735742107,17.16869295938749,0.2926247122902175,22.842767451182944,0.6125173469186405
Adern,3789.8463976426847,39.18689637025651,70.18154413603214,0.7143287595567365,3764.0834144917117,39.22481424696718,2872.79,31.180857909942116,3343.062979044678,45.52565012838257,69.63363381945028,0.7672679939953264,53.57629361135823,0.3475095243796036,68.62757978809582,0.7863073365597346,69.40490543851712,0.6870794757126972,53.59482895549575,0.31285020658112517,68.39356802960793,0.6997964614484571,,,327.73674772229145,5.387307250649713,244.57957834613057,2.5001406836656304,323.3416778272051,5.4672476393297975,22.846717921583746,0.5875905726572392,17.177280918816503,0.29879771651581666,22.464028440944386,0.577408530630731
Adler,3782.5353278081275,37.961924445163326,70.00116077191487,0.6588699541628251,3763.7577775959794,41.056964354511464,2873.88,32.17305705089275,3342.999865175892,45.81027711292919,69.69167717321368,0.6858440746452183,53.6750624773551,0.3430277715113602,68.69582030725417,0.7094672187620876,69.4770800072465,0.651194958493416,53.64548079691762,0.3536294146070933,68.47165157959513,0.6657601424195138,,,327.62027998148517,4.761027065565386,244.73240472422935,2.4359240179792696,323.11807325190256,4.725415054037911,23.122434017876817,0.6100325046736332,17.137431641868712,0.2912082260504288,22.742656106144338,0.6267550035222728
Adria,3773.190810213616,39.993546024269456,69.98553676957913,0.7065643204579303,3766.703128500162,38.27592532650017,2876.64,30.651433897943498,3346.7559579306267,43.57547239834614,69.71581752713018,0.7516121793888045,53.64841438520746,0.32807613912708317,68.71758724785472,0.7727305899130108,69.34495781572447,0.7912966140837742,53.63638024741726,0.34456267856745604,68.33646898202659,0.8169398451803768,,,327.74954351570597,4.727374336934621,244.18280534742712,2.7275043394935805,323.3688981925099,4.670157199991421,23.369808631066753,0.6795191320220941,17.11285003112994,0.2754313495318622,22.95971822858598,0.6703383081428209
Affen,3776.944825225788,39.9584373968284,69.97357607749879,0.8834773717831892,3766.2310880144673,41.04233355284654,2875.61,29.580363418998083,3345.5510244276875,45.12099551944476,69.85388908577454,0.7639920897651314,53.669463873272804,0.2977373934589125,68.85926725101783,0.784919566586605,69.62352221944322,0.6813624405207823,53.613636169607744,0.3221218371831745,68.61801040099326,0.7003377373689367,,,327.28649393915987,4.827222981746168,244.0674355090427,2.582570803431197,322.71199482996207,4.827157077796399,23.2545536424095,0.6161290012082002,17.048895672748642,0.30801794303542074,22.863638804149254,0.6280869850159428
Agenk,3805.759138518029,46.97748430010575,70.50945345379218,0.7834352920955892,3780.0665105088287,37.91331284296527,2880.05,28.633677723966933,3360.680660863203,42.841378712795105,70.10312363067828,0.6809770292668854,53.708741638624815,0.2847307420129001,69.1145903975033,0.6970111907060056,69.77476117425253,0.7790071392655447,53.72023222030109,0.357935226097911,68.77788708918301,0.8057065615350504,,,329.19238817011677,4.951305297140512,244.78295602251296,2.6477304639843506,324.47664811373613,5.010242847355541,23.122160575576803,0.6617474674447221,17.186476350072958,0.3057547550900451,22.704713643497307,0.6629000119917997
