,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,4179.057018149715,45.522722811993695,73.46228683527818,0.5722849108575113,4140.234389033856,45.4268484357667,3175.78,35.23423902967113,3668.7857308119933,52.398254394243935,72.48457744095218,0.7932316346372722,56.36295770155497,0.3114468377190147,71.40925708584794,0.8185723389625698,70.25102123581833,0.6746267267740517,54.73502964944671,0.29670526859101254,69.19389207302271,0.6953252501124045,,,109.8807385057767,1.771987145999897,83.05375953719788,0.8478578912448556,108.28185956264802,1.736534325780794,35.348124311719204,0.4209068813680387,28.58675348546839,0.25758118071764147,34.8013988940563,0.41747105497604314
Abend,4206.433085268503,42.377499971029636,73.88614955844368,0.741759371924626,4126.263375852931,38.723256242938,3170.48,28.232775279805562,3653.787384431849,42.69550034159703,72.45673877971703,0.7375799644564422,56.28242821435176,0.3290505984520177,71.3756442313792,0.7589072546111795,70.33360323044317,0.7274592030578252,54.73112934056342,0.28181105087691727,69.27933264504533,0.7435271521199784,,,110.01588545754255,1.6180682921403333,83.21241257632136,0.9291803409390104,108.34613584173556,1.6406578391902304,35.3919138052174,0.43727500280881143,28.588300790680414,0.2728540872385366,34.85125031442107,0.43997815689259767
Aboln,4194.878681351683,45.423162521579165,73.6533383666803,0.7399514499886285,4133.598910651722,42.81624670259372,3171.17,34.18480802929863,3661.657916495057,49.574200484513874,72.66790117069681,0.7438123539359269,56.35404900292792,0.30192875914618267,71.59205338733335,0.7648792694276256,70.32419407827116,0.5839006339547621,54.75295186110107,0.30505122980396693,69.2723666172778,0.6044724089797476,,,109.80661219699316,1.7606701541184813,83.04581649652157,0.8748749625950122,108.22084041818198,1.7224700522954872,35.485230187600706,0.49866774983502316,28.604870884404093,0.25648237734442453,34.94171107858303,0.5127590126050227
Abtäs,4186.48343593369,43.85076721177122,73.60349541745286,0.8007827257640815,4136.994270580061,43.0152828477329,3178.82,34.9583695271962,3666.2643832299245,49.37287684407155,72.54115261979179,0.7052558388216118,56.34784062584121,0.34764465305554415,71.45995867641173,0.7302345281143449,70.36981228666664,0.6585379467841425,54.77045119108635,0.34220986416098537,69.31483365788358,0.6808698122637803,,,109.9918862012479,1.688680377008927,83.19206812020755,0.9049216432857294,108.35191500392513,1.6782714641013523,35.2703967085053,0.42942849705274966,28.596482261792307,0.20568656283374126,34.724784225834185,0.4280319690780089
Acker,4189.072820926683,42.68794339316202,73.50934198181179,0.7261399807963796,4128.955595137512,40.94559492299667,3170.94,33.075314057465874,3655.7996243042057,46.04880633605989,72.57927601363534,0.7385197341438804,56.331534379865154,0.37179888390268123,71.50301958351028,0.7609890156967815,70.28670940437422,0.6912516354616186,54.73403800794666,0.28550673124331916,69.22967411285452,0.7128331369302767,,,109.77029567198733,1.8846273269314695,83.01872479341623,0.8817483075089642,108.15669280208326,1.85856552119711,35.324073535612094,0.4546129157743634,28.593133230955832,0.26162480171395236,34.78423839078325,0.4512591671493358
Adern,4193.336578983112,43.372470146846354,73.74960790843345,0.6528549044010941,4123.349929522273,39.758017524490405,3170.35,37.28897290084563,3651.23984322947,46.87358282920651,72.47702186870413,0.6794803093665661,56.307328800057405,0.2910728469406061,71.39105882711195,0.7007648505685495,70.27872596995454,0.705423514549603,54.73278990325562,0.33134467547386054,69.22005207229668,0.7293453723498379,,,109.87695455162688,1.6679042042991272,82.95760233122448,0.8754907926550113,108.31435128166595,1.6640732006113932,35.21766221309089,0.5067733644350854,28.57445536411758,0.22169316107825524,34.68679461731226,0.5034302938630879
Adler,4186.844422979687,45.03300328790527,73.47790752855194,0.6440876693371338,4137.463848528318,43.202816296229884,3173.91,35.986412713689596,3664.6573954443775,49.7281978076558,72.609269039367,0.7548849162412832,56.360832540492865,0.2766863612830497,71.52782035842989,0.7747001657202295,70.37203236597293,0.5662187969670804,54.795396158856654,0.3009306419553488,69.31919939620178,0.5807877335772155,,,110.01246088709682,1.3722044417416903,83.12010485892105,0.8757726964893995,108.36571226421657,1.387092293905515,35.44601323294323,0.4502921236899278,28.55973136950316,0.2308074062136044,34.89716766112267,0.4633854493655061
Adria,4177.434382979851,48.791681194918304,73.44474144736336,0.6930262298505875,4133.962158839363,37.84054896226791,3175.3,32.280179677319026,3662.736567513074,42.97593932541217,72.62423750326691,0.7199122273475032,56.34849675124189,0.34192671039542416,71.54879366025189,0.7436154242496589,70.37855019888858,0.6971023580793345,54.77819790633217,0.3075553225359957,69.33259276802451,0.7134032418379215,,,110.09930299229792,1.7373602901178304,83.13834649774641,0.768359756861008,108.47807463280989,1.7699416967415948,35.533139466067176,0.502095353620225,28.596219833311242,0.25433201088362684,35.00642109537732,0.508869159077344
Affen,4186.91282829716,40.84402529304273,73.5220023234782,0.7066925881493672,4136.474127277179,43.29277258430253,3174.53,34.98469808359078,3664.660334275508,49.15936033551672,72.69301452076712,0.7048142199589633,56.41815297337726,0.3033398631926752,71.62199478175529,0.7246072223913477,70.31724773218362,0.687811752442605,54.740009669179564,0.2753558377968165,69.26274379519018,0.7076804280233507,,,109.50871570054169,1.859289061933079,83.04235831789865,0.7921848084700863,107.93640621816441,1.9164958591840269,35.67724441368703,0.5059828162409916,28.596757924299236,0.23752675655429062,35.12701796718193,0.5157010368928803
Agenk,4205.773912281183,40.389058254802556,73.93791150559849,0.6492251475381273,4135.579439479177,46.940221483881295,3169.67,38.84483363331602,3662.5540019405084,54.05395453060678,72.62714943747385,0.6806747552065547,56.33752269554345,0.28902686575334685,71.55245238813477,0.6955627051212084,70.52378572949675,0.7574489095759859,54.826684625120976,0.3091035605968341,69.47540840283155,0.7797934854507536,,,109.84413780959957,1.8477092672885944,83.01977157770666,0.8353238723629193,108.23184119890571,1.8460591577879897,35.40048726033561,0.46318057069380186,28.62393484354259,0.26360234543767763,34.87201933989185,0.46621088434673713
