,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,8197.46523489734,92.783775492567,143.5296493810384,1.4983522075212081,8236.672675568114,87.81384276708833,4104.4,29.653330335731265,7989.456263056068,91.9283841158728,144.77300978461926,1.3334841087618892,64.08930490644738,0.2258242866041936,144.48915339020144,1.3374105125858284,37.18296819749376,0.3417080009582501,16.50349173142337,0.06303319994567652,37.10897628875842,0.34295633390693786,,,465.8103190560451,8.343325527468947,211.20535907176145,2.190957673095545,464.91912284465593,8.373781507603603,54.94779541062228,1.147848870787214,23.048314091986857,0.25979065231310156,54.826733209974115,1.1433399762993373
Abend,8212.501578504198,88.91941311938801,144.31903481003692,1.3523644365934124,8246.220323851123,76.48647002273366,4102.21,26.5319788180226,7998.099212185069,80.01292782461837,144.79345534652285,1.3447747605426699,64.10560584803945,0.20322119921773507,144.51139872428314,1.3489689107821938,37.2056486329042,0.3721225197285763,16.499431436348438,0.057660226243329005,37.13220602478899,0.3736615063587989,,,467.10188929263467,7.2639841285763715,210.83816329255131,2.1312233875087334,466.1098972872064,7.262883182795346,54.92702145597521,1.0449583793793153,23.033873861060897,0.2610818805762656,54.8077291175358,1.0493224098947613
Aboln,8222.23720490485,89.95937359974063,143.9206751205378,1.382242953630218,8243.080724089898,80.68827138741389,4108.43,25.853531673641804,7996.79300371881,83.46190939966432,145.05185885420076,1.3489325110913897,64.10346932095767,0.21265233843138653,144.77128847169027,1.3531160708897232,37.21496773000366,0.3816201290682522,16.510510245357445,0.0566027578781106,37.141721681009244,0.3831349918904036,,,467.07770697574205,9.183443893142881,210.4800818962923,2.032049322822765,466.1870197009806,9.017662892859034,55.09055377439476,1.1595756244114792,22.977063807950813,0.24474993245353038,54.97561057804078,1.172888668911173
Abtäs,8193.039928576756,95.43618110917176,144.16140145160475,1.4997886201419008,8244.208823189752,79.39326910296997,4105.65,28.382168697969504,7997.949454707799,82.55006109551131,144.65608304715423,1.4191738931295452,64.07477375794807,0.2517297514569678,144.36985441481346,1.4250830779210732,37.18078638393225,0.3741750771862978,16.500497675191944,0.06287085496259719,37.10691009290033,0.37579449670204984,,,466.08996773509125,8.059567110364592,210.80863909331873,2.1109304330283902,465.18538050099664,8.068908823499163,54.64076451538265,1.2049762162135402,23.02207465206311,0.24880750720283076,54.52522600215744,1.2016387920188982
Acker,8193.02098690684,86.33606022125568,143.8265889275677,1.1949769222511972,8248.808937327078,87.6211948730134,4106.17,25.41773199953135,8000.976391246339,91.0970675805747,144.67521704917755,1.2739025589978887,64.07983971137195,0.21010132050939925,144.39143448452307,1.279316594737717,37.2185551913223,0.38316484245016796,16.512349403857247,0.06160386314629792,37.14542149928269,0.3852846772164117,,,466.4609160373877,8.782523267003565,210.81138269931304,1.8244265231561838,465.52256953740454,8.700631057033949,54.77510922087069,1.1242820224008003,22.98290095417752,0.2668349094404679,54.63978729671387,1.1219225774813824
Adern,8222.096967718233,88.01087067384516,144.21311075685787,1.4585224330483337,8256.493228968431,80.97019876772588,4109.41,29.000032758602185,8009.170918267125,84.73122299571185,144.5606802707951,1.5895411578346874,64.079767148234,0.23117575156543713,144.27536023305444,1.5946457106420595,37.18646236345026,0.3722667665738266,16.50246004977018,0.06477270929593046,37.11263274073807,0.3739129216198113,,,468.09902307051146,8.060717152191495,211.02704780521316,2.187803995647385,467.1665612588959,8.133305288094304,54.81394008257801,1.1832982270521561,23.016085836059425,0.25850899262903904,54.70137729769612,1.1903533150637713
Adler,8196.024464225819,75.12106162738604,143.66720603754666,1.3649981684599526,8234.648721373289,90.63786850007364,4102.2,27.602898398537793,7986.8318742648835,93.42105146316557,144.73045568062477,1.6011360649827024,64.05101730992597,0.23912666845436095,144.44487677979618,1.6101360642672244,37.190824092040764,0.425658539454832,16.5035425499408,0.06333958297071651,37.11703901979528,0.42760887218652976,,,466.5638296700834,8.028588081243697,210.8986668884251,1.9333381168868347,465.7734497556732,8.039935409806654,55.05123268016804,1.1419121919912734,22.999628248774478,0.2640505674382996,54.915562932554415,1.1392797042447251
Adria,8195.787907791906,85.0142003646435,143.59150497685184,1.4789104206752215,8268.931768085058,82.15753384045091,4109.67,26.299070325773876,8022.091193941279,85.3750047031673,144.779127609856,1.4407491706489586,64.10041519214099,0.216268802978278,144.49571819100757,1.444592448012388,37.213441510079086,0.37546275843549615,16.50167189766927,0.059839927602529604,37.13955034979443,0.37707738171568134,,,465.5053498924065,7.487365557272562,211.1474402854927,1.9119971168078973,464.5827017805336,7.437625382972875,54.78054232186473,1.2077728805146073,23.01102014719046,0.2609634648906889,54.661020465387665,1.2051187567806516
Affen,8194.325103639329,79.70582927793465,143.7872837918362,1.3989789910285872,8241.481550663408,89.47937103550088,4109.85,29.14562574384019,7996.245647112482,93.54306861989541,144.6251050066434,1.6297755286214792,64.07563093645636,0.2313441052577429,144.3413461050454,1.6341070536944362,37.224445561807244,0.421628172972915,16.507767944659225,0.06479157077194164,37.15120861643011,0.4233426788732598,,,466.16300978035525,7.1555133073110575,210.7654962305893,1.9809219627709989,465.28612378538156,7.1242729474802875,54.89693085158614,1.2438798387900312,23.00815031018551,0.22673704427016905,54.76835009250709,1.2350868650282532
Agenk,8216.491796625287,84.66913829285504,143.97675362912355,1.3379488915016344,8253.787193127191,83.5402037540661,4108.0,28.358420266298335,8007.126439665549,87.32640615108872,144.63975667028726,1.566816068012866,64.07544252916722,0.2183224481991907,144.35488539534242,1.5721292339571211,37.12438228984756,0.35776197658785,16.50037145534338,0.05642502079102204,37.05030088197737,0.3589416959440274,,,466.9335898871984,8.36394156442535,210.80188241168833,2.161270297157079,466.070008473293,8.398288462545958,54.88774052089542,1.1906301437947648,23.009069497668442,0.2702697628675535,54.79011705826278,1.1745769833723743
