,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,351.4546333488576,0.0,17.128577177615732,0.0,9.157358612822323,0.0
Abend,402.4624412185367,0.0,18.352361414569835,0.0,8.583802446318014,0.0
Aboln,367.45294642634667,0.0,17.568051757789394,0.0,10.480212324738538,0.0
Abtäs,366.1486089194395,0.0,17.40668129355844,0.0,7.8747027930812745,0.0
Acker,335.70858627004725,0.0,16.761648351122158,0.0,7.628073704416434,0.0
Adern,359.655823770569,0.0,17.35953855885096,0.0,8.201313163183963,0.0
Adler,339.7151640279624,0.0,16.873778960936654,0.0,9.989785870238979,0.0
Adria,342.26877948474646,0.0,16.93769124228619,0.0,9.362721319726464,0.0
Affen,372.3533993378747,0.0,17.579328887469558,0.0,11.633989347621828,0.0
Agenk,411.0705432016754,0.0,18.546042969613005,0.0,10.029611349809146,0.0
Agent,374.9020214820611,0.0,17.645597202394637,0.0,9.668108314814335,0.0
Ahnen,383.45526703024814,0.0,17.95822754189294,0.0,7.801892402855534,0.0
Aigön,379.2186064092467,0.0,17.763682043529514,0.0,10.676960366649254,0.0
Akkus,388.5158901962875,0.0,18.100112592416984,0.0,8.245335737610699,0.0
Aktie,334.79305334269884,0.0,16.74373464970136,0.0,8.725712811776981,0.0
Alahn,375.57581621876614,0.0,17.790969832333683,0.0,10.103310673420694,0.0
Alarm,370.48290775752054,0.0,17.6647785319636,0.0,11.725631740517354,0.0
Alben,364.11965686899066,0.0,17.478121121186806,0.0,9.534038858953673,0.0
Algen,374.37449894143913,0.0,17.68018662346292,0.0,11.586936376412236,0.0
Alibi,316.63739578884054,0.0,16.33258410661898,0.0,11.614704286431651,0.0
Allas,317.13854714500724,0.0,16.288910151320888,0.0,11.291058207169254,0.0
Alpen,363.98325834227535,0.0,17.487583462812758,0.0,10.402944346904196,0.0
Altar,313.949570386953,0.0,16.212493652447154,0.0,9.797416860061729,0.0
Alten,327.3893009501294,0.0,16.55207943845168,0.0,9.072830920467405,0.0
Alter,301.9725716324499,0.0,15.882949025082564,0.0,9.489094970541434,0.0
Amche,398.0296931689637,0.0,18.254227848958408,0.0,9.250290515772406,0.0
Amtig,393.81280901920275,0.0,18.13975985251893,0.0,12.543958942929812,0.0
Andam,434.0173793954822,0.0,19.101613392739914,0.0,9.537864305826007,0.0
Anein,337.36071227026395,0.0,16.831831162249436,0.0,8.093725011560272,0.0
Angel,374.52889170201684,0.0,17.683405078167286,0.0,11.985062348003146,0.0
Angst,364.4386155831356,0.0,17.389501416283714,0.0,10.154123334809134,0.0
Angur,378.8322328242102,0.0,17.81984050223481,0.0,10.287296833577393,0.0
Anker,358.022738909066,0.0,17.361599181045552,0.0,7.75439884659847,0.0
Anmas,393.804144437417,0.0,18.157063034497824,0.0,8.819711040351935,0.0
Anmut,394.3360399813313,0.0,18.219999838691127,0.0,9.222154874741802,0.0
Annag,406.22469679713856,0.0,18.43177277031044,0.0,9.845748339393804,0.0
Anper,358.42658142204255,0.0,17.33958045779638,0.0,8.787677041976378,0.0
Antus,335.49501584124425,0.0,16.73836651522593,0.0,7.346906586291849,0.0
Anzug,393.5050321863473,0.0,18.191171242936345,0.0,9.70038162426771,0.0
Apfel,367.069543181278,0.0,17.50294469639793,0.0,13.0454176508758,0.0
Arahn,369.99693058689115,0.0,17.645409247477687,0.0,8.434374929287856,0.0
Arcer,293.44389864224786,0.0,15.6341207800303,0.0,7.740526186568061,0.0
Arche,335.6458892595516,0.0,16.74137761166918,0.0,7.990309559278003,0.0
Ardal,351.8469366621117,0.0,17.188201033199174,0.0,10.61986011483113,0.0
Arena,341.98842642900695,0.0,16.905949693715964,0.0,7.474417666037111,0.0
Argon,371.9291803598207,0.0,17.618616891319267,0.0,10.248956713157778,0.0
Arier,286.36759428218977,0.0,15.48530995224338,0.0,8.502744742908684,0.0
Arman,390.1339547174311,0.0,18.122678044773867,0.0,9.19232739248763,0.0
Armee,366.9320212254105,0.0,17.505902456109723,0.0,8.705549247065909,0.0
Armen,378.156955962928,0.0,17.82847662637671,0.0,8.884005502967335,0.0
Armöt,373.2954509696212,0.0,17.654024700279685,0.0,9.73034570108371,0.0
Aroma,382.212670714389,0.0,17.893785977732495,0.0,9.56395814946914,0.0
Arten,321.8104153182544,0.0,16.395523586417692,0.0,7.403895176334569,0.0
Artis,281.979542265685,0.0,15.321601851600143,0.0,8.655150017020759,0.0
Asien,315.39253642579786,0.0,16.208217605315888,0.0,7.549439443594526,0.0
Astän,348.67484895038956,0.0,17.00462894971106,0.0,6.921879760763886,0.0
Athen,364.0975058136986,0.0,17.456813722551765,0.0,7.71491669416381,0.0
Atmen,384.25828695959194,0.0,17.93924726094772,0.0,8.622253228451317,0.0
Augen,393.0445700714164,0.0,18.107971487091493,0.0,9.738026714315097,0.0
Aurer,314.52535110424105,0.0,16.23568674668288,0.0,7.810690509132346,0.0
Autor,323.7762098126839,0.0,16.448784278993145,0.0,7.971141389322672,0.0
Babys,396.7535711818596,0.0,18.172836283147273,0.0,9.574526962298826,0.0
Backe,383.92434401727144,0.0,17.908510168314386,0.0,7.544231680257438,0.0
Bahre,380.89874386687984,0.0,17.85722646830981,0.0,8.251398562374696,0.0
Banco,370.32051720860375,0.0,17.575970292796452,0.0,7.553581484260539,0.0
Banda,419.8097952791208,0.0,18.751674166319095,0.0,8.039893248675469,0.0
Bande,407.72756225136834,0.0,18.46475978833732,0.0,7.5840921374052215,0.0
Bands,397.18374867955,0.0,18.217736177379393,0.0,7.75252765203996,0.0
Banja,386.2766692872415,0.0,17.974745327777317,0.0,9.682503131697825,0.0
