,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,351.5436530563337,0.0,17.128830411190034,0.0,9.407397396085662,0.0
Abend,402.6364648363565,0.0,18.354774260913803,0.0,9.067458776850778,0.0
Aboln,367.5692164412992,0.0,17.56920998531512,0.0,10.636265310616736,0.0
Abtäs,366.3969480084287,0.0,17.410992536749436,0.0,8.265615366481018,0.0
Acker,336.0935003726939,0.0,16.770297355558448,0.0,8.365347381064558,0.0
Adern,359.76833063934225,0.0,17.36087625715477,0.0,8.51153355468274,0.0
Adler,339.97373754827356,0.0,16.87878976044982,0.0,10.501671945397861,0.0
Adria,342.3747579585955,0.0,16.938849540875196,0.0,9.535943694740068,0.0
Affen,372.76725693089094,0.0,17.587873046472282,0.0,12.290204780402926,0.0
Agenk,411.2763598920638,0.0,18.549795168089318,0.0,10.77179619941037,0.0
Agent,375.1519685106857,0.0,17.650250493789205,0.0,10.420479367976409,0.0
Ahnen,383.65740582217717,0.0,17.96102144542129,0.0,8.295860061555816,0.0
Aigön,379.624487402039,0.0,17.771535098164748,0.0,11.509387320169088,0.0
Akkus,388.775921617627,0.0,18.105634022632085,0.0,8.759854231512868,0.0
Aktie,335.0386971586395,0.0,16.74901004315955,0.0,9.028566129385657,0.0
Alahn,376.01135703851116,0.0,17.799815575746898,0.0,10.898233346274788,0.0
Alarm,370.75447352468916,0.0,17.66997363831591,0.0,12.258951795195774,0.0
Alben,364.56066537721324,0.0,17.486875822338916,0.0,10.285892819834325,0.0
Algen,374.7849709892165,0.0,17.688075638642456,0.0,12.40946025276662,0.0
Alibi,317.0757681394448,0.0,16.34242089885462,0.0,12.336982761237122,0.0
Allas,317.56739310126045,0.0,16.298503874366478,0.0,12.036473150587417,0.0
Alpen,364.44256180675217,0.0,17.496603491232882,0.0,11.239030762186664,0.0
Altar,314.4950472797253,0.0,16.224911959761577,0.0,10.758968635210843,0.0
Alten,327.8774628928202,0.0,16.562551641821564,0.0,9.923376999871389,0.0
Alter,302.50076236051405,0.0,15.89494949688717,0.0,10.405194714458743,0.0
