,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,3609.1532654856605,44.603065470929195,61.50375181814314,0.4808499223188166,3577.1514568259313,39.466793859682696,2955.99,34.6053449628811,2975.5983988467947,45.1528424364536,60.94033256578382,0.6324845632292856,54.386085832088156,0.30605206213965164,59.30239149105175,0.6619327780397125,94.83147748953728,0.9342011565488644,84.97960453997197,0.597884063304472,92.2313287904405,0.9833545074410802,,,397.60998927248244,5.9135959725747105,356.4865347458991,4.016529278717001,387.2801439720821,5.901687174749488,19.109752241632542,0.5545092233074552,15.75978278589163,0.2864992970444511,18.472275345230376,0.5341056668470237
Abend,3636.2917763766955,33.93422413770513,61.90111642549593,0.5117477509287914,3580.308319193665,37.493613999517656,2956.48,42.29148377628763,2976.808760003521,46.56450345272487,60.83679827491625,0.5584263897477455,54.37691328803803,0.3336184425237107,59.19872409732013,0.5893071296809073,94.61539327743665,0.9990568565502981,85.01091554083594,0.546992830681137,92.0157191670275,1.048594511629261,,,398.14720961162595,6.07637727980101,356.7914786546677,4.023604814485418,387.6343528524553,5.9219877132885195,18.911166588296865,0.564827812001505,15.83148952450792,0.3035746643137654,18.30799396920785,0.5348677767925073
Aboln,3618.154269671756,32.80955286243219,61.55963650154934,0.5499212231591597,3581.2672554896017,34.07256313895336,2958.5,35.40833235271043,2981.3455723869174,40.47646717613,61.00731462656852,0.5639186797205756,54.45122461873537,0.3227034552462665,59.37981826434605,0.5896689321747661,94.64427485232748,0.8785800658873664,84.99352607252969,0.5631000949092346,92.02394576040108,0.9193593428600153,,,398.4795222716152,5.403943859421566,356.4677624831891,4.280084891431137,388.2520716778505,5.703869290292591,19.32015234182385,0.5329499181020706,15.802821139756354,0.29993873760710105,18.71021952782366,0.5228082350346585
Abtäs,3615.595962788687,36.708162689515014,61.55835873950906,0.5903149876703658,3577.850251212272,39.638915782241824,2958.67,40.5334565513478,2976.493847086418,47.19974279797259,60.778386260991226,0.5518685419687454,54.343062879326034,0.3186171583820447,59.12512687910912,0.577912155236411,94.60571829448294,1.0238931048408528,85.05224769092047,0.552197925674753,92.0030108718861,1.0749494350334279,,,399.61643655221457,5.9113283014766225,356.01591010209563,4.274448630162901,389.09914250284726,5.8941883119651886,18.805796946366815,0.5168711628168567,15.736851471138607,0.30021656410652103,18.201695950199422,0.5043903237427719
Acker,3598.1154421476153,40.15952216573247,61.38267163299036,0.5862198133658677,3577.577830352399,36.19943064018353,2952.46,33.05644263982439,2973.982455624172,40.30270576504834,60.66712569553614,0.5807945516745532,54.349101841423014,0.33930669110418854,59.02448702444313,0.6143540361307698,94.46728617298362,0.9667467092566235,84.97132627130624,0.506317535874259,91.86306651569583,1.0084661439755624,,,398.8153993290762,6.479484721312491,356.5000690106934,4.541159484693945,388.0165945164577,6.247251020741347,18.620890541748977,0.5262239314571493,15.731179285494601,0.3094992666561845,18.009642885609974,0.5145129434647528
Adern,3611.0312532479275,37.90030748865238,61.54731941276055,0.5716323375871984,3576.060028129344,32.45897104231496,2953.47,33.93212489662267,2973.5800158324646,37.823458386194936,60.66203281927638,0.54595014522173,54.346641436409165,0.2873405338151198,59.01289149572088,0.5721923783552741,94.50529787783609,1.0388671248559618,84.97471403959818,0.5943427496136532,91.89863032244803,1.0942225720402783,,,397.89798129058875,5.717928984648934,356.6395525185371,3.2461217409913585,387.6848336705292,5.771671790329561,18.94047345954285,0.5585048117422856,15.81350438198096,0.30363487637736675,18.337942490251905,0.5473878140555862
Adler,3604.9083354848863,40.826438020892475,61.37113738907527,0.6680028805894265,3577.9208116946884,34.02909473365717,2960.3,36.6588324964121,2977.309296547221,39.16173288064041,60.8339230201384,0.5467425131125607,54.38458341012996,0.37025303053150493,59.194284287187536,0.5755077246651739,94.55986405477982,0.8696862955897745,84.96330397974705,0.5343524410316205,91.9435396524051,0.9082945003031615,,,397.53498438149035,6.0570302390216595,356.58167601219924,3.5149206979953176,387.31159204977104,5.9926448918127715,19.112656744937215,0.5285844159393895,15.776574673224902,0.29109076719241395,18.461488838319045,0.5220497995175858
Adria,3598.3920170164215,37.05967233356028,61.40402851370972,0.6282461742781356,3586.9377342010853,35.8896455315715,2965.57,37.652424888710684,2987.0879287534735,41.23932689412566,60.921720808839,0.6315467678712766,54.39756957467304,0.33826671223366456,59.28855146855955,0.658235446893421,94.70904983441064,0.953782219322267,84.94246747695253,0.5951451375559464,92.10857771457384,1.0033952548602056,,,398.61443857666404,6.229422337779374,357.38636298357926,3.8849654180033943,388.1504906872392,6.296588310346319,19.468429803412477,0.48373223756607964,15.789798768320738,0.2954358993010208,18.83135885087596,0.47785007930752926
Affen,3616.1498505045047,35.022402640589625,61.489033599807634,0.6034504874487756,3582.9233162511,39.02643020504439,2960.54,37.752197287045426,2982.7056446827946,45.979004445833596,61.017441552686506,0.5781268536024101,54.45347527821468,0.359207634749163,59.387063049307955,0.6078096312781347,94.97004534933933,1.0520730382090893,85.02935110321933,0.5699849222038221,92.38342645539011,1.1018766498555763,,,398.5279024435491,5.960933952237852,357.09235544916453,4.041129209235277,388.43367135159366,5.948643345076451,19.272004816779614,0.5076783370945316,15.773465095171519,0.3596476711595842,18.652818681705977,0.4988268241746379
Agenk,3630.2739690388325,36.24344314387092,61.884606679175114,0.5297210953973165,3585.1011152530755,37.12549446877328,2964.66,39.51916497093531,2984.3352128599468,44.76686472331384,60.89475288299711,0.6139628018260865,54.37109965690506,0.35145710819275916,59.254653011987784,0.6404710895135549,94.83831548124813,1.0549907296482854,85.04924539159921,0.6211340978899811,92.24287351912842,1.1092435676952468,,,399.9160455715376,5.904007790543128,356.76765491302183,4.227699993071742,389.5748515475696,5.987175597547863,18.679990790072033,0.5005425320720231,15.779592062332418,0.33321745193328367,18.05414009381032,0.4723189248225239
