,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,490.03002071322317,0.0,20.7667223943591,0.0,11.09050934888146,0.0
Abend,568.7485009597253,0.0,22.31866036949442,0.0,9.445177358258626,0.0
Aboln,489.936217375038,0.0,20.664897119253286,0.0,10.789702983030269,0.0
Abtäs,533.64491436314,0.0,21.673861959728644,0.0,9.548631871177516,0.0
Acker,485.95515563678913,0.0,20.584862100040787,0.0,8.493489218190991,0.0
Adern,509.12026906862025,0.0,21.108260646986324,0.0,9.426575993756211,0.0
Adler,477.4362503187833,0.0,20.378735491754327,0.0,11.547631705076606,0.0
Adria,461.88834352539914,0.0,20.087423861693765,0.0,10.851407987605302,0.0
Affen,513.898985336675,0.0,21.221416645244283,0.0,13.335866216555244,0.0
Agenk,581.1058456696888,0.0,22.558739074997316,0.0,11.195121475829982,0.0
Agent,538.4824537551392,0.0,21.77414189379858,0.0,12.615921818840686,0.0
Ahnen,523.7345181003823,0.0,21.414647121378575,0.0,8.90412424263637,0.0
Aigön,512.0976667638544,0.0,21.158978225412405,0.0,12.1678346029278,0.0
Akkus,540.047447382267,0.0,21.676413551795132,0.0,8.624427407227186,0.0
Aktie,465.1607123050286,0.0,20.12420149533075,0.0,10.615690180747775,0.0
Alahn,491.29053825867015,0.0,20.711102252991854,0.0,11.643316829931608,0.0
Alarm,490.1608798624784,0.0,20.658451984466357,0.0,12.556432069097863,0.0
Alben,501.73617736832796,0.0,20.888024491402803,0.0,10.809321458526668,0.0
Algen,522.6731381251378,0.0,21.360569599919668,0.0,13.753602585795603,0.0
Alibi,396.9842927743449,0.0,18.462773935610894,0.0,13.343716871785526,0.0
Allas,437.3095686917262,0.0,19.456248179860186,0.0,12.748505041758666,0.0
Alpen,504.51994195189764,0.0,21.012062199628936,0.0,11.945307433913708,0.0
Altar,425.5411869540719,0.0,19.28717397699996,0.0,12.725174597264678,0.0
Alten,453.07398862776324,0.0,19.871957507245813,0.0,11.735871773835347,0.0
Alter,426.35739133941604,0.0,19.272826313521616,0.0,12.375623473714741,0.0
