,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,489.8603532684581,0.0,20.763388471117082,0.0,10.990829704250668,0.0
Abend,568.5473669809255,0.0,22.31553429101595,0.0,9.547486149862316,0.0
Aboln,489.7976623824069,0.0,20.662575522059555,0.0,11.01895286828285,0.0
Abtäs,533.5172731108407,0.0,21.671559922844512,0.0,10.01058315315028,0.0
Acker,485.56821401768934,0.0,20.577332973898383,0.0,7.9261393143561465,0.0
Adern,508.891732695511,0.0,21.10455674014086,0.0,9.253053735261657,0.0
Adler,477.18110433794897,0.0,20.37400630565519,0.0,11.090219093920089,0.0
Adria,461.7568706979705,0.0,20.084706055516474,0.0,11.145371264673075,0.0
Affen,513.4672080111773,0.0,21.21367092100693,0.0,13.02819319835747,0.0
Agenk,580.9005211165163,0.0,22.555854266015686,0.0,10.898058851190513,0.0
Agent,538.2601601922804,0.0,21.770208771019163,0.0,11.972235010072861,0.0
Ahnen,523.5148185471028,0.0,21.411330626811555,0.0,8.74366814883299,0.0
Aigön,511.6894422141704,0.0,21.152049851604502,0.0,11.698768861309604,0.0
Akkus,539.8799885294516,0.0,21.673617224694198,0.0,8.90170931926688,0.0
Aktie,465.0110617811414,0.0,20.121284207926056,0.0,11.020322170015056,0.0
Alahn,490.77423412063905,0.0,20.701867977723108,0.0,11.17296917388108,0.0
Alarm,489.66045098686095,0.0,20.64967058254387,0.0,12.248295604803431,0.0
Alben,501.2573188544287,0.0,20.879729337656887,0.0,10.321831995319148,0.0
Algen,522.178606046508,0.0,21.35204660609452,0.0,13.2026053577863,0.0
Alibi,396.58177633882735,0.0,18.455198206883384,0.0,13.039263668509973,0.0
Allas,436.923005380364,0.0,19.449041461617664,0.0,12.620784827443815,0.0
Alpen,504.025638758921,0.0,21.003334074429947,0.0,11.370769229121429,0.0
Altar,425.05991316444465,0.0,19.277674657090124,0.0,12.01845780809662,0.0
Alten,452.5977106332416,0.0,19.862930231052204,0.0,11.220080521006015,0.0
Alter,425.85873229370327,0.0,19.262938266934647,0.0,11.624927364937177,0.0
