,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,1404.6133420889062,10.20189442723362,26.22686556722529,0.16703215576860253,1335.824694452461,11.545774886288187,504.69,15.821311576478102,346.3458082237746,10.59035430833896,22.47162996290463,0.16280788152422548,22.401200415753816,0.35527444776005845,15.810330471434998,0.24246225140660246,368.08775951513724,4.053389995092811,235.40614806041376,10.615463574232953,149.67152813093006,5.804603001290579,,,470.9957529204648,6.404298441360204,467.5361461146741,11.514801206708894,291.9532871764044,6.895666904217688,12.477473068406562,0.1633197233925745,9.427148915843402,0.3020381157017137,9.285704122534613,0.24059695565404352
Abend,1466.533488280826,10.190464496108001,27.495737500755567,0.1596509632240544,1382.1145184668142,11.634554482717691,567.2,16.795832816505406,400.4750039319079,11.148272130814046,23.48428427142968,0.16394763315169045,23.756046700841402,0.3320318470300162,17.27896304715535,0.24686675035549802,383.8329960640855,3.6110348005795303,263.57632422349127,8.789666459666943,184.8904801209924,4.842390711095924,,,479.8548855246961,6.934565570821935,482.2875476062489,10.50876738330708,309.9578129666421,5.97358112095815,14.214794435070594,0.1733236265100017,11.161462757952972,0.23944454577914662,10.940589511471474,0.2259827622251125
Aboln,1404.0546184323075,9.961646399070734,26.204897019921802,0.19282301184176137,1331.9864506622691,11.01380907070969,493.85,16.7376073558917,338.944761029526,10.758783990804707,22.371665847957587,0.18349382827409078,22.22896087969827,0.37854749879470434,15.659041517229056,0.25674908972197125,370.22388453146255,3.399059797811712,238.4461984942028,11.883965094470652,155.19383620487483,6.5180728185192285,,,472.06690281899023,6.699708096528476,461.0462786583123,10.063839233546972,289.60306504653795,6.066449299183007,11.825299398657975,0.1637182058236911,9.3703673198965,0.2914064879096693,8.691171720274177,0.23865162635175854
Abtäs,1441.1872612149514,10.299755413814708,26.97010029147747,0.17140210260590233,1359.6082915609686,10.889534320837896,537.06,15.2740433415648,372.8440510982458,10.053035745983701,22.971161776711046,0.18723241050458997,23.18507485102927,0.3497201054700194,16.5350672075908,0.2625496032527089,372.0450333747583,3.858713383121517,244.18178003451928,10.15237504885941,160.26381867173322,5.7121084333667325,,,477.2739873385225,6.6572507717143,480.60250698913563,10.400950860256845,304.2663512115729,6.3846291345429,12.455917219511118,0.18193348749855542,9.77832995832384,0.2569042660046224,9.404146130655187,0.25813326385782487
Acker,1398.549591049809,10.87950109400074,26.134227090062364,0.176442770417903,1327.8653822531257,9.679740352069796,494.48,15.528992240322614,337.4351200731053,10.134625693728632,22.299928773562407,0.15929356616808069,22.161399072875906,0.34984444076628,15.531685608330509,0.24337379496988673,365.27470267129485,3.6904035840740703,228.09537955556866,11.004368967549533,141.8820927125776,5.886131399737424,,,469.9848667864246,6.684906045056253,466.2164497353605,10.420961970031284,288.4409490552431,7.459516476433701,12.279734830872439,0.15525143156051943,9.222772293564926,0.3027282093534222,9.037759486744738,0.23690601242806494
Adern,1419.046546769051,9.84854556467884,26.529176387920558,0.19162261010621734,1330.6280903742156,11.39764147229028,497.32,17.713204114445247,340.1175172753245,12.073158527988253,22.3740978696746,0.1707539035409527,22.32575880379666,0.34712221867195514,15.665897172917006,0.24608636601468037,367.07422703596274,3.521963443729292,234.3202421547999,11.379593655697905,148.0331063440874,6.293165043106828,,,472.5391452386071,6.364721850885554,463.2317442212761,10.599285944007189,291.05836032377084,6.408224667551263,12.12560135390851,0.19956314185638946,9.660409423688241,0.28737803528519057,8.994841641439303,0.2870562081490653
Adler,1392.550699099339,9.350494566373689,25.91073012311351,0.18661356605348262,1310.2974195472814,10.134397030976146,458.98,15.578177043543958,312.35305075158266,10.248729276161383,21.96652342503976,0.18015112310858203,21.447071893569863,0.3363141270380681,15.0212411596189,0.2575512032106568,367.78216091150165,3.089585147274202,232.8414131063398,10.342761565722853,149.94180903012233,5.482040862920153,,,469.595532912213,6.5087325440589705,456.4261267578938,11.1932325755146,284.92930058280706,6.523320566170828,11.622301001915659,0.1848892863112897,8.759627285140422,0.27515522437194895,8.234327522678125,0.25769829175887726
Adria,1381.0690472636875,9.7490031962006,25.716476849537116,0.1727839057800764,1324.335443463169,11.241194003237908,486.58,14.703183328789722,332.2720788193849,9.928922146795957,22.2255379594675,0.18428219086084086,22.065416871679137,0.3426051357141773,15.444710387416805,0.2559546446778248,366.512874150203,3.817498330116097,230.49466001467906,11.116174458579017,145.51112100708846,5.789397133197422,,,471.40544412146227,6.018812987368936,460.6474230019776,10.405169903735047,288.3099237029192,5.378538506347137,11.696451111256783,0.1612117165915554,9.207751019461881,0.27587278721309266,8.673390851438539,0.21110359502662218
Affen,1421.2961993896013,11.084779921627016,26.61167399543545,0.15685508396594827,1354.1148436387311,9.540006383656733,520.05,13.135733706192434,364.24139984438136,8.874471397675142,22.99436471034786,0.1757328385033492,22.81938082960206,0.3403800134998772,16.510812244344358,0.23998916139969628,380.4924505430601,3.378956121735742,257.10902627687733,8.983145618578687,179.40581249280177,4.868051630507927,,,476.16750915930817,6.403090670135128,476.36206827946575,10.6129503328817,305.03956617900064,6.221821054697355,12.883711859463599,0.1476127856177655,9.77930612816672,0.24904420249518228,9.48171785375726,0.21966325874186837
Agenk,1477.0292673254087,9.668015881171465,27.69632326009716,0.17128713334454046,1390.7612496176475,11.236593329190347,579.63,15.662474261750601,413.6642136409446,10.98898215866016,23.805218260404285,0.17443878379406122,24.053456783353596,0.3020211438640554,17.732205325766184,0.25018749841545357,404.48426129685004,3.29347850226846,293.99015887136,9.841920920279524,225.81659837019234,5.176229514757233,,,489.38225908240304,6.658164359724524,489.12229179526037,11.052228661167801,323.9034825070199,7.085698190560997,12.870007947107403,0.18160723758712352,10.418647419212244,0.3127711624095864,9.814868968280354,0.23141483083699538
