,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,1498.7002968618408,10.787832460039223,26.693707272347897,0.18095549129858157,1367.1749838907574,10.655843622474382,420.61,14.430450443419982,286.031529341271,9.551094060421757,21.881912021469383,0.18183150310355248,20.530136919021196,0.37878501322367686,14.354210876023663,0.273575347503134,396.7077604006052,3.1161927077534415,257.68743847641355,11.242633031613716,168.8380018022725,5.950812819899828,,,583.5487301727943,7.697352765892611,582.3763833304125,13.574459743714407,340.45191460535176,7.75383967716899,11.726798691777395,0.164940498902497,8.327564055280384,0.2831103303580549,8.432693489225398,0.23541159349193233
Abend,1561.7778944400777,10.336538206568326,27.928711109664146,0.18960928472956676,1377.7441372488026,11.87961206440606,427.51,16.309196791994385,295.82481658476775,11.03839672771148,22.175562231007905,0.19978191319403538,20.72040819914931,0.39329894562028267,14.783063843655768,0.29293224983740923,407.76466887012634,3.5642081742028613,278.59070078519557,10.403052228960345,194.0553947189497,5.7261745008431575,,,586.6710691367085,8.333055780581663,578.2177560695894,13.954951733952964,344.12163782936784,9.095552819684894,12.025266954979244,0.1670225373512361,8.77905786522234,0.274312178914485,8.668034855601997,0.2350186486511635
Aboln,1497.2470277081009,10.980651809508773,26.62627790238881,0.17798941707170451,1394.6563329373666,10.547134720585595,458.01,12.496795589270075,319.0268420700343,8.782424645810275,22.56940203812829,0.14903187984663574,21.422048255058098,0.36857639365849665,15.38906027020928,0.24007102956592025,400.4047547978834,3.439556915719329,265.12188216186075,10.391436446787194,177.14019591782719,5.818470364102102,,,584.7811443848198,6.742125556701728,604.8460319616203,13.14333530977355,347.3640257782933,7.704219293640947,12.782963242781982,0.1610416501075061,8.713567335823353,0.24077434534715503,9.636519205305211,0.2288850632889645
Abtäs,1533.8319047807163,11.241909334302779,27.438092839006025,0.17582920593414172,1383.9051209871736,9.719149830656937,443.5,13.494813818649,306.1977952686365,8.758167632201447,22.298846328030926,0.15764499591905126,21.06570082963274,0.32595790588725565,14.99005354352083,0.24533204190403604,400.4262255701298,3.777644336560841,264.9919544874719,10.615724117140156,177.23088598679237,5.745256303135973,,,590.9332963046479,8.04984928632032,603.523734109461,13.816959997452523,351.9641579846976,7.384858355526007,11.944782800828223,0.1724248934912914,8.408952519121371,0.2762468941306481,8.721905660328831,0.2409435199950175
Acker,1493.6102253569077,10.720782819961372,26.543168616754418,0.18270289887340355,1355.9172367388057,9.912490331337844,400.65,12.561349449800367,271.9977250828681,7.898551421308767,21.675282216218758,0.15845530878173664,19.94127283730056,0.34005533129027316,13.989736404318414,0.2395765673307418,389.8680774366861,3.6862819029089713,243.0638386988732,10.679075231872378,150.64914416197752,5.8861295695996665,,,584.4553772361672,8.64423576483922,579.7698070048434,12.926847180348291,333.25859966597267,8.126291911624348,11.065574766461841,0.15821892751195665,8.128833336700227,0.26813361113872464,7.873607837746032,0.21922463233263598
Adern,1512.6994846455264,10.411459267929962,26.950759380700042,0.1930984668947362,1353.8509032008244,10.463219950211514,398.3,14.177799547179385,269.64161818274255,9.256996979414799,21.640858130523025,0.16510724711342392,20.039104774670516,0.37984184837553875,13.921646171118612,0.24752517552370762,396.5496756992442,3.475940986981584,255.40444510355636,10.469662061730002,168.44942136923936,5.935648901719929,,,585.2744194639481,7.6774514470696715,571.5163796797926,13.474280246666062,337.5012691254953,8.71629359511798,11.013923281776172,0.1875462321523748,8.185430277851292,0.27970475890917423,7.67854760880573,0.24496041540408026
Adler,1485.0700936062035,11.588903343770149,26.393161547988853,0.17143838807752337,1368.174985529446,9.761115144100179,416.29,15.0268393216937,285.3658048716136,9.62411497996505,21.95210017005945,0.16470468447957037,20.403624790293204,0.3195237345371511,14.404644289170765,0.2424565942774696,398.8409331967751,3.8782993108049824,261.59477022269976,9.919322093287782,172.78261035390625,5.922134421903911,,,583.4962064789214,8.903892989094905,584.5430564894251,14.009099118568026,339.567455062457,7.88191705459092,12.205510854551882,0.18600016930103028,7.987485810093408,0.2747677285985406,8.68780237673917,0.2641502839903149
Adria,1475.234263907699,11.420609049420106,26.196886061564566,0.18272624799318316,1381.5310868748563,11.17508160901429,438.64,16.10125460950171,302.3399868646938,10.269718221891985,22.195990874845684,0.1554950256786272,20.88331599201242,0.3565293504864093,14.827746353940839,0.24822692367777774,399.2088305407122,3.459380037003758,261.46828960692847,10.1538079387854,174.24330222348047,5.437757046423364,,,584.8964580099379,8.409243757119686,597.9633365154523,13.039544578742774,345.2745465757056,8.503527239646408,12.377929144785107,0.17420036998855934,8.317842345562799,0.23913348601888681,9.098948219601846,0.22542057849511812
Affen,1514.1675278061387,11.657833454526662,27.071696354587125,0.16451104747148942,1394.9330323947931,11.857126033644711,459.13,15.730006357277801,321.07499467445405,10.350646903428471,22.596449389386706,0.1598151786581191,21.390904117903048,0.29869887625879815,15.470732452980469,0.2247506000550133,404.3825073436702,3.2903881435756412,269.04949222391747,8.864599582066884,185.2723716571198,4.987140025904567,,,588.4952434603051,8.215850101238107,606.9806472584504,12.826740654780279,349.6038746667762,8.151021436111733,12.745386796538007,0.18041959647201017,8.515616628757794,0.27921736466488123,9.444315178327296,0.2519956725471529
Agenk,1569.36753743319,10.643813671236533,28.140108965746645,0.1801798188519943,1403.2464239281142,11.07485005795973,462.03,11.969507090937372,327.8133386517546,8.167140576990343,22.827402740635957,0.16658962566415872,21.522045764794928,0.3339851764263754,15.777844721493961,0.24924525697448424,426.05406215564284,3.8144310261009995,304.22790841261644,9.75348080575148,229.59119390022113,5.530472857990518,,,593.2516120453384,7.7382524625933575,600.0050015196509,14.362052063581366,361.3527607010473,6.859623219954413,11.893939412134719,0.17516090654348393,8.59418932709684,0.23564629897681147,8.792552408477883,0.23612035390046962
Agent,1537.6999775573165,10.215915745328338,27.49555295738977,0.18533182640490176,1379.8391438970305,10.373472224753828,431.88,15.59633290232034,299.88562555282056,9.974063125939027,22.260630150344056,0.16925036844097363,20.773684884995326,0.3521594793791978,14.910180959818781,0.24198877355284115,417.4477436029504,3.8390314829578456,287.43821400219866,10.085052211613021,212.8802207932287,5.90155043389373,,,589.9622672954447,7.463552549191009,594.8227897103392,13.126874552022567,355.0228388330729,7.417892845642856,11.91202910551305,0.18279141574084007,8.16687780273296,0.2596527442289017,8.494518768471744,0.2548971592989342
Ahnen,1524.6568637750831,10.712580153282001,27.203649288095665,0.1756455229401033,1350.5834426406757,10.053653424290642,393.36,13.230661359130917,267.6876302326744,8.571792538829303,21.601758767930278,0.16722794425574058,19.847591470559177,0.32111184622593136,13.89436487382321,0.24175600107667372,391.07579236795755,3.6138369481259156,246.71493123536445,11.038547716930685,154.95763293489293,5.789104106001706,,,580.331245636569,8.39521657676771,570.7772879585974,13.547187419014746,328.0953418728981,7.751200551795247,12.244849802539905,0.19017916679902064,8.210493026072585,0.313918645378127,8.61161703256329,0.26472983398884015
Aigön,1515.931490089705,8.964396842453601,27.026471246479513,0.20399618985509377,1388.48123617782,10.802501980606445,447.81,14.177231746712753,311.6791201275792,9.430491655723504,22.441510136352093,0.1683320319788711,21.18435235786896,0.3784378121327503,15.210494187565597,0.25172135422448927,395.9395326020525,3.801719927829406,252.5286934846449,10.586371484641413,165.86313041876053,5.99393627200322,,,586.1666181590823,9.140289551549467,594.547740417387,14.513533713690784,347.3917088085068,7.034359865190472,13.074358152069886,0.19088266754059566,9.944459452740144,0.28775952054303744,9.771848722273761,0.2331500008341564
Akkus,1534.8244546473195,11.62433706836454,27.419883437019244,0.20067328252001082,1420.6264232740643,10.624224264781809,492.0,14.28705707974879,350.22721096811125,8.891188870465756,23.183996699739417,0.1845224984659759,22.226924723323126,0.35187688717373095,16.329223393993676,0.23670326578011142,404.2962116541504,4.116337993003405,272.38060147223774,11.451069694746012,185.27428968890592,6.1583768811506,,,587.4095942228878,8.47105366510353,627.0438540575673,13.676552912252461,357.41014721306993,9.249576546209028,11.913256597348438,0.1917375104667219,8.927391698493997,0.302604577427716,9.095476061535399,0.25498920136942754
Aktie,1474.814782087561,10.53266164941827,26.214979382314606,0.17502603968173977,1417.8817790209685,9.678378971579981,492.23,14.288355398715417,348.24276180116016,9.200966891629598,23.095596189691317,0.19575939682344168,22.25991797210932,0.3550378500453232,16.209626128849514,0.27331121301136646,400.1396121985173,3.6089020775263996,265.9103769420408,9.507447435471788,176.55696446430974,4.98072399010356,,,583.4111000362917,8.135394140097574,635.5488040403017,11.980105188088155,353.02998753655066,8.377650552476434,13.308274231021894,0.19530393764137277,8.759357380700482,0.3026672595141743,10.255783932495447,0.263526623879029
