,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,3757.68992212671,36.83989613629051,63.41020998287377,0.6249627477233367,3679.0876823367157,35.638271980329755,3038.66,36.7258001955029,3060.55690217073,41.82938448255176,61.694347508733614,0.587145342077226,55.05076020858564,0.35185289085538074,60.03137347976671,0.6206228382890345,90.64829228499839,0.9011426982146324,81.42529580851536,0.5189727302572129,88.15439843430394,0.9539105226899398,,,220.57584107940292,5.870783952919007,188.1621994267354,3.5681521611641043,215.0767260775748,5.768218804590613,27.939761573373982,0.3859195025203876,26.698020539153536,0.2933622170513984,27.147177131763154,0.3984518927432002
Abend,3789.4091568968583,36.648976984164975,63.796297998883894,0.5570090953933876,3694.0167268327873,34.961174328353444,3046.93,36.767174218315986,3077.845427882694,42.41572086558033,61.967765984707675,0.537420345725588,55.17414463452415,0.3518008649942895,60.3234357828136,0.5646940603689168,90.95867215381482,0.962370059117887,81.47739053691798,0.45934439657175996,88.48141745137346,1.01131823497898,,,220.69274638275564,6.203694140845235,187.49972988605433,4.110241829469679,215.0233290027802,6.0595494092315745,28.126530538107758,0.4522403365415836,26.88954762157805,0.2953354562309538,27.3444164977688,0.4651852395157217
Aboln,3758.8185413305364,37.422941684941776,63.249733854291364,0.5167175651539373,3681.3262220531124,35.29174829698242,3044.35,33.83263956595761,3064.0681275125085,39.81539834185233,61.87138327832661,0.6047643504351827,55.19902151164668,0.3578046349186893,60.22320313711739,0.636599963061399,90.65459487251486,0.7602063327592924,81.38145897106742,0.4703974119362136,88.1571565538554,0.7959756037476691,,,220.16837358499396,6.005017202110943,187.59894826831896,3.954247747520377,214.39788950778944,5.786713638726729,28.063252643072865,0.3892263807305432,26.69640108962818,0.2678929426343742,27.262670833506558,0.3833154194103105
Abtäs,3783.859700478538,38.71253597013843,63.619829966728595,0.5859226156517285,3681.9869270584813,35.22019013187902,3041.8,35.09073951913809,3065.768770070965,41.3388995821901,61.761712092454125,0.4838546055418299,55.14154270366728,0.3166516376694703,60.10211832192642,0.5118420938952856,90.6971545695488,0.8973881679916491,81.47453473187652,0.5430588593364318,88.20890520310117,0.9479149930222348,,,220.0690005547657,6.2956570998343535,187.82938127176826,4.743476652501642,214.3772279999023,6.297547259075407,27.8954017129112,0.3642414458275468,26.747917177678048,0.28500265988390544,27.10478349585992,0.38816759337572526
Acker,3758.042203919926,35.68930072029541,63.15450051113031,0.6799141526231943,3674.12238003437,32.11319983151327,3036.96,34.351978108982316,3056.1280961291527,38.71372692383872,61.61954025000486,0.5576133205063946,55.124142272239276,0.344874977234428,59.94961334884833,0.5859809920860918,90.37096626667577,0.8537777781650062,81.29710536476351,0.46310687675410217,87.860410610869,0.8855550985797148,,,219.69288011802826,5.9133584735667455,187.61587553421785,4.086318095601027,213.95406869052545,5.883401800412474,27.91650546930349,0.41276558266582675,26.658579818050097,0.3035054738689997,27.120335599053625,0.4238213768562981
Adern,3766.6783163618734,41.23676066029031,63.433829957715076,0.6510329360582505,3669.005173828258,37.02085116008762,3032.42,35.85921917722136,3050.902097376432,42.39373127623548,61.67275473686189,0.5344947051789811,55.156684076037855,0.3319664684176141,60.011057271685225,0.5595672775023496,90.5394760846716,0.9232954518548038,81.39862347033952,0.5319426259903908,88.03897893382666,0.9711374417709346,,,219.6516001686624,6.087489238314607,188.46147538210064,4.85506214367828,213.8036292097896,6.021730576243748,27.869896054840567,0.4043581641772083,26.702780134430512,0.287587086398222,27.076974199847836,0.4060514911105824
Adler,3756.2705447408675,32.621279389273056,63.16119762115965,0.6088418713416434,3677.406250747571,38.82578336436913,3040.13,36.599086054162605,3060.06143063342,44.37526497438745,61.78055594629074,0.5455889196186999,55.11469989568454,0.34620139894447627,60.120152206789896,0.5771122116969805,90.58345281035443,0.8695699666559946,81.33407081024139,0.5999514366766892,88.07260979088728,0.9100118230971634,,,220.09806386215485,6.2577657157438065,186.92062105297026,4.5169980134577346,214.34219213487359,6.399253303535046,27.947597139035874,0.36824511800556115,26.701000132957294,0.28193781265521983,27.14580711883075,0.37636325441460694
Adria,3746.6931473461805,35.545764907291236,63.03897474448334,0.5997676098594056,3687.401083074682,39.57558478452922,3045.7,40.301736935273645,3071.9693175552316,44.842025022494425,61.71836609251299,0.5824404344194428,55.16415681556569,0.32527346599262275,60.064125886052096,0.6102595114220117,90.74724410692222,0.8454407332096912,81.41858313058556,0.47317592713835904,88.24461548643706,0.8866768409300851,,,220.208775767964,6.1651674450966,187.53527145549185,4.573775198968941,214.21552596318196,6.086720795078251,27.98148907240357,0.37559072825425993,26.747723403636584,0.2761969668959125,27.19014757381142,0.3862335322170821
Affen,3773.154686025489,32.99906121760114,63.489695374487404,0.5805604076098865,3686.641740064415,35.23618457113798,3042.86,35.79972625593665,3069.1935237227895,41.377578343043126,62.04189451916187,0.5854081139616716,55.18231377540502,0.3771556611591663,60.38896157609527,0.613898082118288,90.88068318921859,0.796155648211663,81.41707092548869,0.4138785903190111,88.3975742904441,0.8368424728941503,,,220.5700875972716,6.939328789443055,187.9584256993279,4.596801364638019,214.958980997533,6.607862773792014,28.168925022890413,0.3451577205434447,26.73180775358115,0.29198949551117753,27.364714709505456,0.3532266931906431
Agenk,3794.0526424664913,34.176676997515365,63.968487322879234,0.6048640231958673,3695.607286351911,35.74243260349241,3048.28,34.03618074931439,3080.923815348077,40.205922975583,62.06668679895047,0.5591836834444961,55.19389843731406,0.3515327743742237,60.42199085232518,0.5922643756669014,90.9181478667496,0.7344061164737954,81.45729827782337,0.44987476491957906,88.43236219373617,0.7696227193552948,,,220.70261387345488,6.705272347981295,187.596323116677,4.128948696109859,215.09124876591966,6.827997871086433,28.06627427041142,0.4091581702801406,26.831890466366108,0.2978825077267792,27.277738431935703,0.418260019656702
