,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,227.14117647058822,0.0,13.558158150772867,0.0,256.9887454308118,0.0,252.0,0.0,222.0,0.0,186.0,0.0,156.0,0.0,123.0,0.0,89.0,0.0,63.0,0.0,35.0,0.0,14.0,0.0,10.542095256247523,0.0,15.874507866387544,0.0,14.89966442575134,0.0,13.638181696985855,0.0,12.489995996796797,0.0,11.090536506409418,0.0,9.433981132056603,0.0,7.937253933193772,0.0,5.916079783099616,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,,,3.918137056471624,0.0,,,,,,,,,,,,,,,,,,,,,10.543610951345253,0.0,14.001640452668779,0.0,13.268844057285335,0.0,12.281456093487439,0.0,11.086834997558388,0.0,9.653534038077304,0.0,7.951208789211792,0.0,6.536397043818932,0.0,4.532013959074729,0.0,2.9341822445799672,0.0
Abend,255.26666666666665,0.0,14.167017703772121,0.0,251.8579703283633,0.0,292.0,0.0,237.0,0.0,199.0,0.0,169.0,0.0,126.0,0.0,93.0,0.0,66.0,0.0,30.0,0.0,15.0,0.0,10.489687706046496,0.0,17.08800749063506,0.0,15.394804318340652,0.0,14.106735979665885,0.0,13.0,0.0,11.224972160321824,0.0,9.643650760992955,0.0,8.12403840463596,0.0,5.477225575051661,0.0,3.872983346207417,0.0,,,,,,,,,,,,,,,,,,,,,1.9296121053750144,0.0,,,,,,,,,,,,,,,,,,,,,10.490650630161152,0.0,15.034606189266153,0.0,13.731011604924268,0.0,12.733927048026604,0.0,11.572576171725004,0.0,9.750861912742055,0.0,8.293386684434013,0.0,6.7243589349521224,0.0,4.270526026186077,0.0,3.2620435758807336,0.0
Aboln,225.43529411764706,0.0,13.33274047124836,0.0,249.95347841524818,0.0,263.0,0.0,217.0,0.0,176.0,0.0,144.0,0.0,110.0,0.0,78.0,0.0,55.0,0.0,31.0,0.0,13.0,0.0,10.282656288939046,0.0,16.217274740226856,0.0,14.730919862656235,0.0,13.2664991614216,0.0,12.0,0.0,10.488088481701515,0.0,8.831760866327848,0.0,7.416198487095663,0.0,5.5677643628300215,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,3.0496232850085256,0.0,,,,,,,,,,,,,,,,,,,,,10.282812550128536,0.0,14.14880188860614,0.0,12.95646235337812,0.0,11.720937921716914,0.0,10.50147889722986,0.0,9.02073798660344,0.0,7.496037823381209,0.0,6.247838646078974,0.0,4.371706492901018,0.0,2.934630107576057,0.0
Abtäs,242.61176470588234,0.0,13.807851490494269,0.0,248.7916758865203,0.0,271.0,0.0,234.0,0.0,191.0,0.0,157.0,0.0,126.0,0.0,83.0,0.0,55.0,0.0,31.0,0.0,14.0,0.0,10.256786195769578,0.0,16.46207763315433,0.0,15.297058540778355,0.0,13.820274961085254,0.0,12.529964086141668,0.0,11.224972160321824,0.0,9.1104335791443,0.0,7.416198487095663,0.0,5.5677643628300215,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,,,1.8605568027753472,0.0,,,,,,,,,,,,,,,,,,,,,10.257302930499959,0.0,14.495039283291412,0.0,13.646931329629686,0.0,12.53799349666049,0.0,11.167471170140825,0.0,9.836020296634723,0.0,7.705903128365173,0.0,6.205713460494245,0.0,4.476997370600428,0.0,2.905687965017487,0.0
Acker,222.921568627451,0.0,13.35688404543913,0.0,251.0443355786894,0.0,253.0,0.0,214.0,0.0,180.0,0.0,147.0,0.0,111.0,0.0,83.0,0.0,55.0,0.0,34.0,0.0,10.0,0.0,10.349222964101223,0.0,15.905973720586866,0.0,14.628738838327793,0.0,13.416407864998739,0.0,12.12435565298214,0.0,10.535653752852738,0.0,9.1104335791443,0.0,7.416198487095663,0.0,5.830951894845301,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,,,2.0802659474926752,0.0,,,,,,,,,,,,,,,,,,,,,10.348748193985752,0.0,14.023244495549967,0.0,13.032907937911682,0.0,11.92497359544837,0.0,10.613441163537804,0.0,9.059187843025107,0.0,7.575278938719739,0.0,6.001060101882723,0.0,4.365633582953234,0.0,2.0146973327710302,0.0
Adern,235.03529411764708,0.0,13.66097329859118,0.0,245.48262670653037,0.0,266.0,0.0,222.0,0.0,186.0,0.0,148.0,0.0,107.0,0.0,82.0,0.0,60.0,0.0,29.0,0.0,13.0,0.0,10.204617940060073,0.0,16.30950643030009,0.0,14.89966442575134,0.0,13.638181696985855,0.0,12.165525060596439,0.0,10.344080432788601,0.0,9.055385138137417,0.0,7.745966692414834,0.0,5.385164807134504,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,2.4791942383879504,0.0,,,,,,,,,,,,,,,,,,,,,10.20586612567593,0.0,14.357913169135637,0.0,13.194097030272205,0.0,12.141476787221206,0.0,10.753014121038518,0.0,8.890791855359959,0.0,7.687880731584675,0.0,6.4317555390523395,0.0,4.122329460984937,0.0,2.7936710836295835,0.0
Adler,225.62745098039215,0.0,13.644998154090903,0.0,254.03076566817754,0.0,254.0,0.0,210.0,0.0,178.0,0.0,144.0,0.0,113.0,0.0,90.0,0.0,67.0,0.0,38.0,0.0,16.0,0.0,10.506043752277789,0.0,15.937377450509228,0.0,14.491376746189438,0.0,13.341664064126334,0.0,12.0,0.0,10.63014581273465,0.0,9.486832980505138,0.0,8.18535277187245,0.0,6.164414002968976,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,2.6149317230060514,0.0,,,,,,,,,,,,,,,,,,,,,10.506451563250886,0.0,13.964224506520173,0.0,13.050538210710357,0.0,12.019978194846708,0.0,10.683399636515471,0.0,9.343561102369138,0.0,8.130353606269853,0.0,7.00656729955817,0.0,4.840752797448912,0.0,3.062391377968457,0.0
Adria,224.24313725490197,0.0,13.54736518374554,0.0,251.40735907345163,0.0,248.0,0.0,217.0,0.0,181.0,0.0,145.0,0.0,111.0,0.0,87.0,0.0,60.0,0.0,33.0,0.0,8.0,0.0,10.329989150234807,0.0,15.748015748023622,0.0,14.730919862656235,0.0,13.45362404707371,0.0,12.041594578792296,0.0,10.535653752852738,0.0,9.327379053088816,0.0,7.745966692414834,0.0,5.744562646538029,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,2.5600561021209027,0.0,,,,,,,,,,,,,,,,,,,,,10.331173976421587,0.0,13.829658699171514,0.0,13.119300397114504,0.0,12.012778270205727,0.0,10.698036519589005,0.0,9.169996727633112,0.0,8.008274298014433,0.0,6.4325918836299225,0.0,4.240416251128108,0.0,2.2924816445880145,0.0
Affen,230.17254901960786,0.0,13.437632432758528,0.0,254.27473142349362,0.0,282.0,0.0,245.0,0.0,204.0,0.0,156.0,0.0,112.0,0.0,68.0,0.0,35.0,0.0,17.0,0.0,4.0,0.0,10.05781551337078,0.0,16.792855623746664,0.0,15.652475842498529,0.0,14.2828568570857,0.0,12.489995996796797,0.0,10.583005244258363,0.0,8.246211251235321,0.0,5.916079783099616,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1.880549889265133,0.0,,,,,,,,,,,,,,,,,,,,,10.057716167677912,0.0,14.934784640248445,0.0,13.984954085208521,0.0,12.684939495520334,0.0,10.78164885757304,0.0,8.874187547049685,0.0,6.569141384053414,0.0,4.509002398217934,0.0,2.8428003663328143,0.0,1.110182793379607,0.0
Agenk,251.83529411764704,0.0,14.015995695367646,0.0,258.38104089155536,0.0,296.0,0.0,244.0,0.0,205.0,0.0,172.0,0.0,123.0,0.0,91.0,0.0,66.0,0.0,34.0,0.0,9.0,0.0,10.647233394788516,0.0,17.204650534085253,0.0,15.620499351813308,0.0,14.317821063276353,0.0,13.114877048604,0.0,11.090536506409418,0.0,9.539392014169456,0.0,8.12403840463596,0.0,5.830951894845301,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0006434674702978,0.0,,,,,,,,,,,,,,,,,,,,,10.647484957922925,0.0,15.126983584202618,0.0,13.851670600238487,0.0,12.82363859631457,0.0,11.576863176135246,0.0,9.396541399648251,0.0,7.887955772953449,0.0,6.512800044380343,0.0,4.367685994566346,0.0,2.094916056459902,0.0
