,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,227.14117647058822,0.0,13.558158150772867,0.0,251.0,0.0,222.0,0.0,186.0,0.0,155.0,0.0,122.0,0.0,90.0,0.0,64.0,0.0,33.0,0.0,14.0,0.0,15.84297951775486,0.0,14.89966442575134,0.0,13.638181696985855,0.0,12.449899597988733,0.0,11.045361017187261,0.0,9.486832980505138,0.0,8.0,0.0,5.744562646538029,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,3.880684710026971,0.0,,,,,,,,,,,,,,,,,,,13.923628412655024,0.0,13.261027991392853,0.0,12.27409739502171,0.0,11.041314519339181,0.0,9.539069352716094,0.0,7.993153868465757,0.0,6.537916510604271,0.0,4.24284919719746,0.0,2.858547368828292,0.0
Abend,255.26666666666665,0.0,14.167017703772121,0.0,292.0,0.0,237.0,0.0,201.0,0.0,169.0,0.0,125.0,0.0,96.0,0.0,66.0,0.0,30.0,0.0,15.0,0.0,17.08800749063506,0.0,15.394804318340652,0.0,14.177446878757825,0.0,13.0,0.0,11.180339887498949,0.0,9.797958971132712,0.0,8.12403840463596,0.0,5.477225575051661,0.0,3.872983346207417,0.0,,,,,,,,,,,,,,,,,,,1.9265854247268028,0.0,,,,,,,,,,,,,,,,,,,15.012754943224095,0.0,13.718213593873179,0.0,12.760130946597718,0.0,11.63018473904716,0.0,9.771086778026676,0.0,8.480890033312747,0.0,6.697905605682729,0.0,4.2208963561286446,0.0,3.2352973662643367,0.0
Aboln,225.43529411764706,0.0,13.33274047124836,0.0,262.0,0.0,218.0,0.0,175.0,0.0,144.0,0.0,110.0,0.0,80.0,0.0,56.0,0.0,31.0,0.0,13.0,0.0,16.186414056238647,0.0,14.7648230602334,0.0,13.228756555322953,0.0,12.0,0.0,10.488088481701515,0.0,8.94427190999916,0.0,7.483314773547883,0.0,5.5677643628300215,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,3.015106723464701,0.0,,,,,,,,,,,,,,,,,,,14.05882064141594,0.0,12.943326444896,0.0,11.636776769718248,0.0,10.447022304819276,0.0,8.942865095157162,0.0,7.574046378938664,0.0,6.262868389212847,0.0,4.296952908919065,0.0,2.8832971036396864,0.0
Abtäs,242.61176470588234,0.0,13.807851490494269,0.0,270.0,0.0,232.0,0.0,188.0,0.0,158.0,0.0,123.0,0.0,86.0,0.0,57.0,0.0,31.0,0.0,14.0,0.0,16.431676725154983,0.0,15.231546211727817,0.0,13.711309200802088,0.0,12.569805089976535,0.0,11.090536506409418,0.0,9.273618495495704,0.0,7.54983443527075,0.0,5.5677643628300215,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,1.8434845197299723,0.0,,,,,,,,,,,,,,,,,,,14.385894338124322,0.0,13.53168658495933,0.0,12.352721239120184,0.0,11.176535175574342,0.0,9.62860129072546,0.0,7.848080691281129,0.0,6.266376517924071,0.0,4.4361970789723335,0.0,2.865142107445958,0.0
Acker,222.921568627451,0.0,13.35688404543913,0.0,255.0,0.0,214.0,0.0,180.0,0.0,145.0,0.0,109.0,0.0,82.0,0.0,53.0,0.0,34.0,0.0,10.0,0.0,15.968719422671311,0.0,14.628738838327793,0.0,13.416407864998739,0.0,12.041594578792296,0.0,10.44030650891055,0.0,9.055385138137417,0.0,7.280109889280518,0.0,5.830951894845301,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.0649012107433484,0.0,,,,,,,,,,,,,,,,,,,13.909233855840254,0.0,12.936764039869248,0.0,11.848067280381764,0.0,10.495776578345415,0.0,8.885950808322827,0.0,7.471641355497906,0.0,5.79678578741392,0.0,4.336394579875384,0.0,1.9624016334074579,0.0
Adern,235.03529411764708,0.0,13.66097329859118,0.0,265.0,0.0,222.0,0.0,185.0,0.0,148.0,0.0,107.0,0.0,81.0,0.0,61.0,0.0,29.0,0.0,13.0,0.0,16.278820596099706,0.0,14.89966442575134,0.0,13.601470508735444,0.0,12.165525060596439,0.0,10.344080432788601,0.0,9.0,0.0,7.810249675906654,0.0,5.385164807134504,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,2.4622642008963327,0.0,,,,,,,,,,,,,,,,,,,14.298752273738343,0.0,13.185945076997479,0.0,12.128529683616538,0.0,10.693509930444241,0.0,8.802789893465087,0.0,7.5477972915381955,0.0,6.432665264428782,0.0,4.039972564294043,0.0,2.683655919748587,0.0
Adler,225.62745098039215,0.0,13.644998154090903,0.0,255.0,0.0,209.0,0.0,177.0,0.0,143.0,0.0,111.0,0.0,89.0,0.0,66.0,0.0,37.0,0.0,16.0,0.0,15.968719422671311,0.0,14.45683229480096,0.0,13.30413469565007,0.0,11.958260743101398,0.0,10.535653752852738,0.0,9.433981132056603,0.0,8.12403840463596,0.0,6.082762530298219,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,2.5839193060979335,0.0,,,,,,,,,,,,,,,,,,,13.870041427960622,0.0,12.908200693937854,0.0,11.874842236845863,0.0,10.48989525877146,0.0,9.064956455814533,0.0,7.957065128306555,0.0,6.783313006774927,0.0,4.790978244868972,0.0,2.9869599375883347,0.0
Adria,224.24313725490197,0.0,13.54736518374554,0.0,247.0,0.0,216.0,0.0,180.0,0.0,145.0,0.0,110.0,0.0,87.0,0.0,61.0,0.0,34.0,0.0,8.0,0.0,15.716233645501712,0.0,14.696938456699069,0.0,13.416407864998739,0.0,12.041594578792296,0.0,10.488088481701515,0.0,9.327379053088816,0.0,7.810249675906654,0.0,5.830951894845301,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,2.5348798877674334,0.0,,,,,,,,,,,,,,,,,,,13.77083976603804,0.0,13.019569935574017,0.0,11.921023038757989,0.0,10.572350791560606,0.0,8.968666299080956,0.0,7.901514261764694,0.0,6.4235201202692185,0.0,4.252777828527261,0.0,2.205200384733558,0.0
Affen,230.17254901960786,0.0,13.437632432758528,0.0,282.0,0.0,246.0,0.0,200.0,0.0,156.0,0.0,113.0,0.0,66.0,0.0,34.0,0.0,17.0,0.0,4.0,0.0,16.792855623746664,0.0,15.684387141358123,0.0,14.142135623730951,0.0,12.489995996796797,0.0,10.63014581273465,0.0,8.12403840463596,0.0,5.830951894845301,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.8718566276760942,0.0,,,,,,,,,,,,,,,,,,,14.751826283016028,0.0,13.883975025247873,0.0,12.463620803528146,0.0,10.741497472923282,0.0,8.904143762124939,0.0,6.362235387888406,0.0,4.350452771471064,0.0,2.754454584967271,0.0,0.9048677662437454,0.0
Agenk,251.83529411764704,0.0,14.015995695367646,0.0,297.0,0.0,244.0,0.0,207.0,0.0,170.0,0.0,123.0,0.0,90.0,0.0,67.0,0.0,33.0,0.0,10.0,0.0,17.233687939614086,0.0,15.620499351813308,0.0,14.38749456993816,0.0,13.038404810405298,0.0,11.090536506409418,0.0,9.486832980505138,0.0,8.18535277187245,0.0,5.744562646538029,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,1.9976696738954212,0.0,,,,,,,,,,,,,,,,,,,15.16408271693758,0.0,13.87161199880757,0.0,12.870146781752046,0.0,11.513119181080572,0.0,9.404020781769875,0.0,7.781603780608021,0.0,6.527235784248941,0.0,4.19951938780302,0.0,2.233600066689727,0.0
