,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,227.14117647058822,0.0,13.558158150772867,0.0,254.97456830643586,0.0,254.0,0.0,223.0,0.0,186.0,0.0,155.0,0.0,127.0,0.0,98.0,0.0,61.0,0.0,35.0,0.0,17.0,0.0,10.86917199447907,0.0,15.937377450509228,0.0,14.933184523068078,0.0,13.638181696985855,0.0,12.449899597988733,0.0,11.269427669584644,0.0,9.899494936611665,0.0,7.810249675906654,0.0,5.916079783099616,0.0,4.123105625617661,0.0,,,,,,,,,,,,,,,,,,,,,4.086823932458247,0.0,,,,,,,,,,,,,,,,,,,,,10.869141075648335,0.0,13.89342068999802,0.0,13.257649828784835,0.0,12.167999523936933,0.0,11.046432814975285,0.0,9.913140863776713,0.0,8.396433167614685,0.0,6.199324822810333,0.0,4.408735940428135,0.0,3.148801458375574,0.0
Abend,255.26666666666665,0.0,14.167017703772121,0.0,244.55554385417167,0.0,278.0,0.0,230.0,0.0,193.0,0.0,164.0,0.0,132.0,0.0,99.0,0.0,66.0,0.0,39.0,0.0,19.0,0.0,10.695924137540656,0.0,16.673332000533065,0.0,15.165750888103101,0.0,13.892443989449804,0.0,12.806248474865697,0.0,11.489125293076057,0.0,9.9498743710662,0.0,8.12403840463596,0.0,6.244997998398398,0.0,4.358898943540674,0.0,,,,,,,,,,,,,,,,,,,,,2.079034368004036,0.0,,,,,,,,,,,,,,,,,,,,,10.69591676034713,0.0,14.540771593846623,0.0,13.486707575704395,0.0,12.489809557742612,0.0,11.465458300768226,0.0,10.103404543131303,0.0,8.54143488621242,0.0,6.763343033883048,0.0,5.023898340980801,0.0,3.4974274188079537,0.0
Aboln,225.43529411764706,0.0,13.33274047124836,0.0,247.15105480321523,0.0,257.0,0.0,215.0,0.0,176.0,0.0,146.0,0.0,110.0,0.0,84.0,0.0,57.0,0.0,38.0,0.0,20.0,0.0,10.661843203635874,0.0,16.0312195418814,0.0,14.66287829861518,0.0,13.2664991614216,0.0,12.083045973594572,0.0,10.488088481701515,0.0,9.16515138991168,0.0,7.54983443527075,0.0,6.164414002968976,0.0,4.47213595499958,0.0,,,,,,,,,,,,,,,,,,,,,3.2692143521913595,0.0,,,,,,,,,,,,,,,,,,,,,10.661810017003999,0.0,13.854322268324761,0.0,12.91804815352299,0.0,11.628019057707519,0.0,10.626365804414402,0.0,9.122209517192712,0.0,7.776118273174667,0.0,6.275487116206724,0.0,5.012945263456252,0.0,3.523644182021761,0.0
Abtäs,242.61176470588234,0.0,13.807851490494269,0.0,244.89989639891746,0.0,267.0,0.0,231.0,0.0,189.0,0.0,158.0,0.0,129.0,0.0,86.0,0.0,59.0,0.0,36.0,0.0,15.0,0.0,10.504681319131782,0.0,16.34013463836819,0.0,15.198684153570664,0.0,13.74772708486752,0.0,12.569805089976535,0.0,11.357816691600547,0.0,9.273618495495704,0.0,7.681145747868608,0.0,6.0,0.0,3.872983346207417,0.0,,,,,,,,,,,,,,,,,,,,,1.9797827159021393,0.0,,,,,,,,,,,,,,,,,,,,,10.504701663192193,0.0,14.218245779310452,0.0,13.498037048635469,0.0,12.290559956044296,0.0,11.262570439144802,0.0,9.983523948486798,0.0,7.841051305090544,0.0,6.300429925400184,0.0,4.6372042743204345,0.0,2.9678902054044123,0.0
Acker,222.921568627451,0.0,13.35688404543913,0.0,240.26481060122856,0.0,248.0,0.0,210.0,0.0,172.0,0.0,142.0,0.0,111.0,0.0,79.0,0.0,55.0,0.0,36.0,0.0,11.0,0.0,10.342586979327782,0.0,15.748015748023622,0.0,14.491376746189438,0.0,13.114877048604,0.0,11.916375287812984,0.0,10.535653752852738,0.0,8.888194417315589,0.0,7.416198487095663,0.0,6.0,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,,,2.115826302191314,0.0,,,,,,,,,,,,,,,,,,,,,10.342633524853843,0.0,13.692193057240209,0.0,12.82171868943429,0.0,11.527673335199449,0.0,10.427457623644402,0.0,8.97917221055759,0.0,7.3949584597895335,0.0,5.821269595343487,0.0,4.54421647973007,0.0,2.1170761192029777,0.0
Adern,235.03529411764708,0.0,13.66097329859118,0.0,241.91340442252425,0.0,264.0,0.0,219.0,0.0,182.0,0.0,150.0,0.0,111.0,0.0,84.0,0.0,61.0,0.0,34.0,0.0,22.0,0.0,10.558905845306334,0.0,16.24807680927192,0.0,14.798648586948742,0.0,13.490737563232042,0.0,12.24744871391589,0.0,10.535653752852738,0.0,9.16515138991168,0.0,7.810249675906654,0.0,5.830951894845301,0.0,4.69041575982343,0.0,,,,,,,,,,,,,,,,,,,,,2.5517158499005994,0.0,,,,,,,,,,,,,,,,,,,,,10.558903816157743,0.0,14.12400407149233,0.0,13.147676968525174,0.0,11.959576513269592,0.0,10.825328940803296,0.0,9.119292398002903,0.0,7.75851583454555,0.0,6.415165696636048,0.0,4.423738961003217,0.0,3.648494334348218,0.0
Adler,225.62745098039215,0.0,13.644998154090903,0.0,243.50414506661218,0.0,250.0,0.0,205.0,0.0,168.0,0.0,142.0,0.0,116.0,0.0,84.0,0.0,64.0,0.0,42.0,0.0,21.0,0.0,10.551957544589493,0.0,15.811388300841896,0.0,14.317821063276353,0.0,12.96148139681572,0.0,11.916375287812984,0.0,10.770329614269007,0.0,9.16515138991168,0.0,8.0,0.0,6.48074069840786,0.0,4.58257569495584,0.0,,,,,,,,,,,,,,,,,,,,,2.7531029105459837,0.0,,,,,,,,,,,,,,,,,,,,,10.551988860034795,0.0,13.747080362840405,0.0,12.795989827009143,0.0,11.511060403241707,0.0,10.570842294609504,0.0,9.379871802869243,0.0,7.881593283992545,0.0,6.659467094773051,0.0,5.033842285904183,0.0,3.5742570954407795,0.0
Adria,224.24313725490197,0.0,13.54736518374554,0.0,253.10143710487358,0.0,247.0,0.0,213.0,0.0,187.0,0.0,151.0,0.0,122.0,0.0,92.0,0.0,63.0,0.0,40.0,0.0,20.0,0.0,10.874929924040266,0.0,15.716233645501712,0.0,14.594519519326424,0.0,13.674794331177344,0.0,12.288205727444508,0.0,11.045361017187261,0.0,9.591663046625438,0.0,7.937253933193772,0.0,6.324555320336759,0.0,4.47213595499958,0.0,,,,,,,,,,,,,,,,,,,,,2.825938651329943,0.0,,,,,,,,,,,,,,,,,,,,,10.874932564041531,0.0,13.693244901586976,0.0,12.939370482615585,0.0,12.106075276254227,0.0,10.86763874905483,0.0,9.584892116977487,0.0,8.184260161814914,0.0,6.365890952894817,0.0,4.814682201812818,0.0,3.5195603193861658,0.0
Affen,230.17254901960786,0.0,13.437632432758528,0.0,237.52208346370654,0.0,273.0,0.0,237.0,0.0,194.0,0.0,153.0,0.0,106.0,0.0,58.0,0.0,34.0,0.0,19.0,0.0,4.0,0.0,9.85075678721612,0.0,16.522711641858304,0.0,15.394804318340652,0.0,13.92838827718412,0.0,12.36931687685298,0.0,10.295630140987,0.0,7.615773105863909,0.0,5.830951894845301,0.0,4.358898943540674,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1.821444912424509,0.0,,,,,,,,,,,,,,,,,,,,,9.850777231232193,0.0,14.475020465052957,0.0,13.569678164596155,0.0,12.134616134531454,0.0,10.709350884725536,0.0,8.67734011266766,0.0,6.059845750655852,0.0,4.361331384706236,0.0,2.9051801071499095,0.0,0.9054269880004204,0.0
Agenk,251.83529411764704,0.0,14.015995695367646,0.0,246.34917911145436,0.0,283.0,0.0,237.0,0.0,198.0,0.0,165.0,0.0,131.0,0.0,93.0,0.0,66.0,0.0,30.0,0.0,13.0,0.0,10.638505589185002,0.0,16.822603841260722,0.0,15.394804318340652,0.0,14.071247279470288,0.0,12.84523257866513,0.0,11.445523142259598,0.0,9.643650760992955,0.0,8.12403840463596,0.0,5.477225575051661,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,2.0360591565138564,0.0,,,,,,,,,,,,,,,,,,,,,10.638487868394481,0.0,14.735529869796279,0.0,13.62282608554481,0.0,12.52203949655997,0.0,11.334694224748684,0.0,9.852023148310902,0.0,8.039490103747708,0.0,6.4015987156938605,0.0,3.901642621317244,0.0,2.5574572018557724,0.0
