,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,227.44578175814075,0.0,13.46207329853453,0.0,9.326363021018029,0.0
Abend,255.02213218669627,0.0,14.063504272554386,0.0,8.907274352472237,0.0
Aboln,225.99419503994565,0.0,13.238713309252793,0.0,9.767869760656467,0.0
Abtäs,242.12145855039762,0.0,13.696781861691667,0.0,8.157986313264916,0.0
Acker,222.87661678859428,0.0,13.248907223733516,0.0,7.018652796924183,0.0
Adern,235.23763679763573,0.0,13.56114006850044,0.0,8.340989378525588,0.0
Adler,226.08172801656815,0.0,13.54575043815597,0.0,8.734330041103505,0.0
Adria,224.73084968339566,0.0,13.450908636617925,0.0,9.894232270799,0.0
Affen,230.60467686348275,0.0,13.327639783595068,0.0,9.046751306328243,0.0
Agenk,251.74209838340695,0.0,13.915370597459736,0.0,8.197512536068155,0.0
Agent,237.08389342307208,0.0,13.489740187148843,0.0,8.343282431153797,0.0
Ahnen,237.3993330042661,0.0,13.247479308313464,0.0,6.812633785327822,0.0
Aigön,233.51125518551913,0.0,13.327909129021279,0.0,9.110302620501356,0.0
Akkus,239.69575816365884,0.0,13.629588136395109,0.0,7.712904440208595,0.0
Aktie,219.74578271428857,0.0,13.413337258405392,0.0,9.130587592776271,0.0
Alahn,227.87757273866825,0.0,13.162306745521331,0.0,8.817830753811625,0.0
Alarm,228.58278683108122,0.0,13.58583690889668,0.0,9.278036038791647,0.0
Alben,233.77230537770194,0.0,13.579095137108784,0.0,7.805739145201008,0.0
Algen,235.67295386509798,0.0,13.51562379426156,0.0,8.583236962289291,0.0
Alibi,211.49006799405765,0.0,13.340941354126642,0.0,11.099272227628434,0.0
Allas,212.78551044115812,0.0,13.029906391170414,0.0,9.319166609218216,0.0
Alpen,237.2080048374218,0.0,13.698851719226294,0.0,8.670918288808661,0.0
Altar,205.69198605494122,0.0,12.933309011540175,0.0,9.193080560654478,0.0
Alten,213.39255067724065,0.0,13.026303375387917,0.0,7.7854110311589135,0.0
Alter,206.20875864861094,0.0,13.012831218926443,0.0,8.45097806157408,0.0
Amche,245.52954665173897,0.0,13.639018618271344,0.0,7.626968174410785,0.0
Amtig,239.0522291179824,0.0,13.85442893366244,0.0,10.68068380865299,0.0
Andam,256.75552452210894,0.0,14.0742550692196,0.0,8.347204496307778,0.0
Anein,220.98783587516778,0.0,13.067998257758347,0.0,8.557392741050474,0.0
Angel,236.01644168114063,0.0,13.52349393575637,0.0,9.392878890111756,0.0
Angst,234.84839415676154,0.0,13.33556611525463,0.0,8.526174860882602,0.0
Angur,232.50660680764497,0.0,13.237029887990925,0.0,8.903682698868137,0.0
Anker,229.84738959703208,0.0,13.46109860261856,0.0,7.012718160935545,0.0
Anmas,245.69991358424596,0.0,13.647746695613014,0.0,7.348683615549196,0.0
Anmut,232.6332064157204,0.0,13.37061159555933,0.0,8.187588055311666,0.0
Annag,244.1491747078963,0.0,13.44622736240554,0.0,8.372827137959653,0.0
Anper,239.0437419090369,0.0,13.695397432926228,0.0,8.144128489006551,0.0
Antus,218.3035551100492,0.0,12.794674088820278,0.0,7.522601273460055,0.0
Anzug,236.19911632636982,0.0,13.297175745811138,0.0,8.346086477660903,0.0
Apfel,237.67293601275472,0.0,13.823789955401317,0.0,10.646444523523371,0.0
Arahn,229.59889920639412,0.0,13.156463712356484,0.0,8.108886577720705,0.0
Arcer,208.96673374751862,0.0,12.83679677192198,0.0,7.440948796029241,0.0
Arche,223.37676955305002,0.0,13.024691282446678,0.0,7.812638867589061,0.0
Ardal,225.8229580181541,0.0,13.47555686846733,0.0,10.453710046753562,0.0
Arena,225.86328020120692,0.0,13.194696443449,0.0,7.831257182616426,0.0
Argon,229.1854121637342,0.0,13.156406281373375,0.0,8.342631321504513,0.0
Arier,206.12160580427286,0.0,13.02759858554041,0.0,8.18655943838653,0.0
Arman,237.50815149009526,0.0,13.591526930208719,0.0,7.749784733538087,0.0
Armee,241.1478557855928,0.0,13.857419169706889,0.0,6.877125614292098,0.0
Armen,238.02492408376503,0.0,13.667219857705854,0.0,7.0076822344576915,0.0
Armöt,228.97502259161786,0.0,13.458979445930854,0.0,8.670467532533317,0.0
Aroma,232.3713913169431,0.0,13.435269615002138,0.0,8.191620313932072,0.0
