,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,227.36939599124815,0.0,13.459483799682067,0.0,8.866809464152018,0.0
Abend,255.1800511188336,0.0,14.06612850929837,0.0,8.701007496879761,0.0
Aboln,225.99905010403214,0.0,13.237495426728964,0.0,8.99807334308789,0.0
Abtäs,242.31940386749483,0.0,13.702271612071101,0.0,7.7772355815500225,0.0
Acker,223.23510887057398,0.0,13.258783301772171,0.0,7.4928686336266885,0.0
Adern,235.32818131144677,0.0,13.561442304848233,0.0,8.141909926606075,0.0
Adler,226.36576987739426,0.0,13.553684781843637,0.0,9.285160255792643,0.0
Adria,224.84870317434303,0.0,13.45387952976983,0.0,9.378943889847797,0.0
Affen,231.097562215424,0.0,13.339509106911745,0.0,9.733114579763983,0.0
Agenk,251.84969447295225,0.0,13.914840363655584,0.0,8.252237420718227,0.0
Agent,237.2551070227758,0.0,13.491681890925772,0.0,8.59593029205282,0.0
Ahnen,237.76354398274526,0.0,13.256805754913781,0.0,7.382098992960964,0.0
Aigön,233.9032580567735,0.0,13.335631044445607,0.0,9.207789156373503,0.0
Akkus,239.90723147471485,0.0,13.633559542484356,0.0,7.517981745775525,0.0
Aktie,219.97316594682627,0.0,13.419297290804051,0.0,8.905480007508451,0.0
Alahn,228.1624432408007,0.0,13.166650608170285,0.0,8.806316917812824,0.0
Alarm,228.69439369350866,0.0,13.586842116071896,0.0,9.049280527033078,0.0
Alben,234.28407611572283,0.0,13.591257761658081,0.0,8.678965227861893,0.0
Algen,236.17569196613292,0.0,13.527317500981573,0.0,9.244988077586425,0.0
Alibi,211.67420148298584,0.0,13.345681300937981,0.0,10.953661125445489,0.0
Allas,213.02817267965438,0.0,13.035762511110475,0.0,9.32915451211183,0.0
Alpen,237.7237690403508,0.0,13.710982721271458,0.0,9.472651835650012,0.0
Altar,205.94352175367106,0.0,12.939885768430814,0.0,9.377152078325754,0.0
Alten,213.98380242729422,0.0,13.041240526584744,0.0,8.745823400795016,0.0
Alter,206.65260932417922,0.0,13.025254245693073,0.0,9.189850908645248,0.0
Amche,245.8230023419457,0.0,13.644445073854648,0.0,7.695333025796795,0.0
Amtig,239.2542900081943,0.0,13.859454908547873,0.0,10.036020383223704,0.0
Andam,256.8882424358962,0.0,14.07648265604637,0.0,8.191794511938276,0.0
Anein,221.01273741593315,0.0,13.067194890523407,0.0,7.9016798505615995,0.0
Angel,236.23385352131206,0.0,13.529369443556124,0.0,9.47964630114548,0.0
Angst,234.96867997855398,0.0,13.33710153571042,0.0,8.35893726928673,0.0
Angur,232.49683184351477,0.0,13.235149443027812,0.0,8.552504400706823,0.0
Anker,230.1320865603882,0.0,13.46889615966199,0.0,7.399589793211092,0.0
Anmas,245.7759676632725,0.0,13.649529883816395,0.0,7.032242518543223,0.0
Anmut,232.63871296294326,0.0,13.369133101014219,0.0,8.09885238285286,0.0
Annag,244.34500536274658,0.0,13.450688746542113,0.0,8.164715540341597,0.0
Anper,239.2775932935369,0.0,13.701939518336458,0.0,8.520367702322773,0.0
Antus,218.4825859631573,0.0,12.798012087977433,0.0,7.4301489952654975,0.0
Anzug,236.37305174713978,0.0,13.300130764313446,0.0,8.10291425842611,0.0
Apfel,237.93493513945137,0.0,13.831343674468076,0.0,11.055729138852936,0.0
Arahn,229.77098491371274,0.0,13.158284092036212,0.0,7.917377687303201,0.0
Arcer,209.22002930379165,0.0,12.844118844925543,0.0,7.799996956693725,0.0
Arche,223.60512587537292,0.0,13.028757652517735,0.0,7.858447499133801,0.0
Ardal,225.86752552789392,0.0,13.476610875085537,0.0,9.982683401111887,0.0
Arena,225.96179025463587,0.0,13.195379092684115,0.0,7.64830776646756,0.0
Argon,229.4945918868025,0.0,13.162656145355713,0.0,8.500492394671255,0.0
Arier,206.3467244670179,0.0,13.034776200148647,0.0,8.623569480890698,0.0
Arman,237.65304142451708,0.0,13.594227515835174,0.0,7.718778150010754,0.0
Armee,241.5489030352488,0.0,13.86786720158276,0.0,7.555300882752765,0.0
Armen,238.36212899502522,0.0,13.675511917920927,0.0,7.531476980330248,0.0
Armöt,229.14593050622045,0.0,13.462887002013458,0.0,8.599593139635726,0.0
Aroma,232.56969980041697,0.0,13.43930922174062,0.0,8.050688341597224,0.0
Arten,215.59234410020622,0.0,13.032793502597155,0.0,7.856884170285393,0.0
Artis,203.52618114693024,0.0,12.845553305545339,0.0,8.728083070187392,0.0
Asien,221.79663943950374,0.0,13.108876649693762,0.0,7.331118940841368,0.0
Astän,229.84062179351392,0.0,13.200372268994107,0.0,6.8690015730341045,0.0
Athen,229.96189826897134,0.0,13.215109346123203,0.0,8.07708757167958,0.0
Atmen,237.84643396642167,0.0,13.649306725771156,0.0,7.897382855497325,0.0
Augen,243.0052761570257,0.0,13.449575050813262,0.0,8.017449424528042,0.0
Aurer,213.94442815189907,0.0,12.971445034885724,0.0,7.660957300636338,0.0
Autor,205.19255176282954,0.0,12.571692187587463,0.0,8.106755803181311,0.0
Babys,256.3619332366404,0.0,13.991899983932012,0.0,7.835056457044562,0.0
Backe,242.34026388552917,0.0,13.636431624143146,0.0,6.335888688121942,0.0
Bahre,242.14087272028442,0.0,13.602597516651548,0.0,6.813327773605856,0.0
Banco,227.21964756016217,0.0,12.88142457864147,0.0,6.220409358099485,0.0
Banda,253.69776671283353,0.0,13.85000491837771,0.0,7.151384082201063,0.0
Bande,254.37541441990606,0.0,13.928823377172932,0.0,6.811210846033363,0.0
Bands,252.03509093504886,0.0,13.777938771329833,0.0,6.608223722811164,0.0
Banja,236.86834561985643,0.0,13.380165248127396,0.0,8.182212095983806,0.0
Banjo,229.25166349430788,0.0,13.103831643320834,0.0,8.072983630745012,0.0
Bantu,229.41157955910512,0.0,13.130542606421391,0.0,6.988124432974132,0.0
Barde,247.00905885713132,0.0,13.913558937725117,0.0,7.17384184561293,0.0
Bares,235.8958402174262,0.0,13.482178550921322,0.0,6.080523798348746,0.0
Bargs,247.05465542660602,0.0,13.71973518541633,0.0,7.204660477819408,0.0
Barke,241.8436202156559,0.0,13.82448069782107,0.0,6.535448454613318,0.0
Basam,257.5154278451208,0.0,14.001761193818187,0.0,6.225677080938425,0.0
Basar,235.26684931851457,0.0,13.401739720417826,0.0,6.322251202557892,0.0
Basen,243.30712999213767,0.0,13.499627339523967,0.0,5.690922525027153,0.0
Basis,231.2409670388617,0.0,13.31895159351107,0.0,6.562121424929151,0.0
Batik,228.50192162710022,0.0,13.582477023188456,0.0,8.082658580208864,0.0
Bauch,237.37922240036494,0.0,13.125600303929797,0.0,6.939227628728473,0.0
Bauda,251.6814658368973,0.0,13.768889940340948,0.0,7.482159373298129,0.0
Bauts,230.25744561454127,0.0,13.173200977622088,0.0,6.696909004629157,0.0
Bcckt,222.07617321561875,0.0,13.0727797553563,0.0,7.244946551036428,0.0
Bcdfw,254.61547743036857,0.0,13.987312965542465,0.0,8.768897332284942,0.0
Bdhnf,256.0025140479342,0.0,13.903233606000187,0.0,8.919191939206913,0.0
Beben,255.6263996847747,0.0,14.030191783653438,0.0,6.515170107400659,0.0
Beere,239.0511256350092,0.0,13.720272098397604,0.0,6.4818225238559535,0.0
Beete,238.58098188782634,0.0,13.694792281974477,0.0,6.755899067761588,0.0
Beine,233.4022621867947,0.0,13.514742567306357,0.0,6.854130472860946,0.0
Bekem,264.83797129974516,0.0,14.484786536517344,0.0,6.535532192307865,0.0
Betel,226.49927019522409,0.0,13.493874962142371,0.0,8.212998145070308,0.0
Beule,232.22369268734167,0.0,13.44994860351457,0.0,7.581312269166606,0.0
Beuns,238.78865455567643,0.0,13.29971550533195,0.0,5.99527488345065,0.0
Bezug,248.83035795989053,0.0,13.74222204018206,0.0,7.335430779142349,0.0
Bgrkq,266.7527620820144,0.0,14.559168267370318,0.0,9.358493312016659,0.0
Bgtts,236.32519944823827,0.0,13.54045283892832,0.0,8.058819954341265,0.0
Bhrps,253.24572714773848,0.0,13.948481793865938,0.0,8.144260981931113,0.0
Bhthl,234.28043105169573,0.0,13.425420334389115,0.0,9.39189474275536,0.0
Bhwxz,258.7387011409112,0.0,14.073573504510135,0.0,7.140617332416139,0.0
Bibel,233.9389811958111,0.0,13.813025865190374,0.0,9.25575315148283,0.0
Biegi,235.02105499181772,0.0,13.732351167299088,0.0,9.66960690569414,0.0
Biere,226.1905629471676,0.0,13.50231666940746,0.0,7.591435703201599,0.0
Biest,223.43006510560457,0.0,13.321323876927348,0.0,7.703708262799579,0.0
Binde,242.25382270317772,0.0,13.795781893953697,0.0,7.941810331613839,0.0
Blama,247.82072386546622,0.0,13.956462357250068,0.0,8.16410849807419,0.0
Blete,226.54386196020602,0.0,13.494321432126693,0.0,8.15587997088281,0.0
Bljts,216.0933530677541,0.0,13.14238727251848,0.0,9.644653209905362,0.0
