,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,227.14117647058825,0.0,13.558158150772865,0.0,252.45542521169168,0.0,251.0,0.0,220.0,0.0,183.0,0.0,154.0,0.0,121.0,0.0,85.0,0.0,60.0,0.0,32.0,0.0,15.0,0.0,10.54673957258996,0.0,15.84297951775486,0.0,14.832396974191326,0.0,13.527749258468683,0.0,12.409673645990857,0.0,11.0,0.0,9.219544457292887,0.0,7.745966692414834,0.0,5.656854249492381,0.0,3.872983346207417,0.0,6444.066991093705,0.0,6153.666012308357,0.0,3611.2979772871295,0.0,273.25288992768805,0.0,245.4083658860138,0.0,234.75257831990814,0.0,203.669298714448,0.0,197.8956608763055,0.0,191.33306008333037,0.0,174.53942888927796,0.0,4.540842169584789,0.0,21.920791579048018,0.0,262.9900642093341,0.0,158.90485880709332,0.0,155.11158802391174,0.0,89.14433923321323,0.0,137.73600113400337,0.0,128.62485748254977,0.0,157.6438489332048,0.0,150.69188761403143,0.0,32.16357574068533,0.0,10.54673957259577,0.0,13.539565920418932,0.0,12.86956647861256,0.0,11.8605576824162,0.0,10.736003550143097,0.0,9.319402281913113,0.0,7.525442640316905,0.0,6.074255400467419,0.0,3.8623575698224206,0.0,2.832274557731949,0.0
Abend,255.26666666666665,0.0,14.167017703772121,0.0,249.02763289916632,0.0,287.0,0.0,239.0,0.0,200.0,0.0,170.0,0.0,128.0,0.0,93.0,0.0,62.0,0.0,32.0,0.0,15.0,0.0,10.579943037187826,0.0,16.941074346097416,0.0,15.459624833740307,0.0,14.142135623730951,0.0,13.038404810405298,0.0,11.313708498984761,0.0,9.643650760992955,0.0,7.874007874011811,0.0,5.656854249492381,0.0,3.872983346207417,0.0,2157.3063795693765,0.0,5873.459442378283,0.0,3610.6074697474073,0.0,292.8591489583779,0.0,273.9793574243371,0.0,264.58991084040974,0.0,235.3855797421667,0.0,230.48803759902603,0.0,225.3935974822556,0.0,210.01103690807045,0.0,2.1431298086998694,0.0,20.919771110480905,0.0,212.49164953866088,0.0,184.79433541186978,0.0,196.05948642665442,0.0,45.225389742904895,0.0,74.19982199407775,0.0,108.07071904322582,0.0,110.25101099736385,0.0,146.72392537018422,0.0,25.44984442276393,0.0,10.579943037187633,0.0,14.519819404913997,0.0,13.536629423083514,0.0,12.525585557826181,0.0,11.470493119107356,0.0,9.696745579562123,0.0,8.078561696848416,0.0,6.3481599251867475,0.0,4.196156984182562,0.0,3.052205338484477,0.0
Aboln,225.43529411764706,0.0,13.33274047124836,0.0,247.76829174520122,0.0,258.0,0.0,217.0,0.0,178.0,0.0,145.0,0.0,111.0,0.0,79.0,0.0,54.0,0.0,33.0,0.0,13.0,0.0,10.395496912689238,0.0,16.06237840420901,0.0,14.730919862656235,0.0,13.341664064126334,0.0,12.041594578792296,0.0,10.535653752852738,0.0,8.888194417315589,0.0,7.3484692283495345,0.0,5.744562646538029,0.0,3.605551275463989,0.0,2141.081047846082,0.0,5778.42757551255,0.0,3607.4457428757323,0.0,262.1475391923113,0.0,237.54105884975561,0.0,230.71038228808783,0.0,198.1025051684813,0.0,192.45407902829092,0.0,188.15718215960845,0.0,171.84598804258925,0.0,3.464937471291261,0.0,22.73638260426957,0.0,430.43565536636606,0.0,238.34412308936353,0.0,250.52074694339996,0.0,222.88096369415018,0.0,210.36975196706797,0.0,125.89982463845321,0.0,147.84398118017438,0.0,202.68911849121417,0.0,109.18397549975096,0.0,10.395496912524532,0.0,13.561535787612181,0.0,12.65694607937844,0.0,11.44970041644988,0.0,10.26489802400934,0.0,8.781962311568348,0.0,7.21603460369193,0.0,5.992947896011659,0.0,4.274310652566926,0.0,2.809010364648438,0.0
Abtäs,242.61176470588234,0.0,13.807851490494269,0.0,246.04037096426325,0.0,270.0,0.0,231.0,0.0,189.0,0.0,158.0,0.0,122.0,0.0,83.0,0.0,56.0,0.0,31.0,0.0,13.0,0.0,10.315223522868697,0.0,16.431676725154983,0.0,15.198684153570664,0.0,13.74772708486752,0.0,12.569805089976535,0.0,11.045361017187261,0.0,9.1104335791443,0.0,7.483314773547883,0.0,5.5677643628300215,0.0,3.605551275463989,0.0,3420.9531498036486,0.0,6059.857510182899,0.0,4047.5149228133077,0.0,376.4806027087361,0.0,347.4246206233416,0.0,342.8562182520315,0.0,239.68285051061784,0.0,233.18873247317458,0.0,227.81853263459195,0.0,207.72759139764696,0.0,2.085542752928339,0.0,33.59144462887986,0.0,628.3239411717456,0.0,192.21487310268725,0.0,112.17134903417544,0.0,91.43789442416146,0.0,107.20565064919587,0.0,396.7300649303638,0.0,410.26177040822853,0.0,357.4861859879642,0.0,148.61290613413024,0.0,10.315223522877917,0.0,14.068015973552757,0.0,13.277040737295993,0.0,12.14838862238342,0.0,11.001616051519902,0.0,9.46041639052141,0.0,7.505824799345629,0.0,6.042285014602214,0.0,4.202891695187974,0.0,2.6682761929559247,0.0
Acker,222.921568627451,0.0,13.35688404543913,0.0,242.8298328035184,0.0,254.0,0.0,209.0,0.0,178.0,0.0,138.0,0.0,108.0,0.0,78.0,0.0,52.0,0.0,34.0,0.0,6.0,0.0,10.216374284543573,0.0,15.937377450509228,0.0,14.45683229480096,0.0,13.341664064126334,0.0,11.74734012447073,0.0,10.392304845413264,0.0,8.831760866327848,0.0,7.211102550927978,0.0,5.830951894845301,0.0,2.449489742783178,0.0,1849.322034641367,0.0,790.6817576320219,0.0,393.7614617188627,0.0,288.1951793279236,0.0,238.16933720601824,0.0,208.58903983903517,0.0,178.27153448874404,0.0,174.10416909418007,0.0,164.96143367417918,0.0,31.83273261437268,0.0,2.3195932026354718,0.0,17.175990019493284,0.0,283.7335166610474,0.0,136.43094534584833,0.0,124.31692282727576,0.0,40.771908883679174,0.0,84.20702472035725,0.0,92.09766123783461,0.0,104.03673862359665,0.0,142.3686673014056,0.0,29.179343826428337,0.0,10.21637428455415,0.0,13.53980650778198,0.0,12.589070052245306,0.0,11.574388735547904,0.0,9.936825137621998,0.0,8.609974373789813,0.0,6.934297657000954,0.0,5.496424381258337,0.0,4.04775547448664,0.0,1.4204933337658043,0.0
Adern,235.03529411764706,0.0,13.66097329859118,0.0,242.12361474479792,0.0,261.0,0.0,221.0,0.0,186.0,0.0,153.0,0.0,110.0,0.0,78.0,0.0,55.0,0.0,30.0,0.0,15.0,0.0,10.275966894354873,0.0,16.15549442140351,0.0,14.866068747318506,0.0,13.638181696985855,0.0,12.36931687685298,0.0,10.488088481701515,0.0,8.831760866327848,0.0,7.416198487095663,0.0,5.477225575051661,0.0,3.872983346207417,0.0,6108.8909803678625,0.0,3146.6537431571364,0.0,482.23234717065685,0.0,331.71765953106444,0.0,311.0245113863529,0.0,302.13178589015934,0.0,287.5118154821851,0.0,285.3144379772323,0.0,281.69062027079076,0.0,269.9519017690012,0.0,2.842078915085404,0.0,14.757287510790352,0.0,261.5417461696986,0.0,131.93276789950778,0.0,136.6758747887963,0.0,68.54843566055263,0.0,133.093963063788,0.0,114.95235013177626,0.0,160.00584924862048,0.0,153.95821318874707,0.0,38.52646537018649,0.0,10.2759668943592,0.0,13.827144723953284,0.0,12.904113046897352,0.0,11.869908729726347,0.0,10.657130559815224,0.0,8.770343648520715,0.0,7.159100096925943,0.0,5.778000057463713,0.0,3.8928401921911804,0.0,2.6834594269773953,0.0
Adler,225.62745098039215,0.0,13.644998154090903,0.0,245.70097617239145,0.0,253.0,0.0,206.0,0.0,175.0,0.0,139.0,0.0,110.0,0.0,82.0,0.0,60.0,0.0,37.0,0.0,14.0,0.0,10.374634515593275,0.0,15.905973720586866,0.0,14.352700094407323,0.0,13.228756555322953,0.0,11.789826122551595,0.0,10.488088481701515,0.0,9.055385138137417,0.0,7.745966692414834,0.0,6.082762530298219,0.0,3.7416573867739413,0.0,1948.0856057023059,0.0,2329.02254656867,0.0,475.0329974562899,0.0,325.3851356267873,0.0,305.6465567848316,0.0,298.9912364484742,0.0,285.82023686515396,0.0,283.8811844669665,0.0,280.93275053793224,0.0,267.6974902783937,0.0,3.036683244720092,0.0,14.194626576133611,0.0,288.56111716656255,0.0,145.74049475955198,0.0,133.39520158973795,0.0,44.14948464703893,0.0,91.26282349737312,0.0,94.40160194458295,0.0,109.49478383973803,0.0,146.24010928785353,0.0,28.852975500474813,0.0,10.374634515601025,0.0,13.596794407443994,0.0,12.627110973306932,0.0,11.647146045662625,0.0,10.184934353056567,0.0,8.855586754282124,0.0,7.333426614533302,0.0,6.157352513491596,0.0,4.467105440256768,0.0,2.715669710248044,0.0
Adria,224.24313725490197,0.0,13.54736518374554,0.0,248.73569827739794,0.0,245.0,0.0,212.0,0.0,182.0,0.0,147.0,0.0,113.0,0.0,84.0,0.0,56.0,0.0,40.0,0.0,9.0,0.0,10.428869754067245,0.0,15.652475842498529,0.0,14.560219778561036,0.0,13.490737563232042,0.0,12.12435565298214,0.0,10.63014581273465,0.0,9.16515138991168,0.0,7.483314773547883,0.0,6.324555320336759,0.0,3.0,0.0,4942.129660157244,0.0,2326.3912990033373,0.0,541.6368655802687,0.0,337.6815043008076,0.0,308.44606963894717,0.0,302.8989026402054,0.0,289.66762633922104,0.0,282.2042900409078,0.0,279.8565580253396,0.0,265.7007456494352,0.0,3.0036972004723936,0.0,14.808011908806362,0.0,205.29002129249,0.0,93.63389342865068,0.0,85.80045050440357,0.0,121.79874453808377,0.0,146.28179068605976,0.0,287.2722539144772,0.0,426.9212154592562,0.0,418.77218500956945,0.0,117.79860732141364,0.0,10.428869753836205,0.0,13.470234739279128,0.0,12.679571694036657,0.0,11.775512405190543,0.0,10.406073878202621,0.0,8.863953318213689,0.0,7.490042789522117,0.0,5.792588687292692,0.0,4.521180604938721,0.0,2.183920210368004,0.0
Affen,230.17254901960786,0.0,13.437632432758528,0.0,246.03647377650242,0.0,278.0,0.0,244.0,0.0,199.0,0.0,153.0,0.0,112.0,0.0,62.0,0.0,32.0,0.0,16.0,0.0,4.0,0.0,9.936430915919544,0.0,16.673332000533065,0.0,15.620499351813308,0.0,14.106735979665885,0.0,12.36931687685298,0.0,10.583005244258363,0.0,7.874007874011811,0.0,5.656854249492381,0.0,4.0,0.0,2.0,0.0,3531.4575531369724,0.0,1274.3961979408568,0.0,1254.7216044352042,0.0,1225.1852801935513,0.0,1150.4865427313694,0.0,1123.9168761231033,0.0,801.3219807178292,0.0,641.6412413812398,0.0,463.9794532531699,0.0,253.15086903020435,0.0,1.9356784906153168,0.0,21.158518534753547,0.0,310.64703935520987,0.0,133.66249405671974,0.0,125.02096578924298,0.0,82.97338686384336,0.0,96.45947416162939,0.0,101.43425123646597,0.0,107.72268953394988,0.0,142.2915799486681,0.0,9.146128022816182,0.0,9.936430915919699,0.0,14.29192461848132,0.0,13.536797198689257,0.0,12.094033114551205,0.0,10.392210864519528,0.0,8.612688991275515,0.0,5.8521675673046,0.0,4.0511730857687915,0.0,2.355786605432808,0.0,0.8257818244586025,0.0
Agenk,251.83529411764707,0.0,14.015995695367646,0.0,253.53983177202002,0.0,292.0,0.0,244.0,0.0,206.0,0.0,172.0,0.0,125.0,0.0,90.0,0.0,64.0,0.0,34.0,0.0,10.0,0.0,10.65134644719655,0.0,17.08800749063506,0.0,15.620499351813308,0.0,14.352700094407323,0.0,13.114877048604,0.0,11.180339887498949,0.0,9.486832980505138,0.0,8.0,0.0,5.830951894845301,0.0,3.1622776601683795,0.0,27953.087227734475,0.0,38785.9643804662,0.0,15671.106338812882,0.0,6890.379629389814,0.0,3200.663504291171,0.0,1897.3919156318582,0.0,1891.227351839313,0.0,1543.6488435771248,0.0,1205.2729164809155,0.0,678.3525559123136,0.0,2.2010258926550867,0.0,25.38473886779658,0.0,222.7576621471939,0.0,161.57812773208042,0.0,207.8662334465631,0.0,66.65412311277301,0.0,71.8349825595058,0.0,95.35477088538042,0.0,104.84990950246434,0.0,142.5973796768647,0.0,14.181399051605021,0.0,10.651346447194056,0.0,14.63221409361684,0.0,13.563065201946824,0.0,12.524885797445677,0.0,11.268390971565385,0.0,9.26680280835934,0.0,7.62466771532682,0.0,6.111814916555543,0.0,3.996932042009487,0.0,2.094220829137227,0.0
