,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,457.13594963036894,3.9662915646491688,14.722553922490395,0.08965262763304092,449.98061515435,3.870430284928552,165.49,5.965727114107718,115.91792230089621,3.658999101144287,12.272527506693498,0.08605211805065378,12.925561913600745,0.22326938364643822,9.229228532857684,0.137986523919356,522.9364064674012,6.910212661981007,211.80884881679492,6.917074482773674,176.49842965207944,3.95070540299854,,,224.4262510943974,4.088564126451701,347.4612556910738,9.426488244675712,183.3730460419246,3.95492814923956,9.101410461946514,0.09170032792572634,6.564290602333759,0.1872330199535784,6.149661443948181,0.14770181703293048
Abend,481.4408970905788,3.4622031785230734,15.285179795353873,0.0855188212022134,441.70244080142913,3.5462469038127664,162.85,6.484404367403378,114.90346126094249,4.027754942806072,12.133994295991524,0.08578028043200124,12.757176604595658,0.23333469342794005,9.2188616083668,0.12802705061354133,528.7168948823553,7.528045932627372,225.84380301893827,4.8714960449069356,197.4046425768222,5.097418357586421,,,226.14210988761428,3.6663015154573992,336.81946684109033,10.421358284002842,179.53777226506253,3.8113725141712367,9.154736227140782,0.08831202581919924,6.946090039569616,0.17520603614111593,6.387735006023636,0.14284264165214056
Aboln,456.1324755003901,4.1212024000830825,14.511886769065448,0.08915757489089707,444.35903598097013,4.364165373198024,161.12,6.112740792803176,112.54644233278908,3.905743681278383,12.097724467823546,0.09834509743860216,12.588875837393855,0.2240650590368519,9.040732050641942,0.12849743211386724,516.391382021986,6.894131819742355,195.10877748215694,5.5173447534058315,163.16181210598558,3.954515935000494,,,225.6705487660385,4.016327726413132,355.73234781488145,10.197204355812982,178.70697391993872,4.039500023993432,8.979077515288727,0.09477516195457737,5.983150867789735,0.17944613351497019,6.186166999065429,0.1444750537159237
Abtäs,469.9702611533825,3.7697308884990255,14.940456185377828,0.09544261176012857,441.21532828211923,4.083294954725939,155.84,5.443748708381017,108.42319048386486,3.2227411790903515,11.979244286275327,0.0971603319760181,12.483157388899926,0.20194455663180394,8.866118140012611,0.13942506022925474,521.5424970032094,6.5287356093912985,212.35666483755622,8.785845324006242,171.08907210655354,4.974904511428544,,,230.52901377241886,3.7643335058326124,336.9229700865416,9.342765786049087,185.26968002293066,3.321934792396852,8.595473924628532,0.09352100620873283,6.260254263451359,0.19906629815972873,5.688813622881948,0.15734101223641744
Acker,453.07016518122737,4.291740772824782,14.537387494719589,0.09960355489221034,437.57777442664315,3.5767250135178688,146.52,5.4908651413051475,102.76472773528711,3.378658845629993,11.852954583858363,0.08638311879466759,12.15138601796193,0.2526219358633245,8.705787500011029,0.14295925397183812,511.0586728794144,6.864396860293672,185.32508032237808,7.837601698506667,145.5140071710249,5.584076383992217,,,224.59776480780545,3.7773854141977976,343.03600471214236,9.363776153584872,175.90831949571836,4.320241132863016,8.527232033707266,0.08738407063266782,5.868639095984521,0.19111756138620842,5.727895530845993,0.12247945242444713
Adern,464.39682922840126,3.8160538398426787,14.80427796048906,0.09554213278606459,439.6957327842428,3.931760674674066,153.91,5.8328295020512995,108.41397578637911,3.2356727904333304,12.011521482998624,0.10347460837525922,12.446037010507915,0.2369867782540068,8.968910997028871,0.14849608314930632,547.0360270174715,8.016320535038062,262.8910182720044,5.745058697494745,242.13381611667361,7.6392465446132505,,,224.9402194382802,4.146491097398838,342.8773142413926,9.342314295942632,180.1391925637057,3.609566607888462,8.459151716931359,0.07566652611837715,5.8388586346988385,0.17047796002400223,5.672766841443148,0.1348617509851237
Adler,457.38754827398037,3.431058923681104,14.790230620287941,0.09021797468393984,439.73884438283085,3.5086157805542677,148.71,5.8434493238155145,106.2849614649371,3.5563085104931784,12.03305496883929,0.09209901059913927,12.236620298681007,0.23478429655309055,8.94825234928291,0.13956293837684605,540.9607465405944,6.833712997607604,247.92252424269884,3.916689582678809,230.69089707948638,6.968477587830508,,,224.09850180566528,4.0321728537595005,337.65945425292773,9.207021522397266,174.5596867887855,4.000976437403779,8.970257692890659,0.08603108229284699,6.111358733972988,0.2120877341420064,6.043187066975887,0.15425807479782613
Adria,456.08186024484456,3.7756008377198853,14.698504785336063,0.10310524175066046,450.0758879314686,4.095720713617095,164.81,5.460210618648332,116.1954626288549,3.4663812023392016,12.318742576968905,0.09635112840354843,12.853420946785082,0.26376118885557454,9.27700297251814,0.1493981522452223,544.3504038974764,6.790191407013521,263.37712623024777,5.356755133867282,237.7475103554508,7.833108599880769,,,224.67490799930096,3.712554116825078,353.96104516616157,10.053991253637852,181.97543080432172,3.4394167394058384,8.910902639171077,0.09129018922423625,6.107864318944681,0.157390812355542,6.169147828327814,0.14489935282110805
Affen,461.92510958982893,4.087566170381667,14.578363126162856,0.10378853532629975,433.4781574557096,3.7193323324362844,135.79,6.810719492094797,89.40470220105937,4.087242854711657,11.429245853118035,0.1026770504541989,11.699305963068815,0.27611588600167314,7.850682128423325,0.15645157031381088,566.5169853503015,6.514476617275123,381.98528383076575,14.172071925947495,281.45726908865134,9.314969668502105,,,228.02877400164883,3.817234908143617,332.2760411108317,10.079672886993606,180.27975064699356,4.011817494925432,8.050972114232412,0.08752856631534152,5.333197294037146,0.21001980070274875,4.70333806785084,0.17747582406376977
Agenk,478.65595507499114,4.084406504874407,15.135119302115283,0.08800252623470274,442.2219675313058,3.9595140055564615,162.93,5.344632821812926,113.84615518961158,3.273143018914154,12.072151114171529,0.0861451969325731,12.777212923568419,0.22984757078604293,9.109159957476608,0.14127693255941412,575.4258109582588,6.616323369131365,355.16483635949606,11.60430624220693,294.3808739808093,8.927323673047674,,,232.82266335743708,4.266407125355104,359.2670383023375,8.698266298172356,189.64602103485333,3.337661783607158,8.21429890662829,0.084926336834341,6.013667987079033,0.18840622588044087,5.652214739937575,0.14461051997999153
