,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,3952.537828680612,54.994321380982996,86.62402468641987,0.9926730767136476,3959.344974738808,55.090346254128555,2416.72,26.112862730845887,3751.9734290866645,60.160490681763186,87.07615995461134,1.057738369805121,49.18011709304053,0.2368178937980384,86.68006691399245,1.0685908118254517,39.658200530340444,0.4999951379220652,22.471294609263577,0.11143671765254198,39.47669503211623,0.5043915592254063,,,225.61444480811403,3.8186503827112306,127.26887476197919,1.3976046765853865,224.67527695382196,3.815393727949365,33.000281893473385,0.8900712781396896,18.0900234021981,0.257380083369031,32.83533056885998,0.8745560950998973
Abend,3950.192732434952,52.74667482699834,86.764046314011,0.9570744819260903,3955.257445184532,48.94246668123954,2418.73,22.04171272837027,3748.1681765384537,52.561345956005894,86.78660286679171,1.1086913196311832,49.146086609925824,0.24934099075098967,86.38895374794345,1.1182389197662692,39.68673659549331,0.48864239728696074,22.456931930345537,0.12524740448207894,39.5044414027321,0.49303471442822894,,,226.0761276759801,3.9859073651567822,127.1609763336849,1.3673271981917632,225.03917927732167,3.959742356441653,32.74928054286448,0.8670090021758838,18.066741676226133,0.2586330074566756,32.58067488773458,0.8704086855239905
Aboln,3939.798459331179,47.0882915101037,86.51400735713729,1.0074541189685302,3949.342304105283,53.54975795522788,2414.52,22.061949143264744,3740.0517678762612,56.62957539528612,86.74713065942838,0.9942892387111374,49.140827006159085,0.24314841300433807,86.34794514087909,1.0029127449265454,39.778513762885765,0.4843706542168502,22.474891688756387,0.12277173972649433,39.5981182366136,0.4902271024686813,,,225.69906085517223,3.966606549767613,127.40130465085217,1.3358544826136058,224.65137459755965,4.006376789375687,33.03005657543257,0.92891680098914,18.058243089014653,0.29372349568731637,32.86612679216403,0.9308715380258142
Abtäs,3937.187947216697,58.79736377091636,86.59219153044583,1.0396854538765619,3960.25918600331,52.34013575492739,2416.92,26.407074809603586,3754.0547316461,56.73907650918173,86.90740690440015,1.0527147112430122,49.16114422529148,0.26813888209338643,86.50918701912722,1.0630921986145243,39.58097319443257,0.5267008898247129,22.470979906339803,0.11936372983012089,39.39967010823356,0.531759885600079,,,226.55444254655313,4.326346860765951,127.02100028896204,1.2680014904150638,225.5066230465184,4.354152290175757,32.745750839302104,0.8596243953508557,18.055210031313447,0.27953486964778274,32.58298723203725,0.8482094313247159
Acker,3940.2667677600825,49.740992689430286,86.6889880683799,1.1397853738295425,3964.080637727008,53.86811060556777,2417.04,22.690932109545436,3756.214771127154,57.63489210315612,87.09403310125236,1.2294873278108167,49.2193439362448,0.2572595686141651,86.70187802996432,1.2394896032142175,39.709941930320596,0.48356791356213913,22.460710964391364,0.12000825299183926,39.52874825091439,0.4881013342916236,,,225.62357561745233,3.9448550517177625,126.88601606441398,1.2864093618153913,224.59916428412183,3.931688648695822,33.09103205921631,0.894861434780821,18.05530940967373,0.250127350234837,32.91503139000454,0.893601907617428
Adern,3943.9116320006387,47.019920501180444,86.54981501934141,1.1372449058893825,3955.4362283153,51.92075141457789,2419.03,24.39321831985275,3748.340984955565,55.94272042069768,86.87897956397819,1.0766471477613226,49.15670065120935,0.2208644095257746,86.48105652323784,1.0863116827035268,39.658035884400604,0.5134638412115451,22.446168946783633,0.10422400878864743,39.474822977635995,0.5185347363470435,,,225.0460873133534,4.290198777002386,126.94059631178602,1.2057279907575367,224.04315344160065,4.364901772210249,32.92473292366594,0.9533903541602139,18.0398835246931,0.32134018005592524,32.75325768632629,0.9411421717193303
Adler,3951.3564581226947,52.873402961807834,86.64638103157573,1.0246088420414443,3965.1354214233597,52.597898111469746,2420.21,24.42592679920252,3758.277244287314,56.60652216621763,87.04019213592339,1.1435949942355803,49.19489527661086,0.28684268038650323,86.64524611010646,1.1544043913354574,39.62537207629064,0.5691136306712534,22.45564165051883,0.1316772020899519,39.44287142628617,0.5756003048496805,,,225.69377737906152,3.556956915897168,127.29777524163403,1.378087704349544,224.67777126428703,3.5514966615964862,33.02064384082255,0.8374909582735725,18.097517312168648,0.251400862783564,32.852432359094536,0.841450990839665
Adria,3944.8575713950854,48.13857557087858,86.6260301566855,1.0348115527488206,3959.032099930463,55.52352362933661,2419.71,26.924819405151077,3752.6719405023177,60.12967428136172,86.93721301603004,1.1006554647090763,49.18181304181755,0.2631841934931353,86.54036092512838,1.1097979110880605,39.70002346319124,0.45851315911858076,22.47059848886616,0.11175263312541897,39.51987347997305,0.4619793646912863,,,226.08679588464577,4.5795930364721995,127.21419508665478,1.3956576819163624,225.07888145335602,4.504297579201305,32.80142215011441,0.8679023618353037,18.055231563611063,0.2686472174750846,32.63928008238584,0.8659881734065453
Affen,3943.5879044832836,53.37479602900411,86.50696098976132,1.1710378290866768,3952.211128254219,57.068645272262714,2416.55,24.94689359419324,3744.6029690528903,60.89700672479365,86.83463408037102,1.0305877672928723,49.136217081392175,0.22840956701655316,86.43669291704624,1.038073818690798,39.64603696839521,0.5512733820029307,22.449051780179374,0.10907275507452932,39.4644420701806,0.5563707236962093,,,225.53216085467025,3.6987340430220548,126.90534193221772,1.3339745363953905,224.48030060005075,3.7970995472662556,32.98493806709793,0.8032213993938504,18.06457741540639,0.26346090637781067,32.82176069273337,0.8080045194994059
Agenk,3946.537115337901,55.545830128529545,86.74425683423853,0.9405404095219764,3960.663251305524,52.44878586577311,2418.08,24.22217166151706,3752.513720440206,55.906226118134995,87.0536601642648,1.0411877692976568,49.178249979354604,0.26406243221775644,86.65895708303208,1.051645532656429,39.633063026033,0.4795835182743909,22.43323228762168,0.11803286370903215,39.45084781982225,0.4847009269503818,,,226.09900365583368,4.5054899191749405,127.12131018520863,1.184363373673072,225.08560178472035,4.473806235302174,32.90257197215474,0.7978666056538849,18.068639374985565,0.2783648933882044,32.73338327811884,0.7896620153465409
