,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,227.44881668300695,0.0,13.46210620401144,0.0,9.304169797670278,0.0
Abend,255.0301687661115,0.0,14.063583629765368,0.0,8.881307928506335,0.0
Aboln,226.00593338872108,0.0,13.238966340020182,0.0,9.755517955827255,0.0
Abtäs,242.1335955499269,0.0,13.69704959680306,0.0,8.160593489629878,0.0
Acker,222.89336931608608,0.0,13.249490273160209,0.0,7.048352890531552,0.0
Adern,235.24949253311752,0.0,13.561377921208237,0.0,8.321001916148695,0.0
Adler,226.09723034226343,0.0,13.546311222290171,0.0,8.753682788020468,0.0
Adria,224.74337225033787,0.0,13.451224611832263,0.0,9.871870011756307,0.0
Affen,230.61639383120016,0.0,13.328101458488904,0.0,9.071577069572943,0.0
Agenk,251.74140822727173,0.0,13.915371891310407,0.0,8.156231688803175,0.0
Agent,237.08536169574253,0.0,13.489831199775082,0.0,8.30747614595133,0.0
Ahnen,237.42074812518192,0.0,13.248102843123192,0.0,6.829746527560265,0.0
Aigön,233.51371395352976,0.0,13.328044227908295,0.0,9.05944701967864,0.0
Akkus,239.68309905189096,0.0,13.629268953789994,0.0,7.685583021039738,0.0
Aktie,219.74439453751125,0.0,13.413343720299267,0.0,9.132148476654315,0.0
Alahn,227.87157033153508,0.0,13.162085881878594,0.0,8.759807856625528,0.0
Alarm,228.5740457328846,0.0,13.585620968061454,0.0,9.220490553946016,0.0
Alben,233.77819033788728,0.0,13.57934359423076,0.0,7.796145380108697,0.0
Algen,235.68045485046753,0.0,13.515882500731552,0.0,8.55333272964425,0.0
Alibi,211.48009495121465,0.0,13.34073434881708,0.0,11.050217598644036,0.0
Allas,212.77568502219503,0.0,13.029658683988568,0.0,9.274800895777526,0.0
Alpen,237.21351167968797,0.0,13.699101888344092,0.0,8.64363384482959,0.0
Altar,205.68743051921376,0.0,12.933236245106677,0.0,9.158019559240852,0.0
Alten,213.40614805956696,0.0,13.026748871600638,0.0,7.791935948346957,0.0
Alter,206.21284153453206,0.0,13.013079511621271,0.0,8.439519035969656,0.0
Amche,245.5374661505272,0.0,13.639130971504812,0.0,7.634914516059958,0.0
Amtig,239.06569012343334,0.0,13.854709750471585,0.0,10.698308337017556,0.0
Andam,256.765991474743,0.0,14.074528650825485,0.0,8.3532382601997,0.0
Anein,220.99840573901483,0.0,13.06820698991514,0.0,8.54384604414782,0.0
Angel,236.031377015877,0.0,13.523969063231448,0.0,9.387508096748824,0.0
Angst,234.85581939174787,0.0,13.335775514715378,0.0,8.509718592874105,0.0
Angur,232.50628702083213,0.0,13.237010535464808,0.0,8.881528275593192,0.0
Anker,229.86425732398718,0.0,13.461645923200477,0.0,7.038220315917097,0.0
