,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,227.14117647058822,0.0,13.558158150772867,0.0,252.0,0.0,223.0,0.0,186.0,0.0,156.0,0.0,121.0,0.0,90.0,0.0,63.0,0.0,33.0,0.0,14.0,0.0,15.874507866387544,0.0,14.933184523068078,0.0,13.638181696985855,0.0,12.489995996796797,0.0,11.0,0.0,9.486832980505138,0.0,7.937253933193772,0.0,5.744562646538029,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,3.901930248836959,0.0,,,,,,,,,,,,,,,,,,,15.355899330958886,0.0,14.488412390807929,0.0,13.296739903260493,0.0,12.12288001218304,0.0,10.584799290810915,0.0,9.177513162319606,0.0,7.687640479386029,0.0,5.454984332151999,0.0,3.5606403831343463,0.0
Abend,255.26666666666665,0.0,14.167017703772121,0.0,293.0,0.0,237.0,0.0,200.0,0.0,169.0,0.0,125.0,0.0,93.0,0.0,65.0,0.0,30.0,0.0,15.0,0.0,17.11724276862369,0.0,15.394804318340652,0.0,14.142135623730951,0.0,13.0,0.0,11.180339887498949,0.0,9.643650760992955,0.0,8.06225774829855,0.0,5.477225575051661,0.0,3.872983346207417,0.0,,,,,,,,,,,,,,,,,,,1.9263353761019257,0.0,,,,,,,,,,,,,,,,,,,16.527455539052777,0.0,14.949269127991494,0.0,13.840748084008519,0.0,12.68256210718735,0.0,10.832560385261797,0.0,9.38446383915163,0.0,7.817248069616564,0.0,5.191752219774585,0.0,3.67649415131012,0.0
Aboln,225.43529411764706,0.0,13.332740471248362,0.0,263.0,0.0,218.0,0.0,176.0,0.0,144.0,0.0,109.0,0.0,78.0,0.0,55.0,0.0,31.0,0.0,13.0,0.0,16.217274740226856,0.0,14.7648230602334,0.0,13.2664991614216,0.0,12.0,0.0,10.44030650891055,0.0,8.831760866327848,0.0,7.416198487095663,0.0,5.5677643628300215,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,3.0326561508150727,0.0,,,,,,,,,,,,,,,,,,,15.653164929637517,0.0,14.380781294844537,0.0,12.941514473471784,0.0,11.670576533165596,0.0,10.113802271398153,0.0,8.566713966177417,0.0,7.180301812072594,0.0,5.308020988832658,0.0,3.4579840712276027,0.0
Abtäs,242.61176470588234,0.0,13.807851490494269,0.0,272.0,0.0,234.0,0.0,189.0,0.0,158.0,0.0,125.0,0.0,84.0,0.0,55.0,0.0,31.0,0.0,14.0,0.0,16.492422502470642,0.0,15.297058540778355,0.0,13.74772708486752,0.0,12.569805089976535,0.0,11.180339887498949,0.0,9.16515138991168,0.0,7.416198487095663,0.0,5.5677643628300215,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,1.8507439276619262,0.0,,,,,,,,,,,,,,,,,,,16.03485103790176,0.0,14.894286678352275,0.0,13.422204055214669,0.0,12.225148156240106,0.0,10.819674313347335,0.0,8.837436527781753,0.0,7.145859087729819,0.0,5.304821322315912,0.0,3.488980637511212,0.0
Acker,222.921568627451,0.0,13.35688404543913,0.0,254.0,0.0,214.0,0.0,180.0,0.0,145.0,0.0,109.0,0.0,82.0,0.0,55.0,0.0,34.0,0.0,10.0,0.0,15.937377450509228,0.0,14.628738838327793,0.0,13.416407864998739,0.0,12.041594578792296,0.0,10.44030650891055,0.0,9.055385138137417,0.0,7.416198487095663,0.0,5.830951894845301,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.07486795962408,0.0,,,,,,,,,,,,,,,,,,,15.554639965205453,0.0,14.324890479982022,0.0,13.121758742545685,0.0,11.718072680189342,0.0,10.146533462051352,0.0,8.7945095342327,0.0,7.10656437359289,0.0,5.528021349590867,0.0,3.020598561577001,0.0
Adern,235.03529411764708,0.0,13.66097329859118,0.0,266.0,0.0,222.0,0.0,186.0,0.0,148.0,0.0,106.0,0.0,81.0,0.0,60.0,0.0,29.0,0.0,13.0,0.0,16.30950643030009,0.0,14.89966442575134,0.0,13.638181696985855,0.0,12.165525060596439,0.0,10.295630140987,0.0,9.0,0.0,7.745966692414834,0.0,5.385164807134504,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,2.471611618978233,0.0,,,,,,,,,,,,,,,,,,,15.810086214302567,0.0,14.547313182323334,0.0,13.3158382985447,0.0,11.828743395054722,0.0,9.930814082790297,0.0,8.741860716169011,0.0,7.480317350124817,0.0,5.073591023131332,0.0,3.366865460703495,0.0
Adler,225.62745098039215,0.0,13.644998154090905,0.0,255.0,0.0,210.0,0.0,177.0,0.0,143.0,0.0,111.0,0.0,89.0,0.0,67.0,0.0,38.0,0.0,16.0,0.0,15.968719422671311,0.0,14.491376746189438,0.0,13.30413469565007,0.0,11.958260743101398,0.0,10.535653752852738,0.0,9.433981132056603,0.0,8.18535277187245,0.0,6.164414002968976,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,2.601453862901467,0.0,,,,,,,,,,,,,,,,,,,15.540719838111313,0.0,14.21810669209935,0.0,13.03315033004246,0.0,11.720159713015354,0.0,10.276641192529812,0.0,9.225170256156202,0.0,7.95448887413163,0.0,5.921131090275922,0.0,3.78169425803582,0.0
Adria,224.24313725490197,0.0,13.54736518374554,0.0,248.0,0.0,217.0,0.0,181.0,0.0,145.0,0.0,110.0,0.0,87.0,0.0,60.0,0.0,33.0,0.0,8.0,0.0,15.748015748023622,0.0,14.730919862656235,0.0,13.45362404707371,0.0,12.041594578792296,0.0,10.488088481701515,0.0,9.327379053088816,0.0,7.745966692414834,0.0,5.744562646538029,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,2.5456360523654107,0.0,,,,,,,,,,,,,,,,,,,15.374667131355826,0.0,14.424147945684167,0.0,13.125177253431914,0.0,11.67842049736465,0.0,10.106041930423823,0.0,9.044611481112605,0.0,7.444839558574594,0.0,5.486531015636837,0.0,2.634434230025568,0.0
Affen,230.17254901960786,0.0,13.437632432758528,0.0,282.0,0.0,245.0,0.0,202.0,0.0,155.0,0.0,111.0,0.0,66.0,0.0,35.0,0.0,17.0,0.0,4.0,0.0,16.792855623746664,0.0,15.652475842498529,0.0,14.212670403551895,0.0,12.449899597988733,0.0,10.535653752852738,0.0,8.12403840463596,0.0,5.916079783099616,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.8775343575086734,0.0,,,,,,,,,,,,,,,,,,,16.454276698503854,0.0,15.312357791035616,0.0,13.926237720108691,0.0,12.156872668707917,0.0,10.124046177635314,0.0,7.693056932410491,0.0,5.45450486641702,0.0,3.578998699677601,0.0,1.372155545498924,0.0
Agenk,251.83529411764704,0.0,14.015995695367646,0.0,297.0,0.0,243.0,0.0,206.0,0.0,169.0,0.0,121.0,0.0,90.0,0.0,66.0,0.0,33.0,0.0,9.0,0.0,17.233687939614086,0.0,15.588457268119896,0.0,14.352700094407323,0.0,13.0,0.0,11.0,0.0,9.486832980505138,0.0,8.12403840463596,0.0,5.744562646538029,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,1.9989354205937406,0.0,,,,,,,,,,,,,,,,,,,16.706560747839475,0.0,15.19488097014155,0.0,14.023326528092207,0.0,12.645543863990792,0.0,10.629112690798125,0.0,9.17715614657325,0.0,7.753978438778247,0.0,5.31288977514116,0.0,2.678353083169699,0.0
Agent,237.078431372549,0.0,13.594128252768197,0.0,275.0,0.0,224.0,0.0,183.0,0.0,150.0,0.0,106.0,0.0,77.0,0.0,55.0,0.0,24.0,0.0,6.0,0.0,16.583123951777,0.0,14.966629547095765,0.0,13.527749258468683,0.0,12.24744871391589,0.0,10.295630140987,0.0,8.774964387392123,0.0,7.416198487095663,0.0,4.898979485566356,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,3.326785971069265,0.0,,,,,,,,,,,,,,,,,,,16.076164832816886,0.0,14.565425657788111,0.0,13.234452223594765,0.0,11.922792901252853,0.0,9.91289842866602,0.0,8.49283321472455,0.0,7.10711312243722,0.0,4.53705400643318,0.0,2.1225072003938235,0.0
Ahnen,237.58039215686273,0.0,13.366501421316622,0.0,294.0,0.0,238.0,0.0,179.0,0.0,140.0,0.0,87.0,0.0,52.0,0.0,23.0,0.0,9.0,0.0,2.0,0.0,17.146428199482248,0.0,15.427248620541512,0.0,13.379088160259652,0.0,11.832159566199232,0.0,9.327379053088816,0.0,7.211102550927978,0.0,4.795831523312719,0.0,3.0,0.0,1.4142135623730951,0.0,,,,,,,,,,,,,,,,,,,1.718441818538485,0.0,,,,,,,,,,,,,,,,,,,16.670148572464655,0.0,14.950279811600979,0.0,13.052610119007277,0.0,11.472312882432131,0.0,9.006320482438127,0.0,6.982075479263195,0.0,4.531384442567109,0.0,2.706715597096454,0.0,1.2813744606904676,0.0
