,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,227.14117647058822,0.0,13.558158150772865,0.0,251.0,0.0,222.0,0.0,184.0,0.0,155.0,0.0,121.0,0.0,88.0,0.0,63.0,0.0,32.0,0.0,14.0,0.0,15.84297951775486,0.0,14.89966442575134,0.0,13.564659966250536,0.0,12.449899597988733,0.0,11.0,0.0,9.38083151964686,0.0,7.937253933193772,0.0,5.656854249492381,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,4.546944823223517,0.0,,,,,,,,,,,,,,,,,,,14.916130823418143,0.0,14.18877804635171,0.0,13.03191033684571,0.0,11.902545538222709,0.0,10.301585360659697,0.0,8.73351976542999,0.0,7.303417959448651,0.0,4.909238801207143,0.0,3.191853603618568,0.0
Abend,255.26666666666665,0.0,14.167017703772121,0.0,289.0,0.0,238.0,0.0,201.0,0.0,170.0,0.0,126.0,0.0,95.0,0.0,64.0,0.0,30.0,0.0,15.0,0.0,17.0,0.0,15.427248620541512,0.0,14.177446878757825,0.0,13.038404810405298,0.0,11.224972160321824,0.0,9.746794344808963,0.0,8.0,0.0,5.477225575051661,0.0,3.872983346207417,0.0,,,,,,,,,,,,,,,,,,,2.1342957189583815,0.0,,,,,,,,,,,,,,,,,,,15.96614417801773,0.0,14.697545675433691,0.0,13.570842046866991,0.0,12.424998696245968,0.0,10.651195472493352,0.0,9.208007928360171,0.0,7.424389287231013,0.0,4.804923233110843,0.0,3.3901888571818963,0.0
Aboln,225.43529411764706,0.0,13.332740471248362,0.0,260.0,0.0,218.0,0.0,176.0,0.0,145.0,0.0,109.0,0.0,80.0,0.0,56.0,0.0,30.0,0.0,12.0,0.0,16.1245154965971,0.0,14.7648230602334,0.0,13.2664991614216,0.0,12.041594578792296,0.0,10.44030650891055,0.0,8.94427190999916,0.0,7.483314773547883,0.0,5.477225575051661,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,3.4613116275361335,0.0,,,,,,,,,,,,,,,,,,,15.127279250676713,0.0,14.028029029538205,0.0,12.671726312158974,0.0,11.472453999868316,0.0,9.7850915885577,0.0,8.393099869368218,0.0,6.985768977859305,0.0,4.938274673561282,0.0,3.0185815047546964,0.0
Abtäs,242.61176470588234,0.0,13.807851490494267,0.0,269.0,0.0,230.0,0.0,188.0,0.0,159.0,0.0,124.0,0.0,86.0,0.0,57.0,0.0,30.0,0.0,15.0,0.0,16.401219466856727,0.0,15.165750888103101,0.0,13.711309200802088,0.0,12.609520212918492,0.0,11.135528725660043,0.0,9.273618495495704,0.0,7.54983443527075,0.0,5.477225575051661,0.0,3.872983346207417,0.0,,,,,,,,,,,,,,,,,,,2.087348960158146,0.0,,,,,,,,,,,,,,,,,,,15.398347880436498,0.0,14.293218118817702,0.0,13.070886573793794,0.0,12.031034033868298,0.0,10.469856925529477,0.0,8.654519266018633,0.0,6.945753668508212,0.0,4.838053076879741,0.0,3.367040074828515,0.0
Acker,222.921568627451,0.0,13.35688404543913,0.0,255.0,0.0,213.0,0.0,179.0,0.0,142.0,0.0,108.0,0.0,82.0,0.0,53.0,0.0,33.0,0.0,10.0,0.0,15.968719422671311,0.0,14.594519519326424,0.0,13.379088160259652,0.0,11.916375287812984,0.0,10.392304845413264,0.0,9.055385138137417,0.0,7.280109889280518,0.0,5.744562646538029,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.3344985243156304,0.0,,,,,,,,,,,,,,,,,,,14.919907091287477,0.0,13.75132143244367,0.0,12.608331146367801,0.0,11.223037785487312,0.0,9.722163066154849,0.0,8.393914303615713,0.0,6.53424289425196,0.0,4.979421756864336,0.0,2.8582050812325,0.0
Adern,235.03529411764708,0.0,13.660973298591182,0.0,264.0,0.0,220.0,0.0,185.0,0.0,150.0,0.0,107.0,0.0,81.0,0.0,59.0,0.0,28.0,0.0,14.0,0.0,16.24807680927192,0.0,14.832396974191326,0.0,13.601470508735444,0.0,12.24744871391589,0.0,10.344080432788601,0.0,9.0,0.0,7.681145747868608,0.0,5.291502622129181,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,2.857629927015786,0.0,,,,,,,,,,,,,,,,,,,15.246389250872848,0.0,14.130843565918836,0.0,13.026959505056224,0.0,11.696132265906254,0.0,9.737377269153205,0.0,8.476932601295836,0.0,7.104029416158145,0.0,4.584345374541033,0.0,3.194010962451665,0.0
Adler,225.62745098039215,0.0,13.644998154090905,0.0,255.0,0.0,207.0,0.0,177.0,0.0,141.0,0.0,110.0,0.0,88.0,0.0,65.0,0.0,37.0,0.0,16.0,0.0,15.968719422671311,0.0,14.38749456993816,0.0,13.30413469565007,0.0,11.874342087037917,0.0,10.488088481701515,0.0,9.38083151964686,0.0,8.06225774829855,0.0,6.082762530298219,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,3.0478933906602745,0.0,,,,,,,,,,,,,,,,,,,14.796907182374213,0.0,13.592376238115909,0.0,12.64532064159306,0.0,11.296533615132725,0.0,9.869178672479013,0.0,8.81597319329768,0.0,7.540420419064037,0.0,5.497136902063973,0.0,3.542031989323466,0.0
Adria,224.24313725490194,0.0,13.54736518374554,0.0,246.0,0.0,214.0,0.0,181.0,0.0,147.0,0.0,110.0,0.0,87.0,0.0,59.0,0.0,36.0,0.0,9.0,0.0,15.684387141358123,0.0,14.628738838327793,0.0,13.45362404707371,0.0,12.12435565298214,0.0,10.488088481701515,0.0,9.327379053088816,0.0,7.681145747868608,0.0,6.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,2.9917658977290498,0.0,,,,,,,,,,,,,,,,,,,14.61269556361319,0.0,13.821624765033643,0.0,12.819224058623174,0.0,11.568452140449159,0.0,9.798460430180972,0.0,8.72815531810367,0.0,7.034759912996736,0.0,5.341660291934587,0.0,2.611897769376917,0.0
Affen,230.17254901960786,0.0,13.437632432758528,0.0,281.0,0.0,244.0,0.0,200.0,0.0,154.0,0.0,112.0,0.0,66.0,0.0,34.0,0.0,16.0,0.0,4.0,0.0,16.76305461424021,0.0,15.620499351813308,0.0,14.142135623730951,0.0,12.409673645990857,0.0,10.583005244258363,0.0,8.12403840463596,0.0,5.830951894845301,0.0,4.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.9632337488130802,0.0,,,,,,,,,,,,,,,,,,,15.793462362691844,0.0,14.720915464586467,0.0,13.337001601466811,0.0,11.660124978125255,0.0,9.79145191139154,0.0,7.322180753978296,0.0,4.98038193017668,0.0,2.949233188887876,0.0,1.1657482857778274,0.0
Agenk,251.83529411764704,0.0,14.015995695367648,0.0,295.0,0.0,244.0,0.0,206.0,0.0,171.0,0.0,123.0,0.0,91.0,0.0,66.0,0.0,33.0,0.0,10.0,0.0,17.175564037317667,0.0,15.620499351813308,0.0,14.352700094407323,0.0,13.076696830622021,0.0,11.090536506409418,0.0,9.539392014169456,0.0,8.12403840463596,0.0,5.744562646538029,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.2109912651869923,0.0,,,,,,,,,,,,,,,,,,,16.13051786485252,0.0,14.789994426987663,0.0,13.60512044096946,0.0,12.35666896330803,0.0,10.37476297788124,0.0,8.865203699477805,0.0,7.3891088406085705,0.0,4.931978720362451,0.0,2.505971202909828,0.0
