,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,226.66274509803918,0.0,13.203841203596633,0.0,267.0,0.0,234.0,0.0,191.0,0.0,149.0,0.0,114.0,0.0,78.0,0.0,42.0,0.0,18.0,0.0,5.0,0.0,16.34013463836819,0.0,15.297058540778355,0.0,13.820274961085254,0.0,12.206555615733702,0.0,10.677078252031311,0.0,8.831760866327848,0.0,6.48074069840786,0.0,4.242640687119285,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,4.075171580497969,0.0,,,,,,,,,,,,,,,,,,,14.44880871870778,0.0,13.676734957542957,0.0,12.416265269660801,0.0,10.779251013553889,0.0,9.083174362807743,0.0,7.139795959487164,0.0,4.864016154795266,0.0,2.6956035170341517,0.0,1.5027264601687083,0.0
Abend,257.91372549019604,0.0,14.157672020755726,0.0,294.0,0.0,258.0,0.0,219.0,0.0,171.0,0.0,130.0,0.0,93.0,0.0,54.0,0.0,18.0,0.0,6.0,0.0,17.146428199482248,0.0,16.06237840420901,0.0,14.798648586948742,0.0,13.076696830622021,0.0,11.40175425099138,0.0,9.643650760992955,0.0,7.3484692283495345,0.0,4.242640687119285,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,1.9922312018794006,0.0,,,,,,,,,,,,,,,,,,,15.390706861971937,0.0,14.541244323468627,0.0,13.452643661447842,0.0,11.658703209087879,0.0,9.824479470891792,0.0,7.919450460053925,0.0,5.631378729486197,0.0,2.829051796747534,0.0,1.6618257198489448,0.0
Aboln,227.14117647058822,0.0,13.24867994120714,0.0,260.0,0.0,232.0,0.0,195.0,0.0,152.0,0.0,105.0,0.0,75.0,0.0,43.0,0.0,18.0,0.0,7.0,0.0,16.1245154965971,0.0,15.231546211727817,0.0,13.96424004376894,0.0,12.328828005937952,0.0,10.246950765959598,0.0,8.660254037844387,0.0,6.557438524302,0.0,4.242640687119285,0.0,2.6457513110645907,0.0,,,,,,,,,,,,,,,,,,,3.0307252982173827,0.0,,,,,,,,,,,,,,,,,,,14.212335162725683,0.0,13.51480214378849,0.0,12.476388727961503,0.0,10.798397737117153,0.0,8.596291121772884,0.0,6.9930716593195354,0.0,5.054234606912517,0.0,3.0474179695920736,0.0,2.0054801663607895,0.0
Abtäs,242.13333333333335,0.0,13.547811302212388,0.0,283.0,0.0,245.0,0.0,199.0,0.0,149.0,0.0,110.0,0.0,77.0,0.0,41.0,0.0,17.0,0.0,4.0,0.0,16.822603841260722,0.0,15.652475842498529,0.0,14.106735979665885,0.0,12.206555615733702,0.0,10.488088481701515,0.0,8.774964387392123,0.0,6.4031242374328485,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.9006529256390206,0.0,,,,,,,,,,,,,,,,,,,15.00384433643604,0.0,14.08648922686908,0.0,12.67320050696731,0.0,10.779736399236297,0.0,8.960828700477338,0.0,7.190658124349381,0.0,5.08792755359025,0.0,2.734954587965825,0.0,1.321615433861919,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,255.0,0.0,216.0,0.0,185.0,0.0,152.0,0.0,110.0,0.0,75.0,0.0,48.0,0.0,17.0,0.0,4.0,0.0,15.968719422671311,0.0,14.696938456699069,0.0,13.601470508735444,0.0,12.328828005937952,0.0,10.488088481701515,0.0,8.660254037844387,0.0,6.928203230275509,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,2.1958353587577406,0.0,,,,,,,,,,,,,,,,,,,14.127395608716496,0.0,13.160965719793408,0.0,12.20128918719062,0.0,10.879424464449334,0.0,8.917213342558291,0.0,6.979438417707761,0.0,5.0862994244721165,0.0,2.4177160354719973,0.0,1.1566377621032218,0.0
Adern,237.72156862745095,0.0,13.698203127966273,0.0,267.0,0.0,238.0,0.0,202.0,0.0,158.0,0.0,118.0,0.0,78.0,0.0,47.0,0.0,17.0,0.0,5.0,0.0,16.34013463836819,0.0,15.427248620541512,0.0,14.212670403551895,0.0,12.569805089976535,0.0,10.862780491200215,0.0,8.831760866327848,0.0,6.855654600401044,0.0,4.123105625617661,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,2.5153364536395215,0.0,,,,,,,,,,,,,,,,,,,14.6741803537676,0.0,13.98417031389712,0.0,12.824873244747657,0.0,11.193597697033823,0.0,9.243123138599028,0.0,7.12156964500755,0.0,5.213364342939367,0.0,2.6077346990860484,0.0,1.3676768757836775,0.0
Adler,227.32156862745097,0.0,13.436833010547003,0.0,263.0,0.0,230.0,0.0,194.0,0.0,154.0,0.0,112.0,0.0,80.0,0.0,51.0,0.0,21.0,0.0,8.0,0.0,16.217274740226856,0.0,15.165750888103101,0.0,13.92838827718412,0.0,12.409673645990857,0.0,10.583005244258363,0.0,8.94427190999916,0.0,7.14142842854285,0.0,4.58257569495584,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,2.748658517632423,0.0,,,,,,,,,,,,,,,,,,,14.44546679986513,0.0,13.673284713200378,0.0,12.51899253326823,0.0,10.943063216383335,0.0,9.027707073257687,0.0,7.230125784229012,0.0,5.385062218819303,0.0,3.1953644248740845,0.0,1.9964607002208972,0.0
Adria,225.2745098039216,0.0,13.262741039644096,0.0,267.0,0.0,236.0,0.0,195.0,0.0,149.0,0.0,100.0,0.0,63.0,0.0,41.0,0.0,17.0,0.0,4.0,0.0,16.34013463836819,0.0,15.362291495737216,0.0,13.96424004376894,0.0,12.206555615733702,0.0,10.0,0.0,7.937253933193772,0.0,6.4031242374328485,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,2.6959273252215623,0.0,,,,,,,,,,,,,,,,,,,14.539080575802034,0.0,13.779308967547648,0.0,12.486562534685504,0.0,10.660116684767143,0.0,8.299467637252596,0.0,6.116696666919575,0.0,4.8373744530186045,0.0,2.7196237905373843,0.0,1.3289217424068474,0.0
Affen,232.4,0.0,13.757871047628264,0.0,264.0,0.0,234.0,0.0,204.0,0.0,161.0,0.0,121.0,0.0,86.0,0.0,49.0,0.0,24.0,0.0,8.0,0.0,16.24807680927192,0.0,15.297058540778355,0.0,14.2828568570857,0.0,12.68857754044952,0.0,11.0,0.0,9.273618495495704,0.0,7.0,0.0,4.898979485566356,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,1.902245695330619,0.0,,,,,,,,,,,,,,,,,,,14.589696390835655,0.0,13.853647335517751,0.0,12.975489527358615,0.0,11.332032183775818,0.0,9.580684574779713,0.0,7.755935806555118,0.0,5.440124844118905,0.0,3.5907543612657182,0.0,2.0604165739439573,0.0
Agenk,254.23529411764704,0.0,14.118868138913587,0.0,283.0,0.0,247.0,0.0,219.0,0.0,176.0,0.0,130.0,0.0,97.0,0.0,58.0,0.0,26.0,0.0,9.0,0.0,16.822603841260722,0.0,15.716233645501712,0.0,14.798648586948742,0.0,13.2664991614216,0.0,11.40175425099138,0.0,9.848857801796104,0.0,7.615773105863909,0.0,5.0990195135927845,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,2.066710838219985,0.0,,,,,,,,,,,,,,,,,,,15.126965168983824,0.0,14.249260312891325,0.0,13.391802336229487,0.0,11.796974261899887,0.0,9.820745343574163,0.0,8.183718240667972,0.0,5.915536213429589,0.0,3.6198715353372153,0.0,2.1280509300251635,0.0
