,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,227.21497595730418,0.0,13.103078329471424,0.0,8.821819918541335,0.0
Abend,257.78527767678656,0.0,14.053360093492607,0.0,8.811877273231703,0.0
Aboln,227.73237150000074,0.0,13.151280929844987,0.0,9.150266012365574,0.0
Abtäs,242.06681442415965,0.0,13.438212149337527,0.0,7.896016457562688,0.0
Acker,223.94655352618054,0.0,13.112122285198241,0.0,7.384968072209191,0.0
Adern,237.9890183336732,0.0,13.597483097734782,0.0,8.319285990752462,0.0
Adler,228.15521000466862,0.0,13.34320986205101,0.0,9.19846449679844,0.0
Adria,226.0788134066372,0.0,13.16763618463737,0.0,9.716794656459685,0.0
Affen,232.92265595857452,0.0,13.65396659548184,0.0,9.621324346161275,0.0
Agenk,254.1135802659616,0.0,14.014128621245586,0.0,8.003229345534795,0.0
Agent,239.0857436181465,0.0,13.604327364663607,0.0,8.169125089898822,0.0
Ahnen,239.68475031355263,0.0,13.666760395753526,0.0,7.189545124422801,0.0
Aigön,235.89776785476772,0.0,13.427966006144693,0.0,8.771588310677028,0.0
Akkus,241.10972367561033,0.0,13.522249822370119,0.0,7.539163742213354,0.0
Aktie,220.60671099080304,0.0,13.150444219664422,0.0,8.85766296660751,0.0
Alahn,228.33920768728623,0.0,13.242059377062972,0.0,8.299629055488905,0.0
Alarm,227.50787362041308,0.0,13.155130469850734,0.0,8.978692471825466,0.0
Alben,235.47616931134093,0.0,13.502830683337232,0.0,7.959123849620661,0.0
Algen,237.96672569943723,0.0,13.609908118010566,0.0,8.704135796424339,0.0
Alibi,212.5473628318157,0.0,12.900761410710075,0.0,10.377309045024141,0.0
Allas,212.9465915669479,0.0,12.741171086612532,0.0,9.1805432942646,0.0
Alpen,239.4346627393857,0.0,13.635721520846793,0.0,9.049616248527643,0.0
Altar,205.49484894982737,0.0,12.57561548600537,0.0,8.846327262501722,0.0
Alten,214.94476550199397,0.0,12.987707764145446,0.0,8.009093303491884,0.0
Alter,206.84555080490253,0.0,12.753913845460666,0.0,8.457619025676072,0.0
Amche,244.78476809806847,0.0,13.621996659750868,0.0,7.523312643645459,0.0
Amtig,239.5292522749018,0.0,13.555511642808309,0.0,10.354133974334474,0.0
Andam,257.86461888216013,0.0,13.934900062482308,0.0,8.664953550638211,0.0
Anein,223.47712147310378,0.0,13.262209363731602,0.0,8.232520769160296,0.0
Angel,238.32360039756608,0.0,13.618082106664758,0.0,9.523520450947597,0.0
Angst,237.3374469190765,0.0,13.44877205094144,0.0,8.358507856441014,0.0
Angur,234.7281093135997,0.0,13.41834424982816,0.0,8.62202534980287,0.0
Anker,231.8863612573873,0.0,13.449534880132347,0.0,7.390856535986038,0.0
Anmas,245.75473825613273,0.0,13.556396225929298,0.0,7.512351967385971,0.0
Anmut,232.9771416541418,0.0,13.316509159722232,0.0,7.961462925945629,0.0
Annag,246.6223921195298,0.0,13.698004263993324,0.0,8.54783339989407,0.0
Anper,241.3277915419073,0.0,13.668704895428544,0.0,8.65740280562269,0.0
Antus,220.01323201487054,0.0,12.937215696493068,0.0,7.534830791685025,0.0
Anzug,241.62170198468374,0.0,13.66302203985617,0.0,8.1915890275192,0.0
Apfel,239.36099073642617,0.0,13.71256873564982,0.0,11.229081709154304,0.0
Arahn,230.01803756442155,0.0,13.270867174537301,0.0,7.6464932167576105,0.0
Arcer,209.58558488240504,0.0,12.713074948251613,0.0,7.377976543860517,0.0
Arche,223.55954782032904,0.0,13.105301858804134,0.0,7.421994813472329,0.0
Ardal,226.83304044438958,0.0,13.173772496951365,0.0,10.031574523880366,0.0
Arena,226.3276125480336,0.0,13.198675477938554,0.0,7.518427339365978,0.0
Argon,231.60035447921655,0.0,13.282329688414379,0.0,8.273390159249738,0.0
Arier,206.91987434445252,0.0,12.790430250485096,0.0,8.285832039936539,0.0
Arman,237.23335643203228,0.0,13.407849639079949,0.0,7.64358163674502,0.0
