,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,227.29403469437221,0.0,13.104084772766745,0.0,8.774746516235512,0.0
Abend,258.0831529005509,0.0,14.058629209421808,0.0,8.856968737678878,0.0
Aboln,227.89907694836347,0.0,13.154033319616108,0.0,8.944482881796928,0.0
Abtäs,242.2459766756306,0.0,13.442291021066017,0.0,7.647017236101274,0.0
Acker,224.18266422003143,0.0,13.117764502003842,0.0,7.678127588411023,0.0
Adern,238.20201289904554,0.0,13.600918311225612,0.0,8.347529651285848,0.0
Adler,228.34136566483278,0.0,13.347371489747573,0.0,9.382610386182773,0.0
Adria,226.16714701840436,0.0,13.169543184763572,0.0,9.333393617536675,0.0
Affen,233.33820823262562,0.0,13.663395795001103,0.0,10.06513242379818,0.0
Agenk,254.38217023291577,0.0,14.018717597785399,0.0,8.477037089286874,0.0
Agent,239.3760101616184,0.0,13.609915617894035,0.0,8.758706908900447,0.0
Ahnen,239.97492574471903,0.0,13.673017276734981,0.0,7.6295184246414625,0.0
Aigön,236.35350218799536,0.0,13.43732254990937,0.0,9.294744907699078,0.0
Akkus,241.3545470960122,0.0,13.527757419940949,0.0,7.52650639290272,0.0
Aktie,220.79551088186338,0.0,13.154495026015278,0.0,8.830894316938576,0.0
Alahn,228.75528519426658,0.0,13.250901435750999,0.0,8.88053831592827,0.0
Alarm,227.70278360316428,0.0,13.158041414873214,0.0,9.082606602458227,0.0
Alben,235.96801374596282,0.0,13.513553660693775,0.0,8.741253743403753,0.0
Algen,238.44921898062205,0.0,13.620200799527524,0.0,9.40505698516322,0.0
Alibi,212.78368146999213,0.0,12.906879565783127,0.0,10.569026021989842,0.0
Allas,213.1856576908599,0.0,12.74680225700063,0.0,9.23250585936485,0.0
Alpen,239.93254425835687,0.0,13.646646190939821,0.0,9.85512186216593,0.0
Altar,205.7995675247364,0.0,12.582970358171346,0.0,9.293157968376642,0.0
Alten,215.4160370483263,0.0,12.998799093100844,0.0,8.800395945788534,0.0
Alter,207.2150314234367,0.0,12.76290437192385,0.0,9.112335380711283,0.0
Amche,245.15862556618697,0.0,13.629663455133517,0.0,7.871786388869651,0.0
Amtig,239.70501991409776,0.0,13.559388310470357,0.0,9.892976724118341,0.0
Andam,258.0097738102239,0.0,13.936623422192836,0.0,8.541068387976477,0.0
Anein,223.58864442585758,0.0,13.263591608008888,0.0,8.042638606331256,0.0
Angel,238.47605309116892,0.0,13.620977327976817,0.0,9.528277064968709,0.0
Angst,237.4910313795803,0.0,13.451787087422197,0.0,8.468044645769753,0.0
Angur,234.89399167130102,0.0,13.421384224167612,0.0,8.656936646571749,0.0
Anker,232.03983627900513,0.0,13.453009934084628,0.0,7.6046652010715095,0.0
Anmas,245.8566650733261,0.0,13.558241572632923,0.0,7.290043075361517,0.0
Anmut,233.13192696791734,0.0,13.319662323884,0.0,8.178536199088294,0.0
Annag,246.82939706776784,0.0,13.701831772499057,0.0,8.442610754576837,0.0
Anper,241.54093013177447,0.0,13.673228388690566,0.0,8.964943671168507,0.0
Antus,220.18202302790024,0.0,12.941086300655067,0.0,7.441125367346993,0.0
Anzug,241.81155424649927,0.0,13.667199144383124,0.0,8.039343070319724,0.0
Apfel,239.52636084327497,0.0,13.716585349948673,0.0,11.30289581309521,0.0
Arahn,230.39179195898834,0.0,13.278776719305538,0.0,8.056096272372384,0.0
Arcer,209.93338621010076,0.0,12.72103810173892,0.0,7.886477077486767,0.0
Arche,223.959400487244,0.0,13.113830664053706,0.0,7.922473164513425,0.0
Ardal,227.05609885943352,0.0,13.178363611257407,0.0,9.918756829783156,0.0
Arena,226.65485242802401,0.0,13.205403176116235,0.0,7.824788584344329,0.0
Argon,232.03658626380286,0.0,13.291308923142882,0.0,8.69079569266281,0.0
Arier,207.18288099717654,0.0,12.796878789162182,0.0,8.619715748425262,0.0
Arman,237.56357267573526,0.0,13.414915669862983,0.0,7.9669294626531215,0.0
Armee,241.03554628960916,0.0,13.661297691327357,0.0,7.814050739547252,0.0
Armen,238.97903657443555,0.0,13.583834046460874,0.0,7.786106874987763,0.0
Armöt,228.7566071902155,0.0,13.139342353113632,0.0,8.56414177375314,0.0
Aroma,231.58126834744849,0.0,13.133658453309675,0.0,8.196042529788539,0.0
Arten,217.05254381304803,0.0,13.027213829671417,0.0,7.975953902232648,0.0
