,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,226.66274509803918,0.0,13.203841203596633,0.0,248.44850212069963,0.0,266.0,0.0,234.0,0.0,192.0,0.0,149.0,0.0,120.0,0.0,76.0,0.0,53.0,0.0,17.0,0.0,8.0,0.0,10.44458402492025,0.0,16.30950643030009,0.0,15.297058540778355,0.0,13.856406460551018,0.0,12.206555615733702,0.0,10.954451150103322,0.0,8.717797887081348,0.0,7.280109889280518,0.0,4.123105625617661,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,4.183480390250217,0.0,,,,,,,,,,,,,,,,,,,,,10.444584025166408,0.0,14.368267000554924,0.0,13.592305359244932,0.0,12.366677548890094,0.0,10.792950570811303,0.0,9.398140237409235,0.0,7.033429178327122,0.0,5.5112573290612605,0.0,2.6498423380745306,0.0,1.83067218732909,0.0
Abend,257.91372549019604,0.0,14.157672020755726,0.0,245.43594600900317,0.0,290.0,0.0,251.0,0.0,209.0,0.0,166.0,0.0,130.0,0.0,91.0,0.0,63.0,0.0,24.0,0.0,10.0,0.0,10.520314153410787,0.0,17.029386365926403,0.0,15.84297951775486,0.0,14.45683229480096,0.0,12.884098726725126,0.0,11.40175425099138,0.0,9.539392014169456,0.0,7.937253933193772,0.0,4.898979485566356,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,,,2.122678858340044,0.0,,,,,,,,,,,,,,,,,,,,,10.520314152701745,0.0,15.2340024078022,0.0,14.298820771340003,0.0,13.069491681595201,0.0,11.42091083241064,0.0,9.840961466439824,0.0,7.889220647777786,0.0,6.312210925531981,0.0,3.447398773245499,0.0,2.1675428073856353,0.0
Aboln,227.14117647058822,0.0,13.24867994120714,0.0,246.51069568950624,0.0,260.0,0.0,228.0,0.0,190.0,0.0,151.0,0.0,112.0,0.0,78.0,0.0,53.0,0.0,22.0,0.0,9.0,0.0,10.449721416037471,0.0,16.1245154965971,0.0,15.0996688705415,0.0,13.784048752090222,0.0,12.288205727444508,0.0,10.583005244258363,0.0,8.831760866327848,0.0,7.280109889280518,0.0,4.69041575982343,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,3.1997948311544393,0.0,,,,,,,,,,,,,,,,,,,,,10.449721415800525,0.0,14.173033771696385,0.0,13.340912210390297,0.0,12.221252478858087,0.0,10.781422833406923,0.0,8.975559062377222,0.0,7.183769179986729,0.0,5.772885913968428,0.0,3.374369923160669,0.0,2.32039338088268,0.0
Abtäs,242.13333333333335,0.0,13.547811302212388,0.0,239.10320576271386,0.0,282.0,0.0,240.0,0.0,193.0,0.0,151.0,0.0,115.0,0.0,78.0,0.0,51.0,0.0,18.0,0.0,4.0,0.0,10.102287410694181,0.0,16.792855623746664,0.0,15.491933384829668,0.0,13.892443989449804,0.0,12.288205727444508,0.0,10.723805294763608,0.0,8.831760866327848,0.0,7.14142842854285,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1.9944912012112175,0.0,,,,,,,,,,,,,,,,,,,,,10.102287410647794,0.0,14.833954543140699,0.0,13.845669922239175,0.0,12.38159463822348,0.0,10.89556050980916,0.0,9.175854379841521,0.0,7.2934406281471835,0.0,5.598208791914365,0.0,2.861806262495544,0.0,1.4073870047810226,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,232.48501286753157,0.0,243.0,0.0,210.0,0.0,181.0,0.0,142.0,0.0,111.0,0.0,68.0,0.0,44.0,0.0,17.0,0.0,4.0,0.0,9.973672445307356,0.0,15.588457268119896,0.0,14.491376746189438,0.0,13.45362404707371,0.0,11.916375287812984,0.0,10.535653752852738,0.0,8.246211251235321,0.0,6.6332495807108,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,2.2056017996079875,0.0,,,,,,,,,,,,,,,,,,,,,9.973672445328784,0.0,13.813143395291902,0.0,12.957096040587563,0.0,12.006523817868608,0.0,10.478344561149438,0.0,8.917382129344508,0.0,6.500678190442147,0.0,5.010109686401575,0.0,2.47521708527971,0.0,0.9682502859163243,0.0
Adern,237.72156862745095,0.0,13.698203127966273,0.0,245.12773308097957,0.0,266.0,0.0,235.0,0.0,197.0,0.0,159.0,0.0,120.0,0.0,81.0,0.0,53.0,0.0,24.0,0.0,11.0,0.0,10.470226927928952,0.0,16.30950643030009,0.0,15.329709716755891,0.0,14.035668847618199,0.0,12.609520212918492,0.0,10.954451150103322,0.0,9.0,0.0,7.280109889280518,0.0,4.898979485566356,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,,,2.5654673180863314,0.0,,,,,,,,,,,,,,,,,,,,,10.47022692771667,0.0,14.590946367145065,0.0,13.78171498076094,0.0,12.62581081646514,0.0,11.13945335867106,0.0,9.377589868326265,0.0,7.3127063975862425,0.0,5.728087366450693,0.0,3.3789152331527728,0.0,2.13929775995945,0.0
Adler,227.32156862745097,0.0,13.436833010547003,0.0,242.9028818735369,0.0,258.0,0.0,225.0,0.0,189.0,0.0,147.0,0.0,113.0,0.0,74.0,0.0,48.0,0.0,21.0,0.0,10.0,0.0,10.276279919732891,0.0,16.06237840420901,0.0,15.0,0.0,13.74772708486752,0.0,12.12435565298214,0.0,10.63014581273465,0.0,8.602325267042627,0.0,6.928203230275509,0.0,4.58257569495584,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,,,2.8371787938095596,0.0,,,,,,,,,,,,,,,,,,,,,10.276279919816666,0.0,14.292702570600587,0.0,13.433303324213572,0.0,12.285797142286178,0.0,10.630771592394668,0.0,8.976076831518245,0.0,6.852966694088855,0.0,5.404072092105656,0.0,3.184197172266409,0.0,2.2551363333386663,0.0
Adria,225.2745098039216,0.0,13.262741039644096,0.0,252.4510002063468,0.0,265.0,0.0,235.0,0.0,203.0,0.0,157.0,0.0,114.0,0.0,75.0,0.0,48.0,0.0,24.0,0.0,8.0,0.0,10.519143473540888,0.0,16.278820596099706,0.0,15.329709716755891,0.0,14.247806848775006,0.0,12.529964086141668,0.0,10.677078252031311,0.0,8.660254037844387,0.0,6.928203230275509,0.0,4.898979485566356,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,2.899869344692795,0.0,,,,,,,,,,,,,,,,,,,,,10.519143473550477,0.0,14.378776736304456,0.0,13.686218749749436,0.0,12.68194127133111,0.0,10.919701597730429,0.0,8.98345953057284,0.0,6.8660380588577645,0.0,5.300727987236151,0.0,3.337335756436949,0.0,2.1598167847010754,0.0
Affen,232.4,0.0,13.757871047628264,0.0,240.34108410332166,0.0,257.0,0.0,227.0,0.0,192.0,0.0,152.0,0.0,115.0,0.0,72.0,0.0,46.0,0.0,27.0,0.0,10.0,0.0,10.152799689323832,0.0,16.0312195418814,0.0,15.066519173319364,0.0,13.856406460551018,0.0,12.328828005937952,0.0,10.723805294763608,0.0,8.48528137423857,0.0,6.782329983125268,0.0,5.196152422706632,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,,,1.8200165259884624,0.0,,,,,,,,,,,,,,,,,,,,,10.152799689187644,0.0,14.376287037800937,0.0,13.53952056764471,0.0,12.416581546557245,0.0,10.95092963717183,0.0,9.238133947769379,0.0,6.921224321983218,0.0,5.530869754260776,0.0,4.032325648569123,0.0,2.2112356440652188,0.0
Agenk,254.23529411764704,0.0,14.118868138913587,0.0,246.25821717577088,0.0,281.0,0.0,240.0,0.0,204.0,0.0,173.0,0.0,128.0,0.0,93.0,0.0,61.0,0.0,30.0,0.0,14.0,0.0,10.607029187867258,0.0,16.76305461424021,0.0,15.491933384829668,0.0,14.2828568570857,0.0,13.152946437965905,0.0,11.313708498984761,0.0,9.643650760992955,0.0,7.810249675906654,0.0,5.477225575051661,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,,,2.0740543363938633,0.0,,,,,,,,,,,,,,,,,,,,,10.607029186861912,0.0,15.02868950735443,0.0,13.953154062849851,0.0,12.891569554130555,0.0,11.65521230945715,0.0,9.786539310911813,0.0,7.976653922607312,0.0,6.214088125102385,0.0,4.052376578438015,0.0,2.573958683245438,0.0
