,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,226.69019607843137,0.0,13.202417263784469,0.0,248.4758653271968,0.0,267.0,0.0,233.0,0.0,192.0,0.0,149.0,0.0,120.0,0.0,76.0,0.0,53.0,0.0,17.0,0.0,8.0,0.0,10.442923239412334,0.0,16.34013463836819,0.0,15.264337522473747,0.0,13.856406460551018,0.0,12.206555615733702,0.0,10.954451150103322,0.0,8.717797887081348,0.0,7.280109889280518,0.0,4.123105625617661,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,5.875979887997249,0.0,,,,,,,,,,,,,,,,,,,,,10.442923239655851,0.0,14.36093909592559,0.0,13.551657923506406,0.0,12.363481528619005,0.0,10.790143983647914,0.0,9.395695612909321,0.0,7.031403805066649,0.0,5.510112627282856,0.0,2.6490614138170545,0.0,1.8301729043062962,0.0
Abend,257.94117647058823,0.0,14.156344023955038,0.0,245.4633092155003,0.0,291.0,0.0,250.0,0.0,209.0,0.0,166.0,0.0,130.0,0.0,91.0,0.0,63.0,0.0,24.0,0.0,10.0,0.0,10.518665324892423,0.0,17.05872210923198,0.0,15.811388300841896,0.0,14.45683229480096,0.0,12.884098726725126,0.0,11.40175425099138,0.0,9.539392014169456,0.0,7.937253933193772,0.0,4.898979485566356,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,,,2.611638063903491,0.0,,,,,,,,,,,,,,,,,,,,,10.518665324923186,0.0,15.227221062599973,0.0,14.260493915714235,0.0,13.066559044254015,0.0,11.418021270779917,0.0,9.838322253936937,0.0,7.8875157969422895,0.0,6.311193848218077,0.0,3.446748290935155,0.0,2.1670425851742476,0.0
Aboln,227.16862745098038,0.0,13.24726082108382,0.0,246.5380588960033,0.0,261.0,0.0,227.0,0.0,190.0,0.0,151.0,0.0,112.0,0.0,78.0,0.0,53.0,0.0,22.0,0.0,9.0,0.0,10.448061447150428,0.0,16.15549442140351,0.0,15.066519173319364,0.0,13.784048752090222,0.0,12.288205727444508,0.0,10.583005244258363,0.0,8.831760866327848,0.0,7.280109889280518,0.0,4.69041575982343,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,4.362553173590694,0.0,,,,,,,,,,,,,,,,,,,,,10.448061447396883,0.0,14.165793620187781,0.0,13.299923487423628,0.0,12.218035792971913,0.0,10.77850986695802,0.0,8.97307783698147,0.0,7.181809827253641,0.0,5.771784873228021,0.0,3.3737120196632997,0.0,2.3199895172307805,0.0
Abtäs,242.1607843137255,0.0,13.546423519055931,0.0,239.13056896921097,0.0,283.0,0.0,239.0,0.0,193.0,0.0,151.0,0.0,115.0,0.0,78.0,0.0,51.0,0.0,18.0,0.0,4.0,0.0,10.100570343248396,0.0,16.822603841260722,0.0,15.459624833740307,0.0,13.892443989449804,0.0,12.288205727444508,0.0,10.723805294763608,0.0,8.831760866327848,0.0,7.14142842854285,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,2.4152066279319286,0.0,,,,,,,,,,,,,,,,,,,,,10.100570343129514,0.0,14.827043509112702,0.0,13.806187647032372,0.0,12.378437283913449,0.0,10.892430085535302,0.0,9.173357460639668,0.0,7.291630474487691,0.0,5.596771132158921,0.0,2.86087613837509,0.0,1.406743221860482,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,232.49703076832284,0.0,243.0,0.0,210.0,0.0,181.0,0.0,142.0,0.0,111.0,0.0,68.0,0.0,44.0,0.0,17.0,0.0,4.0,0.0,9.973786841851336,0.0,15.588457268119896,0.0,14.491376746189438,0.0,13.45362404707371,0.0,11.916375287812984,0.0,10.535653752852738,0.0,8.246211251235321,0.0,6.6332495807108,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,2.8824343361642026,0.0,,,,,,,,,,,,,,,,,,,,,9.973786841707396,0.0,13.790793824580447,0.0,12.954882423514386,0.0,12.003901621262537,0.0,10.476236192264611,0.0,8.915694631633796,0.0,6.499043209313916,0.0,5.0092408281585765,0.0,2.474574867241637,0.0,0.967805301226968,0.0
Adern,237.72156862745095,0.0,13.698203127966273,0.0,245.13975098177087,0.0,266.0,0.0,235.0,0.0,197.0,0.0,159.0,0.0,120.0,0.0,81.0,0.0,53.0,0.0,24.0,0.0,11.0,0.0,10.470335899231323,0.0,16.30950643030009,0.0,15.329709716755891,0.0,14.035668847618199,0.0,12.609520212918492,0.0,10.954451150103322,0.0,9.0,0.0,7.280109889280518,0.0,4.898979485566356,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,,,3.5649706383230955,0.0,,,,,,,,,,,,,,,,,,,,,10.47033589937364,0.0,14.56966884744233,0.0,13.779438356898721,0.0,12.62350279429748,0.0,11.137651251712517,0.0,9.37568181064272,0.0,7.311241604192082,0.0,5.727461889212271,0.0,3.3786377255187956,0.0,2.1392432585348637,0.0
Adler,227.32156862745103,0.0,13.436833010547003,0.0,242.91489977432818,0.0,258.0,0.0,225.0,0.0,189.0,0.0,147.0,0.0,113.0,0.0,74.0,0.0,48.0,0.0,21.0,0.0,10.0,0.0,10.276390947658086,0.0,16.06237840420901,0.0,15.0,0.0,13.74772708486752,0.0,12.12435565298214,0.0,10.63014581273465,0.0,8.602325267042627,0.0,6.928203230275509,0.0,4.58257569495584,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,,,4.126608074757112,0.0,,,,,,,,,,,,,,,,,,,,,10.276390947553965,0.0,14.271188126130406,0.0,13.431131682454241,0.0,12.283206107985986,0.0,10.628788929963182,0.0,8.974269920401708,0.0,6.851542197391516,0.0,5.403472140994728,0.0,3.1839379412295403,0.0,2.255119892173619,0.0
Adria,225.27450980392155,0.0,13.262741039644096,0.0,252.46301810713808,0.0,265.0,0.0,235.0,0.0,203.0,0.0,157.0,0.0,114.0,0.0,75.0,0.0,48.0,0.0,24.0,0.0,8.0,0.0,10.519251938105747,0.0,16.278820596099706,0.0,15.329709716755891,0.0,14.247806848775006,0.0,12.529964086141668,0.0,10.677078252031311,0.0,8.660254037844387,0.0,6.928203230275509,0.0,4.898979485566356,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,4.137558584831735,0.0,,,,,,,,,,,,,,,,,,,,,10.519251938022508,0.0,14.357160427045377,0.0,13.684004040052972,0.0,12.679629124111274,0.0,10.917915311667628,0.0,8.981528024485778,0.0,6.864479871891087,0.0,5.300095254106574,0.0,3.3370286309087205,0.0,2.159803590308428,0.0
Affen,232.4,0.0,13.757871047628262,0.0,240.3531020041129,0.0,257.0,0.0,227.0,0.0,192.0,0.0,152.0,0.0,115.0,0.0,72.0,0.0,46.0,0.0,27.0,0.0,10.0,0.0,10.152912067576363,0.0,16.0312195418814,0.0,15.066519173319364,0.0,13.856406460551018,0.0,12.328828005937952,0.0,10.723805294763608,0.0,8.48528137423857,0.0,6.782329983125268,0.0,5.196152422706632,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,,,2.038535226232246,0.0,,,,,,,,,,,,,,,,,,,,,10.152912067655672,0.0,14.354846461929835,0.0,13.537353711599218,0.0,12.41394074818672,0.0,10.948832449281,0.0,9.236484095583824,0.0,6.919712631188766,0.0,5.530270953433538,0.0,4.032118472366422,0.0,2.2111446502236745,0.0
Agenk,254.23529411764704,0.0,14.118868138913587,0.0,246.2702350765622,0.0,281.0,0.0,240.0,0.0,204.0,0.0,173.0,0.0,128.0,0.0,93.0,0.0,61.0,0.0,30.0,0.0,14.0,0.0,10.607136753746111,0.0,16.76305461424021,0.0,15.491933384829668,0.0,14.2828568570857,0.0,13.152946437965905,0.0,11.313708498984761,0.0,9.643650760992955,0.0,7.810249675906654,0.0,5.477225575051661,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,,,2.6405414384111343,0.0,,,,,,,,,,,,,,,,,,,,,10.60713675335711,0.0,15.00821620166544,0.0,13.951091552063145,0.0,12.889408874227389,0.0,11.653300771400767,0.0,9.784411583299631,0.0,7.975120358929037,0.0,6.213369714174933,0.0,4.052043112413189,0.0,2.5738217711176925,0.0
