,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,226.69019607843137,0.0,13.202417263784469,0.0,248.69473367177412,0.0,268.0,0.0,231.0,0.0,189.0,0.0,151.0,0.0,111.0,0.0,76.0,0.0,43.0,0.0,18.0,0.0,5.0,0.0,10.081518276828051,0.0,16.3707055437449,0.0,15.198684153570664,0.0,13.74772708486752,0.0,12.288205727444508,0.0,10.535653752852738,0.0,8.717797887081348,0.0,6.557438524302,0.0,4.242640687119285,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,,,5.488926276718165,0.0,,,,,,,,,,,,,,,,,,,,,10.081517603465116,0.0,14.30301422125781,0.0,13.444083421896172,0.0,12.21502025814413,0.0,10.752589677602476,0.0,8.8871532398104,0.0,6.9913179414177655,0.0,4.866036897684534,0.0,2.5920009221629257,0.0,1.3653872094287955,0.0
Abend,257.94117647058823,0.0,14.156344023955038,0.0,250.55285113253487,0.0,293.0,0.0,254.0,0.0,219.0,0.0,170.0,0.0,129.0,0.0,94.0,0.0,56.0,0.0,20.0,0.0,6.0,0.0,10.369249795448514,0.0,17.11724276862369,0.0,15.937377450509228,0.0,14.798648586948742,0.0,13.038404810405298,0.0,11.357816691600547,0.0,9.695359714832659,0.0,7.483314773547883,0.0,4.47213595499958,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,,,2.4461023911094113,0.0,,,,,,,,,,,,,,,,,,,,,10.369212096367452,0.0,15.251046289059406,0.0,14.35597233555272,0.0,13.362516401615185,0.0,11.558420803607971,0.0,9.74360573081489,0.0,7.95690917338342,0.0,5.770477096103533,0.0,2.986888639654356,0.0,1.5295298617682993,0.0
Aboln,227.16862745098038,0.0,13.24726082108382,0.0,246.8771639265361,0.0,262.0,0.0,229.0,0.0,195.0,0.0,155.0,0.0,104.0,0.0,76.0,0.0,44.0,0.0,18.0,0.0,7.0,0.0,10.107914029492566,0.0,16.186414056238647,0.0,15.132745950421556,0.0,13.96424004376894,0.0,12.449899597988733,0.0,10.198039027185569,0.0,8.717797887081348,0.0,6.6332495807108,0.0,4.242640687119285,0.0,2.6457513110645907,0.0,,,,,,,,,,,,,,,,,,,,,3.923781955944728,0.0,,,,,,,,,,,,,,,,,,,,,10.107757468142516,0.0,14.090724583913273,0.0,13.303062506286595,0.0,12.356608840516639,0.0,10.857694885946659,0.0,8.453361946659918,0.0,6.983677099034917,0.0,5.049090834554195,0.0,2.9305234408500045,0.0,1.8096587409583014,0.0
Abtäs,242.1607843137255,0.0,13.546423519055931,0.0,241.53302594196762,0.0,281.0,0.0,243.0,0.0,199.0,0.0,151.0,0.0,106.0,0.0,77.0,0.0,43.0,0.0,18.0,0.0,3.0,0.0,9.854421960475653,0.0,16.76305461424021,0.0,15.588457268119896,0.0,14.106735979665885,0.0,12.288205727444508,0.0,10.295630140987,0.0,8.774964387392123,0.0,6.557438524302,0.0,4.242640687119285,0.0,1.7320508075688772,0.0,,,,,,,,,,,,,,,,,,,,,2.3368267871596546,0.0,,,,,,,,,,,,,,,,,,,,,9.854518541119049,0.0,14.790125160629161,0.0,13.882098936417192,0.0,12.56837161725478,0.0,10.733449068336542,0.0,8.690678620982172,0.0,7.1977081051108955,0.0,5.1189176121651645,0.0,2.8167790987209584,0.0,1.1151701054427754,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,242.04313228696054,0.0,255.0,0.0,213.0,0.0,185.0,0.0,152.0,0.0,110.0,0.0,72.0,0.0,46.0,0.0,18.0,0.0,4.0,0.0,9.987269493914319,0.0,15.968719422671311,0.0,14.594519519326424,0.0,13.601470508735444,0.0,12.328828005937952,0.0,10.488088481701515,0.0,8.48528137423857,0.0,6.782329983125268,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,2.7628990221609753,0.0,,,,,,,,,,,,,,,,,,,,,9.987831745060548,0.0,14.069667043248309,0.0,13.036400942654115,0.0,12.116431355581156,0.0,10.858929816276014,0.0,8.944330137403673,0.0,6.757463610154669,0.0,4.9892331888916335,0.0,2.472573434030073,0.0,0.9963369310787957,0.0
Adern,237.72156862745095,0.0,13.698203127966273,0.0,246.47538975051597,0.0,267.0,0.0,238.0,0.0,200.0,0.0,159.0,0.0,117.0,0.0,73.0,0.0,49.0,0.0,18.0,0.0,6.0,0.0,10.138940855711255,0.0,16.34013463836819,0.0,15.427248620541512,0.0,14.142135623730951,0.0,12.609520212918492,0.0,10.816653826391969,0.0,8.54400374531753,0.0,7.0,0.0,4.242640687119285,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,,,3.32878448102317,0.0,,,,,,,,,,,,,,,,,,,,,10.138824685504698,0.0,14.530138400467582,0.0,13.866944389556066,0.0,12.626092326699696,0.0,11.123062227551731,0.0,9.095838674330608,0.0,6.767888827051766,0.0,5.298028528029249,0.0,2.634790618470352,0.0,1.5676268770570567,0.0
Adler,227.32156862745103,0.0,13.436833010547003,0.0,250.0400614782729,0.0,262.0,0.0,229.0,0.0,193.0,0.0,155.0,0.0,111.0,0.0,76.0,0.0,48.0,0.0,22.0,0.0,9.0,0.0,10.19039599996052,0.0,16.186414056238647,0.0,15.132745950421556,0.0,13.892443989449804,0.0,12.449899597988733,0.0,10.535653752852738,0.0,8.717797887081348,0.0,6.928203230275509,0.0,4.69041575982343,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,3.7748573135717263,0.0,,,,,,,,,,,,,,,,,,,,,10.190887509329347,0.0,14.351302177224444,0.0,13.574435532666058,0.0,12.411562583406607,0.0,10.923382602455508,0.0,8.937231030806725,0.0,6.940576412736691,0.0,5.163634787728163,0.0,3.1220695092879778,0.0,2.0725524931625823,0.0
Adria,225.27450980392155,0.0,13.262741039644096,0.0,248.41543042553516,0.0,266.0,0.0,236.0,0.0,194.0,0.0,147.0,0.0,102.0,0.0,65.0,0.0,43.0,0.0,19.0,0.0,5.0,0.0,9.979902579042017,0.0,16.30950643030009,0.0,15.362291495737216,0.0,13.92838827718412,0.0,12.12435565298214,0.0,10.099504938362077,0.0,8.06225774829855,0.0,6.557438524302,0.0,4.358898943540674,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,,,3.6714954536690882,0.0,,,,,,,,,,,,,,,,,,,,,9.980003416870499,0.0,14.330299391192765,0.0,13.67628247986627,0.0,12.337201007681454,0.0,10.493816023814704,0.0,8.2694912625986,0.0,6.200594940147297,0.0,4.8696445136462945,0.0,2.8791749354625167,0.0,1.4910275396277082,0.0
Affen,232.4,0.0,13.757871047628262,0.0,253.50453045192694,0.0,264.0,0.0,232.0,0.0,202.0,0.0,160.0,0.0,120.0,0.0,80.0,0.0,49.0,0.0,24.0,0.0,8.0,0.0,10.3274305943758,0.0,16.24807680927192,0.0,15.231546211727817,0.0,14.212670403551895,0.0,12.649110640673518,0.0,10.954451150103322,0.0,8.94427190999916,0.0,7.0,0.0,4.898979485566356,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,2.0588276284639897,0.0,,,,,,,,,,,,,,,,,,,,,10.327463133826113,0.0,14.455598859409891,0.0,13.695968008688284,0.0,12.767464005883514,0.0,11.202788521907113,0.0,9.384705227985469,0.0,7.267517000736371,0.0,5.4924320102910835,0.0,3.4532814116111448,0.0,1.966427063626457,0.0
Agenk,254.23529411764704,0.0,14.118868138913587,0.0,254.50417338114977,0.0,281.0,0.0,245.0,0.0,215.0,0.0,174.0,0.0,132.0,0.0,93.0,0.0,59.0,0.0,27.0,0.0,11.0,0.0,10.582548360768163,0.0,16.76305461424021,0.0,15.652475842498529,0.0,14.66287829861518,0.0,13.19090595827292,0.0,11.489125293076057,0.0,9.643650760992955,0.0,7.681145747868608,0.0,5.196152422706632,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,,,2.5000608647699827,0.0,,,,,,,,,,,,,,,,,,,,,10.582671768112133,0.0,14.922802659563512,0.0,14.090509342394864,0.0,13.165139607744283,0.0,11.67070073247158,0.0,9.878316310101349,0.0,7.907693130137541,0.0,5.920895949478128,0.0,3.584384707012011,0.0,2.2628508940158216,0.0
