,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,226.69019607843137,0.0,13.202417263784469,0.0,271.0,0.0,230.0,0.0,186.0,0.0,151.0,0.0,112.0,0.0,75.0,0.0,42.0,0.0,18.0,0.0,6.0,0.0,16.46207763315433,0.0,15.165750888103101,0.0,13.638181696985855,0.0,12.288205727444508,0.0,10.583005244258363,0.0,8.660254037844387,0.0,6.48074069840786,0.0,4.242640687119285,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,5.41892227612414,0.0,,,,,,,,,,,,,,,,,,,14.235854253546835,0.0,13.30224133191443,0.0,12.021499733527373,0.0,10.66805043988647,0.0,8.90227151031567,0.0,6.853243291081666,0.0,4.741882269502277,0.0,2.526999573226478,0.0,1.5015929493400575,0.0
Abend,257.94117647058823,0.0,14.156344023955038,0.0,295.0,0.0,252.0,0.0,218.0,0.0,170.0,0.0,129.0,0.0,95.0,0.0,56.0,0.0,20.0,0.0,8.0,0.0,17.175564037317667,0.0,15.874507866387544,0.0,14.7648230602334,0.0,13.038404810405298,0.0,11.357816691600547,0.0,9.746794344808963,0.0,7.483314773547883,0.0,4.47213595499958,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,2.4582722386062974,0.0,,,,,,,,,,,,,,,,,,,15.141568614349966,0.0,14.228483758375,0.0,13.262534080698575,0.0,11.502099082408936,0.0,9.665026581897008,0.0,7.988223785525801,0.0,5.71440069739402,0.0,2.937927965127024,0.0,1.8489930821287732,0.0
Aboln,227.16862745098038,0.0,13.24726082108382,0.0,263.0,0.0,226.0,0.0,193.0,0.0,155.0,0.0,106.0,0.0,76.0,0.0,46.0,0.0,18.0,0.0,8.0,0.0,16.217274740226856,0.0,15.033296378372908,0.0,13.892443989449804,0.0,12.449899597988733,0.0,10.295630140987,0.0,8.717797887081348,0.0,6.782329983125268,0.0,4.242640687119285,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,3.8696755705922854,0.0,,,,,,,,,,,,,,,,,,,13.99181130931601,0.0,13.106932315898923,0.0,12.189995116303885,0.0,10.816300535794408,0.0,8.488026702424005,0.0,6.954967001892052,0.0,5.058231580320034,0.0,2.8328167699370135,0.0,1.9033938427958927,0.0
Abtäs,242.1607843137255,0.0,13.546423519055931,0.0,284.0,0.0,242.0,0.0,195.0,0.0,150.0,0.0,106.0,0.0,77.0,0.0,44.0,0.0,18.0,0.0,4.0,0.0,16.852299546352718,0.0,15.556349186104045,0.0,13.96424004376894,0.0,12.24744871391589,0.0,10.295630140987,0.0,8.774964387392123,0.0,6.6332495807108,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,2.332823677062552,0.0,,,,,,,,,,,,,,,,,,,14.724144368005144,0.0,13.752480891951125,0.0,12.3635269885914,0.0,10.652234641875072,0.0,8.625400039158597,0.0,7.148069673238556,0.0,5.11039903863258,0.0,2.7462756495827323,0.0,1.2875146751219952,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,253.0,0.0,211.0,0.0,183.0,0.0,151.0,0.0,110.0,0.0,72.0,0.0,46.0,0.0,18.0,0.0,4.0,0.0,15.905973720586866,0.0,14.52583904633395,0.0,13.527749258468683,0.0,12.288205727444508,0.0,10.488088481701515,0.0,8.48528137423857,0.0,6.782329983125268,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,2.726669699512197,0.0,,,,,,,,,,,,,,,,,,,13.828857028521721,0.0,12.786612931511154,0.0,11.867252975074162,0.0,10.709229244686135,0.0,8.84440448706655,0.0,6.7111883411186195,0.0,4.940811912263786,0.0,2.393820885255584,0.0,0.9723324174246286,0.0
Adern,237.72156862745095,0.0,13.698203127966273,0.0,266.0,0.0,233.0,0.0,199.0,0.0,159.0,0.0,118.0,0.0,74.0,0.0,50.0,0.0,18.0,0.0,6.0,0.0,16.30950643030009,0.0,15.264337522473747,0.0,14.106735979665885,0.0,12.609520212918492,0.0,10.862780491200215,0.0,8.602325267042627,0.0,7.0710678118654755,0.0,4.242640687119285,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,3.2915961489755987,0.0,,,,,,,,,,,,,,,,,,,14.402988777958988,0.0,13.57066986773365,0.0,12.490273090374933,0.0,11.03513525608815,0.0,9.094745261561,0.0,6.811036998111839,0.0,5.268006190898298,0.0,2.594998247809598,0.0,1.4892329201518868,0.0
Adler,227.32156862745103,0.0,13.436833010547003,0.0,262.0,0.0,227.0,0.0,192.0,0.0,155.0,0.0,109.0,0.0,76.0,0.0,48.0,0.0,22.0,0.0,9.0,0.0,16.186414056238647,0.0,15.066519173319364,0.0,13.856406460551018,0.0,12.449899597988733,0.0,10.44030650891055,0.0,8.717797887081348,0.0,6.928203230275509,0.0,4.69041575982343,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,3.715917468122947,0.0,,,,,,,,,,,,,,,,,,,14.212268949225678,0.0,13.318614567776228,0.0,12.23017389019267,0.0,10.8105982222998,0.0,8.742984358604849,0.0,6.897298004342511,0.0,5.1174048593687225,0.0,3.0768004656265484,0.0,2.0023108488542545,0.0
Adria,225.27450980392155,0.0,13.262741039644096,0.0,265.0,0.0,233.0,0.0,195.0,0.0,148.0,0.0,103.0,0.0,66.0,0.0,43.0,0.0,19.0,0.0,5.0,0.0,16.278820596099706,0.0,15.264337522473747,0.0,13.96424004376894,0.0,12.165525060596439,0.0,10.14889156509222,0.0,8.12403840463596,0.0,6.557438524302,0.0,4.358898943540674,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,3.625709170406191,0.0,,,,,,,,,,,,,,,,,,,14.146870347078037,0.0,13.429208927326673,0.0,12.296520826609324,0.0,10.434953568229277,0.0,8.237810166958534,0.0,6.177709413580911,0.0,4.771416887902114,0.0,2.6667913275762727,0.0,1.345368551865383,0.0
Affen,232.4,0.0,13.757871047628262,0.0,263.0,0.0,230.0,0.0,200.0,0.0,159.0,0.0,120.0,0.0,80.0,0.0,51.0,0.0,24.0,0.0,8.0,0.0,16.217274740226856,0.0,15.165750888103101,0.0,14.142135623730951,0.0,12.609520212918492,0.0,10.954451150103322,0.0,8.94427190999916,0.0,7.14142842854285,0.0,4.898979485566356,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,2.0484962599047645,0.0,,,,,,,,,,,,,,,,,,,14.296931462873557,0.0,13.486426687955257,0.0,12.58953502526322,0.0,11.102776838016954,0.0,9.342663158874291,0.0,7.264010524394397,0.0,5.51968271272862,0.0,3.3845074088787848,0.0,1.8966909519273218,0.0
Agenk,254.23529411764704,0.0,14.118868138913587,0.0,281.0,0.0,243.0,0.0,214.0,0.0,174.0,0.0,132.0,0.0,94.0,0.0,58.0,0.0,27.0,0.0,11.0,0.0,16.76305461424021,0.0,15.588457268119896,0.0,14.628738838327793,0.0,13.19090595827292,0.0,11.489125293076057,0.0,9.695359714832659,0.0,7.615773105863909,0.0,5.196152422706632,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,2.4740772677060394,0.0,,,,,,,,,,,,,,,,,,,14.806901421941422,0.0,13.931649053733722,0.0,13.048952868761598,0.0,11.60920970165746,0.0,9.818079733586403,0.0,7.909082800309023,0.0,5.8387010412113645,0.0,3.557119683905188,0.0,2.2295756708600933,0.0
