,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,226.66274509803918,0.0,13.203841203596633,0.0,266.0,0.0,234.0,0.0,192.0,0.0,149.0,0.0,119.0,0.0,77.0,0.0,54.0,0.0,17.0,0.0,8.0,0.0,16.30950643030009,0.0,15.297058540778355,0.0,13.856406460551018,0.0,12.206555615733702,0.0,10.908712114635714,0.0,8.774964387392123,0.0,7.3484692283495345,0.0,4.123105625617661,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,4.186511845477625,0.0,,,,,,,,,,,,,,,,,,,14.119750526793426,0.0,13.348493508650995,0.0,12.176462340804509,0.0,10.639423145792897,0.0,9.244732766893796,0.0,6.983715300962975,0.0,5.474591922963253,0.0,2.5604337045096868,0.0,1.6807203643301238,0.0
Abend,257.91372549019604,0.0,14.157672020755726,0.0,290.0,0.0,251.0,0.0,208.0,0.0,166.0,0.0,129.0,0.0,92.0,0.0,63.0,0.0,24.0,0.0,10.0,0.0,17.029386365926403,0.0,15.84297951775486,0.0,14.422205101855956,0.0,12.884098726725126,0.0,11.357816691600547,0.0,9.591663046625438,0.0,7.937253933193772,0.0,4.898979485566356,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.1260227742640954,0.0,,,,,,,,,,,,,,,,,,,15.046480326982888,0.0,14.141855384980774,0.0,12.864390982295742,0.0,11.274511771797433,0.0,9.709292362019902,0.0,7.837100116131941,0.0,6.219140513985601,0.0,3.361219240340009,0.0,2.0519456807990153,0.0
Aboln,227.14117647058822,0.0,13.24867994120714,0.0,260.0,0.0,228.0,0.0,190.0,0.0,150.0,0.0,112.0,0.0,80.0,0.0,53.0,0.0,22.0,0.0,9.0,0.0,16.1245154965971,0.0,15.0996688705415,0.0,13.784048752090222,0.0,12.24744871391589,0.0,10.583005244258363,0.0,8.94427190999916,0.0,7.280109889280518,0.0,4.69041575982343,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,3.204129825852804,0.0,,,,,,,,,,,,,,,,,,,13.985759534189135,0.0,13.137429120238195,0.0,12.052630821813175,0.0,10.588955494918928,0.0,8.862966386771989,0.0,7.124600586442015,0.0,5.637616366539303,0.0,3.2315486425696642,0.0,2.0940322384853256,0.0
Abtäs,242.13333333333335,0.0,13.547811302212388,0.0,282.0,0.0,240.0,0.0,193.0,0.0,151.0,0.0,114.0,0.0,79.0,0.0,51.0,0.0,18.0,0.0,4.0,0.0,16.792855623746664,0.0,15.491933384829668,0.0,13.892443989449804,0.0,12.288205727444508,0.0,10.677078252031311,0.0,8.888194417315589,0.0,7.14142842854285,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.9978930896282971,0.0,,,,,,,,,,,,,,,,,,,14.624377135450068,0.0,13.657894759411914,0.0,12.211783941803242,0.0,10.740966887897724,0.0,9.030136520369334,0.0,7.256017961685638,0.0,5.5025120448643134,0.0,2.7319964347487264,0.0,1.2882799629059762,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,243.0,0.0,210.0,0.0,181.0,0.0,142.0,0.0,110.0,0.0,69.0,0.0,44.0,0.0,17.0,0.0,4.0,0.0,15.588457268119896,0.0,14.491376746189438,0.0,13.45362404707371,0.0,11.916375287812984,0.0,10.488088481701515,0.0,8.306623862918075,0.0,6.6332495807108,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,2.207097941089828,0.0,,,,,,,,,,,,,,,,,,,13.614774948436825,0.0,12.733277664257344,0.0,11.790483091264731,0.0,10.313005156601447,0.0,8.77165116201494,0.0,6.45027431105909,0.0,4.903539567596099,0.0,2.350641038195842,0.0,0.9137402641001114,0.0
Adern,237.72156862745095,0.0,13.698203127966273,0.0,266.0,0.0,235.0,0.0,197.0,0.0,158.0,0.0,119.0,0.0,82.0,0.0,54.0,0.0,24.0,0.0,11.0,0.0,16.30950643030009,0.0,15.329709716755891,0.0,14.035668847618199,0.0,12.569805089976535,0.0,10.908712114635714,0.0,9.055385138137417,0.0,7.3484692283495345,0.0,4.898979485566356,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,2.56786972500778,0.0,,,,,,,,,,,,,,,,,,,14.387674646782983,0.0,13.597757048895438,0.0,12.472592800883135,0.0,10.945167024085489,0.0,9.193157350223261,0.0,7.272980237955474,0.0,5.697405853779581,0.0,3.3114684955891387,0.0,2.009021994495513,0.0
Adler,227.32156862745097,0.0,13.436833010547003,0.0,258.0,0.0,225.0,0.0,189.0,0.0,147.0,0.0,112.0,0.0,75.0,0.0,48.0,0.0,21.0,0.0,10.0,0.0,16.06237840420901,0.0,15.0,0.0,13.74772708486752,0.0,12.12435565298214,0.0,10.583005244258363,0.0,8.660254037844387,0.0,6.928203230275509,0.0,4.58257569495584,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.840068985226074,0.0,,,,,,,,,,,,,,,,,,,14.084088809894348,0.0,13.226725272899841,0.0,12.091282375651572,0.0,10.441724451804117,0.0,8.797017639341538,0.0,6.797745718413209,0.0,5.27836024355269,0.0,3.083381006349884,0.0,2.1144985627601613,0.0
Adria,225.2745098039216,0.0,13.262741039644096,0.0,265.0,0.0,235.0,0.0,203.0,0.0,156.0,0.0,114.0,0.0,76.0,0.0,48.0,0.0,24.0,0.0,8.0,0.0,16.278820596099706,0.0,15.329709716755891,0.0,14.247806848775006,0.0,12.489995996796797,0.0,10.677078252031311,0.0,8.717797887081348,0.0,6.928203230275509,0.0,4.898979485566356,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,2.9045562217362058,0.0,,,,,,,,,,,,,,,,,,,14.138581890940088,0.0,13.487809415184719,0.0,12.52095920096096,0.0,10.669895171224496,0.0,8.830174827638606,0.0,6.7812099290444126,0.0,5.142613360164184,0.0,3.1242315358305284,0.0,1.7932050132697483,0.0
Affen,232.4,0.0,13.757871047628264,0.0,257.0,0.0,227.0,0.0,191.0,0.0,151.0,0.0,114.0,0.0,73.0,0.0,46.0,0.0,27.0,0.0,10.0,0.0,16.0312195418814,0.0,15.066519173319364,0.0,13.820274961085254,0.0,12.288205727444508,0.0,10.677078252031311,0.0,8.54400374531753,0.0,6.782329983125268,0.0,5.196152422706632,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,1.8198847339484043,0.0,,,,,,,,,,,,,,,,,,,14.17756291452679,0.0,13.309874858891005,0.0,12.222798887487414,0.0,10.75157125585655,0.0,9.064653853229473,0.0,6.829817069969817,0.0,5.397829768457907,0.0,3.911456442085611,0.0,2.1061696769340883,0.0
Agenk,254.23529411764704,0.0,14.118868138913587,0.0,281.0,0.0,240.0,0.0,203.0,0.0,173.0,0.0,127.0,0.0,94.0,0.0,62.0,0.0,30.0,0.0,14.0,0.0,16.76305461424021,0.0,15.491933384829668,0.0,14.247806848775006,0.0,13.152946437965905,0.0,11.269427669584644,0.0,9.695359714832659,0.0,7.874007874011811,0.0,5.477225575051661,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,2.0757111654664264,0.0,,,,,,,,,,,,,,,,,,,14.810295121687219,0.0,13.78238219842568,0.0,12.679309502911158,0.0,11.499502529411549,0.0,9.620016379953746,0.0,7.926119528249154,0.0,6.16462362190004,0.0,3.9338021460954287,0.0,2.4662349315738736,0.0
Agent,239.0235294117647,0.0,13.709018127074538,0.0,261.0,0.0,220.0,0.0,177.0,0.0,149.0,0.0,109.0,0.0,75.0,0.0,49.0,0.0,22.0,0.0,9.0,0.0,16.15549442140351,0.0,14.832396974191326,0.0,13.30413469565007,0.0,12.206555615733702,0.0,10.44030650891055,0.0,8.660254037844387,0.0,7.0,0.0,4.69041575982343,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,3.5524061837642638,0.0,,,,,,,,,,,,,,,,,,,14.253845950802392,0.0,13.182487385529898,0.0,11.80914408110524,0.0,10.63686812385128,0.0,8.83979336607009,0.0,7.095023884353681,0.0,5.5475408377930275,0.0,3.5273566533834515,0.0,2.10857407270302,0.0
Ahnen,239.8941176470588,0.0,13.77801881199538,0.0,262.0,0.0,227.0,0.0,188.0,0.0,151.0,0.0,111.0,0.0,62.0,0.0,27.0,0.0,9.0,0.0,4.0,0.0,16.186414056238647,0.0,15.066519173319364,0.0,13.711309200802088,0.0,12.288205727444508,0.0,10.535653752852738,0.0,7.874007874011811,0.0,5.196152422706632,0.0,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.8089234009140842,0.0,,,,,,,,,,,,,,,,,,,14.277904087081613,0.0,13.313781085019722,0.0,12.140370237937143,0.0,10.68084062258841,0.0,8.712833378129142,0.0,6.027469868209995,0.0,3.9558579519322716,0.0,2.043007284444466,0.0,1.5477236478635956,0.0
Aigön,235.59215686274507,0.0,13.528786572653592,0.0,268.0,0.0,218.0,0.0,183.0,0.0,148.0,0.0,103.0,0.0,77.0,0.0,41.0,0.0,19.0,0.0,5.0,0.0,16.3707055437449,0.0,14.7648230602334,0.0,13.527749258468683,0.0,12.165525060596439,0.0,10.14889156509222,0.0,8.774964387392123,0.0,6.4031242374328485,0.0,4.358898943540674,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,1.9333189386473486,0.0,,,,,,,,,,,,,,,,,,,14.310420673633045,0.0,12.981017448764488,0.0,11.893924009720125,0.0,10.58747952286696,0.0,8.53969180280039,0.0,7.075356261069354,0.0,5.0374745121237146,0.0,3.2144090043588642,0.0,1.3422977564784582,0.0
Akkus,241.27843137254905,0.0,13.635358969433035,0.0,280.0,0.0,238.0,0.0,199.0,0.0,163.0,0.0,121.0,0.0,84.0,0.0,56.0,0.0,26.0,0.0,10.0,0.0,16.73320053068151,0.0,15.427248620541512,0.0,14.106735979665885,0.0,12.767145334803704,0.0,11.0,0.0,9.16515138991168,0.0,7.483314773547883,0.0,5.0990195135927845,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.1777022797712626,0.0,,,,,,,,,,,,,,,,,,,14.55674726227115,0.0,13.39742185375213,0.0,12.254941549855436,0.0,10.953884949607582,0.0,9.119426656917918,0.0,7.270847084927542,0.0,5.570249201496298,0.0,3.308254600109675,0.0,1.766430024547404,0.0
Aktie,219.85882352941178,0.0,13.248249868094806,0.0,256.0,0.0,218.0,0.0,185.0,0.0,152.0,0.0,118.0,0.0,84.0,0.0,51.0,0.0,27.0,0.0,10.0,0.0,16.0,0.0,14.7648230602334,0.0,13.601470508735444,0.0,12.328828005937952,0.0,10.862780491200215,0.0,9.16515138991168,0.0,7.14142842854285,0.0,5.196152422706632,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,3.022260628990629,0.0,,,,,,,,,,,,,,,,,,,13.812637821980339,0.0,12.86640562008005,0.0,11.957809234929012,0.0,10.642151380151786,0.0,9.128788139688861,0.0,7.3231555989707156,0.0,5.353059035673716,0.0,3.447595742188158,0.0,1.9187040929733157,0.0
Alahn,228.18039215686275,0.0,13.349733857991337,0.0,264.0,0.0,220.0,0.0,188.0,0.0,146.0,0.0,102.0,0.0,66.0,0.0,36.0,0.0,11.0,0.0,4.0,0.0,16.24807680927192,0.0,14.832396974191326,0.0,13.711309200802088,0.0,12.083045973594572,0.0,10.099504938362077,0.0,8.12403840463596,0.0,6.0,0.0,3.3166247903554,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.7608753248787097,0.0,,,,,,,,,,,,,,,,,,,14.040038817214974,0.0,12.890425169941489,0.0,11.877672891517253,0.0,10.26177687439088,0.0,8.296890771390117,0.0,6.256796175038627,0.0,4.567880673067246,0.0,2.0861014823271367,0.0,1.425437522330281,0.0
Alarm,226.4705882352941,0.0,13.24457423384796,0.0,282.0,0.0,244.0,0.0,211.0,0.0,169.0,0.0,131.0,0.0,88.0,0.0,58.0,0.0,26.0,0.0,14.0,0.0,16.792855623746664,0.0,15.620499351813308,0.0,14.52583904633395,0.0,13.0,0.0,11.445523142259598,0.0,9.38083151964686,0.0,7.615773105863909,0.0,5.0990195135927845,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,2.3887028718428382,0.0,,,,,,,,,,,,,,,,,,,14.380381808326614,0.0,13.52821237439668,0.0,12.668395892441465,0.0,11.199524898752601,0.0,9.606128566475823,0.0,7.412555036826695,0.0,5.636736269798605,0.0,3.1168466010987332,0.0,2.1607412625936098,0.0
Alben,235.27843137254902,0.0,13.608222857334134,0.0,262.0,0.0,221.0,0.0,181.0,0.0,148.0,0.0,106.0,0.0,66.0,0.0,32.0,0.0,13.0,0.0,4.0,0.0,16.186414056238647,0.0,14.866068747318506,0.0,13.45362404707371,0.0,12.165525060596439,0.0,10.295630140987,0.0,8.12403840463596,0.0,5.656854249492381,0.0,3.605551275463989,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.6516899808466612,0.0,,,,,,,,,,,,,,,,,,,14.138841620323555,0.0,13.070769128803324,0.0,11.903632044849822,0.0,10.557712018259199,0.0,8.525064708765735,0.0,6.274183526271987,0.0,4.3343105612137105,0.0,2.408299115220107,0.0,1.425437522330281,0.0
