,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,226.66274509803924,0.0,13.203841203596633,0.0,245.10604926810515,0.0,266.0,0.0,230.0,0.0,183.0,0.0,152.0,0.0,112.0,0.0,72.0,0.0,40.0,0.0,16.0,0.0,7.0,0.0,10.084500663444222,0.0,16.30950643030009,0.0,15.165750888103101,0.0,13.527749258468683,0.0,12.328828005937952,0.0,10.583005244258363,0.0,8.48528137423857,0.0,6.324555320336759,0.0,4.0,0.0,2.6457513110645907,0.0,,,,,,,,,,,,,,,,,,,,,3.914062227305697,0.0,,,,,,,,,,,,,,,,,,,,,10.085002884441769,0.0,13.860533647687658,0.0,13.100628519628964,0.0,11.748149376738894,0.0,10.57660869418402,0.0,8.694815202288147,0.0,6.492106394562286,0.0,4.426265106224262,0.0,2.3778865668599756,0.0,1.4696767114017841,0.0
Abend,257.91372549019604,0.0,14.157672020755724,0.0,248.7610656314174,0.0,292.0,0.0,250.0,0.0,213.0,0.0,170.0,0.0,130.0,0.0,93.0,0.0,56.0,0.0,22.0,0.0,8.0,0.0,10.428828167709145,0.0,17.08800749063506,0.0,15.811388300841896,0.0,14.594519519326424,0.0,13.038404810405298,0.0,11.40175425099138,0.0,9.643650760992955,0.0,7.483314773547883,0.0,4.69041575982343,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,2.014008313260093,0.0,,,,,,,,,,,,,,,,,,,,,10.42973554993186,0.0,14.848943109066639,0.0,14.02859327064881,0.0,12.940353962841833,0.0,11.365653187161756,0.0,9.600243311080908,0.0,7.7756931139296,0.0,5.604031551877993,0.0,3.035698879068019,0.0,1.7203764702389122,0.0
Aboln,227.14117647058822,0.0,13.24867994120714,0.0,245.47092581652453,0.0,262.0,0.0,227.0,0.0,187.0,0.0,154.0,0.0,107.0,0.0,77.0,0.0,45.0,0.0,20.0,0.0,8.0,0.0,10.184748776649846,0.0,16.186414056238647,0.0,15.066519173319364,0.0,13.674794331177344,0.0,12.409673645990857,0.0,10.344080432788601,0.0,8.774964387392123,0.0,6.708203932499369,0.0,4.47213595499958,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,,,2.918037252949141,0.0,,,,,,,,,,,,,,,,,,,,,10.184783698251747,0.0,13.741629961087542,0.0,12.89846954334611,0.0,11.757621919936236,0.0,10.611079367706783,0.0,8.387128275381972,0.0,6.787403639481056,0.0,4.864505998783345,0.0,2.905840462590534,0.0,1.8109399947487275,0.0
Abtäs,242.13333333333333,0.0,13.547811302212388,0.0,239.27597453137153,0.0,282.0,0.0,240.0,0.0,194.0,0.0,153.0,0.0,107.0,0.0,76.0,0.0,42.0,0.0,18.0,0.0,4.0,0.0,9.888133108350807,0.0,16.792855623746664,0.0,15.491933384829668,0.0,13.92838827718412,0.0,12.36931687685298,0.0,10.344080432788601,0.0,8.717797887081348,0.0,6.48074069840786,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1.857284574294308,0.0,,,,,,,,,,,,,,,,,,,,,9.887953410791937,0.0,14.419398084743339,0.0,13.505285017915952,0.0,12.099320461288658,0.0,10.655056096736416,0.0,8.56069862278215,0.0,6.983491951353638,0.0,4.872019119418708,0.0,2.700241629380163,0.0,1.2505500328319625,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,235.4866064646805,0.0,250.0,0.0,208.0,0.0,179.0,0.0,149.0,0.0,108.0,0.0,66.0,0.0,41.0,0.0,17.0,0.0,4.0,0.0,9.86955140814747,0.0,15.811388300841896,0.0,14.422205101855956,0.0,13.379088160259652,0.0,12.206555615733702,0.0,10.392304845413264,0.0,8.12403840463596,0.0,6.4031242374328485,0.0,4.123105625617661,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,2.09565744207283,0.0,,,,,,,,,,,,,,,,,,,,,9.870939088575957,0.0,13.461031369237345,0.0,12.506179255647924,0.0,11.60060284468837,0.0,10.546765960750236,0.0,8.631002138859374,0.0,6.001306008758164,0.0,4.569489858850451,0.0,2.2872323183386456,0.0,0.8854484738078993,0.0
Adern,237.72156862745098,0.0,13.698203127966273,0.0,244.2782625819337,0.0,267.0,0.0,231.0,0.0,195.0,0.0,160.0,0.0,116.0,0.0,77.0,0.0,49.0,0.0,20.0,0.0,7.0,0.0,10.18629198983037,0.0,16.34013463836819,0.0,15.198684153570664,0.0,13.96424004376894,0.0,12.649110640673518,0.0,10.770329614269007,0.0,8.774964387392123,0.0,7.0,0.0,4.47213595499958,0.0,2.6457513110645907,0.0,,,,,,,,,,,,,,,,,,,,,2.4224764240901164,0.0,,,,,,,,,,,,,,,,,,,,,10.18563360838973,0.0,14.212517735277057,0.0,13.357958723748828,0.0,12.232967542622138,0.0,10.932409343725816,0.0,8.871073048528546,0.0,6.856788803195772,0.0,5.192388076785003,0.0,2.667267898632127,0.0,1.4018000661957142,0.0
Adler,227.32156862745097,0.0,13.436833010547003,0.0,244.00314513179723,0.0,262.0,0.0,223.0,0.0,190.0,0.0,154.0,0.0,106.0,0.0,71.0,0.0,43.0,0.0,23.0,0.0,9.0,0.0,10.091941567136885,0.0,16.186414056238647,0.0,14.933184523068078,0.0,13.784048752090222,0.0,12.409673645990857,0.0,10.295630140987,0.0,8.426149773176359,0.0,6.557438524302,0.0,4.795831523312719,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,2.612847233004265,0.0,,,,,,,,,,,,,,,,,,,,,10.092914800933649,0.0,13.920549160611568,0.0,13.02961007298174,0.0,12.018131171552563,0.0,10.656087590179013,0.0,8.444975151525044,0.0,6.274434347107465,0.0,4.846220717124456,0.0,3.0682870805029094,0.0,1.824490351871708,0.0
Adria,225.27450980392155,0.0,13.262741039644096,0.0,247.12217814911702,0.0,267.0,0.0,233.0,0.0,193.0,0.0,152.0,0.0,102.0,0.0,68.0,0.0,42.0,0.0,21.0,0.0,5.0,0.0,10.066641176520642,0.0,16.34013463836819,0.0,15.264337522473747,0.0,13.892443989449804,0.0,12.328828005937952,0.0,10.099504938362077,0.0,8.246211251235321,0.0,6.48074069840786,0.0,4.58257569495584,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,,,2.606900753785002,0.0,,,,,,,,,,,,,,,,,,,,,10.067036302626725,0.0,13.988597622827212,0.0,13.24563805035345,0.0,12.037707485726223,0.0,10.428353283858112,0.0,8.043150786843272,0.0,6.169140077328953,0.0,4.686804293956958,0.0,2.735059569700671,0.0,1.253930034190228,0.0
Affen,232.4,0.0,13.757871047628264,0.0,247.99075027428472,0.0,262.0,0.0,228.0,0.0,197.0,0.0,157.0,0.0,119.0,0.0,75.0,0.0,46.0,0.0,24.0,0.0,9.0,0.0,10.229625316132559,0.0,16.186414056238647,0.0,15.0996688705415,0.0,14.035668847618199,0.0,12.529964086141668,0.0,10.908712114635714,0.0,8.660254037844387,0.0,6.782329983125268,0.0,4.898979485566356,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,1.8810557159918793,0.0,,,,,,,,,,,,,,,,,,,,,10.229978411595477,0.0,13.956014959396077,0.0,13.216205817753576,0.0,12.316903231630333,0.0,10.895363431689416,0.0,9.166244925605092,0.0,6.623342311450999,0.0,5.237588098432802,0.0,3.3738794259884664,0.0,1.9282442970912366,0.0
Agenk,254.23529411764702,0.0,14.118868138913587,0.0,251.39344154687208,0.0,281.0,0.0,240.0,0.0,210.0,0.0,176.0,0.0,131.0,0.0,94.0,0.0,57.0,0.0,28.0,0.0,11.0,0.0,10.592042952757337,0.0,16.76305461424021,0.0,15.491933384829668,0.0,14.491376746189438,0.0,13.2664991614216,0.0,11.445523142259598,0.0,9.695359714832659,0.0,7.54983443527075,0.0,5.291502622129181,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,,,1.9963259141372751,0.0,,,,,,,,,,,,,,,,,,,,,10.59174367764673,0.0,14.577740700773584,0.0,13.698602214202865,0.0,12.738540003276707,0.0,11.526559246909542,0.0,9.614903782920813,0.0,7.787708682077425,0.0,5.662381499852969,0.0,3.534373465141278,0.0,2.1737122025172835,0.0
