,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,226.69019607843137,0.0,13.202417263784469,0.0,267.0,0.0,233.0,0.0,191.0,0.0,148.0,0.0,118.0,0.0,77.0,0.0,54.0,0.0,19.0,0.0,8.0,0.0,16.34013463836819,0.0,15.264337522473747,0.0,13.820274961085254,0.0,12.165525060596439,0.0,10.862780491200215,0.0,8.774964387392123,0.0,7.3484692283495345,0.0,4.358898943540674,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,5.895546218515729,0.0,,,,,,,,,,,,,,,,,,,13.829127823938723,0.0,13.070544068210335,0.0,11.95315637153638,0.0,10.371173241534237,0.0,8.953209501746779,0.0,6.820001915843127,0.0,5.326289810507851,0.0,2.639725166614895,0.0,1.5982985317007696,0.0
Abend,257.9411764705882,0.0,14.156344023955038,0.0,291.0,0.0,250.0,0.0,208.0,0.0,165.0,0.0,129.0,0.0,92.0,0.0,62.0,0.0,26.0,0.0,10.0,0.0,17.05872210923198,0.0,15.811388300841896,0.0,14.422205101855956,0.0,12.84523257866513,0.0,11.357816691600547,0.0,9.591663046625438,0.0,7.874007874011811,0.0,5.0990195135927845,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.623896076630994,0.0,,,,,,,,,,,,,,,,,,,14.788554133674626,0.0,13.908643133541274,0.0,12.707692618098852,0.0,11.054434973839799,0.0,9.571627147262141,0.0,7.748183767618239,0.0,6.083235657610589,0.0,3.4006992235233815,0.0,1.9038738620304838,0.0
Aboln,227.1686274509804,0.0,13.24726082108382,0.0,261.0,0.0,227.0,0.0,190.0,0.0,148.0,0.0,112.0,0.0,80.0,0.0,53.0,0.0,23.0,0.0,9.0,0.0,16.15549442140351,0.0,15.066519173319364,0.0,13.784048752090222,0.0,12.165525060596439,0.0,10.583005244258363,0.0,8.94427190999916,0.0,7.280109889280518,0.0,4.795831523312719,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,4.3851125787568614,0.0,,,,,,,,,,,,,,,,,,,13.719014966229837,0.0,12.853293660328472,0.0,11.842071116806249,0.0,10.280445808648327,0.0,8.669226732133703,0.0,6.976343028906317,0.0,5.480298545790041,0.0,3.181123544705971,0.0,1.9428656809057083,0.0
Abtäs,242.1607843137255,0.0,13.546423519055931,0.0,282.0,0.0,239.0,0.0,193.0,0.0,150.0,0.0,114.0,0.0,79.0,0.0,51.0,0.0,19.0,0.0,4.0,0.0,16.792855623746664,0.0,15.459624833740307,0.0,13.892443989449804,0.0,12.24744871391589,0.0,10.677078252031311,0.0,8.888194417315589,0.0,7.14142842854285,0.0,4.358898943540674,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,2.425600077358622,0.0,,,,,,,,,,,,,,,,,,,14.322684096671972,0.0,13.410417018362056,0.0,12.009103610622846,0.0,10.492157614057062,0.0,8.86707373711146,0.0,7.155044548487006,0.0,5.376630438963981,0.0,2.6855527494280604,0.0,1.2494253317067503,0.0
Acker,223.5607843137255,0.0,13.215922497452448,0.0,242.0,0.0,210.0,0.0,181.0,0.0,141.0,0.0,110.0,0.0,69.0,0.0,44.0,0.0,18.0,0.0,4.0,0.0,15.556349186104045,0.0,14.491376746189438,0.0,13.45362404707371,0.0,11.874342087037917,0.0,10.488088481701515,0.0,8.306623862918075,0.0,6.6332495807108,0.0,4.242640687119285,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,2.8907775487280483,0.0,,,,,,,,,,,,,,,,,,,13.266013047142936,0.0,12.508461967986847,0.0,11.612632737985312,0.0,10.069799393701729,0.0,8.626893874957839,0.0,6.310186762274994,0.0,4.770449627605406,0.0,2.3338510965649584,0.0,0.8054512974389804,0.0
Adern,237.72156862745098,0.0,13.698203127966273,0.0,266.0,0.0,235.0,0.0,198.0,0.0,156.0,0.0,119.0,0.0,82.0,0.0,54.0,0.0,25.0,0.0,11.0,0.0,16.30950643030009,0.0,15.329709716755891,0.0,14.071247279470288,0.0,12.489995996796797,0.0,10.908712114635714,0.0,9.055385138137417,0.0,7.3484692283495345,0.0,5.0,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,3.5813765731180798,0.0,,,,,,,,,,,,,,,,,,,14.09980988664757,0.0,13.387523233880893,0.0,12.352900052436466,0.0,10.687030184364563,0.0,9.021167661562842,0.0,7.167205984677203,0.0,5.625718876532092,0.0,3.269345135874646,0.0,1.874983419376088,0.0
Adler,227.32156862745097,0.0,13.436833010547003,0.0,257.0,0.0,225.0,0.0,190.0,0.0,146.0,0.0,112.0,0.0,75.0,0.0,49.0,0.0,23.0,0.0,10.0,0.0,16.0312195418814,0.0,15.0,0.0,13.784048752090222,0.0,12.083045973594572,0.0,10.583005244258363,0.0,8.660254037844387,0.0,7.0,0.0,4.795831523312719,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,4.144885929506834,0.0,,,,,,,,,,,,,,,,,,,13.749230214847834,0.0,13.031689392336933,0.0,11.996689413541025,0.0,10.235797884677673,0.0,8.632937300294405,0.0,6.633347152700269,0.0,5.203317370024628,0.0,3.01281033706722,0.0,1.9313653412039875,0.0
Adria,225.27450980392155,0.0,13.262741039644096,0.0,265.0,0.0,234.0,0.0,204.0,0.0,156.0,0.0,114.0,0.0,77.0,0.0,49.0,0.0,24.0,0.0,8.0,0.0,16.278820596099706,0.0,15.297058540778355,0.0,14.2828568570857,0.0,12.489995996796797,0.0,10.677078252031311,0.0,8.774964387392123,0.0,7.0,0.0,4.898979485566356,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,4.160320242098254,0.0,,,,,,,,,,,,,,,,,,,13.855030760726951,0.0,13.245884827568743,0.0,12.377306256588268,0.0,10.49578144739956,0.0,8.654208963455657,0.0,6.697176976560224,0.0,5.1240229216068,0.0,2.9900874254782823,0.0,1.6667797877145987,0.0
Affen,232.4,0.0,13.757871047628264,0.0,256.0,0.0,227.0,0.0,191.0,0.0,149.0,0.0,115.0,0.0,73.0,0.0,46.0,0.0,27.0,0.0,10.0,0.0,16.0,0.0,15.066519173319364,0.0,13.820274961085254,0.0,12.206555615733702,0.0,10.723805294763608,0.0,8.54400374531753,0.0,6.782329983125268,0.0,5.196152422706632,0.0,3.1622776601683795,0.0,,,,,,,,,,,,,,,,,,,2.043257167516885,0.0,,,,,,,,,,,,,,,,,,,13.869728871354077,0.0,13.108153091500666,0.0,12.060695180631525,0.0,10.49506877062319,0.0,8.984558162090325,0.0,6.737725450349568,0.0,5.32239421353063,0.0,3.8342939271506378,0.0,2.0386491606943524,0.0
Agenk,254.23529411764707,0.0,14.118868138913587,0.0,281.0,0.0,240.0,0.0,203.0,0.0,172.0,0.0,128.0,0.0,94.0,0.0,61.0,0.0,30.0,0.0,14.0,0.0,16.76305461424021,0.0,15.491933384829668,0.0,14.247806848775006,0.0,13.114877048604,0.0,11.313708498984761,0.0,9.695359714832659,0.0,7.810249675906654,0.0,5.477225575051661,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,2.6504391215189176,0.0,,,,,,,,,,,,,,,,,,,14.546555536772575,0.0,13.627114221011333,0.0,12.525687667865634,0.0,11.283681452724462,0.0,9.53446942193236,0.0,7.840390844570571,0.0,6.000278443736437,0.0,3.849538536692419,0.0,2.4027014202207546,0.0
Agent,239.02352941176468,0.0,13.709018127074538,0.0,261.0,0.0,220.0,0.0,177.0,0.0,148.0,0.0,109.0,0.0,75.0,0.0,48.0,0.0,22.0,0.0,9.0,0.0,16.15549442140351,0.0,14.832396974191326,0.0,13.30413469565007,0.0,12.165525060596439,0.0,10.44030650891055,0.0,8.660254037844387,0.0,6.928203230275509,0.0,4.69041575982343,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,4.941924004312363,0.0,,,,,,,,,,,,,,,,,,,13.986485668695527,0.0,12.993623379935933,0.0,11.694128834194439,0.0,10.444941588056292,0.0,8.676356922518936,0.0,7.011712187399612,0.0,5.401350742928994,0.0,3.461334416816106,0.0,2.053883710639742,0.0
