,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,506.4236294844146,4.026270429838214,14.596271151192353,0.08759512957034025,488.2609958578526,4.658903443800723,142.27,5.03756885809018,95.33452737567077,3.15019690899812,11.847485348058957,0.09926771579856633,11.8972339576897,0.2565621873836256,8.114618101598296,0.16359891060138054,529.4236786460724,6.605968600940028,160.19901844509525,9.48294771119793,111.98046168527972,5.334977266798072,,,68.73339362197721,0.8980431571759796,92.08406547856886,2.495266255718657,50.27642028210402,1.0144946321267303,9.20338208010239,0.10508883150808263,6.793140551422242,0.20015034060059692,5.832179056648788,0.1784552985285181
Abend,533.0909245360087,4.433867700263427,15.459907695206791,0.10584830546909205,489.13638875583507,4.226897352867278,154.9,6.0074953183502355,105.47129749971673,3.4474523653883233,12.084908314744391,0.0948359337450806,12.502710382718869,0.2285455881302388,8.66307051647609,0.15133364641236413,531.25365680247,7.370705965203237,172.86320994704255,7.307259408236472,124.77944606566717,5.23539584867218,,,68.95665958799316,0.8838139878618505,90.93991822581967,2.292568610405279,50.76563358418596,0.9548863231955728,9.269167829454252,0.09478795735226472,7.6078675055919724,0.2409047252269826,6.301534169152607,0.15915027992596675
Aboln,506.59311242412065,3.8635101007772312,14.643940308709013,0.09100431155871558,484.46834186337816,4.454199801948812,139.89,6.299039609337284,94.22352053617624,3.6323493864970446,11.805224851323699,0.09281559579034906,11.826634524424419,0.24640581505400178,8.108273888627515,0.14910288649895478,527.8187932384131,6.885852829220619,157.1967698004907,7.299198823562557,110.32430349489863,5.276756682886706,,,68.96995743609904,0.8722405641765218,94.03982907943991,2.757193158002498,49.84742161162022,0.9496004814481807,9.116024045621783,0.09494202497516227,6.51483983187384,0.2231365030191874,5.816434317097506,0.1519624129118044
Abtäs,518.9261446964019,3.667633776736078,14.914574107193662,0.09451443091669808,479.3569556009238,4.2895893581951645,131.8,5.5533773507659285,88.3407165754213,3.4106109391625306,11.621898740168017,0.06921517654017016,11.50212688630232,0.2260024145917234,7.865897212913321,0.14147260780876486,530.7995356966288,6.661854860133343,167.53354925950433,7.6500876394165,120.08352076382998,4.943120238533663,,,70.01493650185864,0.8382549271280709,87.43495920483487,2.8304585010022945,49.534856044764375,1.097355779268914,8.683080158348018,0.09619665150143444,6.558102063775323,0.20521910637372764,5.387963930843756,0.14485823420277963
Acker,504.59398743143686,3.522369346322513,14.604787375221871,0.0931450688886804,483.862031782214,4.19347926481584,141.82,5.925166664322616,95.59985187043355,3.4525254542282227,11.795067494497985,0.08518103810237375,11.889582956273284,0.26041721505275905,8.161565314379324,0.15276494128907056,525.3419401828183,7.118247505888114,136.75453099841891,7.206036446564501,98.24168173515892,3.8572812217609416,,,68.79267652079007,0.8407239431379684,93.42224062697623,2.579280118594756,48.36253387091585,0.9436154247648719,9.071670085236157,0.09343248284240875,6.896954038379195,0.22093838701300803,6.097973780920667,0.16591608647570805
Adern,516.872603224553,4.374524472870748,15.05093139739838,0.08654274004880265,485.16751794951904,4.359342525644783,143.93,5.5986694847972585,96.99187994803862,3.525784057922342,11.859183461368593,0.08772046332653408,11.977489835283846,0.2230184872878424,8.235372475439245,0.13746221717393775,530.7131022691894,6.535442693151507,166.22884019575307,7.696650089545691,126.498633605026,5.16059673107673,,,68.86417658878331,0.8476870313623394,91.27862268507724,2.570679820259242,49.73260547295659,0.9874694850809168,9.080906920233598,0.09535951872829396,6.9952037908812645,0.2030165236257662,5.981029868889145,0.15135072146700748
Adler,507.39074106201224,4.152083122905088,14.79463057846102,0.09224437339472395,490.07491795571303,5.048800408652851,143.24,6.078025995337631,96.98422775162018,3.6454024653884605,11.948592478542217,0.09934445111962362,11.972558377329774,0.2604724581037764,8.260753804613774,0.16036420939756044,532.1657635133847,6.188284179071177,171.09967528707887,7.664689438390134,130.30612619036145,5.214194706072554,,,68.7684463602023,0.9333503624608342,92.99342414485753,2.8469037651245355,50.780908092422784,1.0307466750862466,9.272782995160288,0.092134034760433,6.927583341548203,0.21503675513875187,5.959822925568213,0.15916928265203234
Adria,505.66568148016637,3.992116936221096,14.656511490492033,0.0981425159965589,486.0080078838014,4.0909417775092525,131.24,6.000199996666777,87.62290141632589,3.7460752959573043,11.713860537724146,0.08568839938692996,11.435664938109062,0.23572743434536605,7.785246182862234,0.1440696232929055,532.0691701647595,7.251232620296172,165.0584690660778,8.453097977397702,125.06850927424182,5.969217670800733,,,68.83858673654503,0.8730499198188328,91.43092826133025,2.838630030808271,50.51000271657111,0.8862065131398765,8.946288558122419,0.0922854816625454,6.282668214057522,0.21718979601236316,5.36797765056608,0.1647875776163691
Affen,513.2231069266743,3.9359061251441765,15.090880419750967,0.09082210901636036,492.66758574187634,4.131104192039494,147.09,5.875534018282934,100.62944598889601,3.6812269578506163,12.079460999170317,0.11103965607414563,12.098542834378707,0.25546288322113503,8.454986722436125,0.1687415960179936,559.9062816970923,6.652337563392067,267.5852057377086,10.353363398950846,213.53567825852596,5.9792367359845455,,,69.98447734967864,0.8140483844070404,89.52859505350573,2.9627885212729748,50.454289448776954,1.0945835391672063,8.999209015483832,0.09474921891614159,7.02528480655464,0.1948833152897071,5.843114918246843,0.16233909930086915
Agenk,530.4215565919901,3.8620017987274617,15.44386872010206,0.09217864208136575,493.2002221222351,4.3130937217420335,160.96,5.775673120944432,111.07857619727649,3.590704675370598,12.291704483014701,0.09085468881598167,12.701255392359542,0.24106318270869997,8.964852064503297,0.14357381855223786,557.9762925499143,6.597924262761845,253.30129839823118,12.74432531914648,203.32827249236433,8.486687915545952,,,70.07158666876562,0.7727295388638413,95.81550168194865,2.446528400596937,51.35481583614044,0.8496303092219496,9.137824035675681,0.08614454452404642,7.2648971484037865,0.19858822840763732,6.36032896508973,0.15561344900717503
