,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,709.9996296952968,7.530228260396953,17.596466113881103,0.17910998205355036,673.9151698165495,7.383380654305264,210.11,11.384107343134112,141.58815529216758,7.205287103517128,15.370944340136205,0.16103004801247942,14.468574097398307,0.36105898146255244,10.007693474672175,0.26184558365039556,259.0265813734599,3.315609819455724,172.65593396674635,9.794691409735913,109.8833997035876,5.421649325940847,,,69.10840414578405,1.0412567853639236,72.63180052099875,1.9932351464177676,41.8824072357532,1.1825608452711924,9.00376762712826,0.1750897857295686,6.3196833810954836,0.2752429583515435,6.175933877745616,0.2380094814194844
Abend,735.4109718226376,7.22822892726317,18.3454572376591,0.17335334655317555,677.7246632631734,7.886242071157627,217.54,10.222934999304261,148.87774429396802,6.497369412471908,15.561146687497699,0.16405231065459405,14.765157313879158,0.30021574975473625,10.402720548926359,0.21882905942826272,260.58768804304725,3.425403010483013,175.67238775922678,10.05498706196701,114.24356062447312,5.360450312142139,,,69.55532384248538,0.9849324176328207,71.56661120876991,2.215058998976623,42.01507034856819,1.2221214639195377,8.967835166646616,0.17606878017013808,6.818528170240609,0.2632636619016383,6.405500269449014,0.2646343836500498
Aboln,710.9717784870589,7.9050032492703055,17.653194159234275,0.19475120111509445,673.4778946265782,7.2826149454588425,208.26,9.464269649582052,141.32073843652805,5.848720221674766,15.403834814795433,0.15188605744118347,14.431636119222503,0.34333500018565766,10.076397298022428,0.25392153889324587,258.99211388673564,3.246827751397384,173.13162447738182,10.09151866193788,110.03997764858664,5.499494412799199,,,69.37909101905643,1.0102970653445873,73.26090026116567,2.328305840397616,41.93693801836366,1.2101443910141987,8.917263373177903,0.19592241416068457,6.0318985655514155,0.24376235119859604,6.1252629990792435,0.2559866461159673
Abtäs,722.1303268508678,8.53602173960774,17.82971728926376,0.18938558248984805,668.6902148510018,8.35152278612587,201.45,9.58996871736295,135.5695753812476,6.241897036941409,15.233714084876421,0.18346998859405722,14.153901139100569,0.40875731744834215,9.813470366317944,0.2878171194578513,259.9258997845649,3.282260174807236,173.99664202759587,10.485608889961593,111.87801438900509,5.589225398522612,,,69.83259265908144,1.0059507854433678,70.78216136882428,2.1649217426340144,42.16554649019553,1.2775492795516423,8.359034614120882,0.1351376147631267,6.023531584934346,0.25727742161837924,5.62027115570025,0.20372401993256853
Acker,710.1200748036275,7.438435728487999,17.59848007929172,0.17738118546676943,671.7051063557071,7.969595191944419,207.9,11.481724609134291,140.6628232027481,7.456099113052231,15.323939469827685,0.16771192166347618,14.385931442843294,0.38075782567488614,9.990280717798651,0.26373909064422923,257.0862282999999,3.424606752305862,166.93695480620374,8.69457830489038,105.90240014468984,4.956599634841028,,,69.38105651188815,0.8958502023381777,72.18073210281307,2.071763073928923,41.137761001275706,1.1489824225587633,8.779407201224155,0.1563550859852622,6.2632142169561975,0.24872922845542086,6.1764592000268435,0.2218705347639873
Adern,720.5891170896715,8.371215125543735,17.977962908436727,0.19693448882561287,673.1144679184346,7.587556836265651,212.39,10.473676527370893,144.16677733859748,7.054815259084119,15.438020779397764,0.15915902280244962,14.541378830527238,0.34395015204873264,10.148207558560053,0.23248094908953842,259.23408566894176,3.5033619677204015,171.70068244213562,9.218161697588002,111.5007178927926,5.032630981776487,,,69.30748202916796,0.9725244258678748,72.12167905483456,2.028899068691055,41.782986840533106,1.0924343648542811,8.76561037855693,0.1600732155144947,6.364323322815749,0.25834751999989525,6.142487780135365,0.2362999636437052
Adler,713.466266232737,7.659427301071106,17.787546487709342,0.16149008314123714,676.6309170122425,7.538883451259134,214.8,12.009995836801943,145.517860784958,7.372488468542805,15.51346120487778,0.18499365494326409,14.622314484696894,0.3846025359034186,10.217518064800116,0.26613891886927954,259.48629942389255,3.144651154808026,172.78149684343404,9.545018477451283,112.2029811052323,5.181812104765177,,,69.4127381208497,0.9997661177828082,73.32620188609658,1.96484375434912,42.19554797903813,1.0453328501525123,9.052496530981008,0.18242774212875337,6.323402178502843,0.2463420284501716,6.294365666640123,0.2434584522487746
Adria,710.1335395976893,7.2024654730587345,17.64094196339428,0.18729601284749062,672.0794180622253,6.835403839726598,205.81,10.541057821679948,137.96591425928938,6.52912016139539,15.289199532276319,0.1509370166058438,14.298326249027404,0.32843032194642097,9.853815462958785,0.23799226811892746,259.3035569191231,3.4790662412571134,171.67575180064603,9.615996305297399,110.67591521766184,5.365648776532515,,,69.38188565293672,0.8625854448007628,72.34271806650742,2.1258916691140213,42.149962006823216,1.0937112607999475,8.737841445055126,0.17127301597140923,5.93767760203852,0.26233133232656347,5.820036887324701,0.24255938311697017
Affen,718.539778586591,7.691728024197382,18.005986592118123,0.17713185505898388,678.2908042564555,7.284544184257836,215.94,11.050628941377047,147.8203259802704,6.981104882573191,15.583451115581934,0.17462621840908774,14.711289211426083,0.31300117855771425,10.361993449967285,0.25323570373817916,267.4551909072042,3.0417325887521356,187.08600395259757,8.728892575283174,128.50215833714455,5.332211437119319,,,70.50454005161147,0.9875996322299697,72.7617227889598,1.9788917294260502,43.4119711959389,1.0564661228849253,8.714191616807254,0.17680903733653605,6.308156941819311,0.2395377984953717,5.968788110986302,0.23371028338637398
Agenk,732.3508826348642,7.878712797524447,18.328387524441915,0.18861779038706097,681.0829679104503,7.368036857333738,225.01,10.339724367699556,155.45751836702308,6.822835876745739,15.710341608729426,0.16969829874046133,14.973005490119885,0.37296996238263247,10.627678959567357,0.2785984660636276,264.4919721419273,3.4720879662043598,181.05566291960986,9.458389830766677,123.21561987582781,5.297055272807059,,,70.52699401556883,0.9757596431834172,73.49979436905225,2.089992799785052,43.23274314118792,1.1181342041198774,8.657203533018583,0.15548104889860728,6.449914880241047,0.26098973508449025,6.262717880452475,0.2324189005802056
