,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,1657.5741148516145,19.912169756692414,33.80338829916471,0.42160064174755585,1636.223737927589,19.31706449024746,1327.96,28.089471337139827,1046.8211684549353,23.773189036894273,33.14554088027144,0.41722795713863603,36.54717951774646,0.44007874024287186,30.189811339256558,0.4853909930768305,127.22984113875096,1.5345166733405415,141.12830464602754,1.6584845054146586,115.16394398035054,1.7892821360643925,,,368.5762729604736,7.443858910364311,422.4079072179403,8.756872088719662,336.4549908148409,7.287569760561694,10.524110061417991,0.33032062345475555,8.996499745157742,0.2446692129708672,9.358147220256136,0.3179509203780954
Abend,1674.1391694174922,19.357956845289205,34.20922818494255,0.39372052781470557,1637.5825967721453,18.132640482045066,1328.51,27.501816303655293,1048.4043715039707,23.79240745375566,33.16235342903556,0.39110153442625334,36.47039732678027,0.4001485059052654,30.201567689463246,0.44367787271534304,127.46641891154376,1.5928318360389522,141.2170392823549,1.5498783154548905,115.43714480694494,1.8579786298993386,,,370.8024030380842,6.902049792835215,421.38219124988063,7.682110155501748,338.9726551195654,6.819858177776143,10.56981995745801,0.35278620467475713,9.107122877473142,0.26729197999379806,9.446896271541164,0.34288647079033585
Aboln,1659.7045757651656,20.094634340639207,33.81537339018041,0.4111405238974121,1636.6288444570946,18.63562152295891,1331.19,27.933025256853224,1048.6009637376562,23.740136223997773,33.09198666966085,0.40253020420229274,36.455460348431934,0.38653691144203245,30.129172946140105,0.45392967384616284,127.2520669059025,1.3623308573171564,141.16349998562762,1.603447356699891,115.2123622951678,1.588145014546901,,,370.65918658767436,8.037385961010903,423.4932443843205,7.709612518264688,338.299108088308,7.662881049266181,10.571274175511293,0.3486134602278216,9.053972907676556,0.25299437809905184,9.414474816387052,0.34885462619568636
Abtäs,1665.3730647848718,19.010994225101825,33.89675171645793,0.3514303235642412,1632.7727297193874,18.38159317880601,1327.34,25.648867421389195,1043.4438945585562,22.436939446069953,33.04960922485267,0.37283606943781683,36.481229264448665,0.39988917806593677,30.088409767066647,0.42273213088217004,126.98619610465998,1.5925242669032504,141.09483233225174,1.689940432800583,114.87109244204174,1.888397861407857,,,371.1461937285699,8.504420431380957,422.1244108608916,7.124361507215239,338.681751190012,8.00808175412879,10.188008102725512,0.3661225958362768,8.990680444148428,0.29697375865415376,9.076051060074855,0.36722527246966385
Acker,1657.9353164205634,18.150483981814048,33.820094637274465,0.37428596230294037,1631.5029048850668,18.87151548554952,1324.29,27.625819444859914,1040.85895140442,23.438715568355,32.86895010910281,0.3656590999299217,36.30852123543441,0.4257765799206446,29.85994628956714,0.4308275300521917,126.49072203964565,1.27259849508264,140.679911092876,1.3820277637314957,114.31154412232529,1.5278655582689065,,,370.25897395454615,7.979018739300117,422.63088721779224,8.674763346674256,337.71991428657947,7.840402776509082,10.348123642974153,0.3797710496793195,8.949005924262131,0.29795066500589573,9.22729049109842,0.3526380581226515
Adern,1670.4570529799184,19.12649915358125,33.975569382870546,0.3261630247804574,1636.8075188745238,17.990160101752732,1327.21,27.21150308233634,1046.1213405401154,21.704840430003408,33.09796465850632,0.35150600635873663,36.478712138069554,0.39186827870717306,30.128310200493285,0.4047514279126759,127.11249526766933,1.5870879805683775,141.12746751747332,1.6807017928556212,115.07277901123467,1.8380566587235152,,,368.4599813144843,7.035260361314207,422.32326251148754,8.406349486601998,336.4971485328918,6.812362621982446,10.426695230868823,0.3932046457881687,8.97618708632213,0.2022988904612475,9.312874132060857,0.35483404339093655
Adler,1662.772354329607,19.479671443019452,33.890052765281546,0.3663864990681159,1631.6183347501635,19.644067067658753,1323.25,29.86080206558424,1041.109176532666,24.781968822120476,33.066984503962495,0.3753175747647198,36.4364706232356,0.3655249951636363,30.09835484190475,0.4268053724557171,126.83814674454132,1.5134044247878404,141.03194263433815,1.649790056198967,114.7350407794752,1.6992855761464032,,,369.9133353463636,8.068873065679904,420.934698835684,8.07409972137778,337.2265887435613,8.590480409193235,10.57064840245249,0.2976359777717426,8.940320106499003,0.2690612940078172,9.387869386485876,0.2830700310293701
Adria,1658.5464334492,18.14177683950917,33.876647565731666,0.37608201849715667,1640.0462506885524,19.60585504094949,1333.54,28.572161276319296,1052.6415322407643,23.41369408627729,33.183049106011666,0.34222956297222173,36.51954886620423,0.3775587489660721,30.234203979293728,0.3958928284100062,127.10677916675344,1.4549147795966433,140.94840360423612,1.5925946368856405,115.04053512335388,1.6600701021663546,,,370.2275415523603,7.264580161275312,425.5821924759403,7.868168005172829,338.59376641663226,6.9140165150908945,10.61158711170954,0.38003251277480776,8.984756588695356,0.2599079512048604,9.461552241805117,0.36531930049763006
Affen,1665.9549191316507,20.942482736054295,33.999102152116315,0.3696185779143045,1634.083643866333,20.979983841985682,1326.38,34.96277448944806,1044.0625459183395,27.476577198031748,33.014916648958504,0.35879443708398684,36.40609425958214,0.38249282662594747,30.04063923473759,0.41777853935517006,127.12842983865502,1.3195800413012482,140.92341270073578,1.5132426589603072,115.04390733218659,1.5645014002840132,,,370.45236921777774,7.014392178076047,420.5759639106841,8.043558848098257,338.08522411811106,7.13110721191971,10.377019132406213,0.3481888839394052,8.969660156711978,0.26178851424327904,9.240581913741979,0.3369065596086293
Agenk,1674.2254091130148,20.258756942418774,34.16158606261183,0.38906315869723773,1642.486246611446,18.432694368332058,1332.95,31.442447423825012,1052.7473291673864,25.791732075599615,33.166100798791206,0.37383983471074367,36.46075081028517,0.42854445544148323,30.206866048088436,0.43417711850135704,127.35277219814947,1.494177337929315,141.03338911036738,1.6743714084989967,115.28279821419403,1.7386887833705902,,,372.42201904345796,7.992959039390151,420.34170548526777,7.196948958843288,339.40000231182006,7.438428888309823,10.062805447691636,0.33197079010551633,9.00947594923121,0.26456160751846286,9.002556380192253,0.3096057219069393
Agent,1665.6887563164357,18.435336460754502,33.91571400207635,0.3724032713450337,1627.5394635031669,20.00887725622182,1317.64,31.56089986042857,1036.0648207386478,25.93069336928958,32.910287592523325,0.389538079817114,36.30050218416704,0.39184330705528764,29.917289153723555,0.4460713886498113,126.69528321124372,1.4135508031005142,140.9001533585078,1.5035590451746494,114.53256156839313,1.6309883644900436,,,370.6117714497182,6.459827441898462,421.03316861456585,8.779261166295584,337.2708333086152,6.883948870720419,10.21592158985236,0.3183996213723985,8.942209090726529,0.25388262556151053,9.104217680635982,0.3234807841259859
Ahnen,1664.777839964638,20.355205011956983,33.98466426507917,0.38182993130102527,1625.0062018311964,22.72935541344411,1318.0,30.112123804208828,1033.306155435267,26.470841685374594,32.82069284854407,0.3702927310896526,36.31424241708063,0.40718260461647665,29.821521735116434,0.426182114364558,126.16125266428934,1.4313246452748696,140.5933884063035,1.5890901484319444,113.94427669375335,1.6586397769233217,,,367.2217580051477,7.449355083015705,419.4805803626542,8.201785966563476,334.9400180508625,7.905995188806144,10.7372293372588,0.3586421205558194,8.986246350684308,0.25684753426279255,9.524428565744577,0.35838044298515315
Aigön,1666.4566077226118,20.856004103859934,33.900569564331754,0.35532235302494247,1629.7371655133925,16.82329744701425,1323.62,25.291413562709383,1040.5863536149227,19.121698017877268,32.915543934532856,0.37192147122402763,36.336406468641,0.3944172228795086,29.922002298049836,0.4257075636423423,126.69177252842329,1.3352823673131033,140.9086215500273,1.5276465078690964,114.58888187496396,1.6034987906339055,,,368.30455149502404,6.827318382040837,420.5952533181191,8.020160702814552,336.02998106311725,7.357530775011995,10.448972624882026,0.31080787560767104,9.023325352316359,0.2526931760876517,9.313971108909046,0.2971053424249591
Akkus,1668.3589553669872,19.064771504571173,33.99376659152489,0.3886903402519805,1639.9977999582543,17.162430135183442,1329.34,23.377861322199685,1049.3687793977376,19.886481465435462,33.196079395140586,0.46433265476629865,36.48716912953029,0.4080305295591342,30.248763923884994,0.5322364238948624,127.40396537567167,1.484477394583093,141.2723200161039,1.856264418040691,115.37255332346615,1.7533371711266759,,,371.97240550809494,8.336274217721252,422.749523967492,8.579995418805026,340.07057646883646,8.633130165399594,9.926645897779652,0.35904515986554897,8.928519909431582,0.24299572457879723,8.904441525193052,0.3260608023680698
Aktie,1659.9170340851651,19.357677173425362,33.83214943842171,0.39781070113520817,1640.5329512210756,19.053502355533578,1333.76,27.604028691479073,1053.1421055324347,23.23081753493876,33.16897199166214,0.38788844724773114,36.524254485961045,0.385790415581247,30.217822111031165,0.4478089865048056,127.12716492334417,1.5487936488173633,140.96226159352145,1.8855372306272606,115.00731695465426,1.8322654853524982,,,370.0440265564695,7.932561802717754,422.68866800626597,9.007468008727393,338.23564050992246,7.718993822376161,10.670957824227727,0.35111619215121037,8.995204570007285,0.26506613265832263,9.532307067338484,0.3402243855466928
Alahn,1663.2016315358942,19.251880312725994,33.838937331641624,0.348850472897207,1628.4558307498235,18.839506006381548,1320.68,26.52918393015511,1037.9049988774912,22.75409676857743,32.88351450358791,0.36298561711123334,36.33644165437071,0.33616647440409686,29.8934044517601,0.4101006211624065,126.32561020439641,1.5115205694871676,140.73153852901862,1.6914687578727798,114.17731564726904,1.7589001738021628,,,368.2305703380818,7.816541114217084,419.4513279010316,7.890747737287193,335.69672066078476,7.3137461565477,10.111173048102726,0.33259291251360124,8.982907468394812,0.2499593917393411,8.983195932041344,0.30028286008538796
Alarm,1660.0952254497706,20.331232913785453,33.805297851000674,0.358882105734738,1647.4616108728549,19.17644407532024,1342.53,27.926136503283082,1060.8156385175314,23.79184302234112,33.2502245439898,0.4139393865248358,36.57006911275672,0.44726400279597445,30.305417348770597,0.4829195987632876,127.83684845889691,1.511730050610039,141.67574925329234,1.923148083604912,115.93943256567229,1.8077955551360922,,,369.91431619000906,8.350432576749864,424.97348092831083,7.1076018111438835,337.9183696078784,8.707772142486464,10.79363852089839,0.3846559174694434,9.03564278007449,0.2625103852692823,9.614259021924111,0.37986576467210936
Alben,1661.5562861166131,19.045785675480985,33.916225677551736,0.3520449176213021,1626.6035089502984,17.94513532774655,1318.26,29.9952062836714,1034.9020678697195,23.55624298753095,32.89744994307748,0.3613101488000567,36.349574282612394,0.39805712258818227,29.897733934749404,0.4147946166629795,126.22895642727764,1.6025092167972048,140.37238053408922,1.7613365838819233,113.96680496131337,1.8520472508895,,,368.6860955019654,7.656701246977452,421.3342584416728,8.301589745963936,335.87070226298204,7.354507627828105,10.448158125721163,0.37724805870746597,8.991294940229109,0.25637533259134093,9.304565977393462,0.3598191392702027
Algen,1667.853649457155,19.782262409662316,33.965623789798904,0.3275268253709252,1628.203539099265,22.261859401755753,1318.29,29.489759239437678,1036.362504622362,25.606546545323745,32.85514156628248,0.41152014153321737,36.27836199038334,0.4587497081299573,29.84621281294917,0.4830274052277088,126.61030690139025,1.6471402247379927,140.92687795093897,1.963918121462109,114.48598318928858,1.9282240654476066,,,367.1828569181422,6.671805000029493,419.144992575691,7.533077544384871,335.09373655862436,6.760073748604828,10.780288458563593,0.3297525283108759,9.0380991583201,0.28283902893645907,9.59006305641082,0.3386463911186061
Alibi,1653.101817623163,18.670767679478114,33.705573311458814,0.41728447919569917,1636.6826237339262,20.184770039194404,1331.88,28.745531826703086,1048.022853361075,24.605366361806798,33.15592278637289,0.3701435230016764,36.527420304965126,0.4093480968827401,30.209213451667548,0.4384543469527918,127.04541478150013,1.425443484818081,141.34937447849003,1.6545671592953761,115.03745229425874,1.676664174997301,,,370.1979510261925,8.759286726313533,421.6265482175688,8.97914518541988,338.55771379379223,8.490258698088049,10.492629638139377,0.3143729538877453,9.013784657673309,0.28538949136362,9.339409502625728,0.29564429305018247
Allas,1648.4748768915954,17.93666313098188,33.688590210813445,0.33695847957353103,1629.440981011187,21.425338285642777,1320.23,29.859288337132217,1037.5368238256015,24.545439918290185,32.87635710385859,0.37385845335272844,36.34097422636542,0.40446542329944674,29.88879159713791,0.4404870408544007,126.43538424512597,1.519112014264835,140.69851872837455,1.5174917000185488,114.25789898203212,1.773342505706362,,,369.08779368030855,8.11714371239953,420.9527830122717,7.906318684331828,336.44627722097977,7.9108458949071405,10.451112085947589,0.3119161163055814,8.924359400272792,0.29560287322306117,9.33016765966254,0.2937254215421221
Alpen,1667.9992678498902,20.987965095454094,33.99859464925052,0.357671627148645,1628.563182087238,17.539834685882276,1319.36,25.229157734652976,1036.7236717395265,20.644020417002597,32.90471722939199,0.36548795812397183,36.331489674937146,0.4276189892135497,29.913311669222498,0.43093075303531775,126.7001638605336,1.6615223855164896,141.0790259097216,1.6219210080801039,114.6061934767355,1.8454259562243782,,,367.61849586376593,7.694751707203411,420.13751178401867,7.623272480375945,336.0209463147462,7.642263526771203,10.507277810143778,0.35637239779824015,9.029571123251998,0.24998635779469805,9.347658359502525,0.3174307389504809
Altar,1649.5122269965623,20.118854418576852,33.57608029514539,0.360462334660578,1633.6836993976353,19.172873588175722,1328.16,28.544253362104254,1045.4054978621714,24.98401318139569,32.95340454354539,0.32245801589251616,36.3613478389458,0.36384520773544554,29.962033315735276,0.3775118534137777,126.80654881935554,1.3341862245752742,141.14737497623216,1.6222924612381666,114.69202635707569,1.5573651186449011,,,368.9205724141336,7.859534868965984,420.70175419238296,9.122138907106782,337.143477666857,7.566253870578846,10.370102557650254,0.31297432942044673,8.962541956132657,0.22396970053017098,9.253288411414204,0.2897125363023838
Alten,1655.9510707956817,16.33185183592476,33.699089166500194,0.4554332864078812,1623.9037912739157,18.51140444953986,1314.53,27.73930604755642,1031.7504633180113,22.29202942745416,32.80731390041824,0.35525438069426163,36.2281999641169,0.3840929053766394,29.794555790198004,0.41333972491729265,125.96657339160558,1.4643939524344645,140.59094677799868,1.7636908352108824,113.77799993001437,1.708781641877008,,,367.3239020308366,6.767593125055307,419.0939428662774,8.41530453185694,335.07593601196476,6.604892616551258,10.594786381323239,0.35088711904357445,8.940939662695774,0.2778280897275261,9.400832112694056,0.3440494412631552
Alter,1650.548006865693,18.605368022980667,33.68696895664537,0.3402736737271198,1631.7990564134234,21.197762748401253,1322.98,30.562715847908542,1040.6178158250832,25.450960573991065,32.92356104442986,0.3540305448699116,36.31934171665925,0.3813361621122689,29.923359840133717,0.41021375176078817,126.37683386486312,1.4151075400314543,140.8507592160787,1.704205083356594,114.22094237004059,1.6612739611206115,,,367.8561093213008,6.2975404414503044,420.90815438564454,8.512520109245568,335.01618893798076,6.68399032895766,10.663249584133206,0.37698337339186,8.94366878452127,0.26109156243558873,9.48170215694339,0.35209801517526607
Amche,1669.6191078606028,20.874840555234307,34.005533215448956,0.4122693962714265,1628.6353048295337,19.163009549074747,1319.83,30.142015526503865,1037.3984708644916,24.244770856753124,32.94435703236031,0.36577637818711134,36.33100240825972,0.38505066033758706,29.949462305033492,0.42103030750168896,126.6033702907315,1.5558303597578647,140.97915314209595,1.7977531687276056,114.4722486718398,1.851876504618717,,,371.4538441210184,7.4246882741227855,421.05267588724223,8.249236497912447,338.56503061535426,7.231821525684859,10.134770881730246,0.346808308356126,8.963414166664906,0.24259969960985647,9.04578608700448,0.3357835992215114
