,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,2235.734865115627,28.854447079439375,48.38185294283784,0.5637072853319931,2226.9437718699533,31.050790015521752,1840.33,30.402320635109422,1854.8335476870438,35.89082591744363,48.057197229488864,0.48406764698097304,42.898397019591364,0.3279224748548807,46.76858219528347,0.5132596645024127,74.93325521226573,0.9440529390828144,67.0916301907617,0.5196521053260709,72.90264483679078,1.0001356306962432,,,206.65971078456815,3.283368269374458,187.28424054353889,2.230457254439837,201.2756266026484,3.3171715657637924,16.195083992181107,0.50017651293505,12.919160155300762,0.32717286175618043,15.673169196801608,0.4918610100939836
Abend,2249.845070684063,27.772120287588336,48.54347473598105,0.5796931836883692,2229.740981437699,27.1209263855611,1846.26,28.750867812989572,1859.0577253715508,31.93911374623159,48.082501689046815,0.5743867278474384,42.89616638065994,0.29817753560506627,46.79631311748025,0.5999861806317415,74.82712540489085,0.9046085916347942,67.1288086443183,0.44484028631014727,72.79823393071061,0.9583258578691582,,,207.28020225137624,3.3910439330736253,187.2466887474416,2.1481265732412775,201.81101123784592,3.3158375981285664,16.09637509625475,0.49786833478507053,12.941633558543066,0.2742588078622922,15.593158536016386,0.4906726020459106
Aboln,2235.403249029566,30.084267686338922,48.429666027807514,0.5980899828553494,2231.1556871332623,26.702125926808634,1841.49,27.14903129026891,1858.1065753084074,32.42880991640994,48.0565467625046,0.5829138391541613,42.89741102860301,0.33485376373644177,46.77244754227802,0.6141432924680218,74.85096622470105,0.9320575208440336,67.09148298674796,0.4993948882687733,72.82122790139242,0.9735094843677569,,,206.73398300912984,3.274136945351339,186.99764430697581,2.186306461836086,201.3687649323747,3.237346464152806,16.18568088585954,0.4732157204863462,12.971373148203543,0.3078704135555236,15.70618601109037,0.4630622534717331
Abtäs,2241.5199020339383,33.261206929026855,48.41546044732338,0.6317675104331587,2224.0748815022944,26.693160017059174,1835.41,27.096529298048488,1849.5668527417736,30.218396346256366,47.92996381305304,0.5311867683795624,42.851162539377746,0.32843420015318014,46.635027731783886,0.5525142184512526,74.82207221781283,0.9102785677024319,67.0870874988039,0.5774790846113169,72.7807993823461,0.9599467436257264,,,206.78827094670953,2.9782953173563524,187.39728876464702,2.2670978035998894,201.36222913723307,3.000680584632087,15.92100234830984,0.5080411553742802,12.927380809316865,0.2731762729902694,15.43687773514901,0.5017783070779236
Acker,2234.234861615716,29.92815319998284,48.46328226919042,0.6142802317239356,2221.637972320944,29.091622156278376,1837.97,30.1673515576028,1847.556159457959,35.21839472942481,47.90434783260421,0.5672481127061779,42.84688383960864,0.3529096698669213,46.60764546874578,0.599965109036678,74.78970226304594,0.8891904196412729,67.12296551352122,0.539523254749881,72.76218650467355,0.942644481148561,,,206.37380778200867,3.1245196029867843,187.03673119692093,2.3026722514347573,201.04093469144414,3.2394429731492376,16.088258238353276,0.5235720522196684,12.915631783849406,0.30337775505826975,15.563829596241433,0.5219570034971543
Adern,2245.067874562751,29.927115972739497,48.407567900523766,0.6019618097573345,2230.831597503221,29.166293895117498,1843.32,27.0606282262626,1858.0320657183142,33.242213115767335,48.089900097387556,0.5827535832291253,42.89343328261466,0.33672129407552776,46.80070848680413,0.6077852915127879,74.80910613192768,0.9536695919414462,67.05068666787103,0.6052410759876317,72.77755662626545,1.0073917039206963,,,207.27994698774597,3.3726054100833993,187.34731535918746,2.4228173647563347,202.02866455086362,3.3221906615932886,16.098951183103164,0.5210967357589888,12.965832150560638,0.3065105613521874,15.59826264041341,0.5264466440169716
Adler,2241.1247235488972,28.202712578474852,48.40553287226623,0.5571781706755854,2220.7206212008873,30.947956716669534,1838.86,31.71467168362302,1847.8993270435435,38.244841645865016,47.897649085104895,0.4954391107680546,42.82724364810896,0.32741640995961385,46.60149688184405,0.5201014961494304,74.8211052063499,0.9419515955728828,67.08716861236779,0.5718170388897502,72.78053139694308,0.977553392807434,,,206.8930649020763,3.4925145079549353,187.51420720744827,2.4128262807962333,201.5417912722374,3.4816452547526673,16.15369375800378,0.4302574386573838,12.889800780800222,0.3120142837851832,15.647658951614016,0.42956427215534043
Adria,2241.094532139897,29.48277092468456,48.32842121382218,0.6101271801303118,2225.575345921131,33.09715511432106,1837.76,32.31566802651618,1851.9825630004482,38.73585075384916,48.11348587473062,0.524431785417889,42.88879643572604,0.31802561980545074,46.82732807013151,0.5501869016305001,74.90749274987922,0.9243461641337852,67.08944275350858,0.5305352875544075,72.86562043421249,0.959083260542064,,,206.34403232446311,3.502726328487254,187.93798525071475,2.1782011191881163,201.03434018328343,3.6261808605166426,16.28036866034693,0.4554283491495249,12.944097116938002,0.28792184178460767,15.781032672174678,0.44365700412130904
Affen,2245.8686180968452,28.539059120990927,48.50606335879784,0.5926037663889461,2228.651509584242,28.19659581302273,1841.45,26.263805893282107,1855.3272816968138,32.3618457264506,47.9471606649758,0.6193393759124698,42.81802085052488,0.3564974670558899,46.64781042280376,0.6523752602088703,74.69036164641395,0.940171927653362,66.99663605648593,0.5814374845974976,72.64232653327502,0.9834484247285266,,,206.11600585258796,3.5218282048948577,187.0528219656543,1.9634314782460518,200.68485949596135,3.5249202060998126,16.122538700418566,0.5004730000547315,12.942141956294114,0.3147695385978251,15.633585199886403,0.4792835089922427
Agenk,2247.218430184849,29.425378647576846,48.69323695104638,0.5729476127321809,2219.6072213732036,29.387745425583216,1836.83,29.473396478858692,1846.038477774087,34.40603437361794,48.18286446945406,0.6204909539145251,42.9760046670165,0.32097174420270086,46.90422435024996,0.6502593427475832,74.78127752436806,0.866449836343101,66.96246779753064,0.5123058751562357,72.72798649033695,0.9069368107825753,,,208.51041923586905,3.637242579151025,187.6371424119274,2.367431259290327,203.18058948704856,3.5488708318037636,15.883708851780503,0.4329417616867114,12.959981660020828,0.36247533369263585,15.36579052093138,0.4207401787917742
