,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,437.54882231682944,0.0,19.530859217065704,0.0,9.235065782345202,0.0
Abend,500.69089362794205,0.0,20.87591688440751,0.0,7.479189019992083,0.0
Aboln,464.23187150978833,0.0,20.155515047262735,0.0,8.520527646390981,0.0
Abtäs,472.5496780570579,0.0,20.24949126095911,0.0,7.524477692275893,0.0
Acker,416.49466993472123,0.0,19.03077738203893,0.0,8.499397299606313,0.0
Adern,445.6485076485222,0.0,19.719971726075233,0.0,8.46136662450453,0.0
Adler,440.02318621582117,0.0,19.707821204960492,0.0,9.578825729856979,0.0
Adria,441.55306162510215,0.0,19.665476372350486,0.0,9.466985027312404,0.0
Affen,446.22915339722704,0.0,19.87899438665105,0.0,13.57762564810783,0.0
Agenk,503.58369605273197,0.0,20.897523505707177,0.0,8.878349316831706,0.0
Agent,482.453743916656,0.0,20.52099932962969,0.0,9.445066463213564,0.0
Ahnen,464.5467459969318,0.0,20.12695918138179,0.0,7.807424480764069,0.0
Aigön,488.8172488094136,0.0,20.646893622445265,0.0,9.82829186875772,0.0
Akkus,453.7385862917155,0.0,19.743327056208535,0.0,7.808728609101335,0.0
Aktie,439.7376712142898,0.0,19.66288158557817,0.0,8.781273213511815,0.0
Alahn,463.6742050554476,0.0,20.16498527607096,0.0,9.16284290183193,0.0
Alarm,449.6769077416308,0.0,19.793165547112924,0.0,9.804915647633493,0.0
Alben,470.6091540726961,0.0,20.35157199260651,0.0,8.329882994577702,0.0
Algen,489.28922718626904,0.0,20.734845944681943,0.0,10.180614150454712,0.0
Alibi,442.3681991914977,0.0,19.853854140823895,0.0,10.196237952944756,0.0
Allas,440.65204053147056,0.0,19.740314856316164,0.0,9.484586780877944,0.0
Alpen,473.37306550789043,0.0,20.41446900902053,0.0,9.206313764812348,0.0
Altar,407.87060899065386,0.0,18.973179711013188,0.0,10.41078464821513,0.0
Alten,434.13875511357753,0.0,19.593508806068886,0.0,9.050547792159097,0.0
Alter,403.2006817788298,0.0,18.92177881451256,0.0,10.185444058352276,0.0
Amche,480.5696945334561,0.0,20.389518527735877,0.0,7.839237045935823,0.0
Amtig,492.36322786677204,0.0,20.680118956131086,0.0,10.701909141903696,0.0
Andam,510.64051277306544,0.0,20.957674487803477,0.0,7.544282915998456,0.0
Anein,443.36083453599724,0.0,19.73686629339823,0.0,7.850534046046189,0.0
Angel,489.25831541389687,0.0,20.734488878979793,0.0,10.226650180522567,0.0
Angst,466.749811964141,0.0,20.10614048950391,0.0,9.588193068697313,0.0
Angur,452.9771389443621,0.0,19.822869379670244,0.0,10.58615595284952,0.0
Anker,429.860520933381,0.0,19.340141779470688,0.0,8.283513428769604,0.0
Anmas,481.20003190202885,0.0,20.324414745620594,0.0,7.0463220462106975,0.0
Anmut,458.168642685927,0.0,19.882751780942876,0.0,8.445699863550432,0.0
Annag,499.48060532680535,0.0,20.791438760596407,0.0,9.125670377015796,0.0
Anper,447.9827476257867,0.0,19.781262136473938,0.0,9.014035871716377,0.0
Antus,423.82158192791974,0.0,19.178660466129493,0.0,8.036273176966098,0.0
Anzug,477.3576861785284,0.0,20.43500202424872,0.0,9.644821476758008,0.0
Apfel,470.4012118434822,0.0,20.43311953982154,0.0,12.256269709726027,0.0
Arahn,438.37622139587313,0.0,19.524898977886423,0.0,9.213309778745149,0.0
Arcer,376.890819580107,0.0,18.16601586519592,0.0,9.714148513847048,0.0
Arche,420.2818245668292,0.0,19.16678282459428,0.0,9.138675178391297,0.0
Ardal,444.80615269659756,0.0,19.759303061848108,0.0,10.188221441147054,0.0
Arena,436.6926402228537,0.0,19.5354084309627,0.0,8.482900131771835,0.0
Argon,457.63117206049264,0.0,19.91493472377792,0.0,10.379071880543858,0.0
Arier,381.5598819823453,0.0,18.380079372434743,0.0,10.279017679488254,0.0
Arman,455.2974510683089,0.0,19.80469593366859,0.0,8.708883233807695,0.0
Armee,461.40396046517947,0.0,20.054055726980945,0.0,8.195988140513734,0.0
