,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,437.5316716149713,0.0,19.531973526551408,0.0,9.060701508710865,0.0
Abend,500.5504904540902,0.0,20.873361523071548,0.0,7.182654214356724,0.0
Aboln,464.2546101646818,0.0,20.155853684194888,0.0,8.742623465808833,0.0
Abtäs,472.5108160051904,0.0,20.24862272637736,0.0,7.63333933762171,0.0
Acker,416.2653279396181,0.0,19.025221784920763,0.0,7.754876498073195,0.0
Adern,445.58667058106096,0.0,19.718715714503624,0.0,8.2414243729348,0.0
Adler,439.8824535521169,0.0,19.704709061467906,0.0,9.054639324416371,0.0
Adria,441.56332482743414,0.0,19.666597885567395,0.0,9.812463671571122,0.0
Affen,445.99919455136774,0.0,19.87325871607356,0.0,13.078582840128671,0.0
Agenk,503.37817548568324,0.0,20.89406889917266,0.0,8.198072749005233,0.0
Agent,482.2699657840635,0.0,20.518473938845634,0.0,8.72929124822411,0.0
Ahnen,464.44141805045973,0.0,20.1239737152292,0.0,7.478910642958815,0.0
Aigön,488.4974851364388,0.0,20.63969707244624,0.0,9.19974983073616,0.0
Akkus,453.56329209915555,0.0,19.739274926018865,0.0,7.795240922603687,0.0
Aktie,439.685661757032,0.0,19.66207674020695,0.0,8.836495522964213,0.0
Alahn,463.3385812515637,0.0,20.158324528988825,0.0,8.483761758676037,0.0
Alarm,449.48566131844825,0.0,19.790607733255637,0.0,9.478472914616766,0.0
Alben,470.2346409969084,0.0,20.34343637993917,0.0,7.500218261183421,0.0
Algen,488.9479080476567,0.0,20.727425891337937,0.0,9.550693716268995,0.0
Alibi,442.13762998237803,0.0,19.848413942871982,0.0,9.788588537697795,0.0
Allas,440.47083359218385,0.0,19.73624423509186,0.0,9.358056889811218,0.0
Alpen,473.00058361379376,0.0,20.40643936153373,0.0,8.50352223885007,0.0
Altar,407.5209964669609,0.0,18.96625184209156,0.0,9.592484415508263,0.0
Alten,433.79819265737615,0.0,19.585806279928715,0.0,8.200742285903916,0.0
Alter,402.7986410016588,0.0,18.913346316456618,0.0,9.114212241290659,0.0
