,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,667.7339911448527,4.530441255777118,20.501086835954226,0.10576978574404833,600.6857743393023,4.10604505221708,326.22,8.635484931374728,223.0557062054953,5.289797831633393,15.556834158586748,0.09726867557065895,18.056454939115415,0.21079618519922264,12.567236514083861,0.14967199777688367,486.12358381855086,7.718911423922169,193.45546294566273,11.218743672731568,145.9009475545287,5.30943348391781,,,239.7050998311984,3.957016846899643,547.2047657191929,9.105484789627571,244.47827966826807,5.058397169406385,13.072731409457063,0.08003014323571588,8.957963533769886,0.2275546140779876,9.787690834185177,0.150064223402814
Abend,724.6517139809772,3.7628855512117427,21.79664698226394,0.09130633112681248,564.3104902401149,5.1237431825313235,253.66,8.094714324792445,173.41375808763644,4.793235951134636,14.533160504413807,0.09802195158330862,15.904573373120709,0.23355046353985023,11.14263638489154,0.1467560845559941,507.5408155941304,7.20211180546995,229.18338231307592,10.563721607941194,196.63132056802428,5.377044374756608,,,240.38396083716182,4.080072154729829,461.41667688409945,9.738932414208708,228.40003805050372,4.745251675295919,12.077664425477687,0.104228415271263,8.01487474610409,0.20510721941623483,8.380348528797791,0.16717659705287746
Aboln,692.2660054676417,4.247697585675406,21.08355105205149,0.10200464761807261,605.924598876161,3.9062659999345892,318.07,8.837708979141597,224.1139840701835,5.282309917539146,15.836731532670514,0.09521221730269269,17.824774457281276,0.23961541489039426,12.857997076605375,0.14481678911932597,490.1619522229654,8.088985708869002,200.22928971026423,10.500696918244511,158.4532245651779,5.0655502836511355,,,239.92411636002737,4.31769660156453,517.5589532315324,9.788484575363976,237.30345959055532,4.7807220669010455,13.403922067586606,0.09482262903653242,8.782789755869391,0.22094533018085613,10.288522246591938,0.14204326208406148
Abtäs,699.3011197408747,3.9332422189295673,21.196608619009318,0.09883403167897185,584.4424425066809,3.9958324058853147,291.33,7.931021371803256,199.39631398055243,4.844974954624336,15.11246242978875,0.09251087583991463,17.010026995813497,0.24286128076761979,11.898190710155601,0.14102500339336133,489.9866683516486,6.5344922514972,199.33939523065098,11.919139110412086,153.3492417541499,5.514711862087242,,,245.3695385200348,3.8578414984840017,522.3175506943485,8.98778632704019,245.83249031779465,4.820146517088208,12.427055229029348,0.09653569231197791,7.9678066356136625,0.2223188123131435,8.953466291961915,0.19526058238555666
Acker,649.9844677121359,3.6906989677769344,20.03739544115401,0.09679065080578413,567.3343640108959,4.2458488417504885,274.05,7.4369012364021625,184.4455032497556,4.746889120972423,14.594621566328458,0.08022596212872331,16.514646908508137,0.23756575364004434,11.329601169180881,0.13666270921282694,479.89498455961655,7.29650574027457,167.4259867302671,6.616552745934329,128.53763011876333,4.857979784407059,,,239.92132788158952,4.547599887118846,492.4840291464443,10.394075251701484,227.0377654719227,5.096065267802046,11.529696346951832,0.08963719678317852,8.184299390880023,0.2046268124651976,8.365986749403536,0.15689005238384296
Adern,674.2114644580835,3.8289229532374827,20.69014265891711,0.10233939121420828,577.1732300321172,4.321874245764872,283.31,8.572858333134871,195.2534519023372,5.272754258580998,14.978542165175678,0.09538195321098719,16.829707646630624,0.22570008627089616,11.835936727591715,0.1396842080739673,524.9147378057874,7.719123124555518,266.214685731694,5.4168524098655375,246.65734857152023,7.254734992526571,,,240.16742681198278,4.264818555156036,492.6265000263681,9.487226578995772,232.18355108478383,4.793289532644672,12.067772434027564,0.09508944113934724,8.31040357593096,0.19994780424907935,8.788577706115312,0.152435013015807
Adler,669.8101628112515,3.6740781008270433,20.66477835727934,0.0960987781836278,593.8438029721437,4.708408634577656,306.93,8.265899830024557,213.58563585537217,4.980920524647108,15.483762608873699,0.09250388425350155,17.511983107105934,0.24586105107648812,12.461181805134968,0.15897870471647632,527.2837617800901,6.567131393321971,269.1419533710722,4.851227369839637,249.1874626953513,5.938029567224684,,,239.7258714686126,3.7257741059258036,532.2213980137226,9.563427432833722,238.4507120168324,5.546499853089468,13.036431942545597,0.08596244610483932,8.322530951997418,0.20459065232808124,9.709801607381797,0.1437164056430543
Adria,670.6850794137479,3.5504564422800473,20.632385747478203,0.09437663640895338,615.5956045696905,4.50501435489237,337.94,7.196971585326706,237.2950400128592,4.546010679592469,16.071234896456136,0.10209049410014187,18.419144008723833,0.23480627311225236,13.192087226028054,0.1527437039160805,533.2993938522997,7.667709103476544,288.9689433154919,4.5129080347243224,262.3889348733951,6.599719772776887,,,240.10513674468845,4.17819395740323,555.7367675320174,8.27327356475637,245.37869179460407,5.276449093298437,13.386981797159587,0.09564923241221536,9.000271153801162,0.21281957989353575,10.299817972213248,0.17343669117157748
Affen,676.9544743110708,4.102751474886701,20.807270216150414,0.10323233961997,621.6765190673851,3.44914121180342,352.93,7.955193272322175,248.9115398648812,4.724794605776609,16.35581042729695,0.11537655351837434,18.780240998165688,0.25009608316953896,13.578157352698637,0.16896777523847634,531.8537934178464,7.126437119906491,305.19911719324347,4.571401639209436,264.95302378242076,5.6605290183493535,,,244.20135024245164,4.152338436559892,557.0972213114737,8.645692667250875,244.9707321887835,5.190177673111089,13.422065763437566,0.09045929354303238,8.685259534174241,0.2191456477207661,10.265638923935667,0.15930215897591302
Agenk,727.2321364889547,4.002709146828004,21.79934123024128,0.09513743150140269,593.4236863467183,4.2668361503308185,296.96,8.997688592077413,210.4770598346188,5.320966369714091,15.546590882649877,0.08548653485072079,17.14539903482266,0.21281902335604383,12.496237685358217,0.12448855758943629,694.9529076584705,9.307331584849555,575.7472778065171,10.194064177432606,514.8891734106314,11.410684477914685,,,249.6686868300132,4.3278145320744015,485.4331214296984,10.729506869718739,240.27857554874652,4.686392988241435,11.978793040345094,0.0870983689102238,8.14513869873675,0.1937100612797157,8.783616551697097,0.1553277908698382
Agent,708.1920129021911,3.7389317239355777,21.463432262558946,0.10192190219309727,572.791473725034,4.0473757333807105,273.94,7.64044501321749,188.43446219166412,4.409208929328599,14.85101665696999,0.09956218925653075,16.527214680957517,0.2849120733529332,11.637500868937074,0.16249458604790623,684.3498408313795,9.107127161606579,559.0849494577365,10.669717533026304,501.1447791485078,10.814636611793317,,,247.9811205610451,4.140525628871404,489.4402145351498,9.890877867596156,239.52072533260392,4.428643960753281,11.752092822217016,0.09915985247078547,7.8891329563383685,0.25745071889531956,8.182160709779819,0.1763107563885711
Ahnen,692.3905261220293,3.6349874043657366,21.053116280205305,0.10182937082440535,544.9043964857859,4.6668059677374085,234.36,8.551631423301638,157.99841044025624,5.0372813659062405,14.005174491682073,0.08909864907570178,15.325022323306655,0.27146047622577424,10.551652424797963,0.1492803883340443,480.33472431446563,6.515021330129597,168.74453494812317,11.947145270856554,129.32548244707309,5.709065972273552,,,235.85011324165202,3.5279487112006116,445.86249336374755,10.98740714279509,217.97509415413012,5.441241538584157,11.938779774738196,0.10144138623857496,7.461021492090165,0.21822438273742256,8.125694226463343,0.17127348462722336
Aigön,713.1153466353989,3.1818991849439087,21.56869965725286,0.10123623756716793,577.1131349303954,4.260887103755669,279.55,6.964732586395547,192.23082472884988,4.371519308165525,14.934111735569834,0.09214492159054662,16.74694870818214,0.24435418047701185,11.75864810656891,0.14909894979075491,493.16737625658175,7.264056780576384,208.67102320886934,9.339794145263731,162.93437064592433,4.425659871782134,,,242.46780200540158,3.4160938808793473,486.33698186153254,8.708166314215982,232.9176107546425,5.310608621951369,12.655979772430364,0.1040590239506776,8.86283623157801,0.195112375135463,9.15759322092747,0.18161507643240615
Akkus,682.7519096420688,3.8826995464395586,20.711665218626198,0.09301977476808634,601.389192489252,4.344523747868319,320.35,7.951572171589716,223.22065468178343,4.8037479319399345,15.671597152163518,0.09497707873899397,17.86290524237263,0.23794180384404456,12.701762295186393,0.14463385685552507,495.710213387918,6.558352965289696,230.4004657912581,6.156624599899051,181.465168089767,4.368752360954438,,,243.86138669633604,4.49637066396412,519.30718518019,9.378882668905533,239.55636251649057,5.129552494055589,11.609833305990266,0.08469185664231763,8.193644888378468,0.19612642429391727,8.917576093976153,0.13019611073452475
Aktie,670.2308411845313,4.344141829523723,20.631300055608452,0.0953053604214954,630.3607251635564,3.9839481451168286,359.56,8.958035498924973,253.8868664348526,5.789841212481891,16.47914428710885,0.10650915901356243,18.972255288045975,0.2520501640776885,13.684218412827954,0.15374312872230636,494.98318732372593,6.884277110916378,222.49783722887162,6.2970176162847915,174.15176738957135,3.919649613301759,,,241.5487476622421,4.091894222916209,565.4352473766834,9.82268958716882,246.26722184717786,4.6703878030155215,13.5219447012345,0.09393519859973089,9.136362614340522,0.22642798316174442,10.656114914419271,0.13863261804651777
Alahn,690.813348516575,4.178788491106156,21.094614423130423,0.09248899827885362,582.2232368804187,4.378038431683403,301.06,7.550920473690608,205.35991767784787,4.5207270621532505,15.0955548087951,0.09378691340707253,17.319153131656538,0.23861014695824612,12.051362178169029,0.134264862288165,478.98616364444155,7.451140894373885,164.75250314041378,7.251895722240636,125.16743236168081,3.8669797703637303,,,236.28068740806052,4.051943706407006,510.84138263343675,9.529726819496714,234.98587282308833,5.0298302188345865,12.684350362031983,0.0953758357557512,8.38476124868605,0.21269993110289398,9.276908370586073,0.1681982366014829
Alarm,679.6358712942476,4.125339634966002,20.745730186730935,0.0934205209597808,651.4307284251506,5.014373190866284,406.06,8.957477323443246,282.3058246478527,5.901803503148163,16.901617324899146,0.09391432085295488,20.108142882347483,0.2293247110501869,14.248815575845057,0.14230559624986,505.99438216936244,7.653412460477166,259.4888993252714,12.4959245217182,182.92524689887333,6.25712445011285,,,237.82661672718808,3.800123359380854,608.3540856511875,8.84851281885076,258.51875201346115,5.36446028891549,14.550667880213195,0.10554252057473575,9.650502202868937,0.20107392593006235,11.469058043829074,0.1838236678807597
