,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,901.024372674084,7.96670263510077,22.89746257982558,0.19193272371300218,814.1193869168994,8.127080779271619,387.56,12.674636089450457,273.9343593388939,8.567888081923636,18.639883955245953,0.1564228717701683,19.657628124542512,0.32811052588283157,14.281101522387013,0.2397672496681247,265.90160947425176,3.0500409668645707,189.70740318282674,9.460283394698255,128.5768256364893,4.7479448476200945,,,239.87769894056964,3.918963337620077,325.0322093898538,7.014393810394004,179.67401683525088,4.526606264013359,12.335976888412015,0.17899044093538788,7.939733333874419,0.27321268296242807,9.412882533407094,0.26452530816272174
Abend,951.7176077762362,7.607026084503374,24.091229990657848,0.16201158722335546,780.0270061769717,8.166507474260069,330.16,11.487140636381188,230.7448752643029,7.778371313829569,17.77646629626765,0.1766297787469615,18.174190198271106,0.31434159296298264,13.075251478142475,0.2320476058472814,269.9743076056658,3.340097691830171,192.72211550128173,8.001138154263463,136.16526297663108,4.714911599203603,,,241.13511203855833,4.211878818822111,300.0068214886341,7.5025313037491985,172.5139611960334,4.249788622008487,11.304727966698472,0.17430770255994804,7.233428463120342,0.24818761903970282,8.2059012539074,0.23561752110910408
Aboln,922.544741595072,7.4788798845085935,23.41243429978376,0.18046268859520925,818.4757569524464,9.750415123781753,385.65,11.520742163593457,277.2380472834321,7.863456644412409,18.851533413930298,0.19360953475628861,19.606196295516767,0.32721066862894793,14.552679269332057,0.26212979813613596,269.67035227556227,3.1662042627529123,193.19224379784507,9.683753386019522,135.10560198867827,4.64555024831771,,,240.71815423722637,4.3166882284936365,322.5571377779513,7.359921641873302,176.98605314882528,4.172238392197527,12.811198460794873,0.2029000434654023,7.903636249835436,0.28499338698949106,10.062403223802463,0.28793553683268985
Abtäs,929.7652188316612,7.983030602234592,23.541077127603668,0.2059441779199636,800.6617938709259,8.455730667702616,365.33,14.164783796443912,256.78059460337545,9.298850398147914,18.33928114726972,0.19173353591456604,19.106127779034487,0.32539405527253007,13.849700959967517,0.251220551065621,267.2709539847607,3.07534064483267,189.1822691727783,8.623047966616394,129.61700977095754,4.412753380385008,,,242.91371369669568,4.741200697720564,318.81599526984536,7.171578168691068,180.03910590292332,4.315336168077668,11.783212725268042,0.16433874220712716,7.116228033742898,0.2542615184059194,8.78642718552234,0.24733786542369798
Acker,885.8020133843866,7.040947995510686,22.46849904459774,0.17609900997404393,784.6187579238375,7.986443486534927,342.49,13.835096674761619,237.53302989585436,9.038219554735871,17.855427682668008,0.17094695163721632,18.543755188700796,0.33036873570647796,13.216903119090576,0.24135091440599168,261.3456146910664,3.057909201127571,178.79998230629877,8.600881105746252,117.87631419575955,4.358615386739804,,,241.01440414072619,4.2573881787918015,307.1282548259701,7.5908467535802275,172.51817528249035,4.616135125068042,10.82534361467001,0.16775385250015887,7.292638296680888,0.271522997871489,8.058375511776367,0.26323093353347415
Adern,907.9872319280715,7.744206300842597,23.055725286151002,0.19090980344720643,795.1341034645893,7.926816900149953,355.02,13.270252446732126,250.63172025827294,8.599807431980373,18.156420813770815,0.1746394271283321,18.75405369295032,0.3680626060014421,13.62594323465736,0.24324659170835447,270.15328647972046,3.542262042172519,191.40888744742418,9.519283410931772,136.558651364223,4.99028864064979,,,241.15379109981916,4.012780269673468,308.66144563735793,7.007475654443919,174.79962373979927,3.8522998089024587,11.358460234690508,0.1814603153008768,7.573396072954644,0.24772538661943463,8.51323875223455,0.23345082275743428
Adler,904.2354909570836,7.8530082737199605,23.05553567151259,0.17939453031029215,807.8950060924222,7.679933547862659,373.7,11.090987332063815,265.46541971322006,7.299931813268718,18.513366723957187,0.15686464703948041,19.3242654558887,0.2876883562933285,14.126628505363838,0.19842016800302906,271.6207128795528,3.8169438730564775,193.09423112101823,10.075285337606923,140.3891516375006,5.344140154096331,,,240.37003653962677,4.263242021335674,319.3917797878194,6.348493481625661,177.20612120884655,4.03675073283862,12.536235147310942,0.18534114831078025,7.631737342405587,0.2814995886942728,9.54497914036083,0.2583509671627194
Adria,904.6686692064873,8.073607443526042,22.992802561784227,0.1984735349625863,828.6046811928629,9.138350378951282,403.93,11.891387639800495,290.2384563420756,8.411387811052812,19.049909485432213,0.19077013999364914,20.1003566260119,0.3250592363548242,14.844585740268133,0.25004632990405384,275.7769609890002,3.606881800656344,201.44673632731372,8.537243881305304,147.7272487781415,5.168559633589149,,,241.24709217440306,4.131672034265879,331.3814552025531,7.234084132115231,182.48792299228987,4.189153665892202,12.824149781656024,0.1911236045630466,8.02841180299839,0.2801036479319932,10.048316713023112,0.2625514785172538
Affen,911.2155817400993,8.534346961076722,23.191957884890442,0.19636229561947832,834.7871630693186,8.795728850112774,414.54,13.385380084256106,299.7927383730712,9.159579164335689,19.27937869535821,0.16641242274152918,20.344836285260694,0.2960346701649326,15.158876910796927,0.2182565071395161,280.1458938278349,3.3371427250122974,208.68763745932154,8.403855667044759,155.91032019585396,4.662813783821001,,,243.15489490550152,4.57165834548051,336.4578934121888,6.949623755378486,184.2159706528169,3.974017348942643,12.734787887747528,0.1730662825204145,7.553175808970272,0.2614084431268629,9.826343571707962,0.26541184086681874
Agenk,956.8122390713311,8.311971054980752,24.09317953732089,0.17336149337308937,807.5857086340686,7.9926692525593435,369.64,13.461441230418085,266.0806609070884,8.603159078845128,18.680451480796343,0.17836591657597384,19.228354985171947,0.28348644449655347,14.3332202645256,0.2515915861232203,295.06380962483,4.136243563494797,232.0327835420391,7.5795348006234775,182.7408591895759,5.390640334416028,,,247.38712236658193,3.709341069748021,310.52831420301334,8.15300180972273,184.12003677431042,4.246333987781962,11.115962163626996,0.1816471122952084,7.32098057686114,0.27519465067129334,8.377276107608623,0.24386258412128656
Agent,936.7339607357411,8.599306809908201,23.73044690521981,0.18396197408793052,789.5739935433871,8.730020082468702,347.74,11.059493659295619,245.10640795388804,7.442485886272745,18.057323957330187,0.19496709412966176,18.608468627367024,0.36728101543256103,13.504014666951436,0.26055588815846736,287.033266153043,4.050658963910688,218.01393880072467,8.159717285795184,168.53945636208186,5.23035094250305,,,246.7180848524878,4.417544731843176,307.08818200613956,7.117112465525286,180.51948136396135,3.9780466970039057,11.236079897210717,0.17432280697392788,7.218585524583517,0.2716194881402762,8.133810688092392,0.2521009016967673
Ahnen,922.1571491555432,7.96572119494533,23.416663241965367,0.16793580320180002,766.0950723792147,8.268062516675016,311.85,11.805401306181844,215.39557728925746,7.724233560878012,17.378022278931002,0.18886064295269062,17.619637685108785,0.3582845872966884,12.525165616502937,0.2570152697229953,261.82785896919194,3.723976976378105,178.83413401297406,10.57498151501685,118.70775594135,5.494180520671559,,,237.27961399364852,4.335640325640134,295.0812741706171,7.0127855819992435,165.77481775279452,4.083341952667213,11.444086450028669,0.17985153694506703,6.709392685130018,0.2492871880888444,8.091483112222582,0.26144672657936935
Aigön,942.4509037301972,7.665598691262643,23.831239272289345,0.17543394918971061,791.3611928358536,7.765630792689066,350.64,12.523194480642708,246.45102656535877,8.445207178994718,18.117003653915496,0.16267557289131793,18.775013376871964,0.37265627363400317,13.575491949432285,0.23426160357147185,268.31758645728894,3.349640437412297,190.54526507671213,9.14822783046956,132.4950030976784,4.90072350400573,,,240.69409663589107,4.099978406599863,304.5833108337276,8.547811647668121,174.7830843725192,4.530577631357582,12.027813746466476,0.16907848010346269,7.978921928401442,0.2645972460671638,8.894714861975439,0.23709717848223474
Akkus,914.2399953927613,7.7744661170538,23.11751905425677,0.21703660343079836,813.4596209526935,8.541553921961563,383.04,11.613716028903067,273.56991982717733,7.831629978299181,18.72788189805117,0.17741090660284795,19.558862016260054,0.33304148225058805,14.403591630860294,0.26653388376249565,269.69073967050014,3.1651077465105524,195.24320899092166,9.845979289282745,136.3536777903144,4.97678023623839,,,244.81964022240092,4.081777284274786,326.41761307576814,6.380731487772192,181.28162078841694,4.275874222345749,10.680573438115347,0.1832015274702937,7.271682711369728,0.23894451417669707,8.387514411440621,0.23546072941074658
Aktie,904.2561165093325,8.493625144192873,22.98296522961696,0.17948808133425817,841.2433413459382,8.811822974223137,423.2,12.17620630574236,305.77607530795837,7.939551378575529,19.40047420549808,0.18983049059390966,20.514399641212503,0.29901063629978186,15.292500447944105,0.2464721523115922,270.43399665422913,3.815344340809046,197.2845628710161,9.301860660467533,137.6758292244615,4.917873796388666,,,242.19167526260466,3.920508541633718,338.17606232164064,7.158053296826209,183.62035628498958,4.588551746494198,12.969194831972352,0.16389495703168022,8.00321979014125,0.29426296612256614,10.33729599771952,0.24225299326986482
Alahn,921.6978055808687,8.22568472001271,23.444581674160112,0.19310354992384784,796.020937771237,8.00686558971523,363.23,12.715231024248046,254.9909275697147,8.222336344427859,18.256416107627643,0.17453938964714635,19.092139863790983,0.3165366036387683,13.794255989886995,0.2134917847454311,262.3622003043658,3.8132205752726986,180.9726460833548,9.263068312629066,120.46076289354727,5.193584690398118,,,238.65332419557754,4.117588166810657,312.48288182865247,6.6102948281889,173.76855704906666,3.8297862078918006,12.05047438736618,0.18861028425292084,7.616065337164137,0.2750465286351049,9.11907044184649,0.2575238551815078
