,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,901.663566649166,8.36386119443894,22.883469035387243,0.18971345846220797,810.0693286628494,9.027810875761336,379.97,12.406010640008335,262.5378264832715,8.531982630554694,18.387835084814675,0.19154745114096186,19.504899738556798,0.3726743737459001,13.864001236761776,0.26610130370534774,242.38320078856003,3.4219720371260554,165.42572736890858,10.184332026285729,107.26510113340082,5.57321728915343,,,63.99896045952816,0.8036359136669321,86.20267465004578,1.8288660823129737,48.152439573472364,0.9958603695421044,13.31731890347401,0.17069311176353041,9.44358891377852,0.3007988345120159,9.924055407622609,0.27580277076253895
Abend,950.9982149958773,7.755450503393201,24.145031907626038,0.18304158735586668,778.2295335470777,9.155087829939673,330.73,13.610183687224797,226.11806547609592,9.183381363897347,17.615678219730192,0.17818392629994645,18.162841532368073,0.3481199076256827,12.785567614023329,0.24940254135314588,243.06859724481973,3.460823064457405,162.34877994346954,9.956939752160169,107.28263415153783,5.164096075863139,,,64.46176151148283,0.8478195824594068,79.0363097625692,2.071815321089065,46.33234040952367,1.0470268611735938,12.035819068645026,0.17712817716913987,8.821748940241754,0.29414501543523686,8.547217052651021,0.24768642904381885
Aboln,921.5787285784321,7.31515944689817,23.43511674711863,0.17417372445958276,804.1877730440614,8.112469202444595,369.15,12.515889900442557,256.9809875719746,8.572566363997202,18.322565279305444,0.1786335997977642,19.311685508958757,0.35889107410527116,13.789033811447503,0.2649100978934442,242.6781053705767,3.206221276583206,164.64112958231794,10.009368875855717,107.55360463759412,5.056213238934565,,,64.24218412013327,0.8646344412014004,84.23251244164496,1.5906080289850464,47.415032690235165,1.007662023122292,13.198228921192083,0.1782193078652201,9.247712913628721,0.3080996800120632,9.880812535424031,0.24393775783750934
Abtäs,929.4876697899599,7.836933300531336,23.55074308318335,0.19747016696777234,793.2444453924003,7.652643380884811,353.97,13.062507416265838,244.75218944164604,8.857666625112744,18.02672658768607,0.17596810604710533,18.817421281238325,0.3530670253634062,13.369384441543817,0.2629616287649871,243.10244439229794,3.1006706626176554,166.95642540963232,9.198250568878091,109.81200287004472,4.631351142174622,,,64.79375002902351,0.9066897177687843,82.84259657276287,1.8043288199255025,47.826369894649844,1.088286215608131,12.563632343458638,0.183283898847607,8.932735172050362,0.24838064235572602,9.1473702656144,0.2714577184284499
Acker,885.922987512632,6.677210537651351,22.428152450719335,0.18875285943194062,794.3701326013859,8.74824859756955,361.18,12.123019425869119,247.3776731067732,8.560197398104169,17.986785990722268,0.1955640978600578,19.022272294823544,0.36490648334674813,13.346894333696948,0.2721143688168207,240.4456197759526,3.0455439921059346,161.23540407933157,9.193491612260111,102.95564095718544,4.955323723762216,,,64.37878719176139,0.7490952735549595,83.16447830080745,1.789444452142603,47.18537316506929,0.975214446003597,12.558210801165224,0.17719033990474334,9.083217182222441,0.29516806107955984,9.294142421724981,0.2714068962369681
Adern,905.0169205907165,7.4462099131342825,23.022125165552612,0.16379641527967687,784.7668664434443,8.3492461506673,344.76,13.226579300786732,236.26222982570513,8.762126376944613,17.8157034526307,0.16550814322417262,18.542776570748693,0.30892887092903015,13.07256513818327,0.23436417925799902,243.01914700566172,2.985019097638413,163.95652553421988,8.423989907136297,109.30727345406173,4.535705484746369,,,64.44932546469995,0.8034385010611729,81.82049631756625,1.709151261722096,46.90198144543131,0.9722286679315532,12.333793481578374,0.17946299366983792,8.981684232525659,0.2801072402573707,8.956169704444228,0.2697189553151004
Adler,903.8049618381765,8.437929168049285,23.03832616925128,0.18907608360477846,814.3389013566982,8.105601850942678,384.78,13.278990925518398,269.7527840732607,8.66062841522469,18.52539078973936,0.1737655881000522,19.581954192202478,0.31156061125202644,14.069603557919914,0.24126723320468443,245.43247476932237,3.1689300756662404,168.93496726325628,8.475397863190503,114.56153867521769,4.313563308281459,,,64.44035178191385,0.7844922778441875,85.71109587245437,1.7400658949307415,48.38249870080408,1.0492464807042916,13.48093882461108,0.20361717165007562,9.491035776029243,0.3112127182467049,10.210027991995652,0.2967881719997901
Adria,905.681567123742,7.553928354313603,23.033244364149578,0.16451317109020178,807.1193394176294,7.697683655491042,378.96,13.796318349472804,263.8620958285401,9.358913980491812,18.385051760565183,0.185350581064477,19.461421445976903,0.33626671270025354,13.881409805880237,0.26719879725055884,245.22879715589912,3.0169044691911973,167.72061377982175,8.841108915907409,112.73421111911115,4.763652212490814,,,64.31408643090708,0.9438188430242338,85.53191618113802,1.5829693263730888,48.14345176250445,0.9594810487778787,13.206748413577131,0.1659597780892085,9.39269108087211,0.2965928188782354,9.898393318086086,0.2519224976602119
Affen,911.0612022657724,6.708554307876256,23.190999738982907,0.19241613068464794,847.0397593756653,9.575215988509383,435.12,13.910629029630543,311.1462517409186,9.330870124481232,19.481878996413478,0.18911041882645124,20.83531315040355,0.31579411745802916,15.360656564325511,0.24213277536205513,255.20150423939344,3.7449008788009794,185.45299721212763,8.6682775049075,134.32230945977045,4.361587473308815,,,65.59301191280305,0.8556818184636591,90.30087418878352,1.7002885197183273,50.70956255677392,0.8901045173683105,13.971060602115392,0.1852872656099087,9.952703399723113,0.26637990439778275,10.883560928527514,0.2740574228449196
Agenk,954.0468755671395,7.377133280865112,24.074803444416396,0.1994038092012574,807.7785392826121,8.822372136573224,371.47,12.670007892657367,261.6625737052769,8.508744731138782,18.488934034488036,0.17544240550086468,19.339183869613656,0.3097858248450657,14.006664784590326,0.2481607641812106,264.526415082054,3.5260287034552453,199.95022920590952,7.815937845884361,151.34263279026888,5.269532457433609,,,65.69143940645414,0.7810672316435555,83.11488198535426,1.76844604388899,48.947776017482084,0.8840223531154832,12.46354756864932,0.1716851720347716,9.091429392526667,0.24167963283167523,9.27775764299554,0.23700684677788794
Agent,938.1931062223442,6.986447824170883,23.75413949408942,0.17736728286647319,803.5303201440001,9.053932926989747,365.73,14.061902431747988,255.75342768797262,9.37612964512902,18.29616947314522,0.19652415501746395,19.050513740475854,0.34340387875029305,13.734865404359915,0.2537147220477868,263.3922034152045,3.148349106135141,196.58090751198156,7.586285199244821,148.94031127187318,4.927893332688295,,,65.34168764488832,0.7632276212411341,83.41180108846946,1.6696069696127451,48.705474967572115,0.9998773039660679,12.570206793760164,0.1695192984053283,9.073721864111771,0.27832071772357153,9.192855406238081,0.2372898377665371
Ahnen,922.0849433240808,7.713744644442052,23.39837087529408,0.19037475964447967,769.8011356243342,8.085486659443227,319.4,11.804236527620073,216.81046542887626,8.03393291187683,17.35955414544921,0.18142456020432537,17.85110351163547,0.3579153766965517,12.44852596083826,0.24618471613253737,239.99738213721176,3.09656582107841,158.8690692193832,8.790455976578198,100.74729599764392,5.121032942673026,,,63.55187449858963,0.8546497113750681,78.39905618756192,1.631932611017094,44.92872160822007,0.9561518165744708,12.148685406945903,0.18935066962207506,8.437309982386779,0.29533960955691835,8.568893090061094,0.2650136477689207
Aigön,941.1393103118902,7.210031512237991,23.857233749140846,0.19616178810274504,814.0053286506852,7.442780419263435,382.05,12.44618415418959,269.23585068904055,7.8569956003847325,18.56170236932236,0.1726771513159966,19.475858344166173,0.3885122365806425,14.12530941423994,0.2517292717216002,252.36365697720743,3.3072406811104877,181.55435239052488,8.248045616616606,127.83727717219132,4.57109694560665,,,64.42600726637332,0.8197663508413245,83.67800233461962,1.7933501080539316,48.22130024330159,1.0249451504765787,13.499134307949843,0.15974190820809636,9.906888114892137,0.26654155784932215,10.175296081665868,0.23866899191260216
