,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,903.1191922724036,8.895607447446753,22.91615465310755,0.18281582217962808,804.5480908615302,8.532258613029573,377.08,13.764940973356914,261.9663322717833,9.349397531126334,18.354739631516154,0.19288198465469406,19.420978128988025,0.3544129136598114,13.869666756768801,0.2833468844269932,249.22578851918314,3.1890058895693967,172.0774895300376,9.369906800869062,113.91836477590927,4.955368128638934,,,57.66005326816727,1.4952777346702284,77.26063968667168,2.090980069323398,43.25321022043143,1.2137932787946328,12.994578295468727,0.166264964244456,9.015188898590145,0.2920651253322303,9.746517780151642,0.23415294180684476
Abend,950.8731363078623,7.6436101213027925,24.032298393627197,0.19441316585783383,780.4739351414911,7.609093978903674,334.8,12.476377679438853,231.65491959550945,8.635452948058557,17.719039733836766,0.19913693630981222,18.25936002009365,0.36847205675011485,12.992634469297691,0.28198735261716273,251.48680181108008,3.1169718617309963,173.94545304758987,8.752183651538253,119.37496547405883,4.645939589105816,,,57.86568311245903,1.2831126893028435,72.43536058738634,1.9885744414295496,42.75590189269934,1.17084075220859,11.975834752739951,0.17064384152142523,8.608438038394373,0.29018829241260025,8.690494414380906,0.2508485105425012
Aboln,923.8652999697504,8.096552602407135,23.432925884730903,0.2053478473919479,805.594141647549,8.203255881612758,372.92,11.932040898354312,262.24965696247256,8.626246167129079,18.42195613338499,0.18421987789768332,19.349207535601764,0.31331732191475836,13.981316372935929,0.24289883476713836,249.7752836237557,3.3346402047002055,173.02884707410172,9.181497752932168,116.12155027775067,4.893605166508321,,,57.74985363309183,1.3515572425702325,76.91542899696574,2.1110541908754166,43.1679536016027,1.2252648323683835,13.04886841494758,0.20898092011836,8.83922338991125,0.3019216407716787,9.91983695761094,0.31530806324967225
Abtäs,930.244017028646,7.35535141523892,23.53969982054082,0.19082238044624095,790.5356899826432,7.245403831343712,349.5,12.062752588028985,242.688402115621,8.107283151676322,18.051697476182405,0.18890415651205925,18.815428051218788,0.3600933898437567,13.448260871282919,0.262912391702505,250.1818557128414,3.413827491797929,174.0601100210671,9.727773683859144,117.03632488484293,5.168493680245006,,,58.65699985448716,1.4917059153474905,75.57787419429043,1.927969061556665,43.512819430416215,1.1730136420067756,12.24465906291962,0.18370227279503393,8.344550280678556,0.25731289958005116,8.967491217776944,0.24597626850182888
Acker,886.1744547397662,8.432695208419407,22.475143890305016,0.18136194465983219,785.9252607053054,6.990206258597229,347.27,12.318973171494449,239.15127673187214,7.909476819066625,17.844039769358325,0.16881118959764763,18.69837549005983,0.37517200419239194,13.18523077151985,0.25416478394771325,245.76315753164866,3.666546354677032,165.9878201763695,10.273466784988459,107.30540322452474,5.46125124258988,,,58.2061569272417,1.5173721897454004,74.78831664919798,1.6627138814541835,42.35896543892064,1.1429913110745282,12.055547333961199,0.1844784876296871,8.61997925165329,0.2705685579080704,8.975256134288589,0.282213488072294
Adern,907.666355830927,7.603139387302329,23.047068095805763,0.1916185490507285,786.2587998130693,8.402221291236627,347.03,14.001039247141621,240.51212953840437,8.646416914785181,17.887021232760272,0.17328585092891383,18.598441303784792,0.31301928003227436,13.234987980305238,0.23910704457849882,250.5762853472065,3.2265176897477543,169.87783897601423,8.127959071518259,117.64307507152932,4.446579454717871,,,57.54671470206892,1.38345835244615,74.1354807864214,2.072667103522258,42.69338657354466,1.2136298144159987,12.171061279231854,0.18879226535196264,8.657762024601123,0.3305624972471248,8.93943852377112,0.2719499961359657
Adler,903.6521630164483,8.43322783035166,23.04633128934123,0.15738413512022184,805.257800168472,8.121880101007083,374.18,10.989431286467921,262.7333686601153,7.041663249517335,18.387852849022746,0.18179750045717472,19.30964295475198,0.35733592038461315,13.93505715401762,0.24702949294867632,252.16640874617232,3.0000692361296677,173.8311142155131,9.21306734381469,121.95278635544815,4.792690189659408,,,57.44930095912305,1.0848486051253454,77.04761234211539,2.0263111697953686,43.3358087705696,1.2253649373164777,13.159086376719237,0.15764198901514914,8.844762388384524,0.2865868833665032,9.937309705400166,0.2568982623271601
Adria,902.9512289404846,7.7340474363426885,23.00601074860675,0.18991544073184208,808.3343178382657,8.406076132903031,380.51,13.38991784888914,266.3358758346748,8.943787153716343,18.487447630308438,0.18405675514428727,19.53474044160285,0.3923211429504883,14.063365077542194,0.27350612760450305,253.0430724956827,3.3002362017065723,176.94189336695644,8.154768132299699,123.86055885636095,4.562645221678492,,,57.45774461663262,1.4317545664906433,78.09329324557312,1.962539824256108,43.97711846352548,1.2492027118121796,13.167993947215923,0.18562706614268681,8.988395103472813,0.3167440391932884,9.972761571659762,0.2864671343517945
Affen,911.1782061974769,6.725067999389655,23.194449570822943,0.17617568312389126,839.0854335264105,7.630268936276655,424.41,12.111230325611018,304.5818049886971,8.721799623525715,19.323465529916074,0.191353944981603,20.576057218803868,0.3096277256791532,15.195847996123378,0.22136164297663127,260.35262060894934,3.1215159084472983,190.8010318122325,7.8070586543044325,138.4252353826886,4.357474140705886,,,58.88171456788271,1.4551899513505746,82.54349802736216,2.0750406825456675,45.97277609856175,1.1504932239147276,13.870845611060343,0.18950579252600996,9.451067214796955,0.3212786781961763,10.799238133020578,0.2632687933338169
Agenk,955.6379462676939,8.661597813173024,24.084281928818392,0.17535743683996183,807.3603685692385,6.619517183872814,372.86,13.1749914610978,265.190944389098,8.28272179115676,18.57777902785899,0.1668073721746716,19.40154677030526,0.3316367284506333,14.218474746031646,0.23167553811051012,273.36054576431775,3.357787762135779,210.58086275472462,7.375244476104272,162.14862320130342,5.056027203897865,,,61.110607781272904,1.4602877532060687,78.17983603215794,2.1546273507570666,47.06511283985855,1.321702380037991,12.226763328037926,0.16203922626622644,8.794926504505849,0.312361483931158,9.194576328521265,0.2484762119780534
