,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,311.99818342476715,0.0,16.193837681981908,0.0,9.691481036884214,0.0
Abend,381.32864284974494,0.0,18.02265671905337,0.0,9.562716202124914,0.0
Aboln,351.765141734725,0.0,17.299214863090402,0.0,10.601480177660594,0.0
Abtäs,331.6844699286284,0.0,16.660234657474234,0.0,9.033313652192403,0.0
Acker,315.12618296780045,0.0,16.145255038917437,0.0,8.189481321060423,0.0
Adern,341.92131571345135,0.0,17.00791873095028,0.0,8.75079356052523,0.0
Adler,322.2684281368504,0.0,16.586818951857133,0.0,9.819311612093978,0.0
Adria,316.53242409061545,0.0,16.33952161775475,0.0,9.783966583687864,0.0
Affen,326.0251073558977,0.0,16.578733892610458,0.0,11.055622441419583,0.0
Agenk,397.1091839763046,0.0,18.226066150540465,0.0,10.229557327139231,0.0
Agent,355.5054436216169,0.0,17.319417636359724,0.0,10.37743765739786,0.0
Ahnen,366.74825156874397,0.0,17.586356595431546,0.0,8.378280374045973,0.0
Aigön,375.40153411160804,0.0,17.74860145260978,0.0,11.252099393763034,0.0
Akkus,368.5081221246523,0.0,17.486159928606718,0.0,8.254284943849383,0.0
Aktie,311.69268270547593,0.0,16.218736717943138,0.0,9.135099752078357,0.0
Alahn,348.5075186188395,0.0,17.154512676632972,0.0,10.3913916648917,0.0
Alarm,347.8825145232866,0.0,17.095374279396893,0.0,11.747990774394228,0.0
Alben,345.80886612700243,0.0,17.194815605782747,0.0,10.071077979343954,0.0
Algen,363.9576141439169,0.0,17.572974695145472,0.0,11.525817015887101,0.0
Alibi,303.7255448139234,0.0,16.206758988284104,0.0,11.572859675649438,0.0
Allas,295.3262072848533,0.0,15.82421252813989,0.0,11.062092973759828,0.0
Alpen,348.5860436341063,0.0,17.235496601512583,0.0,10.922602951889216,0.0
Altar,279.67467706987094,0.0,15.370703795740582,0.0,10.2718432870506,0.0
Alten,305.0706852324389,0.0,16.151643303851284,0.0,9.732983652167782,0.0
Alter,278.45254122019276,0.0,15.402916708181749,0.0,9.765168170451037,0.0
