,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,3489.148097831092,40.124015296170995,60.29704846658089,0.6128757730308515,3463.211260638326,36.41094269260229,2859.93,36.46594438650945,2879.1714626319676,43.59212685592992,59.99539006497421,0.5617875303179901,53.52446039414246,0.36350999418927415,58.383481031082766,0.5942019674878138,93.58213168577763,0.9391240921591942,84.04691021481675,0.5917193605021654,91.02492805699566,0.9925316746235291,,,383.2634285589785,5.035383415030754,340.5981797496562,3.7418763346096773,373.44198088212767,4.99398248771501,18.883352068552018,0.5347583719442897,15.794349638081606,0.28233134353775174,18.266851950152518,0.522134081227292
Abend,3513.5611057876213,32.13609292490426,60.93065161588334,0.5796665196228136,3461.429556552392,36.27412933253776,2859.6,34.111581610942636,2876.2952074620466,42.52338917204494,59.86714049166439,0.5334982427402724,53.528886983058754,0.3290263742081432,58.2527607859094,0.5673372167034113,93.7031011979646,0.9535614527372392,84.08554975442865,0.6165963245272862,91.14279422156758,1.0047017736234702,,,383.1992989954874,5.668226367543879,339.073274197153,4.1602931120354105,373.12675078279506,5.722778078862099,18.418497141860612,0.48468966525893403,15.833942878230735,0.2954612441697439,17.838104779097854,0.48770256887682284
Aboln,3494.6641160602053,36.20654505562514,60.61327928304198,0.5989377259622592,3476.852799945313,35.26466380082014,2874.01,32.32661287546222,2896.031815947233,41.296579028015216,60.0740629842553,0.6061834955043891,53.593101874963594,0.26349842461307155,58.466454710077294,0.6339298690016003,93.67166190162743,0.9015608060502336,84.02535597371102,0.5417356858639157,91.10346962684065,0.9415035028323686,,,384.46230745023144,5.772485031981945,339.79327994435863,3.7702968421528156,374.50214093398495,5.767634365996501,19.206225821410246,0.5740297040689314,15.867018261237341,0.36004071276764193,18.587497962957297,0.5680333183906963
Abtäs,3491.9537141641213,32.69168168094347,60.4584863576922,0.5151052330932364,3465.596002161944,36.00689831940176,2867.19,34.99505536500835,2883.354999806055,43.86531040220997,59.843851769656155,0.5907549642875958,53.5266331775533,0.3457465482826362,58.23042200912612,0.6211039024363655,93.56064284593951,0.9593873133412345,84.03969860619847,0.5480991813335503,90.99681492419808,1.0095265300486145,,,383.9504213194007,5.452260320833244,339.3224489619658,3.3433145167103073,373.6445630267618,5.2651692104121,18.677603627912735,0.6218728055047492,15.826572237736368,0.3415374813650891,18.058380694566395,0.6081202073021326
Acker,3483.3832895067103,36.60222173721562,60.294907541851096,0.5458984050810772,3454.6102097385283,31.7235465007167,2857.41,33.26412331626973,2871.333920676973,37.17288625996177,59.58234222585803,0.5749731628233278,53.43275639102992,0.3170874593080796,57.95714737904481,0.609405541663412,93.08857537202931,0.9070150968223851,83.89633312710073,0.5890574216346087,90.49037586762525,0.9560920467510339,,,383.84707692201096,6.304830872410981,339.2700384555335,3.425690523592422,373.76830656261666,6.143058096706266,18.332340953993686,0.5368151348236555,15.825873032530335,0.28677146864573805,17.74969821634393,0.5290722613221888
Adern,3496.9412368394565,31.397944500088872,60.571799491477556,0.5834994341817743,3466.0542163870477,37.004792603062796,2866.74,35.10601657835876,2882.580959964426,42.12999530147715,59.976790903868576,0.647506456213532,53.5190914144006,0.3418394023979837,58.3674542955693,0.6744596421785073,93.4017424808889,0.8840305511149122,83.96714555769911,0.5710940947708012,90.82599922421947,0.9369982803560722,,,382.51541455176636,5.682324875732377,339.959635516774,3.912417329249899,372.67916575377063,5.718262529922347,18.683648302282673,0.5185231551053436,15.832713059071507,0.30550112202108676,18.066786290605528,0.501789830629892
Adler,3485.8551408578264,32.86971367025854,60.41950212181854,0.6706636417378237,3463.2170800546232,39.82067470553216,2861.59,39.29302609878755,2879.264579912348,46.96726027459889,59.95035745743989,0.6198817252384037,53.533170820189,0.29936923099280544,58.33661539078357,0.6522210509165883,93.5321531511144,0.9964030165431093,83.96586655781421,0.5707047659424932,90.9618381077175,1.048106934789522,,,383.4423889240334,5.538688524222821,340.5835447073077,3.7466582282077456,373.34537150063,5.330742459345039,18.99845178405291,0.5164739636875321,15.824522993962992,0.3517045714054322,18.378772013555608,0.5218443670051992
Adria,3484.91156787776,37.54556850078762,60.34587848446293,0.5873123139751917,3478.7432236254226,37.71892592618514,2872.26,37.31370257693546,2897.5315250958215,44.0051645743515,60.10398790779692,0.5882202904116389,53.57111779299245,0.3396150899574249,58.502694922077225,0.6174587137539213,93.6731543345807,0.9616698636921697,83.9501616006945,0.5911941634256916,91.10709085382751,1.0129249262311808,,,383.87623020972654,6.675114744304344,339.6979279093786,4.035123214402688,374.1514276878723,6.784532116069728,19.09355736974965,0.5600612063463689,15.834248633036214,0.3438287199226945,18.46215217761706,0.542004071128091
Affen,3488.497137490712,38.93718765020589,60.50334556894368,0.6039830901956588,3468.790609754056,37.290586012536586,2867.53,37.4110825825717,2886.2060682357883,44.19720609901217,59.6954832959732,0.5927618410504761,53.463148785384,0.3342483386539923,58.07355127848518,0.6262601110716748,93.5297181763914,0.9570025791940028,83.999493301678,0.6090788941929162,90.9544549299514,1.002878317829897,,,383.24220329922736,6.026378722135121,339.9608164417589,3.938364118979192,373.1593109511611,5.946981360461269,18.920814593165503,0.5350985592777588,15.735918222279063,0.320862072437008,18.28283771635412,0.5092955807355202
Agenk,3515.308339289201,39.13620539054516,60.840298231483004,0.561168001248335,3474.032873193384,34.23468585340326,2866.95,37.72277163730151,2891.9687705717874,40.00641386686375,59.93747207177515,0.5819404744902129,53.5712987551438,0.3405138574691258,58.32591992054201,0.6121054550844149,93.69518178811747,0.9461593881130957,84.09490090259736,0.4977019618659028,91.13006452155759,0.9942987889321683,,,385.66440213388773,6.02243654852268,339.8562870345268,3.314561814269328,375.46250717161405,6.052624131647474,18.321669723689975,0.5380337866194954,15.826980262038044,0.3146079843076893,17.7688311556594,0.529994406752501
Agent,3502.7895039150276,37.730043374436676,60.61464238646733,0.5629643234633132,3458.7967733864225,37.43342570073215,2862.74,34.33092483461522,2876.316496691224,42.868630259392894,59.76503720572034,0.5517037866645571,53.49068310959371,0.32683400836733617,58.14877001276593,0.5853901262263347,93.62271499609702,0.8795461638993268,83.90590392264383,0.4658750342943192,91.05294863758965,0.9133817293890408,,,384.9057069830441,5.386886284187796,340.02640830307496,3.9947679621300978,374.92751229771835,5.553775997152649,18.495508856855118,0.5151596153189888,15.845645098586319,0.3327451659690429,17.893972474049303,0.5132758292114628
Ahnen,3504.0110691973914,32.394759728551115,60.69947812687575,0.6154944420767902,3453.612013644371,36.838999192197875,2852.5,36.726148722674424,2867.076204568217,42.2287727158209,59.686749085882994,0.5976921769488548,53.45754914200397,0.3470442770448063,58.06447431776286,0.6283759873586506,93.27839306432047,0.9611019621539937,83.96712734650846,0.6345795142081687,90.6961831822062,1.0121268535748575,,,384.0388229403977,5.558281515315697,339.30592135843244,3.6194134755561174,373.68598617168,5.399092084607858,18.840753731579444,0.569663576331387,15.787692133788715,0.31049401629344087,18.210422941174613,0.5695870055562937
Aigön,3507.3438956435966,36.179714723477964,60.88039908589497,0.5709463970695102,3467.0474264565037,32.63910893770605,2860.28,32.77806583677567,2883.063354584832,38.35835101545002,59.86625210704908,0.6816160804081829,53.52008954743137,0.3741855621571578,58.25220661574936,0.7219497195950496,93.55620992540072,0.9569651472803801,83.97108727551702,0.579616078304948,90.98721511066307,1.0152331047052277,,,383.26490821429985,5.911687432565714,339.780517156641,4.065922559715953,373.0931715724881,6.1511609174668225,18.866855742801516,0.4617060222945627,15.821239519315018,0.32779946808882027,18.2515413251006,0.4354185187127752
Akkus,3507.5737055512936,37.20093817754625,60.66078571092,0.5710417911791261,3472.062202615246,35.061174106771844,2870.4,36.3483149540663,2890.098115772227,41.78638428585319,60.03212418516556,0.6194133683439804,53.60541408910539,0.3458038975225922,58.42396888147674,0.6521313257905635,93.67945685297997,1.0469229311350363,84.05241012838543,0.615634726355065,91.11298497480381,1.1047273771534112,,,384.1477922922609,5.194005984191588,339.76678468350167,3.903183370737882,374.43996657961253,5.273485045730681,18.320993992305144,0.534540840908478,15.85826724601654,0.3252700928169651,17.72302180969768,0.5159282993707023
Aktie,3484.6974956893037,36.98572900454299,60.259722221842324,0.6256515087478133,3474.5930381545704,35.06738610722293,2869.36,34.672617437972576,2893.7198712339596,41.95480669138769,59.997562602527665,0.6380579941653249,53.551190945112815,0.3315846197690723,58.38946703301355,0.6728418482556738,93.62736016286377,0.8855365208042386,83.96531446679639,0.512247000634474,91.05970581713454,0.9254672491296252,,,384.0888306764149,5.922175291701982,339.3475652234791,4.0247601710937,373.80929526806204,5.92870823883227,19.010873688022745,0.5274302892443559,15.82849416682485,0.31125627783943105,18.385006890040717,0.5007737525261886
Alahn,3502.0376774111505,33.49974548702177,60.59608611973274,0.49810606464290574,3454.0597673579346,32.80953894706178,2860.15,36.34043890764117,2869.6937095576477,39.147744599230194,59.822895010509164,0.5823792699345733,53.51513376698218,0.3747771364473812,58.207445558823395,0.6165610383477115,93.44310328781971,1.044407346160678,84.00385279415651,0.554502510632515,90.86713981980914,1.091668190117176,,,383.9188482552363,5.6900780038003616,339.91248348931083,3.492553329095435,373.9344028957047,5.981908379549217,18.660467559899605,0.5443294600537067,15.801966042421395,0.3308155601304228,18.065910783466393,0.5364229499478325
Alarm,3490.716499607953,33.068896547657104,60.53456335824191,0.5315747339153906,3491.2376265376824,35.96325809472515,2878.42,34.28707628247122,2910.952338365287,41.58392224063852,60.4128536802245,0.5790286285543318,53.66060767463519,0.3304300060261369,58.82014047427547,0.6099014311677874,94.07433541002536,0.9717267720378056,84.2061013136375,0.551628381074489,91.54127226329584,1.02611546972792,,,384.5951895591593,5.251121881968738,340.58415424137655,3.6266958422073636,374.7076685402509,5.332155746270082,19.297200134826074,0.6002760260755848,15.861525899536788,0.2955473972562145,18.677073985215586,0.5929589000878918
