,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,3161.9402656534817,30.021114533585127,57.6139930342755,0.6355005627694151,3121.1774104441683,28.85756818346857,2581.64,32.64093135926118,2593.7280868044095,35.3638657233705,56.73094082201101,0.619582422878783,50.833364675562855,0.34501559564535045,55.18740383454644,0.6556218819342388,83.83720939374753,0.8881833151474976,75.41710661811403,0.473145175000967,81.5115585997503,0.9390330550759056,,,78.46711101319448,1.0412219313668838,67.9252883950594,0.523598989776019,76.34756083831087,1.0893723138415257,26.20981476552571,0.33673024641141613,24.94800749825544,0.2527940695624658,25.479745676209394,0.34452080308631233
Abend,3180.0732178124167,29.840890894939445,58.0789723848914,0.6111808212333751,3135.7231572007645,35.80599215814795,2590.38,37.139676896817505,2610.1169373004927,42.91283495669283,57.04265308419942,0.605485761704453,50.91727043413455,0.334023258479973,55.51377234975388,0.639284138648189,84.19767550722007,0.832584015395183,75.50975440104101,0.5454923805389578,81.88914211721288,0.8831956773273906,,,78.75249527230349,0.9658085677365145,67.93602825391179,0.5489365872991181,76.68574151925094,0.97065152027825,26.629599323544095,0.3567699473124278,25.118325838255434,0.2817631596428788,25.884930646432156,0.3658763620884711
Aboln,3177.3480674079683,33.54006826428291,57.88248589785487,0.4757675255532991,3137.1841020444076,35.30873020885193,2591.98,33.5988035501266,2610.8390867440894,41.165989465217926,56.91884550588546,0.6009934302981091,50.87602180508712,0.33227291237792217,55.37675155505875,0.6321471874764599,83.95694840617051,0.85066376785021,75.4792617719707,0.47211913050666626,81.63775187464472,0.8927786957199461,,,78.58880640617281,0.9132547409603041,67.87125397708517,0.5184536785326996,76.501395274761,0.9561326635870953,26.5576144726418,0.33684178220653394,25.018731168963217,0.2179505838169748,25.807269655228268,0.3287324472963892
Abtäs,3163.4470329176315,33.62447783421317,57.731425549080534,0.5258995672286245,3120.933233687968,32.51234595815824,2578.99,35.43881911125144,2591.8131032272413,39.55861235474559,56.738730358788054,0.5817148333034694,50.76589083677252,0.35260111868183885,55.19869962171381,0.6144391628626665,83.912121893914,0.8313821515783869,75.41103355446785,0.5484865127779484,81.59430091750292,0.8776644270262465,,,78.62604105265362,0.8234627567884277,68.03054062948638,0.5918716649077488,76.51927065102117,0.8883560439579348,26.257425782659315,0.3506304032392342,24.974609589184496,0.2546319130908844,25.509150898881654,0.3667507977414283
Acker,3155.480396880511,33.33772894308475,57.67927542180159,0.6133194368258003,3113.8310997723647,33.70077866582701,2575.06,35.67767369097935,2584.1130684095815,38.82995083321732,56.56579400090858,0.5812951127212623,50.772049984795395,0.3448772846075519,55.013822743147514,0.6079062478210088,83.69566677590578,0.8884369444984466,75.35298248327234,0.46646215397495716,81.36860500014608,0.9267535949324167,,,78.628640072331,1.0199650617023706,67.9417084171917,0.5359165742201303,76.52766129762432,1.0457678322728863,26.185817414319317,0.3555897015417996,24.97497347430318,0.2817407283782134,25.460008644620025,0.3692859702502688
Adern,3173.2976841728423,30.384160457688875,57.83395480484933,0.5710220322767815,3118.568649675073,29.405977816860343,2583.67,29.769465900482665,2593.1463584003977,35.76560573259175,56.762674605676274,0.5781504093934066,50.74982604510612,0.3242782624048921,55.212519996924726,0.6070106081253633,83.83146651138135,0.8903401421964929,75.32455616602097,0.5034215627981764,81.49007803156606,0.9428646203237024,,,78.51509635186542,0.9403718709493313,67.91599060600699,0.5466998380199011,76.4185958671859,0.9493535480935048,26.34035023691411,0.37233729413393174,25.01704525292236,0.2445873189188523,25.593572090766386,0.3676165636501803
Adler,3164.25663707117,33.11614192740283,57.753763220231036,0.6180814379246472,3125.347792568924,31.461837451640456,2582.15,30.741624875728345,2597.4048634934834,36.70827156677822,56.779151406130275,0.5975721202933719,50.83277475946986,0.29834586138255903,55.23855930946533,0.6245981289147559,84.03917583221451,0.8623308990174992,75.45666659104037,0.5540127961281616,81.72271227306909,0.917289680354008,,,78.40798588845495,0.9100721654365879,67.94389422833947,0.5144066295547276,76.32345120112154,0.9690803741581062,26.353176895259335,0.36069982034307213,24.965529003095934,0.24947138281054415,25.598525754789318,0.3732792437581089
Adria,3150.9728436039295,32.373602536825274,57.56035187303616,0.5590788064006861,3117.33495932213,34.87591457427733,2579.34,37.15137144171128,2589.701717970513,41.9815309740341,56.727030509849094,0.5484483450164815,50.83721720983319,0.34255855009069597,55.184100466812104,0.5771738416177524,83.7128415989342,0.8380284664872483,75.36791862978939,0.5348080852969922,81.37870059756872,0.8888540483240827,,,78.52400131097355,0.7962583660081933,67.89283098579449,0.5578205815887147,76.42662568252638,0.8146433154965711,26.215536298914373,0.35229395771067423,24.95237676792015,0.25058649194192784,25.478309430264577,0.3531919930324912
Affen,3163.6203317376294,32.94152933621725,57.809671462679574,0.6166354987751312,3120.392162438316,34.24295448932349,2575.39,33.55201782307586,2590.3792203303233,38.94808822139654,56.79004009076286,0.5283754805053296,50.85100068368976,0.30940178956218783,55.24782590441396,0.5548524566874578,83.75219436702744,0.9158781193457803,75.35433263243445,0.5237125293926806,81.42433349051339,0.9682235232308943,,,78.45116324125162,0.8341937103959343,67.96869883409845,0.5043068496430172,76.33274650046543,0.8790389190886786,26.3067500114031,0.36838354437816695,24.9566705027951,0.2627744445313936,25.559594818141115,0.3712444398969848
Agenk,3192.0616232322836,34.24883146822354,58.09665500387854,0.5649709501759707,3138.1783063196553,30.54753186923041,2591.25,32.75038167716523,2612.6825319883665,35.54653199001475,57.117666319858806,0.49724519336601936,50.911452717857,0.32246264498567734,55.593590088803246,0.5193031284427636,84.31848783608523,0.9032570044434232,75.62373362363086,0.5817796301277585,82.01775850728338,0.956922150141181,,,79.02626790310414,0.870095589284551,67.82642974055754,0.5754396123584632,76.94817314094958,0.8817200065523989,26.396071959667733,0.35226213501527076,25.052385733628693,0.21788974044616624,25.65726392839555,0.3630456752442253
