,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,481.0745098039216,0.0,20.550257409209625,0.0,510.0,0.0,468.0,0.0,422.0,0.0,388.0,0.0,329.0,0.0,239.0,0.0,130.0,0.0,53.0,0.0,18.0,0.0,22.58317958127243,0.0,21.633307652783937,0.0,20.54263858417414,0.0,19.697715603592208,0.0,18.138357147217054,0.0,15.459624833740307,0.0,11.40175425099138,0.0,7.280109889280518,0.0,4.242640687119285,0.0,,,,,,,,,,,,,,,,,,,2.641487645518315,0.0,,,,,,,,,,,,,,,,,,,22.583179576757853,0.0,21.633307649676702,0.0,20.54263858406687,0.0,19.697715605732718,0.0,18.138357148829986,0.0,15.459624832641929,0.0,11.401754251353855,0.0,7.280109889083447,0.0,4.2426406867858,0.0
Abend,563.9176470588236,0.0,22.28868611297736,0.0,588.0,0.0,544.0,0.0,517.0,0.0,466.0,0.0,403.0,0.0,317.0,0.0,213.0,0.0,99.0,0.0,33.0,0.0,24.24871130596428,0.0,23.323807579381203,0.0,22.737634001804146,0.0,21.587033144922902,0.0,20.074859899884732,0.0,17.804493814764857,0.0,14.594519519326424,0.0,9.9498743710662,0.0,5.744562646538029,0.0,,,,,,,,,,,,,,,,,,,3.401075457421545,0.0,,,,,,,,,,,,,,,,,,,24.248711287498647,0.0,23.323807555039,0.0,22.73763399117012,0.0,21.587033146960174,0.0,20.074859910110458,0.0,17.80449382833568,0.0,14.59451952913543,0.0,9.949874378481736,0.0,5.7445626456652334,0.0
Aboln,493.93725490196084,0.0,20.769510821803408,0.0,537.0,0.0,481.0,0.0,429.0,0.0,388.0,0.0,344.0,0.0,281.0,0.0,190.0,0.0,72.0,0.0,25.0,0.0,23.173260452512935,0.0,21.93171219946131,0.0,20.71231517720798,0.0,19.697715603592208,0.0,18.547236990991408,0.0,16.76305461424021,0.0,13.784048752090222,0.0,8.48528137423857,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,2.661364205028315,0.0,,,,,,,,,,,,,,,,,,,23.173260452230153,0.0,21.931712199091635,0.0,20.712315176655267,0.0,19.69771560189019,0.0,18.54723698907256,0.0,16.763054618236847,0.0,13.784048749997543,0.0,8.485281372357994,0.0,5.000000000241162,0.0
Abtäs,531.5686274509804,0.0,21.575857611694676,0.0,571.0,0.0,511.0,0.0,464.0,0.0,404.0,0.0,336.0,0.0,257.0,0.0,158.0,0.0,67.0,0.0,33.0,0.0,23.895606290697042,0.0,22.60530911091463,0.0,21.540659228538015,0.0,20.09975124224178,0.0,18.33030277982336,0.0,16.0312195418814,0.0,12.569805089976535,0.0,8.18535277187245,0.0,5.744562646538029,0.0,,,,,,,,,,,,,,,,,,,1.9411569303831417,0.0,,,,,,,,,,,,,,,,,,,23.895606292904354,0.0,22.60530911274898,0.0,21.540659227857496,0.0,20.09975123942307,0.0,18.33030277847135,0.0,16.031219544002592,0.0,12.569805093270656,0.0,8.185352771495843,0.0,5.744562646867161,0.0
Acker,468.3058823529411,0.0,20.28349707887075,0.0,500.0,0.0,461.0,0.0,424.0,0.0,375.0,0.0,332.0,0.0,267.0,0.0,181.0,0.0,58.0,0.0,13.0,0.0,22.360679774997898,0.0,21.470910553583888,0.0,20.591260281974,0.0,19.364916731037084,0.0,18.2208671582886,0.0,16.34013463836819,0.0,13.45362404707371,0.0,7.615773105863909,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,2.525840825301404,0.0,,,,,,,,,,,,,,,,,,,22.360679778720186,0.0,21.47091055214911,0.0,20.591260286107207,0.0,19.364916729611096,0.0,18.2208671562284,0.0,16.340134642355164,0.0,13.453624045245078,0.0,7.615773106389952,0.0,3.6055512751904626,0.0
Adern,498.1647058823529,0.0,20.964569441249637,0.0,523.0,0.0,486.0,0.0,443.0,0.0,404.0,0.0,357.0,0.0,291.0,0.0,188.0,0.0,61.0,0.0,8.0,0.0,22.869193252058544,0.0,22.045407685048602,0.0,21.047565179849187,0.0,20.09975124224178,0.0,18.894443627691185,0.0,17.05872210923198,0.0,13.711309200802088,0.0,7.810249675906654,0.0,2.8284271247461903,0.0,,,,,,,,,,,,,,,,,,,3.2198172037297756,0.0,,,,,,,,,,,,,,,,,,,22.869193254136874,0.0,22.045407689478665,0.0,21.047565176382488,0.0,20.099751238540588,0.0,18.89444362625727,0.0,17.058722099445415,0.0,13.711309191128208,0.0,7.810249676041715,0.0,2.828427124765159,0.0
Adler,461.16470588235296,0.0,20.19346680239486,0.0,483.0,0.0,443.0,0.0,402.0,0.0,359.0,0.0,305.0,0.0,192.0,0.0,110.0,0.0,42.0,0.0,18.0,0.0,21.97726097583591,0.0,21.047565179849187,0.0,20.049937655763422,0.0,18.947295321496416,0.0,17.46424919657298,0.0,13.856406460551018,0.0,10.488088481701515,0.0,6.48074069840786,0.0,4.242640687119285,0.0,,,,,,,,,,,,,,,,,,,3.909029787592512,0.0,,,,,,,,,,,,,,,,,,,21.97726097559839,0.0,21.047565180916557,0.0,20.049937657883127,0.0,18.947295323759562,0.0,17.46424919793976,0.0,13.85640646007966,0.0,10.488088480888672,0.0,6.480740698563079,0.0,4.2426406870873885,0.0
Adria,457.50588235294117,0.0,20.032593203706945,0.0,479.0,0.0,454.0,0.0,397.0,0.0,366.0,0.0,328.0,0.0,236.0,0.0,151.0,0.0,65.0,0.0,12.0,0.0,21.88606862823929,0.0,21.307275752662516,0.0,19.924858845171276,0.0,19.131126469708992,0.0,18.110770276274835,0.0,15.362291495737216,0.0,12.288205727444508,0.0,8.06225774829855,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,2.7583474849332354,0.0,,,,,,,,,,,,,,,,,,,21.886068629882672,0.0,21.30727575405914,0.0,19.924858845840753,0.0,19.131126471975012,0.0,18.110770280015114,0.0,15.36229149888687,0.0,12.288205727156235,0.0,8.062257748701617,0.0,3.46410161512329,0.0
Affen,476.35686274509806,0.0,20.529309136960926,0.0,496.0,0.0,449.0,0.0,418.0,0.0,387.0,0.0,349.0,0.0,271.0,0.0,173.0,0.0,69.0,0.0,25.0,0.0,22.271057451320086,0.0,21.18962010041709,0.0,20.445048300260872,0.0,19.672315572906,0.0,18.681541692269406,0.0,16.46207763315433,0.0,13.152946437965905,0.0,8.306623862918075,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,3.823809204649645,0.0,,,,,,,,,,,,,,,,,,,22.27105745048641,0.0,21.18962010035943,0.0,20.445048300532626,0.0,19.672315573596407,0.0,18.681541692972505,0.0,16.462077633912955,0.0,13.152946437334252,0.0,8.30662386321993,0.0,4.9999999999528875,0.0
Agenk,568.7647058823529,0.0,22.342003171796524,0.0,598.0,0.0,551.0,0.0,524.0,0.0,465.0,0.0,405.0,0.0,327.0,0.0,226.0,0.0,109.0,0.0,38.0,0.0,24.454038521274967,0.0,23.473389188611005,0.0,22.891046284519195,0.0,21.563858652847824,0.0,20.12461179749811,0.0,18.083141320025124,0.0,15.033296378372908,0.0,10.44030650891055,0.0,6.164414002968976,0.0,,,,,,,,,,,,,,,,,,,3.1458938566664134,0.0,,,,,,,,,,,,,,,,,,,24.433695469242668,0.0,23.458112905559044,0.0,22.87394665019738,0.0,21.549259180836007,0.0,20.112505351025288,0.0,18.06643798950566,0.0,15.001336819272924,0.0,10.392133474495706,0.0,6.043116056597787,0.0
