,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,480.8838804899031,0.0,20.460521238966546,0.0,10.181839429103004,0.0
Abend,562.6766187353147,0.0,22.187425341116462,0.0,8.45808889402718,0.0
Aboln,493.6175323128051,0.0,20.68084925823174,0.0,10.554384551805894,0.0
Abtäs,530.554661207565,0.0,21.476594027439916,0.0,8.437722970115106,0.0
Acker,467.82840102478417,0.0,20.18599875844861,0.0,8.645724230092657,0.0
Adern,497.7875203761512,0.0,20.872538122710644,0.0,9.279582320282891,0.0
Adler,461.3549762551736,0.0,20.108464127118484,0.0,10.39516338464253,0.0
Adria,457.77027302211025,0.0,19.9493082633633,0.0,10.895611025321484,0.0
Affen,476.20172943327486,0.0,20.439575755957144,0.0,12.745005778204588,0.0
Agenk,567.654599955669,0.0,22.243367867374786,0.0,9.843659432600365,0.0
Agent,530.5363315976598,0.0,21.54331864928997,0.0,10.332089928326809,0.0
Ahnen,525.5042117124567,0.0,21.37641856794449,0.0,8.633252797427048,0.0
Aigön,516.7302852702792,0.0,21.17638418395538,0.0,11.002480783622135,0.0
Akkus,531.5687801511052,0.0,21.44070790780852,0.0,8.915001208032493,0.0
Aktie,465.5908516134846,0.0,20.165066220689095,0.0,10.24370067476007,0.0
Alahn,491.86944610851754,0.0,20.6132924990399,0.0,10.197240885775841,0.0
Alarm,492.1049180035202,0.0,20.68432040837529,0.0,12.922357768255045,0.0
Alben,499.60792323369833,0.0,20.878809575479135,0.0,9.22752370607852,0.0
Algen,513.3927472216927,0.0,21.166024916359323,0.0,11.318156128857316,0.0
Alibi,405.3770187473651,0.0,18.74526520725187,0.0,12.172305283035918,0.0
Allas,434.8732216488298,0.0,19.37620429630028,0.0,11.124474240797301,0.0
Alpen,499.8668450810967,0.0,20.882253847173025,0.0,10.312048435464037,0.0
Altar,418.1430072603682,0.0,19.061042715396894,0.0,10.761475470573908,0.0
Alten,454.1483975776292,0.0,19.920972080869706,0.0,9.659890469541317,0.0
Alter,415.1785765862717,0.0,19.076618464428716,0.0,10.318951762053542,0.0
