,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,481.0745098039216,0.0,20.550257409209625,0.0,580.4915246715095,0.0,494.0,0.0,458.0,0.0,429.0,0.0,393.0,0.0,346.0,0.0,258.0,0.0,139.0,0.0,24.0,0.0,13.0,0.0,16.051575834307403,0.0,22.22611077089287,0.0,21.400934559032695,0.0,20.71231517720798,0.0,19.82422760159901,0.0,18.601075237738275,0.0,16.06237840420901,0.0,11.789826122551595,0.0,4.898979485566356,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,2.9900389715840223,0.0,,,,,,,,,,,,,,,,,,,,,16.051575830952327,0.0,22.22611077092214,0.0,21.40093455915209,0.0,20.712315176987836,0.0,19.824227601402555,0.0,18.60107523807898,0.0,16.062378404425687,0.0,11.789826122636105,0.0,4.898979485575825,0.0,3.60555127544699,0.0
Abend,563.9176470588236,0.0,22.28868611297736,0.0,627.9820608773238,0.0,600.0,0.0,542.0,0.0,516.0,0.0,483.0,0.0,409.0,0.0,336.0,0.0,201.0,0.0,69.0,0.0,12.0,0.0,17.378093291827884,0.0,24.49489742783178,0.0,23.280893453645632,0.0,22.715633383201094,0.0,21.97726097583591,0.0,20.223748416156685,0.0,18.33030277982336,0.0,14.177446878757825,0.0,8.306623862918075,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,,,2.946451188621076,0.0,,,,,,,,,,,,,,,,,,,,,17.37809328693148,0.0,24.494897426182938,0.0,23.28089345172047,0.0,22.715633381976566,0.0,21.977260975766413,0.0,20.223748417722238,0.0,18.330302781672557,0.0,14.177446879679515,0.0,8.306623863491136,0.0,3.46410161517863,0.0
Aboln,493.93725490196084,0.0,20.769510821803408,0.0,586.2673998007574,0.0,519.0,0.0,466.0,0.0,434.0,0.0,398.0,0.0,343.0,0.0,288.0,0.0,163.0,0.0,29.0,0.0,13.0,0.0,16.28964033533316,0.0,22.781571499789035,0.0,21.587033144922902,0.0,20.83266665599966,0.0,19.949937343260004,0.0,18.520259177452136,0.0,16.97056274847714,0.0,12.767145334803704,0.0,5.385164807134504,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,2.9127893323316707,0.0,,,,,,,,,,,,,,,,,,,,,16.28964033435603,0.0,22.78157149935801,0.0,21.587033144638035,0.0,20.83266665511151,0.0,19.949937342644464,0.0,18.52025917837155,0.0,16.970562749523015,0.0,12.767145335996899,0.0,5.385164807104928,0.0,3.605551275469522,0.0
Abtäs,531.5686274509804,0.0,21.575857611694676,0.0,583.8181106027768,0.0,558.0,0.0,510.0,0.0,477.0,0.0,430.0,0.0,357.0,0.0,268.0,0.0,158.0,0.0,39.0,0.0,12.0,0.0,16.21817843347836,0.0,23.62202362203543,0.0,22.58317958127243,0.0,21.840329667841555,0.0,20.73644135332772,0.0,18.894443627691185,0.0,16.3707055437449,0.0,12.569805089976535,0.0,6.244997998398398,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,,,2.2026908603131234,0.0,,,,,,,,,,,,,,,,,,,,,16.21817843854524,0.0,23.622023621583843,0.0,22.583179581344442,0.0,21.840329667573457,0.0,20.736441352824315,0.0,18.89444362844937,0.0,16.370705544413557,0.0,12.569805090569725,0.0,6.244997998381789,0.0,3.4641016151346316,0.0
Acker,468.3058823529411,0.0,20.28349707887075,0.0,574.9940542862932,0.0,488.0,0.0,448.0,0.0,411.0,0.0,385.0,0.0,331.0,0.0,268.0,0.0,138.0,0.0,15.0,0.0,6.0,0.0,15.885564853114008,0.0,22.090722034374522,0.0,21.166010488516726,0.0,20.273134932713294,0.0,19.621416870348583,0.0,18.193405398660254,0.0,16.3707055437449,0.0,11.74734012447073,0.0,3.872983346207417,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,,,2.761374548133707,0.0,,,,,,,,,,,,,,,,,,,,,15.885564844992617,0.0,22.0907220345964,0.0,21.166010488692738,0.0,20.273134932438186,0.0,19.621416869996967,0.0,18.19340539860865,0.0,16.370705543593633,0.0,11.747340124624863,0.0,3.8729833461974486,0.0,2.4494897427821303,0.0
Adern,498.1647058823529,0.0,20.964569441249637,0.0,588.21106027771,0.0,524.0,0.0,467.0,0.0,445.0,0.0,414.0,0.0,353.0,0.0,287.0,0.0,154.0,0.0,29.0,0.0,7.0,0.0,16.255999560878255,0.0,22.891046284519195,0.0,21.61018278497431,0.0,21.095023109728988,0.0,20.346989949375804,0.0,18.788294228055936,0.0,16.941074346097416,0.0,12.409673645990857,0.0,5.385164807134504,0.0,2.6457513110645907,0.0,,,,,,,,,,,,,,,,,,,,,3.3340746690739516,0.0,,,,,,,,,,,,,,,,,,,,,16.25599955950852,0.0,22.891046284765608,0.0,21.610182784777365,0.0,21.095023109184506,0.0,20.34698994868081,0.0,18.788294227541762,0.0,16.941074345920192,0.0,12.409673646410909,0.0,5.385164807163929,0.0,2.6457513110660407,0.0
Adler,461.16470588235296,0.0,20.19346680239486,0.0,586.5971430055276,0.0,486.0,0.0,442.0,0.0,418.0,0.0,383.0,0.0,334.0,0.0,260.0,0.0,130.0,0.0,29.0,0.0,13.0,0.0,16.0921878074549,0.0,22.045407685048602,0.0,21.02379604162864,0.0,20.445048300260872,0.0,19.570385790780925,0.0,18.275666882497067,0.0,16.1245154965971,0.0,11.40175425099138,0.0,5.385164807134504,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,4.497770689845651,0.0,,,,,,,,,,,,,,,,,,,,,16.092187810027987,0.0,22.04540768517115,0.0,21.023796041786838,0.0,20.445048300314475,0.0,19.57038579072281,0.0,18.27566688250794,0.0,16.124515496491238,0.0,11.401754251063643,0.0,5.385164807126998,0.0,3.6055512754643892,0.0
Adria,457.50588235294117,0.0,20.032593203706945,0.0,582.9880849657454,0.0,483.0,0.0,435.0,0.0,412.0,0.0,381.0,0.0,341.0,0.0,248.0,0.0,136.0,0.0,23.0,0.0,5.0,0.0,16.03801798007887,0.0,21.97726097583591,0.0,20.85665361461421,0.0,20.29778313018444,0.0,19.519221295943137,0.0,18.466185312619388,0.0,15.748015748023622,0.0,11.661903789690601,0.0,4.795831523312719,0.0,2.23606797749979,0.0,,,,,,,,,,,,,,,,,,,,,3.2309322486332137,0.0,,,,,,,,,,,,,,,,,,,,,16.038017971532245,0.0,21.977260975947736,0.0,20.856653614439004,0.0,20.29778313019351,0.0,19.51922129608815,0.0,18.466185312720555,0.0,15.748015748084319,0.0,11.661903789764242,0.0,4.795831523299758,0.0,2.2360679774925107,0.0
Affen,476.35686274509806,0.0,20.529309136960926,0.0,598.8947161277205,0.0,486.0,0.0,448.0,0.0,425.0,0.0,403.0,0.0,365.0,0.0,297.0,0.0,153.0,0.0,39.0,0.0,20.0,0.0,16.61303124495425,0.0,22.045407685048602,0.0,21.166010488516726,0.0,20.615528128088304,0.0,20.074859899884732,0.0,19.1049731745428,0.0,17.233687939614086,0.0,12.36931687685298,0.0,6.244997998398398,0.0,4.47213595499958,0.0,,,,,,,,,,,,,,,,,,,,,4.33249292312182,0.0,,,,,,,,,,,,,,,,,,,,,16.61303124487541,0.0,22.045407685074956,0.0,21.166010488483867,0.0,20.6155281281245,0.0,20.074859900024546,0.0,19.10497317466372,0.0,17.23368793977328,0.0,12.369316877051778,0.0,6.244997998403384,0.0,4.472135954992289,0.0
Agenk,568.7647058823529,0.0,22.342003171796524,0.0,638.0690179081495,0.0,609.0,0.0,553.0,0.0,522.0,0.0,487.0,0.0,414.0,0.0,343.0,0.0,202.0,0.0,66.0,0.0,32.0,0.0,17.61474954101325,0.0,24.677925358506133,0.0,23.515952032609693,0.0,22.847319317591726,0.0,22.06807649071391,0.0,20.346989949375804,0.0,18.520259177452136,0.0,14.212670403551895,0.0,8.12403840463596,0.0,5.656854249492381,0.0,,,,,,,,,,,,,,,,,,,,,2.9194977477123247,0.0,,,,,,,,,,,,,,,,,,,,,17.61474953551511,0.0,24.657767185595816,0.0,23.500703441505472,0.0,22.830186943144902,0.0,22.053810799514075,0.0,20.33251328711055,0.0,18.5039505072322,0.0,14.178861437497009,0.0,8.062036849436454,0.0,5.52442336691638,0.0
