,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,481.0745098039216,0.0,20.550257409209625,0.0,494.0,0.0,458.0,0.0,431.0,0.0,393.0,0.0,345.0,0.0,255.0,0.0,139.0,0.0,22.0,0.0,14.0,0.0,22.22611077089287,0.0,21.400934559032695,0.0,20.760539492026695,0.0,19.82422760159901,0.0,18.57417562100671,0.0,15.968719422671311,0.0,11.789826122551595,0.0,4.69041575982343,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,2.9341580796899747,0.0,,,,,,,,,,,,,,,,,,,22.226110771126002,0.0,21.40093455974378,0.0,20.760539492592233,0.0,19.82422760194831,0.0,18.574175620343247,0.0,15.968719423422137,0.0,11.789826122450807,0.0,4.690415759764608,0.0,3.7416573867580425,0.0
Abend,563.9176470588236,0.0,22.28868611297736,0.0,599.0,0.0,543.0,0.0,516.0,0.0,482.0,0.0,408.0,0.0,336.0,0.0,200.0,0.0,69.0,0.0,13.0,0.0,24.474476501040833,0.0,23.302360395462088,0.0,22.715633383201094,0.0,21.95449840010015,0.0,20.199009876724155,0.0,18.33030277982336,0.0,14.142135623730951,0.0,8.306623862918075,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,2.9725618692987954,0.0,,,,,,,,,,,,,,,,,,,24.4744765018124,0.0,23.302360402874132,0.0,22.715633384949875,0.0,21.954498401059098,0.0,20.199009876682606,0.0,18.330302776766842,0.0,14.142135622312155,0.0,8.306623862948951,0.0,3.605551275319108,0.0
Aboln,493.93725490196084,0.0,20.769510821803408,0.0,518.0,0.0,465.0,0.0,436.0,0.0,397.0,0.0,341.0,0.0,287.0,0.0,162.0,0.0,27.0,0.0,14.0,0.0,22.759613353482084,0.0,21.563858652847824,0.0,20.8806130178211,0.0,19.924858845171276,0.0,18.466185312619388,0.0,16.941074346097416,0.0,12.727922061357855,0.0,5.196152422706632,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,2.8588644703566497,0.0,,,,,,,,,,,,,,,,,,,22.759613354917583,0.0,21.563858653112717,0.0,20.880613017409306,0.0,19.924858845544207,0.0,18.466185312159215,0.0,16.941074345039006,0.0,12.727922060074999,0.0,5.196152422643244,0.0,3.741657386766935,0.0
Abtäs,531.5686274509804,0.0,21.575857611694676,0.0,555.0,0.0,509.0,0.0,479.0,0.0,428.0,0.0,354.0,0.0,268.0,0.0,157.0,0.0,37.0,0.0,14.0,0.0,23.558437978779494,0.0,22.561028345356956,0.0,21.88606862823929,0.0,20.688160865577203,0.0,18.81488772222678,0.0,16.3707055437449,0.0,12.529964086141668,0.0,6.082762530298219,0.0,3.7416573867739413,0.0,,,,,,,,,,,,,,,,,,,2.1554522183959905,0.0,,,,,,,,,,,,,,,,,,,23.558437979395027,0.0,22.561028345868746,0.0,21.88606862725178,0.0,20.68816086658653,0.0,18.81488772217118,0.0,16.37070554410713,0.0,12.52996408628118,0.0,6.082762530530837,0.0,3.7416573867752736,0.0
Acker,468.3058823529411,0.0,20.28349707887075,0.0,489.0,0.0,447.0,0.0,411.0,0.0,385.0,0.0,330.0,0.0,264.0,0.0,136.0,0.0,13.0,0.0,9.0,0.0,22.11334438749598,0.0,21.142374511865974,0.0,20.273134932713294,0.0,19.621416870348583,0.0,18.16590212458495,0.0,16.24807680927192,0.0,11.661903789690601,0.0,3.605551275463989,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,2.704040168496985,0.0,,,,,,,,,,,,,,,,,,,22.113344386720904,0.0,21.142374511496055,0.0,20.27313493304016,0.0,19.62141687040432,0.0,18.165902124335542,0.0,16.248076809583203,0.0,11.661903790421237,0.0,3.6055512754642063,0.0,3.0000000000079523,0.0
Adern,498.1647058823529,0.0,20.964569441249637,0.0,521.0,0.0,467.0,0.0,445.0,0.0,412.0,0.0,352.0,0.0,285.0,0.0,154.0,0.0,31.0,0.0,7.0,0.0,22.825424421026653,0.0,21.61018278497431,0.0,21.095023109728988,0.0,20.29778313018444,0.0,18.76166303929372,0.0,16.881943016134134,0.0,12.409673645990857,0.0,5.5677643628300215,0.0,2.6457513110645907,0.0,,,,,,,,,,,,,,,,,,,3.29416175003549,0.0,,,,,,,,,,,,,,,,,,,22.825424421374947,0.0,21.61018278528555,0.0,21.09502311022821,0.0,20.29778313028259,0.0,18.761663038974383,0.0,16.881943016014038,0.0,12.409673646322124,0.0,5.567764362774845,0.0,2.6457513110630644,0.0
Adler,461.16470588235296,0.0,20.19346680239486,0.0,487.0,0.0,441.0,0.0,419.0,0.0,382.0,0.0,334.0,0.0,263.0,0.0,131.0,0.0,26.0,0.0,15.0,0.0,22.06807649071391,0.0,21.0,0.0,20.46948949045872,0.0,19.544820285692065,0.0,18.275666882497067,0.0,16.217274740226856,0.0,11.445523142259598,0.0,5.0990195135927845,0.0,3.872983346207417,0.0,,,,,,,,,,,,,,,,,,,4.434389943663341,0.0,,,,,,,,,,,,,,,,,,,22.06807649206962,0.0,21.000000000709107,0.0,20.469489490522562,0.0,19.54482028518924,0.0,18.27566688154089,0.0,16.217274739795805,0.0,11.44552314241368,0.0,5.099019513580726,0.0,3.872983346202738,0.0
Adria,457.50588235294117,0.0,20.032593203706945,0.0,484.0,0.0,435.0,0.0,412.0,0.0,380.0,0.0,342.0,0.0,244.0,0.0,138.0,0.0,20.0,0.0,6.0,0.0,22.0,0.0,20.85665361461421,0.0,20.29778313018444,0.0,19.493588689617926,0.0,18.49324200890693,0.0,15.620499351813308,0.0,11.74734012447073,0.0,4.47213595499958,0.0,2.449489742783178,0.0,,,,,,,,,,,,,,,,,,,3.1710845912216667,0.0,,,,,,,,,,,,,,,,,,,21.999999999849024,0.0,20.856653614612632,0.0,20.297783129793533,0.0,19.493588689373837,0.0,18.493242009045094,0.0,15.620499352356864,0.0,11.747340125042884,0.0,4.472135954952917,0.0,2.449489742785022,0.0
Affen,476.35686274509806,0.0,20.529309136960926,0.0,487.0,0.0,449.0,0.0,425.0,0.0,402.0,0.0,365.0,0.0,293.0,0.0,155.0,0.0,36.0,0.0,22.0,0.0,22.06807649071391,0.0,21.18962010041709,0.0,20.615528128088304,0.0,20.049937655763422,0.0,19.1049731745428,0.0,17.11724276862369,0.0,12.449899597988733,0.0,6.0,0.0,4.69041575982343,0.0,,,,,,,,,,,,,,,,,,,4.280232446093391,0.0,,,,,,,,,,,,,,,,,,,22.068076490324362,0.0,21.189620100168764,0.0,20.615528127769416,0.0,20.0499376555075,0.0,19.104973174786334,0.0,17.11724276883756,0.0,12.449899598288845,0.0,5.999999999950251,0.0,4.69041575981642,0.0
Agenk,568.7647058823529,0.0,22.342003171796524,0.0,610.0,0.0,552.0,0.0,524.0,0.0,485.0,0.0,414.0,0.0,337.0,0.0,202.0,0.0,68.0,0.0,33.0,0.0,24.698178070456937,0.0,23.49468024894146,0.0,22.891046284519195,0.0,22.02271554554524,0.0,20.346989949375804,0.0,18.35755975068582,0.0,14.212670403551895,0.0,8.246211251235321,0.0,5.744562646538029,0.0,,,,,,,,,,,,,,,,,,,2.9155643223925507,0.0,,,,,,,,,,,,,,,,,,,24.67545436620646,0.0,23.476079467890205,0.0,22.87291377832448,0.0,22.007796529974904,0.0,20.33024594682662,0.0,18.339735120750998,0.0,14.176434448508497,0.0,8.173427252517861,0.0,5.598106699407049,0.0
