,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,481.09411764705885,0.0,20.54956106156881,0.0,486.0,0.0,445.0,0.0,388.0,0.0,321.0,0.0,237.0,0.0,177.0,0.0,109.0,0.0,47.0,0.0,12.0,0.0,22.045407685048602,0.0,21.095023109728988,0.0,19.697715603592208,0.0,17.916472867168917,0.0,15.394804318340652,0.0,13.30413469565007,0.0,10.44030650891055,0.0,6.855654600401044,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,8.765883520748531,0.0,,,,,,,,,,,,,,,,,,,20.156084489783296,0.0,19.30706232433059,0.0,17.9976796809391,0.0,15.920874428670327,0.0,12.991671507659376,0.0,10.944923002509096,0.0,8.08075232694322,0.0,4.943067893208556,0.0,3.3143967406853156,0.0
Abend,563.9176470588235,0.0,22.28868611297736,0.0,589.0,0.0,524.0,0.0,458.0,0.0,365.0,0.0,239.0,0.0,167.0,0.0,82.0,0.0,43.0,0.0,19.0,0.0,24.269322199023193,0.0,22.891046284519195,0.0,21.400934559032695,0.0,19.1049731745428,0.0,15.459624833740307,0.0,12.922847983320086,0.0,9.055385138137417,0.0,6.557438524302,0.0,4.358898943540674,0.0,,,,,,,,,,,,,,,,,,,2.597210692228425,0.0,,,,,,,,,,,,,,,,,,,22.40745891841324,0.0,21.161777481422924,0.0,19.6772150093981,0.0,16.984491325560825,0.0,12.99574996332898,0.0,10.54117670734022,0.0,7.154242028951176,0.0,5.149198276053134,0.0,3.7715782058731073,0.0
Aboln,493.9372549019607,0.0,20.769510821803408,0.0,517.0,0.0,466.0,0.0,390.0,0.0,318.0,0.0,225.0,0.0,157.0,0.0,94.0,0.0,41.0,0.0,18.0,0.0,22.737634001804146,0.0,21.587033144922902,0.0,19.748417658131498,0.0,17.832554500127006,0.0,15.0,0.0,12.529964086141668,0.0,9.695359714832659,0.0,6.4031242374328485,0.0,4.242640687119285,0.0,,,,,,,,,,,,,,,,,,,5.950630908293178,0.0,,,,,,,,,,,,,,,,,,,20.734132962458553,0.0,19.753979747663227,0.0,17.9965159259362,0.0,15.861267844231184,0.0,12.730249090417725,0.0,10.366501281472816,0.0,7.825633677825202,0.0,5.322646096696826,0.0,4.053200477567329,0.0
Abtäs,531.5686274509804,0.0,21.575857611694676,0.0,536.0,0.0,483.0,0.0,415.0,0.0,335.0,0.0,247.0,0.0,183.0,0.0,111.0,0.0,57.0,0.0,26.0,0.0,23.15167380558045,0.0,21.97726097583591,0.0,20.37154878746336,0.0,18.303005217723125,0.0,15.716233645501712,0.0,13.527749258468683,0.0,10.535653752852738,0.0,7.54983443527075,0.0,5.0990195135927845,0.0,,,,,,,,,,,,,,,,,,,3.0546443687000893,0.0,,,,,,,,,,,,,,,,,,,21.361344284218667,0.0,20.248430931164577,0.0,18.692583911756095,0.0,16.243747960153858,0.0,13.405804275140511,0.0,11.104714845747965,0.0,8.281439593624018,0.0,5.924055758795586,0.0,4.514141159107115,0.0
Acker,468.3058823529411,0.0,20.28349707887075,0.0,487.0,0.0,426.0,0.0,382.0,0.0,313.0,0.0,224.0,0.0,161.0,0.0,97.0,0.0,38.0,0.0,7.0,0.0,22.06807649071391,0.0,20.639767440550294,0.0,19.544820285692065,0.0,17.69180601295413,0.0,14.966629547095765,0.0,12.68857754044952,0.0,9.848857801796104,0.0,6.164414002968976,0.0,2.6457513110645907,0.0,,,,,,,,,,,,,,,,,,,5.831064796706451,0.0,,,,,,,,,,,,,,,,,,,20.026483610263035,0.0,18.675843152553917,0.0,17.622856872239467,0.0,15.705767705395797,0.0,12.50204737117822,0.0,10.269372210187985,0.0,7.551327130019015,0.0,4.588201664062351,0.0,1.5467443624455774,0.0
Adern,498.1647058823529,0.0,20.964569441249637,0.0,521.0,0.0,464.0,0.0,398.0,0.0,317.0,0.0,224.0,0.0,155.0,0.0,82.0,0.0,37.0,0.0,11.0,0.0,22.825424421026653,0.0,21.540659228538015,0.0,19.949937343260004,0.0,17.804493814764857,0.0,14.966629547095765,0.0,12.449899597988733,0.0,9.055385138137417,0.0,6.082762530298219,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,5.835647692997934,0.0,,,,,,,,,,,,,,,,,,,20.909194355470575,0.0,19.76720491254268,0.0,18.14257444174486,0.0,15.801201265126426,0.0,12.660780546162341,0.0,10.252086562699581,0.0,6.910358197910486,0.0,4.237173007890568,0.0,2.7066722365611464,0.0
Adler,461.1647058823529,0.0,20.19346680239486,0.0,481.0,0.0,422.0,0.0,367.0,0.0,286.0,0.0,215.0,0.0,161.0,0.0,102.0,0.0,41.0,0.0,17.0,0.0,21.93171219946131,0.0,20.54263858417414,0.0,19.157244060668017,0.0,16.911534525287763,0.0,14.66287829861518,0.0,12.68857754044952,0.0,10.099504938362077,0.0,6.4031242374328485,0.0,4.123105625617661,0.0,,,,,,,,,,,,,,,,,,,8.236254818440553,0.0,,,,,,,,,,,,,,,,,,,20.03261064205593,0.0,18.786433364558313,0.0,17.467270253590176,0.0,15.078191019391763,0.0,12.667065124180683,0.0,10.795589322198417,0.0,8.017824497312848,0.0,4.9838231069230075,0.0,3.567296923587994,0.0
Adria,457.5058823529411,0.0,20.032593203706945,0.0,468.0,0.0,428.0,0.0,362.0,0.0,294.0,0.0,221.0,0.0,167.0,0.0,100.0,0.0,40.0,0.0,11.0,0.0,21.633307652783937,0.0,20.688160865577203,0.0,19.026297590440446,0.0,17.146428199482248,0.0,14.866068747318506,0.0,12.922847983320086,0.0,10.0,0.0,6.324555320336759,0.0,3.3166247903554,0.0,,,,,,,,,,,,,,,,,,,7.299880523770405,0.0,,,,,,,,,,,,,,,,,,,19.709131433311345,0.0,18.944490682223236,0.0,17.34519895725489,0.0,15.194668652204303,0.0,12.645879822981723,0.0,10.764622151697901,0.0,7.874818272724495,0.0,4.703058907790226,0.0,2.7066722365611464,0.0
Affen,476.35686274509806,0.0,20.529309136960926,0.0,497.0,0.0,438.0,0.0,376.0,0.0,310.0,0.0,239.0,0.0,180.0,0.0,117.0,0.0,59.0,0.0,18.0,0.0,22.293496809607955,0.0,20.92844953645635,0.0,19.390719429665317,0.0,17.60681686165901,0.0,15.459624833740307,0.0,13.416407864998739,0.0,10.816653826391969,0.0,7.681145747868608,0.0,4.242640687119285,0.0,,,,,,,,,,,,,,,,,,,3.527737528541589,0.0,,,,,,,,,,,,,,,,,,,20.44891230892201,0.0,19.115509087910915,0.0,17.682313919427507,0.0,15.664750299122915,0.0,13.238575225536014,0.0,11.344331924898219,0.0,8.654205339124385,0.0,5.806632173292323,0.0,3.1442393536002666,0.0
Agenk,568.7647058823529,0.0,22.342003171796524,0.0,611.0,0.0,539.0,0.0,476.0,0.0,371.0,0.0,257.0,0.0,189.0,0.0,110.0,0.0,67.0,0.0,36.0,0.0,24.71841418861655,0.0,23.2163735324878,0.0,21.817424229271428,0.0,19.261360284258224,0.0,16.0312195418814,0.0,13.74772708486752,0.0,10.488088481701515,0.0,8.18535277187245,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,3.413697803595194,0.0,,,,,,,,,,,,,,,,,,,22.69210193703845,0.0,21.452099761535464,0.0,20.040246345236895,0.0,17.11606989355814,0.0,13.633787891981832,0.0,11.503988779130712,0.0,8.456092286137496,0.0,6.483696968724011,0.0,5.058512735479723,0.0
