,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,481.09411764705885,0.0,20.54956106156881,0.0,499.9666902682717,0.0,338.0,0.0,222.61631287398131,0.0,15.19686120520848,0.0,18.384776310850235,0.0,12.289529959429263,0.0,365.3852941910612,0.0,151.77143198377772,0.0,115.4374753102856,0.0,8.680402752969577,0.0,18.16085292984321,0.0,347.6316476627693,0.0,251.5387142870818,0.0,15.19686120512745,0.0,13.693578820722912,0.0,10.895046790347179,0.0
Abend,563.9176470588235,0.0,22.28868611297736,0.0,482.84808526195434,0.0,283.0,0.0,187.76347489668495,0.0,14.638079465180924,0.0,16.822603841260722,0.0,11.353590852233697,0.0,401.56896123990424,0.0,257.5348805723646,0.0,203.23944555509624,0.0,2.5934933712842656,0.0,18.854711822590243,0.0,304.23170594874244,0.0,235.87579283219634,0.0,14.638079465088706,0.0,13.174827453106012,0.0,10.00248022784464,0.0
Aboln,493.9372549019607,0.0,20.769510821803408,0.0,493.9117873819341,0.0,311.0,0.0,204.99015674242315,0.0,14.936121414503951,0.0,17.635192088548397,0.0,11.814695374110048,0.0,378.94651781363353,0.0,148.4026576263244,0.0,115.4724726932972,0.0,5.878158452626818,0.0,18.9050850420425,0.0,754.9505854419768,0.0,322.0594148424293,0.0,14.936121414472998,0.0,13.294792363309444,0.0,10.433134754155184,0.0
Abtäs,531.5686274509804,0.0,21.575857611694676,0.0,494.0261968558958,0.0,314.0,0.0,210.0028470014391,0.0,15.064761711486591,0.0,17.72004514666935,0.0,12.07492472830915,0.0,399.4639558938393,0.0,224.10811335808455,0.0,195.45456603017536,0.0,3.0520681093812057,0.0,30.442434746233022,0.0,358.72176333953155,0.0,240.6824484166254,0.0,15.064761711358939,0.0,13.610825567517729,0.0,10.718106660095962,0.0
Acker,468.3058823529411,0.0,20.28349707887075,0.0,494.91199563138946,0.0,331.0,0.0,216.3039359147012,0.0,15.012820302344412,0.0,18.193405398660254,0.0,12.06616725432248,0.0,314.31157815054587,0.0,153.00551722903532,0.0,116.92532729645336,0.0,5.773326173839279,0.0,15.45119949037962,0.0,316.2632056368155,0.0,236.02903940983217,0.0,15.012820302250411,0.0,13.298041980857315,0.0,10.684236409412613,0.0
Adern,498.1647058823529,0.0,20.964569441249637,0.0,484.99068430770916,0.0,307.0,0.0,200.61703573097867,0.0,14.701339835865936,0.0,17.52141546793523,0.0,11.621367122504944,0.0,465.2805127664996,0.0,497.0206706261011,0.0,387.3477396477421,0.0,5.759510750094559,0.0,15.320143071461226,0.0,319.5225812286482,0.0,252.6792073174886,0.0,14.701339835778917,0.0,13.328452591979145,0.0,10.336408734377965,0.0
Adler,461.1647058823529,0.0,20.19346680239486,0.0,493.5637229449251,0.0,322.0,0.0,210.86248871982127,0.0,14.942412929717163,0.0,17.944358444926362,0.0,11.944886520553464,0.0,469.2284479582955,0.0,497.897247680517,0.0,388.4402157487309,0.0,8.150379645154345,0.0,14.695226488359893,0.0,480.43468959116365,0.0,290.48074315259214,0.0,14.942412929643623,0.0,13.535419390944439,0.0,10.657371485702251,0.0
Adria,457.5058823529411,0.0,20.032593203706945,0.0,497.73042894759993,0.0,340.0,0.0,221.34668628839313,0.0,15.0769194033827,0.0,18.439088914585774,0.0,12.187960337029907,0.0,466.9519553095368,0.0,501.45197740678617,0.0,389.16960806264973,0.0,7.2320977545046645,0.0,15.124494472241347,0.0,816.8096593540898,0.0,377.3468553036495,0.0,15.076919403349855,0.0,13.70377597081643,0.0,10.859633030053917,0.0
Affen,476.35686274509806,0.0,20.529309136960926,0.0,508.43320792088366,0.0,351.0,0.0,232.49356971960367,0.0,15.445713425495489,0.0,18.734993995195193,0.0,12.615641009331872,0.0,484.50642001640904,0.0,468.23979737601576,0.0,410.077638874901,0.0,3.531283107814764,0.0,19.999784914293475,0.0,325.7819943672426,0.0,240.63234712719748,0.0,15.445713425416807,0.0,14.324217041729243,0.0,11.301299187261417,0.0
Agenk,568.7647058823529,0.0,22.342003171796524,0.0,514.4717738688582,0.0,322.0,0.0,221.142268623286,0.0,15.588691185440803,0.0,17.944358444926362,0.0,12.57208859133817,0.0,8950.578635285488,0.0,3892.0136829286685,0.0,2856.5253949549287,0.0,3.3941481061718086,0.0,26.7219822721601,0.0,310.0341539915221,0.0,239.7547878416988,0.0,15.588691185358519,0.0,13.950116424579031,0.0,11.259960310326754,0.0
