,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,480.7771879738291,0.0,20.457535442046,0.0,9.94894066964922,0.0
Abend,562.8315390554249,0.0,22.18976730290321,0.0,8.826267561229841,0.0
Aboln,493.5955335745953,0.0,20.680278647471994,0.0,10.322845221136769,0.0
Abtäs,530.6103206431211,0.0,21.476909039611943,0.0,8.452770491802573,0.0
Acker,467.97755397103094,0.0,20.18903308132322,0.0,9.036717432204965,0.0
Adern,497.7451776754334,0.0,20.871297449496,0.0,9.149353013859272,0.0
Adler,461.3849175541868,0.0,20.108892147856853,0.0,10.650612022938402,0.0
Adria,457.68360757072287,0.0,19.94700918059458,0.0,10.548299474875208,0.0
Affen,476.54480747727814,0.0,20.446107367102435,0.0,13.416812115880631,0.0
Agenk,567.8070803351617,0.0,22.245637676339754,0.0,10.24466957153936,0.0
Agent,530.660079119863,0.0,21.54511070550269,0.0,10.727803956254881,0.0
Ahnen,525.6501080740532,0.0,21.378909945643507,0.0,8.976110323591564,0.0
Aigön,517.0989033857657,0.0,21.18317744358965,0.0,11.693971564272866,0.0
Akkus,531.7981698351639,0.0,21.444737996155904,0.0,9.198392105398188,0.0
Aktie,465.66056660705186,0.0,20.166028238361182,0.0,10.132917156498028,0.0
Alahn,492.2545380152832,0.0,20.620664972450538,0.0,10.978046231020747,0.0
Alarm,492.22651110861057,0.0,20.6858828655496,0.0,13.12857752411744,0.0
Alben,500.0058286129689,0.0,20.886274482431592,0.0,10.020087378534026,0.0
Algen,513.7700272583592,0.0,21.17296130215293,0.0,12.007061338342691,0.0
Alibi,405.6436744857007,0.0,18.75147462088992,0.0,12.8344943044031,0.0
Allas,435.10266379450223,0.0,19.381036788369723,0.0,11.54722644207181,0.0
Alpen,500.2635791252545,0.0,20.889697773691356,0.0,11.033652295205817,0.0
Altar,418.414468056297,0.0,19.066211306783703,0.0,11.42432374906405,0.0
Alten,454.52197804565856,0.0,19.92815852556044,0.0,10.473298974087202,0.0
Alter,415.49351200015667,0.0,19.082561721259367,0.0,11.094460270503763,0.0
Amche,559.0020896099498,0.0,22.08241032730969,0.0,11.055588485137239,0.0
Amtig,533.5403447411761,0.0,21.578173473500556,0.0,14.392474759942829,0.0
Andam,594.0558805506458,0.0,22.738423439228168,0.0,10.86691010251737,0.0
Anein,467.426251636543,0.0,20.166309004066758,0.0,9.484146493311771,0.0
Angel,513.78576184684,0.0,21.173368681581735,0.0,12.0178438484441,0.0
Angst,516.6550346757788,0.0,21.181490874177452,0.0,10.80730726454432,0.0
Angur,502.5456681519987,0.0,20.903819523977855,0.0,11.749190106759496,0.0
Anker,488.98668114863403,0.0,20.641099238581013,0.0,8.92984964822839,0.0
Anmas,562.1007184123511,0.0,22.070205953997725,0.0,10.255481508475194,0.0
Anmut,536.715889709322,0.0,21.630257576334145,0.0,11.892851746807974,0.0
Annag,553.0013497225706,0.0,21.88342708249202,0.0,10.501238380432113,0.0
Anper,497.55148443466845,0.0,20.847191150881216,0.0,9.833401978769178,0.0
Antus,476.85681506863637,0.0,20.34183831326121,0.0,9.216780138206971,0.0
Anzug,535.1610621870606,0.0,21.67272736963818,0.0,11.131350196192429,0.0
Apfel,483.36472977406845,0.0,20.58009680309675,0.0,13.368224744662344,0.0
Arahn,489.53448893318466,0.0,20.577131885086878,0.0,9.813939100161125,0.0
Arcer,411.23935407368765,0.0,18.95403209170935,0.0,9.578506937182219,0.0
Arche,465.57912361372007,0.0,20.138806621132034,0.0,9.521336170149004,0.0
Ardal,464.366098441493,0.0,20.09445431390428,0.0,11.207299156200616,0.0
Arena,482.7655586227214,0.0,20.50950086412055,0.0,8.95488252493805,0.0
Argon,504.655617834139,0.0,20.92753374322489,0.0,11.1071766229989,0.0
Arier,389.31496248854796,0.0,18.456744928381976,0.0,10.566598565571525,0.0
Arman,528.5335678915005,0.0,21.42641160816367,0.0,11.290272298349247,0.0
Armee,534.1315556350405,0.0,21.68506622471363,0.0,10.558148694483389,0.0
Armen,525.6126118353602,0.0,21.44096226043032,0.0,10.960408819788961,0.0
Armöt,516.1097498852465,0.0,21.228904554584332,0.0,11.845331688329104,0.0
Aroma,530.6973861792212,0.0,21.47374762059343,0.0,11.272178098828881,0.0
Arten,451.80192896356016,0.0,19.88310928728397,0.0,9.309191843227579,0.0
Artis,394.8713754812271,0.0,18.513294625629143,0.0,10.490184479303315,0.0
Asien,461.92524678768416,0.0,20.041010379940868,0.0,8.880647734434941,0.0
Astän,504.617079812621,0.0,20.916911887833884,0.0,8.279255761465828,0.0
Athen,506.2106109777835,0.0,21.017153488533072,0.0,9.476545094401537,0.0
Atmen,545.2207922874593,0.0,21.84932097973248,0.0,11.02609848977125,0.0
Augen,550.0983150462409,0.0,21.920098394547153,0.0,10.63399359020801,0.0
Aurer,432.21637437646314,0.0,19.458965537317685,0.0,9.776404624172207,0.0
Autor,445.42743944591666,0.0,19.69267454489046,0.0,9.985614937884913,0.0
Babys,567.7905108456217,0.0,22.219071063284126,0.0,8.208691579999199,0.0
Backe,546.9287467377183,0.0,21.806745549126227,0.0,7.32063559754108,0.0
Bahre,526.5073553266816,0.0,21.42376331031425,0.0,8.29167323738579,0.0
Banco,522.8384092643319,0.0,21.252455949522382,0.0,7.4919944325287045,0.0
Banda,579.6285856046984,0.0,22.426307042576713,0.0,7.774693695758076,0.0
Bande,576.6815968467331,0.0,22.439611297379578,0.0,7.345525570553674,0.0
Bands,562.6933831308888,0.0,22.090837096875585,0.0,7.370299387978772,0.0
Banja,540.0525347066075,0.0,21.627432936829198,0.0,9.83762025119917,0.0
Banjo,530.7437766955411,0.0,21.443626427717525,0.0,9.739040677415254,0.0
Bantu,522.3046400514249,0.0,21.30248875417271,0.0,8.678005498494983,0.0
Barde,537.6108605168575,0.0,21.690870680103867,0.0,7.8716017894897785,0.0
Bares,505.70160675466354,0.0,20.990548426073723,0.0,7.302123178901677,0.0
Bargs,536.9214911317623,0.0,21.583611992415022,0.0,9.612984461616005,0.0
Barke,528.8574301705135,0.0,21.46951951207463,0.0,7.727493901806126,0.0
Basam,602.0504930745758,0.0,22.84855286245166,0.0,9.269702292721,0.0
Basar,508.66930212337047,0.0,20.976723524680516,0.0,7.741754037872621,0.0
Basen,544.7768121127322,0.0,21.763134389508913,0.0,6.790729262895774,0.0
Basis,487.8462586303992,0.0,20.519212007801286,0.0,7.971721898971511,0.0
Batik,497.0411415842542,0.0,20.762410217672418,0.0,9.347310268378862,0.0
Bauch,536.0882368331785,0.0,21.5412546392235,0.0,8.89529178709449,0.0
Bauda,579.684867722043,0.0,22.448840139194058,0.0,8.40979442424648,0.0
Bauts,516.8301453206352,0.0,21.184506328336642,0.0,8.30349704004296,0.0
Bcckt,486.5759743867861,0.0,20.527623616074735,0.0,8.683151361811955,0.0
Bcdfw,560.9760695449651,0.0,22.130079252785368,0.0,11.3934778662838,0.0
Bdhnf,555.2080401823453,0.0,21.99263205231619,0.0,11.283143209939773,0.0
Beben,573.3789802707062,0.0,22.428776048978175,0.0,6.962150393549816,0.0
Beere,516.8748671876881,0.0,21.374028949087418,0.0,7.254554448439649,0.0
Beete,536.4647794239652,0.0,21.78362654160561,0.0,7.179231403507963,0.0
Beine,504.404084372944,0.0,21.028953426805128,0.0,7.994349783414885,0.0
Bekem,619.4246524026607,0.0,23.317133249493775,0.0,9.221272530945757,0.0
Betel,491.5944929369608,0.0,20.802620997459037,0.0,9.2475561120576,0.0
Beule,511.0561733164136,0.0,21.19099803459917,0.0,9.232988066047074,0.0
Beuns,533.3959641222549,0.0,21.558044597106186,0.0,7.546914786268022,0.0
Bezug,572.2178424898818,0.0,22.47904354635667,0.0,9.894824824061416,0.0
Bgrkq,575.4723000726252,0.0,22.39704119872397,0.0,11.36299244874321,0.0
Bgtts,525.6496398236707,0.0,21.40876520639954,0.0,10.155245548567205,0.0
Bhrps,527.3713886954826,0.0,21.38792761199453,0.0,9.63809949838467,0.0
Bhthl,505.21064953962536,0.0,20.937984182201326,0.0,11.424348772942674,0.0
Bhwxz,578.0941072487219,0.0,22.53138303925743,0.0,9.379722061559045,0.0
Bibel,485.6501812322334,0.0,20.598724465818986,0.0,10.48036673761242,0.0
Biegi,492.83952494899575,0.0,20.749842206393062,0.0,12.02151339339115,0.0
Biere,465.44670491565034,0.0,20.231227427806434,0.0,8.940576669547642,0.0
Biest,471.0847892959995,0.0,20.284819320688698,0.0,8.996821937387375,0.0
Binde,522.3722621956886,0.0,21.369099999341568,0.0,8.822312395785634,0.0
Blama,571.2629961585072,0.0,22.26918058000026,0.0,11.681919102989973,0.0
Blete,491.6257572216855,0.0,20.803885515471666,0.0,9.415897943066776,0.0
Bljts,455.92658304000486,0.0,19.9095216263624,0.0,11.970864175335622,0.0
Bllly,426.85062391347014,0.0,19.271866223101867,0.0,13.8892550150814,0.0
Bllsd,478.66220530981604,0.0,20.389234775020405,0.0,11.15994957355571,0.0
Block,492.8506211192308,0.0,20.638903717172436,0.0,9.697987490190934,0.0
Blogs,530.4354907950956,0.0,21.443694810606562,0.0,11.05699578701342,0.0
Bloht,492.0563578817326,0.0,20.666042619471913,0.0,10.737239791027633,0.0
Bluff,460.27627519518535,0.0,20.060210694812795,0.0,15.532922382716691,0.0
Blume,556.8974001614124,0.0,22.081640094951513,0.0,11.878290986896365,0.0
Bluse,497.0861585462234,0.0,20.82217037889805,0.0,9.388094229607338,0.0
Blöße,560.9592238013689,0.0,22.112475115323097,0.0,9.669488661470156,0.0
Bmlll,475.70789403537214,0.0,20.33801211533151,0.0,15.031767723944055,0.0
Boden,567.4320360025065,0.0,22.263646195987747,0.0,7.330312802940684,0.0
Bogen,580.7362350269794,0.0,22.50697508268881,0.0,9.128025455738031,0.0
Bohne,556.2561424754615,0.0,22.001749667018164,0.0,7.6386690410587175,0.0
Bombe,621.2945220169104,0.0,23.313298104224074,0.0,9.232682134782587,0.0
Bonus,526.9719624006409,0.0,21.358834607322073,0.0,7.688091751322533,0.0
Borke,519.5693139023897,0.0,21.284858508693286,0.0,7.69715960830964,0.0
