,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,481.0745098039215,0.0,20.550257409209625,0.0,558.6314690158158,0.0,510.0,0.0,469.0,0.0,422.0,0.0,388.0,0.0,327.0,0.0,242.0,0.0,131.0,0.0,54.0,0.0,19.0,0.0,16.183998362115393,0.0,22.58317958127243,0.0,21.656407827707714,0.0,20.54263858417414,0.0,19.697715603592208,0.0,18.083141320025124,0.0,15.556349186104045,0.0,11.445523142259598,0.0,7.3484692283495345,0.0,4.358898943540674,0.0,,,,,,,,,,,,,,,,,,,,,2.608075457244988,0.0,,,,,,,,,,,,,,,,,,,,,16.184005448394377,0.0,22.572666810775974,0.0,21.65087480202947,0.0,20.537263297760155,0.0,19.69264512962687,0.0,18.076783057403023,0.0,15.535762533329695,0.0,11.430239910147405,0.0,7.332822972411335,0.0,4.3514223911145935,0.0
Abend,563.9176470588236,0.0,22.28868611297736,0.0,608.1677996030731,0.0,588.0,0.0,544.0,0.0,517.0,0.0,466.0,0.0,402.0,0.0,316.0,0.0,216.0,0.0,102.0,0.0,33.0,0.0,17.65096504065575,0.0,24.24871130596428,0.0,23.323807579381203,0.0,22.737634001804146,0.0,21.587033144922902,0.0,20.049937655763422,0.0,17.776388834631177,0.0,14.696938456699069,0.0,10.099504938362077,0.0,5.744562646538029,0.0,,,,,,,,,,,,,,,,,,,,,3.414218784806474,0.0,,,,,,,,,,,,,,,,,,,,,17.650805339307585,0.0,24.239443549717127,0.0,23.314288615392037,0.0,22.727677957951187,0.0,21.57920185113753,0.0,20.02854715011552,0.0,17.754293653228153,0.0,14.67992583199726,0.0,10.081114682311624,0.0,5.6942627643364885,0.0
Aboln,493.9372549019607,0.0,20.769510821803408,0.0,585.1028953454374,0.0,537.0,0.0,479.0,0.0,429.0,0.0,388.0,0.0,342.0,0.0,281.0,0.0,187.0,0.0,72.0,0.0,25.0,0.0,16.96048813005526,0.0,23.173260452512935,0.0,21.88606862823929,0.0,20.71231517720798,0.0,19.697715603592208,0.0,18.49324200890693,0.0,16.76305461424021,0.0,13.674794331177344,0.0,8.48528137423857,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,2.6183466969710385,0.0,,,,,,,,,,,,,,,,,,,,,16.96040905020794,0.0,23.16083242887307,0.0,21.881909762931866,0.0,20.709736553809535,0.0,19.695073327545845,0.0,18.491654706965306,0.0,16.756458075708732,0.0,13.656045238146383,0.0,8.46460472706146,0.0,5.000007832069338,0.0
Abtäs,531.5686274509804,0.0,21.575857611694673,0.0,560.6612104774971,0.0,569.0,0.0,509.0,0.0,464.0,0.0,407.0,0.0,335.0,0.0,257.0,0.0,158.0,0.0,67.0,0.0,33.0,0.0,16.321437880678385,0.0,23.853720883753127,0.0,22.561028345356956,0.0,21.540659228538015,0.0,20.174241001832016,0.0,18.303005217723125,0.0,16.0312195418814,0.0,12.569805089976535,0.0,8.18535277187245,0.0,5.744562646538029,0.0,,,,,,,,,,,,,,,,,,,,,1.9191093783065518,0.0,,,,,,,,,,,,,,,,,,,,,16.321451504691932,0.0,23.83106785191524,0.0,22.544196988542744,0.0,21.529138595309124,0.0,20.15584993185409,0.0,18.279550659320744,0.0,16.000201837988776,0.0,12.54569330563783,0.0,8.140523444618609,0.0,5.744428314066753,0.0
Acker,468.3058823529411,0.0,20.28349707887075,0.0,580.2103238875416,0.0,500.0,0.0,458.0,0.0,426.0,0.0,374.0,0.0,332.0,0.0,267.0,0.0,183.0,0.0,58.0,0.0,13.0,0.0,16.80321473879209,0.0,22.360679774997898,0.0,21.400934559032695,0.0,20.639767440550294,0.0,19.339079605813716,0.0,18.2208671582886,0.0,16.34013463836819,0.0,13.527749258468683,0.0,7.615773105863909,0.0,3.605551275463989,0.0,,,,,,,,,,,,,,,,,,,,,2.4944233883031055,0.0,,,,,,,,,,,,,,,,,,,,,16.803756503207495,0.0,22.35436763896704,0.0,21.39469703204973,0.0,20.63351985354771,0.0,19.33738862098807,0.0,18.217416181254837,0.0,16.3336409242387,0.0,13.517145279756402,0.0,7.596136596611606,0.0,3.6055542877219615,0.0
Adern,498.1647058823529,0.0,20.964569441249637,0.0,581.4830467499822,0.0,523.0,0.0,486.0,0.0,443.0,0.0,403.0,0.0,357.0,0.0,289.0,0.0,190.0,0.0,66.0,0.0,9.0,0.0,16.85797812872148,0.0,22.869193252058544,0.0,22.045407685048602,0.0,21.047565179849187,0.0,20.074859899884732,0.0,18.894443627691185,0.0,17.0,0.0,13.784048752090222,0.0,8.12403840463596,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,3.182248853309051,0.0,,,,,,,,,,,,,,,,,,,,,16.85805322478569,0.0,22.854396587351573,0.0,22.040850504134326,0.0,21.04507450021441,0.0,20.07314557526213,0.0,18.890896479925054,0.0,16.9926000844465,0.0,13.763221644951916,0.0,8.101685819952673,0.0,2.999999082091442,0.0
Adler,461.16470588235296,0.0,20.19346680239486,0.0,534.4218398455234,0.0,483.0,0.0,445.0,0.0,401.0,0.0,358.0,0.0,303.0,0.0,189.0,0.0,111.0,0.0,44.0,0.0,18.0,0.0,15.397938610500432,0.0,21.97726097583591,0.0,21.095023109728988,0.0,20.024984394500787,0.0,18.920887928424502,0.0,17.406895185529212,0.0,13.74772708486752,0.0,10.535653752852738,0.0,6.6332495807108,0.0,4.242640687119285,0.0,,,,,,,,,,,,,,,,,,,,,3.8635582152519254,0.0,,,,,,,,,,,,,,,,,,,,,15.397857399704229,0.0,21.974945473282855,0.0,21.092360350780755,0.0,20.023943355843816,0.0,18.91603176645735,0.0,17.402236198827055,0.0,13.74038398079082,0.0,10.535233856203341,0.0,6.633194229597967,0.0,4.242628296841658,0.0
Adria,457.50588235294117,0.0,20.032593203706945,0.0,564.3969152112107,0.0,478.0,0.0,454.0,0.0,396.0,0.0,365.0,0.0,326.0,0.0,232.0,0.0,152.0,0.0,67.0,0.0,12.0,0.0,16.328353076501674,0.0,21.863211109075447,0.0,21.307275752662516,0.0,19.8997487421324,0.0,19.1049731745428,0.0,18.05547008526779,0.0,15.231546211727817,0.0,12.328828005937952,0.0,8.18535277187245,0.0,3.4641016151377544,0.0,,,,,,,,,,,,,,,,,,,,,2.7252958473559756,0.0,,,,,,,,,,,,,,,,,,,,,16.3281776715555,0.0,21.854314733514027,0.0,21.295287254328326,0.0,19.893417648429402,0.0,19.09429358567627,0.0,18.04447412139444,0.0,15.219216865271708,0.0,12.317180780460419,0.0,8.1702971312662,0.0,3.4640832218284268,0.0
Affen,476.35686274509806,0.0,20.529309136960926,0.0,576.3845862119803,0.0,496.0,0.0,449.0,0.0,419.0,0.0,385.0,0.0,347.0,0.0,267.0,0.0,173.0,0.0,69.0,0.0,25.0,0.0,16.74095414240714,0.0,22.271057451320086,0.0,21.18962010041709,0.0,20.46948949045872,0.0,19.621416870348583,0.0,18.627936010197157,0.0,16.34013463836819,0.0,13.152946437965905,0.0,8.306623862918075,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,3.778355895635669,0.0,,,,,,,,,,,,,,,,,,,,,16.7410274439077,0.0,22.258926375874005,0.0,21.183451216815843,0.0,20.46549482448373,0.0,19.619423858425968,0.0,18.623956493032807,0.0,16.332470869047906,0.0,13.142977041099927,0.0,8.289720437164078,0.0,4.995334920543999,0.0
Agenk,568.7647058823529,0.0,22.342003171796524,0.0,620.062146514032,0.0,598.0,0.0,552.0,0.0,523.0,0.0,465.0,0.0,405.0,0.0,327.0,0.0,227.0,0.0,112.0,0.0,38.0,0.0,17.923431305473514,0.0,24.454038521274967,0.0,23.49468024894146,0.0,22.869193252058544,0.0,21.563858652847824,0.0,20.12461179749811,0.0,18.083141320025124,0.0,15.066519173319364,0.0,10.583005244258363,0.0,6.164414002968976,0.0,,,,,,,,,,,,,,,,,,,,,3.147515216427705,0.0,,,,,,,,,,,,,,,,,,,,,17.92321554297428,0.0,24.38231920630575,0.0,23.441446904775937,0.0,22.820622368790378,0.0,21.51774714417488,0.0,20.072354319597483,0.0,18.010688036218266,0.0,14.955037557562848,0.0,10.397097696889883,0.0,5.911977701376383,0.0
