,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,914.4976593493033,5.530514210175005,21.999549620697277,0.09823499689008844,872.1694132168602,4.621550638916855,389.68,9.383901107748313,269.5055513165503,5.468216196365652,17.624808613861493,0.08544154410652205,19.713298515273355,0.23635068800676545,13.907522403821972,0.13124640347534494,673.0576882466786,7.530803857784596,207.39572765687404,10.83767696498783,154.65092275610348,5.075151046360438,,,450.48839034835,5.677150169703696,780.5534510013192,11.842579464869322,381.8202218079646,6.946303736808243,14.476198798111755,0.09968879716523789,11.15394584803982,0.2714996784799477,10.929874832750965,0.1809242107872586
Abend,988.4814040530706,5.728817147640075,23.622437645533022,0.08603526873008426,837.0424870068033,5.324494642867817,314.16,7.342642576075728,215.82932047018082,4.2404375236028855,16.675656979598074,0.09921992462167759,17.745026435711726,0.2324581594438665,12.470589664873419,0.16093029978815998,698.9997912515136,7.774015593441203,295.6126813979412,8.000043434228997,239.28749239155485,5.4035003724104085,,,452.0982616760564,6.594265632644482,685.9380145552561,13.90511203341544,365.7599325933731,6.15102781518442,13.47571904928095,0.08466868855886182,10.611601905605989,0.22909668355541088,9.396069472153844,0.1415866111772372
Aboln,923.6731328038315,5.6877196699387715,22.199707294758532,0.11167197063709974,871.1225917051562,5.215301436973944,367.54,9.018225989627894,256.09392914863065,5.579268434210608,17.569832729294312,0.08988308520464242,19.2131364741814,0.2353440555449904,13.682433413971914,0.1424691656570016,676.1575557866232,7.61470550751236,207.4159788481085,10.676047071874905,160.87206277057317,5.268419540804956,,,450.8894840464264,6.658526395177561,763.517312801799,12.58605747567606,382.235533775181,6.92032389017466,14.452415726975113,0.08422573446684449,10.795001276734194,0.21437307830367425,10.749951249215435,0.12971104275842654
Abtäs,959.5754310053261,5.624903436525821,22.949300310487928,0.09058519253407077,852.8742878627894,4.971176354469652,346.91,7.791142406605081,240.96833387036838,4.9293418982930275,17.174311004711363,0.08684548354519263,18.585486212908048,0.24434039740661875,13.203402229778057,0.14131824801468454,682.0745153993407,6.807743399395412,233.9157970125155,10.647566407197507,187.13423684163547,5.073530426356918,,,457.3195673019425,6.602222890022202,741.0557993762618,13.754828477931389,382.6257740878924,6.198744221353729,13.663860620862293,0.09154867290983049,10.349641606544616,0.22920165011140115,9.802886865411812,0.15281625901036047
Acker,902.8584556532645,5.134221781515205,21.738432237277024,0.08993229636212437,838.1217613317745,5.509274781819617,327.37,8.221502295809445,222.97350089758805,5.194742027575074,16.690559241786037,0.0937606593575595,18.050347683333438,0.2344109868997916,12.569243721130638,0.14554448105039378,670.8406422550771,6.555855167343225,176.56272492848586,4.377283460116834,142.4413638941318,3.2386535337334945,,,452.9130767566775,6.097255488836205,752.490633110138,12.686952242148422,364.30512525229904,7.085861554674985,12.802396528493714,0.09614259644018269,9.451941509953485,0.22934957552791155,9.19893823141279,0.1726836136551268
Adern,929.2234182389948,5.335538649732151,22.353671416220514,0.10210180821896321,856.5167304776026,5.418788530987673,354.09,8.835264568760802,244.73116517604853,5.234949707464596,17.246891081541026,0.09934351925109061,18.89482890201169,0.213168392834816,13.316794557816895,0.13387665043803412,710.5319603983336,8.14245971515768,318.00576249795495,5.938832190389534,275.219256611305,8.098788745879395,,,452.4421759402058,6.1360457699188515,751.380090040371,13.827576382429513,372.96583485158953,6.693245497750444,13.663327118272193,0.08997460807103663,10.281620119330576,0.21443867638691239,9.983029114013698,0.14459676290016804
Adler,897.6068413186846,5.251658050337673,21.629953227973388,0.09656623044497828,842.4126338531356,5.542974232050467,334.11,8.01485495813867,228.9978487707815,4.747387043980792,16.837276230348067,0.0924618945928575,18.256780250551586,0.24489769919199447,12.762672375305355,0.1457675474596765,708.6665398394355,6.965570680052952,315.38880031339437,5.900029733526795,274.4999112505238,8.067712273781158,,,450.7682951126738,6.348910356745775,750.8681865669289,13.172319047668035,365.75539378569295,6.862170185328838,13.6308132466025,0.09094105592149775,9.35281140317495,0.2013865172565204,9.668422549251382,0.15810411220274798
Adria,893.6627086085878,5.1429677840703985,21.49507801282964,0.08848918272781676,876.990427579992,4.8277529441869875,391.29,8.02283615687121,271.80359725721024,5.092064984166544,17.749416734725163,0.09115551291683317,19.760443223912525,0.18677150352685287,14.017902304621991,0.12127472757662579,713.2161866183073,7.909756718742276,331.35972791029945,6.296382461702231,283.9484425057771,7.646592869950357,,,451.02447528019655,5.964318789085528,808.1098928132502,13.411384800965614,382.8810979396223,7.997897939226447,14.331824564161128,0.10352305490510813,10.396278583305671,0.23520120324336596,10.8388640656364,0.18284683329861368
Affen,909.5129552163093,5.074252124142864,21.940449763734872,0.08733372890988475,844.2421673458733,5.473838471543576,337.12,8.478537609753229,231.17757412368522,5.451051568593466,16.90995942618045,0.0972495550113561,18.40249496745621,0.26111103528734814,12.872377338754681,0.1535443592311979,693.9640959480197,7.068826474630257,267.3677860563056,3.48840017697018,232.07296355399208,6.226151725507776,,,456.7702529068889,5.270849163556752,753.329279371317,14.240997230181108,376.2710021998012,6.5933841672368745,13.575140339363989,0.07962584660291011,9.202261314367751,0.2268231369344543,9.503013918158777,0.16456037410125096
Agenk,992.1722502261687,5.001728347846351,23.662119425401773,0.10098937223285429,867.0167218783466,5.571929424721445,353.33,8.340329729692945,250.66599572113773,5.196442915743751,17.569875526398288,0.10061761492894673,18.76383881611109,0.2198928898413721,13.6757812669999,0.13932895414826954,815.6055566546805,8.282093470200822,537.2488968864463,10.787383393272872,480.45637081129024,10.153468745966064,,,460.54298100135946,6.84614260951258,742.4488657987085,13.735284642034227,386.0883223951176,6.327245683712945,13.47289619839465,0.09492188138333886,9.975539734235312,0.2088627727379745,9.787070533647363,0.16422881019749438
Agent,958.515133375487,5.006394776719732,23.000364018126888,0.08945721120275699,835.743910718311,5.2967397914347645,316.53,7.686943475790622,217.03833770188456,4.764804238412901,16.606216118556393,0.0893806136644276,17.7271408000562,0.24182443007856305,12.416863676810927,0.14937315227543838,799.3595062474074,8.524129147154097,508.5616702357693,9.648251903151344,456.7474401698818,10.41444793975171,,,458.5569714675798,6.283028095333096,707.3525180412644,14.958962426233278,374.1896653976383,5.697245882958975,12.84906184420245,0.08678065971488162,9.675421555648763,0.23827707258941452,8.804819088977174,0.16338420337017368
Ahnen,954.7615314448882,5.06721511978851,22.85198752353191,0.09430221852174214,815.4888223849779,5.917680823103313,290.27,8.244822617861466,195.78447303482096,5.048612285085929,16.085108381098404,0.08561203871617354,17.030765511776615,0.20742729540796276,11.71226046375129,0.13243333164487883,670.3980298477469,6.770517608175396,161.52657857946892,10.098071997228976,124.93078312474645,4.855326996130137,,,447.1966993188702,7.051539210826946,695.456316759263,12.06114303157337,352.9470115497069,7.283868452020687,13.320426914332835,0.10384641463975898,9.603568395162561,0.23884417012488632,9.020711805320953,0.1728324568514835
Aigön,946.2425169780907,4.749874744361937,22.6599341147396,0.09515553615966564,849.3345284323073,5.8274890122822285,335.83,8.687985957631378,229.3964877638594,5.399301353447403,16.956049244764888,0.10071717011896975,18.335272677212583,0.26033795778143537,12.815555370903251,0.15266624383850524,681.2363665472767,7.153463234369603,220.35004214204739,7.8635066259249164,179.03579801728375,4.273218318028757,,,453.5394361643806,6.4298361086022275,735.7537791980762,12.59733400902797,379.7820199626385,6.089167994143385,13.801174579254473,0.09218928686675043,10.584241513936753,0.2627921199493179,9.7085910796702,0.17973091951814385
Akkus,958.9276775947751,5.275232417181911,22.915795130627817,0.09648392074705932,878.0027223853374,5.713410970471875,376.43,9.338367094947596,268.0826586164812,5.854093516710327,17.887507979297613,0.08126403626138462,19.472465426543064,0.23041313349119188,14.149936194890424,0.1335130190979936,700.45753261893,7.727787210738863,282.3175272279596,6.817420407983208,240.39027378474879,5.337378101741663,,,454.8611458668266,6.176824329798362,795.8525852227403,11.766150259667429,388.5875109034491,6.406781091688299,12.889900664141074,0.08586005266392185,10.08647380578432,0.21089079540625472,9.809928882991183,0.12304040140576612
Aktie,899.1409558942171,4.70859500470759,21.696284714050165,0.09582119659767664,889.3338022075791,5.968099990609566,396.92,7.073443291636682,280.91326203533333,4.584279974713856,18.118496406993913,0.09391858671464083,19.906499671840592,0.22643059645381722,14.422765808312162,0.14175835675673512,691.847888292672,7.682729436833479,257.79318138417415,7.50060979581618,218.8195380290519,5.831937065066587,,,452.3682679055034,6.596056268663579,801.7632929527342,12.68943357343024,384.0885613149628,6.733227775461622,14.279174006655635,0.08675669104466409,10.606887767611495,0.1984365879498098,10.919072041518154,0.13961909311087314
Alahn,922.3132242250634,5.252238896561473,22.13157870907071,0.09814378308427207,838.1706155534849,5.030898409131901,338.11,8.515744242284406,228.5953205568241,5.31009761261485,16.68714261592716,0.08968431909393747,18.3747517759434,0.2418618871690553,12.631277162248143,0.15090155481059758,664.4829082461289,7.409011024340061,152.05968823864166,7.971754640683105,112.97695713347137,3.718016310978352,,,447.46368583723176,6.570579775396083,757.126299987141,13.480948357247366,374.7375485620414,5.7798127475717145,13.57151499862159,0.08119730115800206,10.09589386489158,0.2125367653814124,9.635138225815377,0.15037597288292273
Alarm,923.5469270256606,5.3918813742609135,22.177951543155825,0.09363795956376166,962.1427271917931,5.714761206433072,503.19,8.005866598938555,364.7417072677063,4.561433053283075,19.88466265473526,0.08621770231627866,22.44308631974236,0.1946187159374477,16.641156216547433,0.1230178406854765,717.5446482558613,6.878865333253593,351.9249522104581,10.312259718306647,279.306052848022,4.935379084541765,,,448.4713504254433,6.235996705476056,876.7985890545393,11.734690062666303,412.7250173267109,7.061533504369894,17.053356420413138,0.08215300382361698,13.52730047356003,0.22444723135033942,13.756398481913223,0.12993062334354702
Alben,931.8894544212276,5.545919567396708,22.38658823672394,0.08495198528386914,822.3128568493064,5.366399951067345,301.69,8.260381347129199,202.684451320839,4.938185038764102,16.230163668646345,0.09100805755779355,17.344619730271337,0.23273678755685828,11.891819078518338,0.14315651018149156,663.9127135000172,7.5181270097169035,135.37699354297368,6.6055920942489195,103.99432762309678,3.102677815704399,,,447.78015749065776,6.63410384795961,709.2116589196085,13.88402579795631,358.6779608488261,7.244518988904299,13.438661519674021,0.09400983337093809,9.757349240300675,0.22966972377496486,9.11696638899428,0.18692500784615557
Algen,943.5206352579282,5.088527580165346,22.640439583975976,0.09505259676110807,838.5531139348507,5.55762748374168,320.63,9.994653570784733,217.86126141926266,6.250618993037347,16.653050766802505,0.08775528128331114,17.88403250130417,0.24775288554541297,12.418853589781847,0.14713137628875547,672.6520854512034,6.663031519386902,194.26361484811477,8.828836052133509,150.16484644682407,4.02911548202038,,,447.06347490687716,5.968681659005371,719.7200966980877,12.706348811965608,366.72522024096196,6.42304154564712,14.035181262497257,0.09840989193657196,10.582995020411731,0.2057275635037375,9.723972064335923,0.15113111303720972
Alibi,845.2834008962063,4.919394226347657,20.362172151646863,0.0974490366193159,872.2494283498344,5.1061765982288705,379.28,8.252369356736283,262.9747963446048,5.117574216947251,17.626365776485084,0.10494255007443277,19.52555218086357,0.22980868646303024,13.824810506124193,0.15917060507604552,674.5150421987008,7.237121925915224,193.20403598993795,8.356875103888303,153.13228442849953,4.447674812026121,,,448.4405168964845,6.782926878058773,824.2946212992232,13.527275101827062,389.4130727427076,6.110786281024536,14.454633791720644,0.08929181083087356,10.050380275200927,0.21749507412089925,10.737489373502992,0.1519187253056327
Allas,870.8808716955535,5.137637058216084,20.964843605992,0.08616836665907081,851.2962208102101,5.350111357562674,350.24,8.890579283713743,239.53360302928678,5.4772006939171956,17.0631654569696,0.08390246729570836,18.722727246055776,0.24389438247098624,13.073034411958268,0.14375793919250368,666.3581104290571,6.655832895781272,158.3960817012424,8.903445077644657,121.13051826299083,3.9908578544979783,,,446.7212754846853,6.174133096576574,785.231430133801,12.703642613561552,383.89466083751205,6.11142278477068,14.230249827539174,0.09984535788469218,9.855758705677623,0.26875742511320583,10.227040931822042,0.17398811225369137
