,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,889.5295355166896,5.192346723334288,21.919288594181072,0.1003315425413116,895.2045845140045,5.279643090659628,377.8,9.111531155629113,254.84856889083648,5.439604467357658,17.759358292053065,0.09313340985968162,19.414404667112617,0.22559127109861593,13.319884510074276,0.13830265451481727,580.1650101538581,6.405426484003543,131.357348602755,2.2667786610207536,102.09590229582294,2.189321104572924,,,88.4370549719802,0.7626187266966793,99.2525056500293,2.6311743747897687,61.17694109030799,1.2699557134981063,14.317412708999582,0.08871164282250955,13.996918890614193,0.17449419382156992,10.250350740711113,0.1379172844420021
Abend,964.5791460554905,4.541973293081543,23.570831916740698,0.10264535873051998,941.8503087595876,4.650204261020329,448.67,9.197885626599192,311.4034887060183,5.445257278442492,18.972425334628706,0.08891790155551468,21.162511864775375,0.19517062596971746,14.951891372062637,0.12879012931220357,596.7903986832549,6.794387740308574,210.48342123295345,3.8529460857748448,175.74021088156604,4.567011844566563,,,88.87104439769578,0.9546835431276475,101.4698884989578,2.608209562349608,64.47009838954831,1.326163108761087,15.72599880056793,0.0910474595311666,16.101961713631923,0.20187070471119065,11.917086435140721,0.14785942197508087
Aboln,900.3970785740191,4.9034188851181355,22.108241636769108,0.08483892915271302,902.0059338537582,5.357019220126326,389.2,8.112952606788726,265.1142694314678,5.242020882583856,17.99385545867347,0.09110053498182859,19.739467986443632,0.20833533585816574,13.667759294907748,0.12780807584349124,582.5864028008377,6.388878771258702,134.7695138219208,2.837380082245624,105.7534010839329,2.178142106078188,,,87.2004604507463,1.0649716867494274,96.56699924412189,2.2857271837354967,60.06490770716071,1.2027951141871212,14.909256466813359,0.09211325128813642,14.70674864842848,0.20390093018067898,10.828623745650543,0.142399308395381
Abtäs,933.9353088103287,5.367907125833163,22.886927421004057,0.10213306788806502,899.0020074420052,6.330743287585112,379.9,7.809609465267773,259.33107600419794,4.927183944980411,17.89299127624919,0.08061000492694315,19.478960101199164,0.2238601703989947,13.499671310936554,0.13099488711559357,581.525511601782,6.374467134857701,132.37426184152696,2.646628515085633,102.34752140390732,1.8633726533582609,,,88.6463777238144,0.9768618657351459,97.70843137493563,2.6695898336811665,61.782085345825244,1.3742695209161342,14.462262800192786,0.08254459878543124,14.258676954635366,0.19347515221348563,10.34620373284094,0.13785106371708358
Acker,877.5080176855653,4.918708358714248,21.658557227918454,0.10413900786306425,889.4054029193711,5.3086370372680864,374.04,9.835568107638725,250.43809742720427,6.020359542843685,17.62609510044267,0.09514577148627416,19.33237883445988,0.2216497257556164,13.155940296888797,0.159446766263608,579.5969348191433,6.609787831401069,118.53009482068373,1.0493144236089957,88.95038130663232,1.415887687000641,,,87.89606306664953,0.9669664908962907,98.26037961014119,2.500618157075439,60.08529878233642,1.2307306472722759,14.31647879868525,0.08069292732090615,14.213425143321802,0.16884637252748058,10.269870724837453,0.12015300603540348
Adern,905.4507193958093,5.342419727073315,22.299867052889475,0.09155503998183681,902.3070640474829,5.5023678434615615,390.53,7.649124132866456,264.1649283467714,4.773467170943371,17.938434807866862,0.0872577820038107,19.782780006411443,0.20399808314730478,13.586091034762457,0.13105354840998348,584.1528502445396,6.738718932417233,150.9495899645866,2.4149391911955895,117.79781864488035,3.4624354072719967,,,87.82981191183211,0.8791451381781467,96.39286367430812,2.3324866308986008,59.965736664181314,1.3471235478637478,14.715361691518856,0.10030511321747572,14.761550502960747,0.1895709185188538,10.658525156916575,0.14169898296547714
Adler,872.6010039164553,5.343303023858583,21.557475882827617,0.09285289869057557,899.511431344327,5.30461400608877,375.12,8.416982832345568,252.83162833557185,5.191618106010106,17.787313919013826,0.091589493567827,19.344814007107193,0.2194789976953974,13.24755715710025,0.13237815670236816,581.1458499649924,6.311752242841325,138.61413036950375,4.9999694546204285,106.26068559552161,2.7519105022845323,,,87.60228530760763,0.9348172513007383,97.56129814585029,2.5644263387975372,59.662484722958446,1.3774964793574478,14.631942188494952,0.09066299122761991,14.239705477127343,0.1995191563129294,10.409918523501515,0.15145445673347604
Adria,869.4973691988831,5.108397095158897,21.416874025478887,0.09093568695154208,896.6174820157798,5.338806723764005,379.72,9.143391055839183,254.80946434742364,5.5898764576624345,17.741552999956003,0.09679288172011856,19.464127154289653,0.24032087226089774,13.258606004999136,0.15435735579729903,580.0007574069286,6.226379041701046,128.872628171469,1.9451499851151564,94.33288590187904,1.823178825304341,,,87.72981955371085,0.8106513928109018,100.1032567049335,2.4397554208179724,60.58441178237147,1.260666336366777,14.492159328501016,0.09552199459694201,14.018261271975112,0.18748622984443752,10.294713286731705,0.13862143456085993
Affen,886.6631159799317,5.210692282694501,21.889355320107875,0.08987861955704111,912.9551056366817,5.349943752464145,408.88,7.987840759554487,279.48020275604466,5.045038482276767,18.245676415887875,0.09469388232821567,20.190398910040575,0.21861347953033136,14.032235996187078,0.13838249555041834,590.0656062586404,6.9180140242629395,175.5821860101233,4.288255555580149,141.5545548674239,3.672552207140043,,,90.84161002917013,0.952054618102888,102.1763582648131,2.3167411823457598,64.34995872429543,1.1999811411741117,14.719285349830873,0.10060815000180282,14.476773791727316,0.19240348331913182,10.751316783452177,0.14082257648865748
Agenk,967.7312747626889,4.467272492632034,23.599059654461357,0.09475380630898216,951.0574247837264,5.281447571537494,455.34,8.566469517835221,318.7686665547533,5.327204178618516,19.19144839426352,0.09032702471348014,21.318794538084934,0.22135817789242426,15.20196112609518,0.13952780037826518,660.2681020425766,6.868902066386971,373.81949051312034,7.0142706860079995,325.2393129930999,6.936431383017629,,,92.25926773273419,0.8965984431724765,105.92869752260297,2.464264628873715,70.38617601470753,1.3341409965570545,15.40383788698553,0.09673300942295365,15.707659526057908,0.20087268891876725,11.531021758281328,0.1461197397780743
Agent,935.1576916899003,5.351901629735039,22.93055926431417,0.10446289295584268,926.3600635041554,5.841312797522133,426.05,9.275101077616352,292.2421347953707,5.682284633159594,18.55470661159648,0.09355208173455118,20.625985434863374,0.19678628205215276,14.414695366028106,0.1271141960281938,661.4187187024313,6.202803535951067,374.08243237765214,7.481205453141678,328.5415577242121,5.6957017162443755,,,91.73846440254283,1.0370991935586935,104.33602992981201,2.2240240532522897,67.72132394595687,1.2327877133353284,14.918584553573178,0.09182784302820311,15.093510790418742,0.1801378914835267,10.977025369447889,0.13956518659054132
Ahnen,929.4831159591066,4.658336904617999,22.766438841484344,0.1083541283446296,924.1288149460502,5.342837974340704,421.47,7.3231891959719295,292.549854453687,4.685812249981992,18.575824841611915,0.0936678564246124,20.50713907146964,0.1650669664203778,14.475035103002448,0.12651823246001057,583.8386315891181,6.203776349486691,143.98504922303948,4.725347783277694,113.0148312090826,2.708322374054068,,,86.61999718076159,0.9052380012362,95.8776336477185,2.9026461661715675,59.84948212232244,1.3535680482107473,15.702837774356007,0.08565693903367913,15.893244850351266,0.18394637248243914,11.844574147206197,0.12597182690158884
Aigön,921.5232389677091,4.985842728261936,22.599630513142937,0.0970456416694831,931.0314241486159,5.322157168932108,437.92,8.396046688769662,301.30620918972505,5.074380068583845,18.69585244516834,0.09450326105061022,20.857115580043484,0.20181595751438364,14.606805986507796,0.13415270339932536,629.6210766703025,6.845812593462524,304.59889817263667,7.139517688730132,260.0035866343715,5.720730929298203,,,90.5288686844753,0.9182600388376291,104.4961831929961,1.964764821561493,66.38194392265787,1.1283300852089777,15.245331867254247,0.09634576197217559,15.2200001917045,0.22236707852329632,11.275050708226852,0.1658211017322362
Akkus,935.4012250298259,4.907176034063471,22.842809669793983,0.09178651927186177,929.3258201420717,5.74599763779078,443.3,8.850423718670198,305.5819544505016,5.41391355394561,18.71438747350469,0.10305273066483087,21.06556092292164,0.20528760965228063,14.731859374949318,0.13944628032639605,582.7180361016873,6.814305972917131,144.4524690868948,1.3702035553437086,114.85430760909885,1.997812413934129,,,89.66193777975843,1.01978060412374,103.62459158770818,2.5875737858583734,65.33482655718329,1.186894115454694,15.178930013955268,0.09988599372670637,15.585741089231197,0.16897264247703303,11.57457226955814,0.1304616306010173
