,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,3879.1805870334892,37.49475487446976,64.20032641991197,0.5988875502949853,3843.8574680097117,39.89465870616923,3167.9,39.788566196835994,3211.020004123293,48.91367032937354,63.43827841953876,0.5817574595688747,56.28838373047074,0.312821053122664,61.783918949469744,0.6045653696373514,96.36172911029622,0.9494127189570893,85.96236243627871,0.5791366047475428,93.79304182752985,0.9970783298375444,,,427.7688515182926,6.411872447540597,372.1948928560998,4.187960828224847,417.0071440978669,6.401307931013922,19.789844402055202,0.5710816129967118,16.86331699258289,0.3019091156277674,19.157368475102587,0.5626762438423679
Abend,3912.3010839668027,37.967348769743104,64.78696104660389,0.60834252686352,3871.6029121155802,41.49424795155687,3183.5,40.42907369703145,3242.7496108797864,48.32647207832016,63.85095356088778,0.5561568802932818,56.42611766874109,0.3365186969314181,62.21982632517907,0.5833899822347317,96.72441134977458,0.893342154970138,85.98391861316237,0.4894017762132468,94.1668225190765,0.9370649195931313,,,428.30863002648533,6.369754985985409,371.41082111755554,4.130804087571568,417.9330256831867,6.445244741131305,21.147368327636155,0.5083281227032052,17.059754179028662,0.2954188721036689,20.461109267984504,0.504634018677194
Aboln,3883.911101316896,40.107167112173435,64.19142495207255,0.5592624661349698,3866.314105881842,36.46775497242521,3182.91,35.491434177840716,3238.0087854469584,42.80452882166538,63.69184900422036,0.5082150994642209,56.31839096128046,0.34473110153340036,62.048567453617835,0.53666227734853,96.32717150133657,0.9095668737408301,85.87938389477837,0.5484074698127692,93.75357445598371,0.9578522517370531,,,427.3619075854405,6.216792518638539,372.4551341434326,3.9568170889799132,416.87805980165035,6.208186039674261,21.060998218654145,0.6276338726255739,16.962452255024765,0.2734546191376863,20.373569119865387,0.5981942077783254
Abtäs,3892.0914724936297,40.33774010446444,64.45850021811064,0.5927307474260728,3842.361038121468,40.22202518793659,3161.95,38.91615988249612,3208.8730486166414,48.414026551981955,63.47498849489396,0.6130027048659316,56.28008514297362,0.31939990550971614,61.826495194104865,0.640561827949731,96.19446473861036,0.9291956586832325,85.84690754668452,0.5758060783073368,93.59908188408545,0.9716677151898574,,,427.82889705070994,5.80776176288395,371.83445824703574,3.93148409366797,417.24015903152605,5.854902037237358,20.26940752455987,0.5877775248346683,16.89694031234025,0.3133463972098461,19.62997880411066,0.5630943185763082
Acker,3871.5213475666906,37.97874479742058,64.14498322989049,0.5504802632190189,3849.9638786293085,32.462948898404655,3169.09,31.191375410520138,3216.610787159041,37.09901168091438,63.621510635551516,0.5476466647765226,56.29353071793507,0.3440920064481101,61.97927999036547,0.5813963509112186,96.16484839138293,0.9577921486906773,85.79973473656439,0.6110551127565952,93.57570041375598,1.0104057682442493,,,427.2546985720699,5.527237582582923,371.2072175068356,4.305278349325212,416.53022575667643,5.667341650457263,20.773620344559117,0.6144792354264537,16.90009943164313,0.31164969534880155,20.100009364262604,0.5895812007104421
Adern,3882.121609046264,38.36478643490088,64.26347629768028,0.5613160794302287,3846.2923238641324,37.1021573309762,3164.11,34.13499523948993,3212.8490932838904,42.039914662570666,63.53614681118963,0.5891571533987902,56.249034148936346,0.32581791202157434,61.87453445020163,0.6148096522036103,96.01153577209817,0.9010437499086151,85.82336525317389,0.5705265876490737,93.42914235808402,0.9520897409089241,,,426.22482921133735,5.722843126008041,371.78460638326936,4.166649014309939,415.9540137907227,5.677381504557776,20.630705994980048,0.5127344825939657,17.042167432209922,0.30413355711594603,19.962024307693703,0.5087274680852586
Adler,3874.4702064141,38.44865319350446,64.01256525109756,0.6678912575946536,3825.815921063159,37.49721405495233,3158.03,39.30634935986806,3192.479057619633,43.9984156981995,63.09793581382388,0.6076733526294428,56.19006679466561,0.32618033511796596,61.4368137303363,0.6394386110901391,95.79338749925982,0.779375278133128,85.74704778107406,0.49351450460134516,93.19638840180487,0.8151940934043522,,,427.9531509701764,5.850734688755303,371.64840196398393,4.575941544233911,416.8495976096428,5.851000239542935,19.628366511910396,0.4725657834832367,16.840060465053213,0.31595110757955547,19.000337768595678,0.44678481073338977
Adria,3874.068517332946,36.469284894033926,64.08331842445463,0.5993362700504183,3843.829872904266,35.00425434823345,3166.96,39.98997874468052,3211.2512790886512,43.314365104405645,63.5113642871555,0.554139694017645,56.2738926149349,0.35917956898179815,61.85817426498073,0.5816893658464016,96.14552703698155,0.880890941716648,85.8035468890037,0.591365114616475,93.55269974285676,0.9372066703704433,,,428.8534834088754,6.741863820790395,372.19813551265315,3.9400520503990406,418.1093782971147,6.637597044932194,20.27146164710636,0.5337274211215653,16.865152122195102,0.3107606095242548,19.61162728500976,0.5409963285850996
Affen,3875.667828945842,37.24357318584609,64.20517744681453,0.4913834317385059,3849.7542144401523,40.726248213713205,3169.48,39.82122047351135,3216.6862163195324,48.14433683683581,63.62717982095741,0.5979078818535222,56.31364967958383,0.37796794190604,61.984215574782475,0.6273138689366271,96.19250566129104,0.9428374721956722,85.82312629099697,0.5439825259360233,93.60195622845895,0.9888413876459604,,,428.1198140770251,6.8816980964314824,372.0507979052873,3.7318724176293685,417.2261465173524,6.565981630751252,20.659522643388378,0.5771411359417331,16.89668797296374,0.28181944749690985,19.983281752938666,0.5924934304670986
Agenk,3914.213632518953,36.4973255918865,64.74993557183235,0.5977588004184576,3872.5204196200643,30.299603786141663,3183.55,36.261101748292205,3243.937865322057,37.28242256844193,63.97019359087011,0.5537989849688096,56.426672249236105,0.31726783210517767,62.34245740159831,0.5841769982534075,96.76243830983886,0.882629224604615,86.00942542135681,0.5237009025440762,94.20779133762731,0.9224100238043659,,,428.7623517778163,6.15464074983691,371.8768611477902,3.7997617881863364,418.3239488897584,6.1689403140404435,20.653536192160445,0.5084755226293708,17.052478719791228,0.3451036524606166,20.00226970154981,0.5069743765917543
